VBM_1126_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3300  5100  rgb     3   8  jpeg   no         4  0   195   464  892K 1.8%
   2     1 image    3304  5100  gray    1   1  ccitt  no         9  0   195   464  284K  14%
   3     2 image    3300  5100  rgb     3   8  jpeg   no        14  0   195   464  979K 2.0%
   4     3 image    3304  5100  gray    1   1  ccitt  no        19  0   195   464  181K 8.8%
   5     4 image    3300  5100  rgb     3   8  jpeg   no        24  0   195   464  897K 1.8%
   6     5 image    3304  5100  gray    1   1  ccitt  no        29  0   195   464  290K  14%
   7     6 image    3300  5100  rgb     3   8  jpeg   no        34  0   195   464  899K 1.8%
   8     7 image    3304  5100  gray    1   1  ccitt  no        39  0   195   464  287K  14%
   9     8 image    3300  5100  rgb     3   8  jpeg   no        44  0   195   464  992K 2.0%
  10     9 image    3304  5100  gray    1   1  ccitt  no        49  0   195   464  302K  15%
  11    10 image    3300  5100  rgb     3   8  jpeg   no        54  0   195   464  976K 2.0%
  12    11 image    3300  5100  rgb     3   8  jpeg   no        59  0   195   464  656K 1.3%
  13    12 image    3300  5100  rgb     3   8  jpeg   no        64  0   195   464  980K 2.0%
  14    13 image    3304  5100  gray    1   1  ccitt  no        69  0   195   464  306K  15%
  15    14 image    3300  5100  rgb     3   8  jpeg   no        74  0   195   464 1012K 2.1%
  16    15 image    3304  5100  gray    1   1  ccitt  no        79  0   195   464  297K  14%
  17    16 image    3300  5100  rgb     3   8  jpeg   no        84  0   195   464  789K 1.6%
  18    17 image    3300  5100  rgb     3   8  jpeg   no        89  0   195   464  798K 1.6%
  19    18 image    3300  5100  rgb     3   8  jpeg   no        94  0   195   464  801K 1.6%
  20    19 image    3300  5100  rgb     3   8  jpeg   no        99  0   195   464  804K 1.6%
  21    20 image    3300  5100  rgb     3   8  jpeg   no       104  0   195   464 1158K 2.3%
  22    21 image    3304  5100  gray    1   1  ccitt  no       109  0   195   464  329K  16%
  23    22 image    3300  5100  rgb     3   8  jpeg   no       114  0   195   464 1157K 2.3%
  24    23 image    3304  5100  gray    1   1  ccitt  no       119  0   195   464  334K  16%
  25    24 image    3300  5100  rgb     3   8  jpeg   no       124  0   195   464  996K 2.0%
  26    25 image    3304  5100  gray    1   1  ccitt  no       129  0   195   464  268K  13%
VBM_7503_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3300  5100  rgb     3   8  jpeg   no         4  0   195   464  926K 1.9%
   2     1 image    3304  5100  gray    1   1  ccitt  no         9  0   195   464  275K  13%
   3     2 image    3300  5100  rgb     3   8  jpeg   no        14  0   195   464  919K 1.9%
   4     3 image    3304  5100  gray    1   1  ccitt  no        19  0   195   464  293K  14%
   5     4 image    3300  5100  rgb     3   8  jpeg   no        24  0   195   464  920K 1.9%
   6     5 image    3304  5100  gray    1   1  ccitt  no        29  0   195   464  281K  14%
   7     6 image    3300  5100  rgb     3   8  jpeg   no        34  0   195   464  927K 1.9%
   8     7 image    3304  5100  gray    1   1  ccitt  no        39  0   195   464  278K  14%
   9     8 image    3300  5100  rgb     3   8  jpeg   no        44  0   195   464 1008K 2.0%
  10     9 image    3304  5100  gray    1   1  ccitt  no        49  0   195   464  291K  14%
  11    10 image    3300  5100  rgb     3   8  jpeg   no        54  0   195   464 1003K 2.0%
  12    11 image    3304  5100  gray    1   1  ccitt  no        59  0   195   464  288K  14%
  13    12 image    3300  5100  rgb     3   8  jpeg   no        64  0   195   464  997K 2.0%
  14    13 image    3304  5100  gray    1   1  ccitt  no        69  0   195   464  319K  16%
  15    14 image    3300  5100  rgb     3   8  jpeg   no        74  0   195   464 1002K 2.0%
  16    15 image    3304  5100  gray    1   1  ccitt  no        79  0   195   464  292K  14%
  17    16 image    3300  5100  rgb     3   8  jpeg   no        84  0   195   464  792K 1.6%
  18    17 image    3300  5100  rgb     3   8  jpeg   no        89  0   195   464  784K 1.6%
  19    18 image    3300  5100  rgb     3   8  jpeg   no        94  0   195   464  790K 1.6%
