ballot_type	contest_ids
01	100 115 120 125 130 135 140 145 150 165 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
02	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
03	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
04	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
05	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
06	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
07	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
08	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
09	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
10	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 210 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
11	100 115 120 125 130 135 140 145 150 155 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
12	100 115 120 125 130 135 140 145 150 165 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
13	100 115 120 125 130 135 140 145 150 155 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
14	100 115 120 125 130 135 140 145 150 155 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
15	100 115 120 125 130 135 140 145 150 155 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
16	100 115 120 125 130 135 140 145 150 165 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
17	100 115 120 125 130 135 140 145 150 155 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
18	100 115 120 125 130 135 140 145 150 155 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
19	100 115 120 125 130 135 140 145 150 165 175 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
20	100 115 120 125 130 135 140 145 150 165 175 180 185 190 195 200 205 210 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
21	100 115 120 125 130 135 140 145 150 160 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
22	100 115 120 125 130 135 140 145 150 165 170 180 185 190 195 200 205 210 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
23	100 115 120 125 130 135 140 145 150 165 170 180 185 190 195 200 205 215 220 225 230 235 240 245 250 255 260 265 270 275 280 285
