sequence	cont_external_id	cand_seq	cand_id	external_id	title	party	designation	cand_type
010	553	271	99001	9901	K. PEARCE		Write-In	writein
010	553	272	99002	9902	VERONIKA FIMBRES		Write-In	writein
010	553	273	99003	9903	ARMANDO M. ARREOLA		Write-In	writein
010	553	274	99004	9904	ARMAN SOLTANI		Write-In	writein
010	553	275	99005	9905	PETER CRAWFORD VALENTINO		Write-In	writein
020	554	111	99006	9906	MARJAN S. FARIBA		Write-In	writein
090	605	321	99007	9907	SEELAM PRABHAKAR REDDY		Write-In	writein
090	605	322	99008	9908	MICHAEL V. ZIESING		Write-In	writein
090	605	323	99009	9909	URSULA M. SCHILLING		Write-In	writein
190	563	041	99010	9910	DOUGLAS I. VIGIL		Write-In	writein
190	563	042	99011	9911	THOMAS L. WILLIAMS		Write-In	writein
200	598	081	99012	9912	ANTOINE R. ROGERS		Write-In	writein
