contest_id2	cand_id2	contest_id1	cand_id1	cand_name2	cand_name1
403	4812	170	160	DAVID CHIU	DAVID CHIU
403	4813	170	161	ALEJANDRO FERNANDEZ	ALEJANDRO FERNANDEZ
404	4814	175	163	KEITH BOGDON	KEITH BOGDON
404	4815	175	164	DAVID ERNST	DAVID ERNST
404	4816	175	162	PHIL TING	PHIL TING
443	3793	185	167	CURTIS KARNOW	CURTIS KARNOW
443	3794	185	168	MARIA EVANGELISTA	MARIA EVANGELISTA
444	4800	155	154	MICHAEL GOLDSTEIN	MICHAEL GOLDSTEIN
444	4801	155	152	SHAHID BUTTAR	SHAHID BUTTAR
444	4802	155	156	BARRY HERMANSON	BARRY HERMANSON
444	4803	155	151	STEPHEN JAFFE	STEPHEN JAFFE
444	4804	155	153	RYAN A. KHOJASTEH	RYAN A. KHOJASTEH
444	4805	155	150	NANCY PELOSI	NANCY PELOSI
444	4806	155	155	LISA REMMER	LISA REMMER
445	4810	165	158	JACKIE SPEIER	JACKIE SPEIER
445	4811	165	159	CRISTINA OSMEÑA	CRISTINA OSMEÑA
451	4808	160	157	BARBARA LEE	BARBARA LEE
553	4857	100	067	CHRISTOPHER N. CARLSON	CHRISTOPHER N. CARLSON
553	4858	100	061	AKINYEMI AGBEDE	AKINYEMI AGBEDE
553	4859	100	054	GLORIA ESTELA LA RIVA	GLORIA ESTELA LA RIVA
553	4860	100	060	TRAVIS ALLEN	TRAVIS ALLEN
553	4861	100	053	J. BRIBIESCA	J. BRIBIESCA
553	4862	100	070	JOHN H. COX	JOHN H. COX
553	4863	100	068	THOMAS JEFFERSON CARES	THOMAS JEFFERSON CARES
553	4864	100	059	SHUBHAM GOEL	SHUBHAM GOEL
553	4865	100	057	YVONNE GIRARD	YVONNE GIRARD
553	4866	100	069	JOHN CHIANG	JOHN CHIANG
553	4867	100	075	HAKAN "HAWK" MIKADO	HAKAN ''HAWK'' MIKADO
553	4868	100	066	ZOLTAN ISTVAN	ZOLTAN ISTVAN
553	4869	100	064	DESMOND SILVEIRA	DESMOND SILVEIRA
553	4870	100	072	DELAINE EASTIN	DELAINE EASTIN
553	4871	100	063	NICKOLAS WILDSTAR	NICKOLAS WILDSTAR
553	4872	100	052	JOSH JONES	JOSH JONES
553	4873	100	058	ROBERT DAVIDSON GRIFFIS	ROBERT DAVIDSON GRIFFIS
553	4874	100	076	ALBERT CAESAR MEZZETTI	ALBERT CAESAR MEZZETTI
553	4875	100	077	GAVIN NEWSOM	GAVIN NEWSOM
553	4876	100	055	PETER Y LIU	PETER Y LIU
553	4877	100	071	AMANDA RENTERIA	AMANDA RENTERIA
553	4878	100	065	MICHAEL SHELLENBERGER	MICHAEL SHELLENBERGER
