contest|ATTORNEY GENERAL|PROCURADOR GENERAL
contest|BOARD OF EQUALIZATION MEMBER, DISTRICT 2|MIEMBRO DE LA DIRECTIVA DE IMPUESTOS SOBRE VENTAS, USO Y OTROS, DISTRITO 2
contest|CONTROLLER|CONTRALOR
contest|GOVERNOR|GOBERNADOR
contest|INSURANCE COMMISSIONER|COMISIONADO DE SEGUROS
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 11|JUEZ DEL TRIBUNAL SUPERIOR, OFICINA NÚM. 11
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 4|JUEZ DEL TRIBUNAL SUPERIOR, OFICINA NÚM. 4
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 7|JUEZ DEL TRIBUNAL SUPERIOR, OFICINA NÚM. 7
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 9|JUEZ DEL TRIBUNAL SUPERIOR, OFICINA NÚM. 9
contest|LIEUTENANT GOVERNOR|VICEGOBERNADOR
contest|SECRETARY OF STATE|SECRETARIO DE ESTADO
contest|STATE ASSEMBLY MEMBER|MIEMBRO DE LA ASAMBLEA DEL ESTADO
contest|SUPERINTENDENT OF PUBLIC INSTRUCTION|SUPERINTENDENTE DE INSTRUCCIÓN PÚBLICA
contest|TREASURER|TESORERO
contest|UNITED STATES REPRESENTATIVE|REPRESENTANTE DE ESTADOS UNIDOS
contest|UNITED STATES SENATE|SENADO DE ESTADOS UNIDOS
header|CITY AND COUNTY|CIUDAD Y CONDADO
header|CITY AND COUNTY PROPOSITIONS|PROPOSICIONES DE LA CIUDAD Y CONDADO
header|DISTRICT 12|DISTRITO 12
header|DISTRICT 17|DISTRITO 17
header|MAYOR|ALCALDE
header|MEASURES SUBMITTED TO THE VOTERS|INICIATIVAS DE LEY PRESENTADAS A LOS ELECTORES
header|NONPARTISAN OFFICES|CARGOS NO PARTIDARIOS
header|REGIONAL MEASURE|INICIATIVA DE LEY REGIONAL
header|SCHOOL|ESCUELA
header|STATE|ESTADO
header|STATE PROPOSITIONS|PROPOSICIONES ESTATALES
header|VOTER-NOMINATED OFFICES|CARGOS NOMINADOS POR LOS ELECTORES
measure_choice|YES|SÍ
vote_for|Vote for One|Vote por uno
vote_for|Vote your first, second, and third choices|Vote por su primera, segunda y tercera preferencias
