contest|ATTORNEY GENERAL|PANGKALAHATANG ABUGADO
contest|BOARD OF EQUALIZATION MEMBER, DISTRICT 2|MIYEMBRO NG LUPON NG TAGASINGIL NG BUWIS, DISTRITO 2
contest|CONTROLLER|KONTROLER
contest|GOVERNOR|GOBERNADOR
contest|INSURANCE COMMISSIONER|KOMISYONADO NG SEGURO
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 11|HUKOM NG KORTE SUPERYOR, KATUNGKULAN BLG. 11
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 4|HUKOM NG KORTE SUPERYOR, KATUNGKULAN BLG. 4
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 7|HUKOM NG KORTE SUPERYOR, KATUNGKULAN BLG. 7
contest|JUDGE OF THE SUPERIOR COURT, OFFICE NO. 9|HUKOM NG KORTE SUPERYOR, KATUNGKULAN BLG. 9
contest|LIEUTENANT GOVERNOR|TENYENTE GOBERNADOR
contest|SECRETARY OF STATE|KALIHIM NG ESTADO
contest|STATE ASSEMBLY MEMBER|MIYEMBRO NG ASEMBLEYA NG ESTADO
contest|SUPERINTENDENT OF PUBLIC INSTRUCTION|SUPERINTENDENTE NG PAMPUBLIKONG PAGTUTURO
contest|TREASURER|INGAT-YAMAN
contest|UNITED STATES REPRESENTATIVE|KINATAWAN NG ESTADOS UNIDOS
contest|UNITED STATES SENATE|SENADO NG ESTADOS UNIDOS
header|CITY AND COUNTY|LUNGSOD AT COUNTY
header|CITY AND COUNTY PROPOSITIONS|MGA PROPOSISYON NG LUNGSOD AT COUNTY
header|DISTRICT 12|DISTRITO 12
header|DISTRICT 17|DISTRITO 17
header|FEDERAL|PEDERAL
header|JUDICIAL|PANGHUKUMAN
header|MAYOR|PUNONG-BAYAN
header|MEASURES SUBMITTED TO THE VOTERS|MGA PANUKALANG ISINUMITE SA MGA BOTANTE
header|NONPARTISAN OFFICES|MGA KATUNGKULANG HINDI MAKAPARTIDO
header|REGIONAL MEASURE|PANREHIYONG PANUKALA
header|STATE|ESTADO
header|STATE PROPOSITIONS|MGA PROPOSISYON NG ESTADO
header|VOTER-NOMINATED OFFICES|MGA KATUNGKULANG NOMINADO NG BOTANTE
measure_choice|NO|HINDI
measure_choice|YES|OO
vote_for|Vote for One|Bumoto ng Isa
vote_for|Vote your first, second, and third choices|Iboto ang inyong una, pangalawa, at pangatlong pinili
