area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	052:JOSH JONES	053:J. BRIBIESCA	054:GLORIA ESTELA LA RIVA	055:PETER Y LIU	056:ANTONIO VILLARAIGOSA	057:YVONNE GIRARD	058:ROBERT DAVIDSON GRIFFIS	059:SHUBHAM GOEL	060:TRAVIS ALLEN	061:AKINYEMI AGBEDE	062:JOHNNY WATTENBURG	063:NICKOLAS WILDSTAR	064:DESMOND SILVEIRA	065:MICHAEL SHELLENBERGER	066:ZOLTAN ISTVAN	067:CHRISTOPHER N. CARLSON	068:THOMAS JEFFERSON CARES	069:JOHN CHIANG	070:JOHN H. COX	071:AMANDA RENTERIA	072:DELAINE EASTIN	073:JEFFREY EDWARD TAYLOR	074:KLEMENT TINAJ	075:HAKAN ''HAWK'' MIKADO	076:ALBERT CAESAR MEZZETTI	077:GAVIN NEWSOM	078:ROBERT C. NEWMAN, II	189:K. PEARCE	190:VERONIKA FIMBRES	191:ARMANDO M. ARREOLA	192:ARMAN SOLTANI	193:PETER CRAWFORD VALENTINO
ALL	TO	481991	253583	0	4174	5272	244137	220	824	267	821	550	22211	172	140	38	5327	206	56	266	87	632	552	300	543	21711	15977	3135	28240	153	188	194	336	140264	701	0	25	0	0	1
ALL	ED	481991	89756	0	966	1819	86971	98	373	109	379	138	8284	57	72	17	1159	101	16	122	33	241	188	133	273	6125	5176	1128	12458	51	107	67	181	49630	247	0	7	0	0	1
ALL	MV	481991	163827	0	3208	3453	157166	122	451	158	442	412	13927	115	68	21	4168	105	40	144	54	391	364	167	270	15586	10801	2007	15782	102	81	127	155	90634	454	0	18	0	0	0
PCT1101	ED	544	83	0	1	1	81	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	9	0	0	0	0	50	0	0	0	0	0	0
PCT1101	MV	544	198	0	4	2	192	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	1	0	0	25	20	2	13	0	0	0	0	108	3	0	0	0	0	0
PCT1102	ED	964	188	0	3	3	182	0	0	0	1	0	28	1	0	0	3	0	0	0	0	0	1	0	0	9	10	1	24	0	0	0	1	102	1	0	0	0	0	0
PCT1102	MV	964	337	0	8	7	322	0	2	0	1	0	45	0	1	0	16	0	0	0	2	0	0	1	0	22	27	5	30	0	0	0	0	169	1	0	0	0	0	0
PCT1103	ED	914	163	0	2	1	160	0	0	1	0	0	9	0	0	0	3	0	0	0	0	0	0	2	0	14	9	1	18	0	0	1	2	100	0	0	0	0	0	0
PCT1103	MV	914	348	0	6	6	336	0	2	0	1	2	26	0	0	0	17	0	0	0	0	0	1	1	0	31	34	3	31	1	0	0	0	185	1	0	0	0	0	0
PCT1104	ED	953	167	0	3	1	163	0	2	1	1	1	16	0	0	0	7	0	0	0	0	1	0	1	0	9	17	2	22	0	0	0	0	81	2	0	0	0	0	0
PCT1104	MV	953	292	0	7	3	282	0	1	0	2	5	37	1	0	0	15	0	0	0	0	0	0	2	0	32	12	4	26	1	0	0	0	143	1	0	0	0	0	0
PCT1106	ED	740	113	0	3	2	108	0	1	0	0	1	10	0	0	0	1	0	0	0	0	1	0	0	0	17	12	2	11	0	0	0	0	52	0	0	0	0	0	0
PCT1106	MV	740	231	0	6	5	220	0	1	1	1	0	14	1	0	0	15	1	0	0	0	1	0	0	0	15	25	6	19	1	0	0	0	117	2	0	0	0	0	0
PCT1107	ED	721	101	0	1	3	97	0	1	0	0	0	6	0	0	0	3	0	0	0	0	1	0	0	0	9	5	1	8	0	0	0	1	62	0	0	0	0	0	0
PCT1107	MV	721	240	0	8	7	225	1	1	1	2	0	15	0	1	0	11	0	0	0	0	0	0	0	0	27	15	2	12	0	0	0	1	135	1	0	0	0	0	0
PCT1108	ED	882	156	0	0	7	149	0	1	0	0	2	11	0	0	0	2	0	0	1	0	1	1	0	0	16	2	2	19	0	0	0	0	90	1	0	0	0	0	0
PCT1108	MV	882	328	0	6	4	318	0	1	0	0	2	29	0	0	0	10	0	0	1	1	0	2	0	0	38	14	2	26	0	0	0	1	191	0	0	0	0	0	0
PCT1109	ED	758	124	0	4	2	118	0	0	0	3	1	9	0	0	0	1	0	0	0	0	1	0	0	0	9	9	2	14	0	0	0	0	69	0	0	0	0	0	0
PCT1109	MV	758	265	0	5	9	251	1	3	1	0	6	9	0	0	0	18	0	0	0	0	2	0	0	0	35	21	1	18	1	0	2	0	132	1	0	0	0	0	0
PCT1111	ED	938	132	0	1	7	124	0	0	0	2	0	16	0	0	0	4	0	0	0	0	0	0	0	0	9	3	1	21	0	0	0	0	68	0	0	0	0	0	0
PCT1111	MV	938	330	0	7	17	306	1	1	0	1	6	15	2	0	0	18	0	0	0	0	1	0	0	0	41	23	5	25	0	0	0	0	166	1	0	0	0	0	0
PCT1112	ED	702	96	0	8	1	87	0	0	0	1	0	14	0	0	0	2	1	0	0	0	0	0	0	0	13	1	1	8	0	0	0	0	46	0	0	0	0	0	0
PCT1112	MV	702	221	0	9	8	204	1	0	0	0	4	11	0	0	0	6	0	0	0	0	1	0	0	0	35	15	6	14	0	1	0	0	110	0	0	0	0	0	0
PCT1113	ED	701	82	0	1	0	81	0	0	0	1	0	6	0	0	0	4	0	0	1	0	1	0	0	0	8	5	1	13	1	0	0	0	40	0	0	0	0	0	0
PCT1113	MV	701	272	0	9	3	260	0	0	0	5	2	23	0	0	0	17	0	0	0	0	1	0	0	1	48	23	2	25	1	0	2	1	108	1	0	0	0	0	0
PCT1114	ED	915	139	0	7	3	129	0	0	0	1	1	15	0	1	0	0	0	0	0	0	0	0	2	0	16	12	1	17	0	0	0	0	63	0	0	0	0	0	0
