area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	090:ALEX PADILLA	091:GAIL K. LIGHTFOOT	092:C.T. WEBER	093:ERIK RYDBERG	094:RAUL RODRIGUEZ JR	095:MICHAEL FEINSTEIN	096:RUBEN MAJOR	097:MARK P. MEUSER
ALLPCTS	TO	481991	253583	0	319	35133	218131	416	165952	4962	2913	2628	4503	8823	9493	18441
ALLPCTS	ED	481991	89756	0	88	12808	76860	177	58448	2087	1050	1166	1721	3694	3647	4870
ALLPCTS	MV	481991	163827	0	231	22325	141271	239	107504	2875	1863	1462	2782	5129	5846	13571
PCT1101	ED	544	83	0	0	11	72	0	55	3	0	0	5	5	3	1
PCT1101	MV	544	198	0	1	22	175	0	121	4	3	0	4	5	20	18
PCT1102	ED	964	188	0	0	25	163	0	126	5	2	1	1	4	11	13
PCT1102	MV	964	337	0	0	43	294	0	213	4	7	0	14	7	22	27
PCT1103	ED	914	163	0	0	19	144	1	97	1	3	5	8	9	10	10
PCT1103	MV	914	348	0	1	37	310	0	207	4	6	5	14	13	21	40
PCT1104	ED	953	167	0	1	22	144	0	97	4	2	2	9	6	8	16
PCT1104	MV	953	292	0	1	43	248	1	169	2	8	4	2	13	24	25
PCT1106	ED	740	113	0	0	15	98	0	75	2	2	0	2	3	4	10
PCT1106	MV	740	231	0	0	26	205	1	123	5	5	3	3	10	17	38
PCT1107	ED	721	101	0	0	12	89	0	64	1	2	1	4	6	4	7
PCT1107	MV	721	240	0	1	48	191	1	130	5	5	2	1	8	8	31
PCT1108	ED	882	156	0	0	28	128	2	91	3	2	1	5	8	10	6
PCT1108	MV	882	328	0	0	43	285	0	207	11	8	1	7	9	19	23
PCT1109	ED	758	124	0	0	14	110	0	72	5	4	1	7	4	13	4
PCT1109	MV	758	265	0	0	39	226	0	148	5	8	4	5	5	17	34
PCT1111	ED	938	132	0	0	17	115	0	77	3	5	3	4	4	12	7
PCT1111	MV	938	330	0	0	54	276	0	178	6	10	7	8	11	17	39
PCT1112	ED	702	96	0	0	21	75	1	55	0	3	1	3	4	5	3
PCT1112	MV	702	221	0	1	44	176	0	123	6	3	3	8	0	16	17
PCT1113	ED	701	82	0	0	12	70	1	47	4	1	0	4	3	6	4
PCT1113	MV	701	272	0	2	47	223	2	136	5	15	2	9	3	13	38
PCT1114	ED	915	139	0	0	24	115	0	76	0	2	2	5	10	9	11
PCT1114	MV	915	280	0	0	37	243	0	165	2	3	6	10	4	20	33
PCT1115	ED	835	97	0	0	9	88	2	57	1	2	4	3	9	6	4
PCT1115	MV	835	279	0	1	55	223	0	145	3	9	2	5	11	14	34
PCT1116	ED	842	141	0	0	24	117	0	74	6	2	0	5	9	18	3
PCT1116	MV	842	275	0	2	51	222	0	145	10	8	2	9	11	13	24
PCT1117	ED	827	138	0	0	25	113	0	72	4	3	2	6	8	13	5
PCT1117	MV	827	240	0	0	34	206	0	132	2	5	5	4	9	21	28
PCT1118	ED	974	158	0	0	23	135	0	88	2	4	2	6	13	15	5
PCT1118	MV	974	335	0	1	49	285	1	197	5	3	5	7	10	23	34
PCT1119	ED	745	97	0	0	11	86	3	59	4	3	1	1	5	5	5
PCT1119	MV	745	274	0	0	31	243	1	168	8	3	0	5	6	20	32
PCT1121	ED	653	104	0	0	16	88	0	49	4	3	0	8	4	10	10
PCT1121	MV	653	221	0	0	44	177	0	102	1	6	1	9	12	23	23
PCT1122	ED	607	69	0	0	14	55	1	39	2	2	1	1	3	1	5
PCT1122	MV	607	213	0	0	58	155	0	82	11	4	1	7	8	11	31
PCT1123	ED	876	118	0	0	21	97	2	60	4	2	4	0	9	12	4
PCT1123	MV	876	254	0	1	26	227	2	145	3	7	4	9	10	19	28
PCT1124	ED	773	109	0	1	25	83	0	54	3	4	1	5	3	9	4
PCT1124	MV	773	200	0	0	26	174	0	114	1	5	3	5	10	17	19
PCT1125	ED	987	80	0	0	16	64	1	37	5	3	1	1	5	7	4
PCT1125	MV	987	329	0	1	38	290	2	189	11	9	2	16	7	17	37
PCT1126	ED	900	92	0	0	12	80	0	52	0	4	1	4	7	9	3
PCT1126	MV	900	292	0	1	43	248	2	157	5	13	5	8	14	22	22
