area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	098:KONSTANTINOS RODITIS	099:MARY LOU FINLEY	100:BETTY T. YEE
ALLPCTS	TO	481991	253583	0	0	105	50259	203219	518	19113	9071	174517
ALLPCTS	ED	481991	89756	0	0	31	20089	69636	267	5725	3960	59684
ALLPCTS	MV	481991	163827	0	0	74	30170	133583	251	13388	5111	114833
PCT1101	ED	544	83	0	0	0	21	62	0	7	0	55
PCT1101	MV	544	198	0	0	0	29	169	0	18	9	142
PCT1102	ED	964	188	0	0	0	40	148	0	10	11	127
PCT1102	MV	964	337	0	0	0	63	274	0	33	15	226
PCT1103	ED	914	163	0	0	0	30	133	1	10	7	115
PCT1103	MV	914	348	0	0	0	62	286	0	32	7	247
PCT1104	ED	953	167	0	0	0	38	129	0	17	10	102
PCT1104	MV	953	292	0	0	0	51	241	1	26	10	204
PCT1106	ED	740	113	0	0	0	24	89	0	9	6	74
PCT1106	MV	740	231	0	0	0	32	199	2	23	10	164
PCT1107	ED	721	101	0	0	0	17	84	0	9	5	70
PCT1107	MV	721	240	0	0	0	43	197	1	27	12	157
PCT1108	ED	882	156	0	0	0	39	117	2	5	12	98
PCT1108	MV	882	328	0	0	0	49	279	0	18	6	255
PCT1109	ED	758	124	0	0	0	22	102	0	7	10	85
PCT1109	MV	758	265	0	0	0	47	218	2	25	11	180
PCT1111	ED	938	132	0	0	0	26	106	0	8	8	90
PCT1111	MV	938	330	0	0	0	62	268	4	34	14	216
PCT1112	ED	702	96	0	0	0	27	69	1	4	6	58
PCT1112	MV	702	221	0	0	1	46	174	1	12	4	157
PCT1113	ED	701	82	0	0	0	14	68	1	6	2	59
PCT1113	MV	701	272	0	0	1	48	223	2	22	16	183
PCT1114	ED	915	139	0	0	0	36	103	1	8	13	81
PCT1114	MV	915	280	0	0	0	46	234	1	31	12	190
PCT1115	ED	835	97	0	0	0	15	82	1	3	6	72
PCT1115	MV	835	279	0	0	0	54	225	1	21	17	186
PCT1116	ED	842	141	0	0	0	32	109	1	5	14	89
PCT1116	MV	842	275	0	0	1	60	214	1	14	15	184
PCT1117	ED	827	138	0	0	0	31	107	2	8	16	81
PCT1117	MV	827	240	0	0	0	38	202	0	23	9	170
PCT1118	ED	974	158	0	0	0	27	131	1	7	19	104
PCT1118	MV	974	335	0	0	1	72	262	1	16	17	228
PCT1119	ED	745	97	0	0	0	20	77	2	6	6	63
PCT1119	MV	745	274	0	0	0	31	243	0	21	12	210
PCT1121	ED	653	104	0	0	0	18	86	0	11	5	70
PCT1121	MV	653	221	0	0	0	40	181	0	17	15	149
PCT1122	ED	607	69	0	0	0	10	59	1	8	3	47
PCT1122	MV	607	213	0	0	0	49	164	0	14	8	142
PCT1123	ED	876	118	0	0	0	33	85	1	1	13	70
PCT1123	MV	876	254	0	0	0	36	218	2	22	13	181
PCT1124	ED	773	109	0	0	1	28	80	1	9	8	62
PCT1124	MV	773	200	0	0	0	29	171	0	14	10	147
PCT1125	ED	987	80	0	0	0	20	60	1	4	8	47
PCT1125	MV	987	329	0	0	0	48	281	2	43	14	222
PCT1126	ED	900	92	0	0	0	21	71	1	4	7	59
PCT1126	MV	900	292	0	0	0	46	246	2	21	13	210
PCT1127	ED	875	141	0	0	0	37	104	2	10	8	84
PCT1127	MV	875	277	0	0	0	59	218	0	35	9	174
PCT1128	ED	813	104	0	0	0	20	84	1	7	6	70
PCT1128	MV	813	246	0	0	0	45	201	1	39	11	150
PCT1129	ED	924	120	0	0	0	31	89	0	11	7	71
PCT1129	MV	924	274	0	0	0	46	228	1	29	4	194
PCT1131	ED	783	85	0	0	0	21	64	0	9	3	52
PCT1131	MV	783	288	0	0	0	54	234	0	30	4	200
PCT1132	ED	910	112	0	0	0	23	89	1	4	8	76
PCT1132	MV	910	324	0	0	1	67	256	0	32	11	213
PCT1133	ED	826	99	0	0	0	24	75	0	10	5	60
PCT1133	MV	826	292	0	0	0	51	241	4	29	14	194
PCT1134	ED	727	126	0	0	0	26	100	0	5	8	87
PCT1134	MV	727	241	0	0	0	37	204	0	19	5	180
PCT1135	ED	511	71	0	0	0	17	54	1	3	3	47
PCT1135	MV	511	217	0	0	0	38	179	0	23	6	150
PCT1136	ED	807	97	0	0	1	17	79	1	11	11	56
PCT1136	MV	807	287	0	0	0	51	236	0	31	3	202
PCT1141	ED	998	149	0	0	0	39	110	0	13	8	89
PCT1141	MV	998	368	0	0	0	51	317	1	23	21	272
PCT1142	ED	822	120	0	0	0	35	85	0	6	5	74
PCT1142	MV	822	266	0	0	0	48	218	0	24	20	174
PCT1143	ED	989	147	0	0	0	32	115	1	6	9	99
PCT1143	MV	989	311	0	0	1	68	242	3	34	15	190
PCT1144	ED	870	148	0	0	2	36	110	0	7	11	92
PCT1144	MV	870	264	0	0	0	34	230	0	39	9	182
PCT1145	ED	879	136	0	0	0	34	102	1	7	6	88
PCT1145	MV	879	370	0	0	0	58	312	0	24	16	272
PCT1146	ED	971	124	0	0	0	39	85	1	6	11	67
PCT1146	MV	971	326	0	0	1	57	268	0	25	22	221
PCT1147	ED	853	166	0	0	0	39	127	1	8	13	105
PCT1147	MV	853	279	0	0	1	52	226	0	15	16	195
PCT1148	ED	918	121	0	0	0	38	83	0	13	11	59
PCT1148	MV	918	314	0	0	0	49	265	0	29	14	222
PCT1149	ED	873	148	0	0	0	38	110	0	15	16	79
PCT1149	MV	873	285	0	0	1	47	237	1	22	11	203
PCT1152	ED	838	125	0	0	0	31	94	1	16	9	68
PCT1152	MV	838	286	0	0	0	49	237	0	22	14	201
PCT1153	ED	909	139	0	0	0	39	100	0	17	7	76
PCT1153	MV	909	306	0	0	0	47	259	0	31	8	220
PCT7001	ED	735	119	0	0	0	23	96	0	2	7	87
PCT7001	MV	735	266	0	0	0	61	205	1	5	7	192
PCT7002	ED	641	132	0	0	0	31	101	0	0	3	98
PCT7002	MV	641	173	0	0	0	22	151	0	17	9	125
PCT7003	ED	864	188	0	0	0	46	142	0	7	10	125
PCT7003	MV	864	340	0	0	2	62	276	0	20	10	246
PCT7004	ED	835	175	0	0	0	45	130	0	8	8	114
PCT7004	MV	835	306	0	0	0	48	258	0	25	8	225
PCT7005	ED	812	180	0	0	0	49	131	0	4	4	123
PCT7005	MV	812	295	0	0	0	48	247	0	14	5	228
PCT7006	ED	884	213	0	0	0	59	154	0	9	13	132
PCT7006	MV	884	290	0	0	0	55	235	0	16	15	204
PCT7007	ED	916	233	0	0	0	57	176	1	7	8	160
PCT7007	MV	916	323	0	0	0	65	258	1	10	5	242
PCT7008	ED	861	187	0	0	0	49	138	0	10	3	125
PCT7008	MV	861	345	0	0	0	59	286	1	26	4	255
PCT7009	ED	864	133	0	0	0	33	100	0	5	6	89
PCT7009	MV	864	312	0	0	0	61	251	1	16	11	223
PCT7011	ED	976	141	0	0	0	34	107	1	5	6	95
PCT7011	MV	976	205	0	0	0	42	163	0	6	9	148
PCT7012	ED	1061	224	0	0	0	49	175	0	21	7	147
PCT7012	MV	1061	383	0	0	0	72	311	0	26	12	273
PCT7013	ED	805	132	0	0	0	25	107	1	5	8	93
PCT7013	MV	805	251	0	0	0	42	209	1	13	5	190
PCT7014	ED	1213	188	0	0	0	30	158	0	8	7	143
PCT7014	MV	1213	434	0	0	0	68	366	0	21	12	333
PCT7015	MV	93	34	0	0	0	2	32	0	2	1	29
PCT7016	ED	891	112	0	0	1	29	82	0	2	18	62
PCT7016	MV	891	221	0	0	0	55	166	1	8	10	147
PCT7017	ED	734	79	0	0	0	26	53	0	2	5	46
PCT7017	MV	734	167	0	0	0	29	138	0	5	12	121
PCT7018	ED	908	88	0	0	0	19	69	0	7	10	52
PCT7018	MV	908	343	0	0	0	68	275	0	20	15	240
PCT7019	ED	864	111	0	0	0	33	78	1	4	7	66
PCT7019	MV	864	349	0	0	0	54	295	0	25	17	253
PCT7021	ED	927	129	0	0	0	35	94	1	4	8	81
PCT7021	MV	927	220	0	0	1	34	185	0	15	22	148
PCT7022	ED	923	164	0	0	0	48	116	0	4	14	98
PCT7022	MV	923	270	0	0	0	48	222	1	18	13	190
PCT7023	ED	906	131	0	0	0	33	98	1	5	11	81
PCT7023	MV	906	301	0	0	0	77	224	1	6	13	204
PCT7024	ED	386	30	0	0	0	13	17	1	0	3	13
PCT7024	MV	386	47	0	0	0	9	38	0	4	0	34
PCT7025	ED	448	66	0	0	0	18	48	1	1	13	33
PCT7025	MV	448	78	0	0	0	12	66	0	1	9	56
PCT7026	ED	971	90	0	0	0	22	68	0	3	9	56
PCT7026	MV	971	350	0	0	0	69	281	0	20	9	252
PCT7027	ED	845	136	0	0	0	46	90	2	6	8	74
PCT7027	MV	845	271	0	0	1	40	230	0	17	17	196
PCT7028	ED	835	157	0	0	0	37	120	0	3	16	101
PCT7028	MV	835	180	0	0	0	45	135	1	2	11	121
PCT7029	ED	855	115	0	0	0	32	83	0	1	15	67
PCT7029	MV	855	166	0	0	0	30	136	0	8	12	116
PCT7030	ED	729	94	0	0	0	16	78	0	14	8	56
PCT7030	MV	729	277	0	0	0	53	224	1	28	8	187
PCT7031	ED	611	50	0	0	0	14	36	0	1	5	30
PCT7031	MV	611	224	0	0	0	50	174	0	22	12	140
PCT7032	ED	867	126	0	0	0	42	84	1	7	7	69
PCT7032	MV	867	238	0	0	0	45	193	0	20	18	155
PCT7033	ED	765	135	0	0	1	36	98	3	12	9	74
PCT7033	MV	765	181	0	0	0	29	152	0	5	14	133
PCT7034	ED	914	97	0	0	0	27	70	0	1	12	57
PCT7034	MV	914	154	0	0	0	33	121	1	2	14	104
PCT7035	ED	553	73	0	0	0	29	44	0	1	5	38
PCT7035	MV	553	170	0	0	0	34	136	0	11	7	118
PCT7036	ED	898	52	0	0	0	14	38	0	6	6	26
PCT7036	MV	898	265	0	0	0	38	227	0	23	17	187
PCT7037	ED	730	73	0	0	0	31	42	0	0	6	36
PCT7037	MV	730	64	0	0	0	11	53	0	7	5	41
PCT7038	ED	880	84	0	0	0	23	61	1	5	11	44
PCT7038	MV	880	255	0	0	0	44	211	1	11	17	182
PCT7039	ED	768	111	0	0	0	24	87	0	14	10	63
PCT7039	MV	768	225	0	0	0	50	175	4	15	18	138
PCT7041	MV	60	24	0	0	0	6	18	0	3	0	15
PCT7042	ED	632	75	0	0	0	11	64	0	4	5	55
PCT7042	MV	632	191	0	0	0	36	155	1	18	11	125
PCT7043	ED	915	97	0	0	0	36	61	0	3	6	52
PCT7043	MV	915	282	0	0	0	63	219	0	10	17	192
PCT7044	ED	805	86	0	0	0	33	53	2	1	7	43
PCT7044	MV	805	125	0	0	0	29	96	0	10	7	79
PCT7045	ED	763	87	0	0	0	24	63	0	11	6	46
PCT7045	MV	763	282	0	0	0	65	217	0	30	16	171
PCT7046	ED	385	54	0	0	0	13	41	1	4	3	33
PCT7046	MV	385	136	0	0	0	21	115	0	12	6	97
PCT7047	ED	781	68	0	0	0	23	45	0	2	3	40
PCT7047	MV	781	298	0	0	0	48	250	1	27	8	214
PCT7048	ED	815	94	0	0	0	20	74	1	3	10	60
PCT7048	MV	815	248	0	0	0	49	199	0	16	12	171
PCT7049	ED	751	108	0	0	0	27	81	1	9	11	60
PCT7049	MV	751	241	0	0	0	61	180	1	18	8	153
PCT7051	ED	839	70	0	0	0	27	43	0	5	5	33
PCT7051	MV	839	302	0	0	0	60	242	0	41	13	188
PCT7052	ED	806	120	0	0	0	28	92	0	3	5	84
PCT7052	MV	806	278	0	0	0	46	232	0	25	8	199
PCT7053	ED	548	44	0	0	0	9	35	0	4	3	28
PCT7053	MV	548	205	0	0	0	40	165	0	20	7	138
PCT7054	ED	1024	141	0	0	0	37	104	0	5	13	86
PCT7054	MV	1024	275	0	0	0	48	227	0	18	13	196
PCT7055	ED	699	83	0	0	0	17	66	0	5	3	58
PCT7055	MV	699	256	0	0	0	43	213	0	22	9	182
PCT7101	MV	141	83	0	0	0	13	70	0	2	0	68
PCT7201	ED	900	147	0	0	0	31	116	0	11	3	102
PCT7201	MV	900	333	0	0	0	74	259	0	42	4	213
PCT7202	ED	830	138	0	0	0	36	102	0	19	1	82
PCT7202	MV	830	271	0	0	0	54	217	0	50	7	160
PCT7203	ED	867	174	0	0	0	51	123	0	11	6	106
PCT7203	MV	867	243	0	0	0	45	198	1	21	4	172
PCT7204	ED	888	157	0	0	0	47	110	0	12	6	92
PCT7204	MV	888	340	0	0	1	65	274	0	35	9	230
PCT7205	ED	847	183	0	0	0	43	140	0	14	8	118
PCT7205	MV	847	309	0	0	0	67	242	0	39	2	201
PCT7206	ED	375	88	0	0	0	16	72	1	6	3	62
PCT7206	MV	375	124	0	0	1	30	93	0	11	5	77
PCT7207	ED	744	119	0	0	0	31	88	0	10	5	73
PCT7207	MV	744	231	0	0	0	44	187	0	17	6	164
PCT7208	ED	567	76	0	0	0	17	59	0	3	3	53
PCT7208	MV	567	206	0	0	0	36	170	0	28	8	134
PCT7209	ED	586	69	0	0	0	10	59	0	5	1	53
PCT7209	MV	586	326	0	0	1	59	266	0	32	3	231
PCT7301	ED	1002	150	0	0	0	47	103	2	10	7	84
PCT7301	MV	1002	299	0	0	0	54	245	0	42	10	193
PCT7302	ED	806	121	0	0	0	34	87	0	9	3	75
PCT7302	MV	806	352	0	0	0	68	284	0	38	11	235
PCT7303	ED	986	167	0	0	0	44	123	0	15	7	101
PCT7303	MV	986	318	0	0	0	54	264	0	33	13	218
PCT7304	ED	972	203	0	0	0	52	151	0	18	5	128
PCT7304	MV	972	330	0	0	0	63	267	0	25	7	235
PCT7305	ED	851	171	0	0	0	35	136	0	20	6	110
PCT7305	MV	851	306	0	0	0	68	238	0	39	11	188
PCT7306	ED	1014	179	0	0	0	45	134	1	16	8	109
PCT7306	MV	1014	302	0	0	0	56	246	0	27	11	208
PCT7307	ED	726	143	0	0	0	31	112	0	9	8	95
PCT7307	MV	726	226	0	0	0	43	183	0	25	2	156
PCT7308	ED	598	133	0	0	0	28	105	0	11	4	90
PCT7308	MV	598	204	0	0	0	44	160	0	21	4	135
PCT7309	ED	826	160	0	0	0	33	127	0	14	6	107
PCT7309	MV	826	209	0	0	0	42	167	0	26	6	135
PCT7311	ED	901	175	0	0	0	42	133	1	13	4	115
PCT7311	MV	901	266	0	0	0	47	219	0	25	4	190
PCT7312	ED	810	128	0	0	0	31	97	0	13	2	82
PCT7312	MV	810	332	0	0	0	72	260	0	40	11	209
PCT7313	ED	925	135	0	0	0	38	97	0	4	5	88
PCT7313	MV	925	315	0	0	0	66	249	0	33	8	208
PCT7314	ED	760	92	0	0	0	35	57	0	8	1	48
