area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	101:VIVEK VISWANATHAN	102:JACK M. GUERRERO	103:KEVIN AKIN	104:GREG CONLON	105:FIONA MA
ALLPCTS	TO	481991	253583	0	251	33551	219781	480	27433	15384	20926	13496	142062
ALLPCTS	ED	481991	89756	0	58	12949	76749	228	9316	4428	9673	4082	49022
ALLPCTS	MV	481991	163827	0	193	20602	143032	252	18117	10956	11253	9414	93040
PCT1101	ED	544	83	0	0	12	71	0	10	4	6	6	45
PCT1101	MV	544	198	0	1	21	176	0	22	11	7	18	118
PCT1102	ED	964	188	0	1	26	161	0	13	8	25	7	108
PCT1102	MV	964	337	0	1	41	295	0	39	23	21	29	183
PCT1103	ED	914	163	0	0	18	145	1	11	10	18	5	100
PCT1103	MV	914	348	0	1	36	311	0	37	30	20	28	196
PCT1104	ED	953	167	0	0	21	146	0	9	8	22	16	91
PCT1104	MV	953	292	0	1	44	247	1	22	19	23	18	164
PCT1106	ED	740	113	0	0	18	95	0	11	5	6	8	65
PCT1106	MV	740	231	0	0	20	211	1	16	27	14	21	132
PCT1107	ED	721	101	0	0	12	89	0	4	3	7	5	70
PCT1107	MV	721	240	0	0	36	204	2	17	23	15	15	132
PCT1108	ED	882	156	0	1	27	128	2	14	4	12	6	90
PCT1108	MV	882	328	0	0	31	297	0	28	18	19	18	214
PCT1109	ED	758	124	0	0	13	111	0	13	4	16	5	73
PCT1109	MV	758	265	0	0	33	232	0	24	26	17	16	149
PCT1111	ED	938	132	0	0	22	110	0	13	6	19	3	69
PCT1111	MV	938	330	0	0	47	283	1	31	30	13	22	186
PCT1112	ED	702	96	0	0	18	78	1	7	7	7	4	52
PCT1112	MV	702	221	0	1	33	187	1	23	16	9	10	128
PCT1113	ED	701	82	0	0	10	72	1	3	1	10	6	51
PCT1113	MV	701	272	0	1	37	234	1	15	25	28	29	136
PCT1114	ED	915	139	0	0	22	117	1	12	3	19	14	68
PCT1114	MV	915	280	0	0	34	246	1	30	18	28	28	141
PCT1115	ED	835	97	0	0	7	90	1	8	5	12	5	59
PCT1115	MV	835	279	0	1	48	230	0	15	24	25	22	144
PCT1116	ED	842	141	0	0	25	116	0	10	8	12	6	80
PCT1116	MV	842	275	0	2	38	235	1	24	22	19	14	155
PCT1117	ED	827	138	0	0	26	112	0	17	7	10	4	74
PCT1117	MV	827	240	0	1	31	208	1	22	24	14	11	136
PCT1118	ED	974	158	0	1	14	143	2	11	10	21	3	96
PCT1118	MV	974	335	0	3	41	291	1	27	21	25	20	197
PCT1119	ED	745	97	0	0	12	85	2	9	4	14	4	52
PCT1119	MV	745	274	0	0	24	250	1	19	27	10	17	176
PCT1121	ED	653	104	0	0	20	84	0	7	7	4	9	57
PCT1121	MV	653	221	0	0	27	194	0	9	19	14	15	137
PCT1122	ED	607	69	0	0	9	60	1	8	3	3	5	40
PCT1122	MV	607	213	0	0	41	172	0	13	22	18	17	102
PCT1123	ED	876	118	0	0	20	98	1	11	5	8	3	70
PCT1123	MV	876	254	0	0	21	233	3	12	31	10	22	155
PCT1124	ED	773	109	0	1	27	81	1	7	8	7	3	55
PCT1124	MV	773	200	0	0	16	184	0	16	17	14	13	124
PCT1125	ED	987	80	0	0	16	64	1	10	4	10	3	36
PCT1125	MV	987	329	0	0	33	296	1	39	42	13	33	168
PCT1126	ED	900	92	0	0	13	79	1	8	4	7	3	56
PCT1126	MV	900	292	0	0	31	261	3	27	36	10	21	164
PCT1127	ED	875	141	0	0	27	114	2	9	6	14	7	76
PCT1127	MV	875	277	0	1	37	239	0	24	29	13	30	143
