area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	106:DAVE JONES	107:STEVEN C BAILEY	108:XAVIER BECERRA	109:ERIC EARLY
ALL	TO	481991	253583	0	232	36538	216813	503	50085	18297	138471	9457
ALL	ED	481991	89756	0	54	13738	75964	239	19999	5182	47727	2817
ALL	MV	481991	163827	0	178	22800	140849	264	30086	13115	90744	6640
PCT1101	ED	544	83	0	0	16	67	0	15	5	46	1
PCT1101	MV	544	198	0	0	25	173	0	36	18	110	9
PCT1102	ED	964	188	0	0	32	156	0	31	12	106	7
PCT1102	MV	964	337	0	0	40	297	1	58	33	186	19
PCT1103	ED	914	163	0	0	26	137	1	29	12	90	5
PCT1103	MV	914	348	0	0	39	309	1	52	44	186	26
PCT1104	ED	953	167	0	0	33	134	0	32	17	78	7
PCT1104	MV	953	292	0	1	45	246	2	58	30	150	6
PCT1106	ED	740	113	0	0	17	96	0	28	9	54	5
PCT1106	MV	740	231	0	0	25	206	1	53	34	108	10
PCT1107	ED	721	101	0	0	8	93	0	22	9	57	5
PCT1107	MV	721	240	0	0	44	196	1	35	25	127	8
PCT1108	ED	882	156	0	0	38	118	2	37	11	66	2
PCT1108	MV	882	328	0	0	45	283	0	64	23	183	13
PCT1109	ED	758	124	0	0	18	106	0	27	6	65	8
PCT1109	MV	758	265	0	0	35	230	0	51	31	125	23
PCT1111	ED	938	132	0	0	21	111	0	29	7	71	4
PCT1111	MV	938	330	0	0	50	280	2	37	37	185	19
PCT1112	ED	702	96	0	2	17	77	1	21	1	52	2
PCT1112	MV	702	221	0	1	39	181	1	33	12	118	17
PCT1113	ED	701	82	0	0	12	70	0	18	5	46	1
PCT1113	MV	701	272	0	1	51	220	1	37	31	127	24
PCT1114	ED	915	139	0	0	34	105	1	20	10	67	7
PCT1114	MV	915	280	0	0	42	238	0	46	30	148	14
PCT1115	ED	835	97	0	0	10	87	2	21	7	54	3
PCT1115	MV	835	279	0	0	56	223	0	37	43	127	16
PCT1116	ED	842	141	0	0	25	116	0	29	11	73	3
PCT1116	MV	842	275	0	1	52	222	1	36	25	144	16
PCT1117	ED	827	138	0	0	29	109	1	30	9	64	5
PCT1117	MV	827	240	0	1	43	196	1	36	33	118	8
PCT1118	ED	974	158	0	0	26	132	3	37	6	78	8
PCT1118	MV	974	335	0	1	62	272	1	61	29	165	16
PCT1119	ED	745	97	0	0	13	84	1	23	4	55	1
PCT1119	MV	745	274	0	0	36	238	1	45	31	149	12
PCT1121	ED	653	104	0	0	18	86	0	26	15	42	3
PCT1121	MV	653	221	0	0	41	180	0	39	24	101	16
PCT1122	ED	607	69	0	0	11	58	1	8	8	38	3
PCT1122	MV	607	213	0	0	56	157	0	31	28	78	20
PCT1123	ED	876	118	0	0	22	96	2	31	6	53	4
PCT1123	MV	876	254	0	0	35	219	2	40	37	127	13
PCT1124	ED	773	109	0	1	27	81	1	22	4	48	6
PCT1124	MV	773	200	0	0	25	175	0	25	15	119	16
PCT1125	ED	987	80	0	0	11	69	2	18	3	41	5
PCT1125	MV	987	329	0	1	34	294	2	39	38	184	31
PCT1126	ED	900	92	0	0	13	79	0	23	3	51	2
PCT1126	MV	900	292	0	1	43	248	2	43	31	158	14
PCT1127	ED	875	141	0	0	30	111	3	34	8	59	7
PCT1127	MV	875	277	0	1	51	225	0	35	37	131	22
PCT1128	ED	813	104	0	0	21	83	1	15	6	54	7
PCT1128	MV	813	246	0	0	40	206	0	36	29	120	21
PCT1129	ED	924	120	0	0	22	98	1	25	10	56	6
PCT1129	MV	924	274	0	0	29	245	0	37	41	155	12
PCT1131	ED	783	85	0	0	12	73	0	12	11	46	4
PCT1131	MV	783	288	0	0	45	243	1	38	39	146	19
PCT1132	ED	910	112	0	0	23	89	0	23	4	60	2
PCT1132	MV	910	324	0	1	68	255	0	50	38	143	24
PCT1133	ED	826	99	0	0	16	83	1	17	8	52	5
PCT1133	MV	826	292	0	0	47	245	5	43	30	152	15
PCT1134	ED	727	126	0	0	22	104	1	19	5	76	3
PCT1134	MV	727	241	0	0	56	185	0	24	19	124	18
PCT1135	ED	511	71	0	0	10	61	0	19	3	38	1
PCT1135	MV	511	217	0	0	41	176	2	40	15	104	15
PCT1136	ED	807	97	0	0	19	78	1	19	11	43	4
PCT1136	MV	807	287	0	1	55	231	1	53	47	119	11
PCT1141	ED	998	149	0	0	16	133	0	39	11	74	9
PCT1141	MV	998	368	0	0	42	326	0	80	28	200	18
PCT1142	ED	822	120	0	0	20	100	1	25	9	61	4
PCT1142	MV	822	266	0	0	27	239	0	49	30	150	10
PCT1143	ED	989	147	0	0	23	124	1	27	7	86	3
PCT1143	MV	989	311	0	1	63	247	3	45	40	145	14
PCT1144	ED	870	148	0	1	21	126	1	35	9	77	4
PCT1144	MV	870	264	0	0	35	229	0	60	38	115	16
PCT1145	ED	879	136	0	1	23	112	0	31	9	70	2
PCT1145	MV	879	370	0	0	41	329	0	86	35	190	18
PCT1146	ED	971	124	0	1	21	102	1	28	8	63	2
PCT1146	MV	971	326	0	2	47	277	0	78	26	159	14
PCT1147	ED	853	166	0	0	32	134	1	42	10	77	4
PCT1147	MV	853	279	0	2	44	233	0	51	35	135	12
PCT1148	ED	918	121	0	0	26	95	0	24	7	57	7
PCT1148	MV	918	314	0	0	61	253	0	54	48	133	18
PCT1149	ED	873	148	0	0	26	122	0	44	7	65	6
PCT1149	MV	873	285	0	0	32	253	1	60	39	143	10
PCT1152	ED	838	125	0	0	25	100	1	29	14	49	7
PCT1152	MV	838	286	0	0	34	252	1	55	35	148	13
PCT1153	ED	909	139	0	1	26	112	0	29	10	64	9
PCT1153	MV	909	306	0	1	42	263	0	62	40	149	12
PCT7001	ED	735	119	0	0	16	103	1	31	4	66	1
