area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	114:MARK BURNS	115:CATHLEEN GALGIANI	116:BARRY CHANG	117:MALIA COHEN
ALL	TO	481991	253583	246	358	56380	196599	1782	24445	38518	22778	109076
ALL	ED	481991	89756	-68	85	21635	68104	833	7168	14338	6010	39755
ALL	MV	481991	163827	314	273	34745	128495	949	17277	24180	16768	69321
PCT1101	ED	544	83	0	0	14	69	0	9	11	9	40
PCT1101	MV	544	198	0	0	29	169	0	23	23	38	85
PCT1102	ED	964	188	-2	0	41	149	1	14	26	11	97
PCT1102	MV	964	337	1	0	61	275	2	41	58	28	146
PCT1103	ED	914	163	0	1	26	136	6	17	23	12	78
PCT1103	MV	914	348	1	1	46	300	2	61	30	50	157
PCT1104	ED	953	167	0	1	29	137	0	29	22	10	76
PCT1104	MV	953	292	0	1	52	239	4	30	31	43	131
PCT1106	ED	740	113	0	0	13	100	0	11	14	10	65
PCT1106	MV	740	231	0	0	37	194	0	41	18	41	94
PCT1107	ED	721	101	0	0	13	88	2	7	12	9	58
PCT1107	MV	721	240	5	0	37	198	1	33	25	28	111
PCT1108	ED	882	156	-1	0	35	122	2	9	12	14	85
PCT1108	MV	882	328	3	0	39	286	1	25	58	46	156
PCT1109	ED	758	124	0	0	18	106	1	10	18	14	63
PCT1109	MV	758	265	0	0	46	219	0	36	39	49	95
PCT1111	ED	938	132	-1	0	26	107	2	8	13	16	68
PCT1111	MV	938	330	3	1	55	271	3	49	42	58	119
PCT1112	ED	702	96	0	1	15	80	2	6	9	15	48
PCT1112	MV	702	221	1	0	39	181	1	24	17	50	89
PCT1113	ED	701	82	0	0	25	57	3	7	7	7	33
PCT1113	MV	701	272	2	1	51	218	0	31	30	64	93
PCT1114	ED	915	139	0	0	34	105	1	13	24	13	54
PCT1114	MV	915	280	0	0	44	236	2	43	35	53	103
PCT1115	ED	835	97	-1	0	16	82	2	6	12	12	50
PCT1115	MV	835	279	1	1	47	230	0	42	30	48	110
PCT1116	ED	842	141	0	0	23	118	1	11	21	5	80
PCT1116	MV	842	275	1	1	41	232	1	31	26	48	126
PCT1117	ED	827	138	-3	0	21	120	1	10	13	8	88
PCT1117	MV	827	240	1	0	33	206	1	29	28	33	115
PCT1118	ED	974	158	0	0	21	137	4	13	21	9	90
PCT1118	MV	974	335	0	1	53	281	2	40	38	45	156
PCT1119	ED	745	97	0	0	21	76	1	6	16	2	51
PCT1119	MV	745	274	0	1	36	237	1	40	39	27	130
PCT1121	ED	653	104	-1	0	17	88	0	16	19	12	41
PCT1121	MV	653	221	2	0	42	177	0	30	41	37	69
PCT1122	ED	607	69	0	0	10	59	1	7	9	11	31
PCT1122	MV	607	213	0	1	54	158	2	41	15	42	58
PCT1123	ED	876	118	0	0	14	104	4	9	13	5	73
PCT1123	MV	876	254	1	1	28	224	1	32	23	50	118
PCT1124	ED	773	109	0	0	24	85	3	10	13	6	53
PCT1124	MV	773	200	-1	1	26	174	1	19	23	42	89
PCT1125	ED	987	80	-1	0	24	57	3	6	12	7	29
PCT1125	MV	987	329	-1	2	41	287	3	51	47	55	131
PCT1126	ED	900	92	-2	0	19	75	3	3	14	11	44
PCT1126	MV	900	292	1	0	37	254	1	35	34	73	111
PCT1127	ED	875	141	-1	1	18	123	3	14	32	18	56
PCT1127	MV	875	277	1	1	40	235	1	48	50	40	96
PCT1128	ED	813	104	0	0	17	87	1	16	9	12	49
PCT1128	MV	813	246	0	0	31	215	2	43	34	50	86
PCT1129	ED	924	120	0	0	21	99	3	12	12	23	49
PCT1129	MV	924	274	2	0	30	242	2	43	41	41	115
PCT1131	ED	783	85	0	0	13	72	2	12	14	10	34
PCT1131	MV	783	288	1	3	37	247	1	45	55	60	86
PCT1132	ED	910	112	0	0	22	90	2	5	24	7	52
PCT1132	MV	910	324	0	0	52	272	0	51	45	66	110
PCT1133	ED	826	99	0	0	23	76	1	10	15	6	44
PCT1133	MV	826	292	-2	0	53	241	4	36	55	48	98
PCT1134	ED	727	126	0	0	25	101	2	8	21	16	54
PCT1134	MV	727	241	0	0	46	195	1	28	37	50	79
PCT1135	ED	511	71	0	0	18	53	1	4	15	4	29
PCT1135	MV	511	217	0	0	37	180	0	30	42	25	83
PCT1136	ED	807	97	0	0	17	80	1	10	16	11	42
PCT1136	MV	807	287	1	0	40	246	0	47	49	49	101
PCT1141	ED	998	149	0	0	26	123	1	15	21	14	72
PCT1141	MV	998	368	0	1	49	318	3	39	59	59	158
PCT1142	ED	822	120	0	0	19	101	0	7	21	17	56
PCT1142	MV	822	266	1	0	47	218	0	34	37	40	107
PCT1143	ED	989	147	-1	0	30	118	2	11	22	9	74
PCT1143	MV	989	311	0	2	66	243	3	39	45	40	116
PCT1144	ED	870	148	-1	1	25	123	1	12	32	9	69
PCT1144	MV	870	264	-2	0	46	220	5	46	46	38	85
PCT1145	ED	879	136	1	0	22	113	1	11	26	8	67
PCT1145	MV	879	370	0	0	70	300	2	30	56	53	159
PCT1146	ED	971	124	1	0	19	104	3	10	23	12	56
PCT1146	MV	971	326	0	3	42	281	1	28	67	64	121
PCT1147	ED	853	166	1	0	40	125	3	16	14	9	83
PCT1147	MV	853	279	-1	1	52	227	1	33	49	47	97
PCT1148	ED	918	121	0	0	22	99	0	17	24	9	49
PCT1148	MV	918	314	1	0	47	266	0	42	54	75	95
PCT1149	ED	873	148	-2	0	28	122	1	16	23	13	69
PCT1149	MV	873	285	0	3	39	243	1	38	63	37	104
PCT1152	ED	838	125	-1	0	24	102	2	18	24	8	50
PCT1152	MV	838	286	1	1	40	244	2	31	48	67	96
PCT1153	ED	909	139	0	0	26	113	0	21	30	13	49
PCT1153	MV	909	306	0	1	38	267	2	44	60	49	112
PCT7001	ED	735	119	-2	0	38	83	0	3	18	2	60
PCT7001	MV	735	266	6	1	66	193	1	15	33	15	129
PCT7002	ED	641	132	1	0	28	103	0	5	29	8	61
PCT7002	MV	641	173	0	0	28	145	2	15	37	9	82
PCT7003	ED	864	188	-1	0	42	147	1	7	39	9	91
PCT7003	MV	864	340	1	0	79	260	4	30	63	13	150
PCT7004	ED	835	175	-1	0	47	129	0	12	35	12	70
PCT7004	MV	835	306	6	1	73	226	1	26	47	17	135
PCT7005	ED	812	180	-1	0	44	137	1	5	42	9	80
PCT7005	MV	812	295	2	0	66	227	3	19	64	10	131
PCT7006	ED	884	213	-1	0	65	149	0	9	30	14	96
PCT7006	MV	884	290	1	1	73	215	6	15	47	15	132
PCT7007	ED	916	233	-4	0	37	200	2	8	53	13	124
PCT7007	MV	916	323	2	0	82	239	6	15	72	13	133
PCT7008	ED	861	187	0	0	48	139	1	13	43	7	75
PCT7008	MV	861	345	0	0	86	259	2	24	63	14	156
PCT7009	ED	864	133	-1	0	30	104	2	6	27	12	57
PCT7009	MV	864	312	-2	0	59	255	0	13	72	26	144
PCT7011	ED	976	141	0	0	37	104	1	4	27	6	66
PCT7011	MV	976	205	1	0	47	157	1	10	43	15	88
PCT7012	ED	1061	224	0	0	43	181	1	22	49	12	97
PCT7012	MV	1061	383	0	0	95	288	4	26	67	28	163
PCT7013	ED	805	132	0	0	33	99	3	3	28	4	61
PCT7013	MV	805	251	2	1	48	200	1	15	51	16	117
PCT7014	ED	1213	188	-2	1	38	151	3	8	42	4	94
PCT7014	MV	1213	434	-1	0	72	363	4	25	63	26	245
PCT7015	MV	93	34	0	0	6	28	1	2	8	2	15
PCT7016	ED	891	112	2	0	19	91	1	5	16	13	56
PCT7016	MV	891	221	2	0	42	177	1	13	33	49	81
PCT7017	ED	734	79	0	1	19	59	0	2	13	1	43
PCT7017	MV	734	167	1	0	19	147	0	5	27	15	100
PCT7018	ED	908	88	-1	0	13	76	0	10	12	9	45
PCT7018	MV	908	343	5	3	41	294	1	34	45	78	136
PCT7019	ED	864	111	2	0	13	96	0	4	19	6	67
PCT7019	MV	864	349	-1	1	36	313	0	38	57	54	164
PCT7021	ED	927	129	0	0	24	105	3	6	27	6	63
PCT7021	MV	927	220	-1	0	32	189	1	16	45	27	100
PCT7022	ED	923	164	-1	3	20	142	0	9	22	6	105
PCT7022	MV	923	270	2	0	34	234	0	16	35	36	147
PCT7023	ED	906	131	-1	0	19	113	0	8	21	6	78
PCT7023	MV	906	301	-3	1	36	267	3	21	41	32	170
PCT7024	ED	386	30	0	0	0	30	0	0	4	2	24
PCT7024	MV	386	47	1	0	2	44	0	5	6	11	22
PCT7025	ED	448	66	1	0	6	59	0	7	9	5	38
PCT7025	MV	448	78	2	0	11	65	2	4	12	7	40
PCT7026	ED	971	90	-1	0	12	79	0	3	20	13	43
PCT7026	MV	971	350	8	1	51	290	2	32	42	105	109
PCT7027	ED	845	136	2	0	21	113	3	6	22	6	76
PCT7027	MV	845	271	2	0	35	234	0	27	50	50	107
PCT7028	ED	835	157	-1	0	19	139	0	5	19	6	109
PCT7028	MV	835	180	0	0	23	157	3	4	28	27	95
PCT7029	ED	855	115	1	0	12	102	0	3	14	8	77
PCT7029	MV	855	166	2	1	16	147	2	8	17	23	97
PCT7030	ED	729	94	0	0	12	82	0	15	12	21	34
PCT7030	MV	729	277	0	1	38	238	1	49	30	68	90
PCT7031	ED	611	50	0	0	7	43	0	3	6	5	29
PCT7031	MV	611	224	0	0	28	196	1	27	32	45	91
PCT7032	ED	867	126	-2	0	21	107	0	14	19	8	66
PCT7032	MV	867	238	1	2	32	203	0	22	34	37	110
PCT7033	ED	765	135	0	1	15	119	3	12	15	12	77
PCT7033	MV	765	181	0	0	25	156	0	11	31	15	99
PCT7034	ED	914	97	0	2	14	81	0	6	12	5	58
PCT7034	MV	914	154	-1	0	17	138	0	4	23	11	100
PCT7035	ED	553	73	-1	0	15	59	0	6	11	2	40
PCT7035	MV	553	170	1	1	18	150	0	19	12	8	111
PCT7036	ED	898	52	0	0	6	46	0	8	7	5	26
PCT7036	MV	898	265	0	1	22	242	1	38	40	57	106
PCT7037	ED	730	73	0	0	14	59	0	5	6	5	43
PCT7037	MV	730	64	1	0	5	58	0	11	7	8	32
PCT7038	ED	880	84	0	0	11	73	1	14	13	4	41
PCT7038	MV	880	255	0	1	44	210	1	24	47	53	85
PCT7039	ED	768	111	0	0	10	101	0	19	14	12	56
PCT7039	MV	768	225	3	0	37	185	0	35	25	53	72
PCT7041	MV	60	24	1	0	3	20	0	3	1	5	11
PCT7042	ED	632	75	0	0	11	64	3	6	11	8	36
PCT7042	MV	632	191	0	0	26	165	1	19	29	35	81
PCT7043	ED	915	97	0	0	16	81	0	4	9	4	64
PCT7043	MV	915	282	0	1	38	243	0	15	46	55	127
PCT7044	ED	805	86	-1	0	14	73	1	2	5	7	58
PCT7044	MV	805	125	-1	0	19	107	0	19	17	16	55
PCT7045	ED	763	87	0	0	17	70	0	13	9	8	40
PCT7045	MV	763	282	1	0	58	223	2	35	31	88	67
PCT7046	ED	385	54	0	0	8	46	0	5	4	5	32
PCT7046	MV	385	136	-1	0	18	119	0	19	21	22	57
PCT7047	ED	781	68	-1	1	12	56	0	3	9	6	38
PCT7047	MV	781	298	2	4	36	256	1	36	44	71	104
PCT7048	ED	815	94	0	0	8	86	1	4	13	8	60
PCT7048	MV	815	248	1	0	29	218	4	24	36	50	104
PCT7049	ED	751	108	0	0	17	91	1	11	16	25	38
PCT7049	MV	751	241	0	1	40	200	0	41	26	57	76
PCT7051	ED	839	70	-1	0	10	61	2	6	10	9	34
PCT7051	MV	839	302	2	1	36	263	0	51	39	93	80
PCT7052	ED	806	120	-1	0	17	104	1	10	21	15	57
PCT7052	MV	806	278	1	0	33	244	0	34	30	71	109
PCT7053	ED	548	44	0	0	5	39	0	2	2	6	29
PCT7053	MV	548	205	3	0	29	173	3	20	28	32	90
PCT7054	ED	1024	141	0	1	17	123	2	6	12	11	92
PCT7054	MV	1024	275	1	0	31	243	6	17	47	34	139
PCT7055	ED	699	83	-1	0	27	57	1	6	8	6	36
PCT7055	MV	699	256	2	0	44	210	1	19	29	62	99
PCT7101	MV	141	83	0	1	24	58	0	3	20	4	31
PCT7201	ED	900	147	0	0	40	107	1	18	24	4	60
PCT7201	MV	900	333	0	0	73	260	2	54	60	15	129
PCT7202	ED	830	138	-1	0	36	103	2	21	26	10	44
PCT7202	MV	830	271	-2	2	51	220	0	58	56	12	94
PCT7203	ED	867	174	0	0	57	117	0	13	31	8	65
PCT7203	MV	867	243	1	0	58	184	0	26	41	9	108
PCT7204	ED	888	157	0	0	45	112	0	15	30	7	60
PCT7204	MV	888	340	2	2	81	255	6	40	70	9	130
PCT7205	ED	847	183	0	0	46	137	0	21	38	5	73
PCT7205	MV	847	309	0	1	68	240	0	49	69	7	115
PCT7206	ED	375	88	0	0	22	66	1	4	26	1	34
PCT7206	MV	375	124	1	0	26	97	1	12	28	6	50
PCT7207	ED	744	119	0	0	37	82	3	14	20	5	40
PCT7207	MV	744	231	2	0	48	181	2	25	35	12	107
PCT7208	ED	567	76	0	0	21	55	0	6	15	2	32
PCT7208	MV	567	206	1	0	39	166	3	26	48	19	70
PCT7209	ED	586	69	0	0	12	57	0	7	11	7	32
PCT7209	MV	586	326	3	0	69	254	3	40	55	23	133
PCT7301	ED	1002	150	0	0	28	122	1	10	36	18	57
PCT7301	MV	1002	299	3	0	63	233	0	41	48	51	93
PCT7302	ED	806	121	0	0	38	83	0	11	22	12	38
PCT7302	MV	806	352	0	0	63	289	1	52	59	53	124
PCT7303	ED	986	167	-1	0	42	126	1	15	31	10	69
PCT7303	MV	986	318	1	2	75	240	3	32	49	45	111
PCT7304	ED	972	203	1	1	55	146	1	16	39	4	86
PCT7304	MV	972	330	0	1	84	245	2	35	53	31	124
PCT7305	ED	851	171	0	0	42	129	0	24	46	8	51
PCT7305	MV	851	306	-1	2	65	240	5	42	40	17	136
PCT7306	ED	1014	179	0	0	53	126	4	15	29	20	58
PCT7306	MV	1014	302	-2	1	81	222	1	32	37	42	110
PCT7307	ED	726	143	0	0	26	117	0	11	32	17	57
PCT7307	MV	726	226	2	0	53	171	0	25	39	24	83
PCT7308	ED	598	133	0	1	34	98	0	17	23	7	51
PCT7308	MV	598	204	-1	0	49	156	0	24	32	11	89
PCT7309	ED	826	160	-2	1	43	118	1	14	27	10	66
PCT7309	MV	826	209	0	0	50	159	1	27	39	5	87
PCT7311	ED	901	175	-1	0	56	120	1	18	38	2	61
PCT7311	MV	901	266	0	0	65	201	0	24	35	24	118
PCT7312	ED	810	128	0	0	34	94	0	18	22	9	45
PCT7312	MV	810	332	3	1	85	243	2	43	53	33	112
PCT7313	ED	925	135	0	0	45	90	0	4	30	9	47
PCT7313	MV	925	315	-1	0	70	246	1	39	42	38	126
PCT7314	ED	760	92	0	1	28	63	0	9	12	12	30
PCT7314	MV	760	213	-1	0	45	169	1	13	33	65	57
PCT7315	ED	725	119	0	0	28	91	1	7	21	16	46
PCT7315	MV	725	178	1	0	29	148	1	19	37	35	56
PCT7316	ED	824	122	0	0	28	94	0	13	29	7	45
PCT7316	MV	824	266	0	0	61	205	2	20	49	45	89
PCT7317	ED	886	117	0	0	25	92	0	11	24	10	47
PCT7317	MV	886	340	2	2	64	272	0	48	66	33	125
PCT7318	ED	709	123	0	0	39	84	0	8	22	10	44
PCT7318	MV	709	243	-2	2	44	199	3	19	37	66	74
PCT7319	ED	1035	182	0	1	43	138	1	18	41	11	67
PCT7319	MV	1035	296	0	0	72	224	2	48	41	30	103
PCT7321	ED	644	100	0	1	29	70	1	5	21	19	24
PCT7321	MV	644	211	0	0	34	177	0	33	46	45	53
PCT7322	ED	859	60	0	0	19	41	0	3	6	11	21
PCT7322	MV	859	304	-1	0	77	228	0	13	40	116	59
PCT7323	ED	881	146	1	2	34	109	1	13	15	17	63
PCT7323	MV	881	273	0	1	65	207	2	31	39	37	98
PCT7324	ED	687	125	0	0	38	87	2	15	18	10	42
PCT7324	MV	687	198	0	0	57	141	2	12	26	43	58
PCT7325	ED	870	150	0	0	42	108	0	14	27	11	56
PCT7325	MV	870	276	0	1	81	194	2	22	36	45	89
PCT7326	ED	853	150	1	0	38	111	1	10	26	25	49
PCT7326	MV	853	256	-1	0	59	198	0	25	39	52	82
PCT7327	ED	684	62	0	0	17	45	0	6	12	13	14
PCT7327	MV	684	277	1	0	44	232	0	28	47	115	42
PCT7328	ED	950	70	0	0	17	53	0	7	13	14	19
PCT7328	MV	950	391	0	1	93	297	1	35	69	115	77
PCT7329	ED	610	71	-1	0	13	59	1	16	15	2	25
PCT7329	MV	610	205	-2	0	35	172	0	46	27	32	67
PCT7331	ED	860	130	0	0	23	107	0	33	15	5	54
PCT7331	MV	860	357	-1	2	71	285	0	62	55	21	147
PCT7332	ED	799	154	0	0	34	120	1	6	41	12	60
PCT7332	MV	799	209	0	0	38	171	3	23	35	32	78
PCT7333	ED	974	174	1	0	43	130	1	13	31	18	67
PCT7333	MV	974	323	0	0	88	235	3	35	44	43	110
PCT7334	ED	854	113	0	0	42	71	0	10	17	9	35
PCT7334	MV	854	275	-2	0	60	217	2	27	46	33	109
PCT7335	ED	936	144	0	0	43	101	1	8	32	6	54
PCT7335	MV	936	354	-2	1	73	282	1	51	66	23	141
PCT7336	ED	920	155	2	0	38	115	1	10	37	6	61
PCT7336	MV	920	324	0	0	73	251	0	57	60	17	117
PCT7337	ED	825	115	0	0	35	80	0	13	12	17	38
PCT7337	MV	825	305	0	1	72	232	1	51	37	35	108
PCT7338	ED	884	100	1	0	25	74	0	6	18	15	35
PCT7338	MV	884	364	-3	0	83	284	2	37	62	101	82
PCT7339	ED	618	111	-1	0	32	80	1	10	22	6	41
PCT7339	MV	618	181	1	1	34	145	1	10	30	34	70
PCT7341	ED	877	124	0	1	33	90	2	7	28	8	45
PCT7341	MV	877	246	-2	0	42	206	0	21	42	25	118
PCT7342	ED	911	234	3	0	57	174	2	23	48	17	84
PCT7342	MV	911	251	0	0	64	187	0	19	39	13	116
PCT7343	ED	707	144	0	0	45	99	0	5	27	9	58
PCT7343	MV	707	186	3	0	43	140	0	18	28	13	81
PCT7344	ED	1039	179	-1	0	40	140	1	18	41	12	68
PCT7344	MV	1039	334	-1	0	62	273	2	26	70	30	145
PCT7345	ED	1077	183	0	0	37	146	2	11	44	14	75
PCT7345	MV	1077	283	2	0	65	216	2	21	45	10	138
PCT7346	ED	877	168	1	0	43	124	1	12	30	12	69
PCT7346	MV	877	221	-1	1	54	167	1	17	38	17	94
PCT7347	ED	968	137	0	0	27	110	2	5	35	7	61
PCT7347	MV	968	279	0	0	46	233	2	13	54	22	142
PCT7348	ED	832	139	-1	0	27	113	2	13	30	15	53
PCT7348	MV	832	202	1	0	40	161	1	22	32	13	93
PCT7349	ED	921	147	-1	1	32	115	1	13	30	11	60
PCT7349	MV	921	282	0	1	58	223	1	34	49	34	105
PCT7501	ED	554	118	-1	0	38	81	0	8	23	5	45
PCT7501	MV	554	168	0	0	55	113	1	23	23	6	60
PCT7502	ED	741	113	1	0	33	79	1	8	14	8	48
PCT7502	MV	741	349	-4	0	88	265	5	35	72	21	132
PCT7503	ED	727	132	1	0	33	98	1	8	30	6	53
PCT7503	MV	727	226	2	1	59	164	1	26	38	7	92
PCT7504	ED	484	76	0	0	16	60	0	5	15	7	33
PCT7504	MV	484	158	1	0	36	121	2	11	25	18	65
PCT7505	ED	871	131	0	1	29	101	0	9	21	14	57
PCT7505	MV	871	417	1	1	93	322	4	32	99	29	158
PCT7506	ED	920	133	1	0	30	102	1	9	19	10	63
PCT7506	MV	920	252	2	0	45	205	0	19	41	18	127
PCT7507	ED	919	158	-1	1	35	123	3	7	21	14	78
PCT7507	MV	919	255	4	0	44	207	0	14	44	31	118
PCT7508	ED	702	106	0	1	27	78	2	9	22	13	32
PCT7508	MV	702	340	0	0	73	267	0	24	62	46	135
PCT7509	ED	909	171	-2	0	31	142	2	13	49	9	69
PCT7509	MV	909	319	0	0	62	257	4	19	60	29	145
PCT7512	ED	604	96	2	1	23	70	1	9	17	7	36
PCT7512	MV	604	196	2	2	38	154	0	34	37	8	75
PCT7513	ED	790	142	0	1	34	107	1	7	19	10	70
PCT7513	MV	790	208	0	6	38	164	0	25	21	19	99
PCT7514	ED	863	95	-2	0	18	79	0	5	14	13	47
PCT7514	MV	863	235	2	1	34	198	0	19	24	35	120
PCT7515	ED	845	150	0	0	35	115	0	7	24	10	74
PCT7515	MV	845	289	3	1	62	223	1	20	41	34	127
PCT7516	ED	886	145	0	0	33	112	1	12	21	7	71
PCT7516	MV	886	378	0	0	58	320	1	35	73	44	167
PCT7517	ED	863	228	-1	0	60	169	4	9	38	11	107
PCT7517	MV	863	251	0	0	70	181	2	6	40	9	124
PCT7518	ED	939	235	0	0	57	178	2	8	39	11	118
PCT7518	MV	939	298	0	0	95	203	2	11	45	12	133
PCT7519	ED	726	179	0	0	56	123	2	5	29	8	79
PCT7519	MV	726	185	1	0	54	130	0	8	35	3	84
PCT7521	ED	802	211	0	0	58	153	1	7	34	11	100
PCT7521	MV	802	215	-1	0	72	144	2	4	32	7	99
PCT7522	ED	743	175	-1	0	46	130	0	7	29	12	82
PCT7522	MV	743	240	-2	0	79	163	1	5	29	5	123
PCT7523	ED	737	208	0	0	58	150	3	5	37	15	90
PCT7523	MV	737	223	-2	0	51	174	2	12	40	3	117
PCT7524	ED	646	143	2	0	38	103	3	6	27	7	60
PCT7524	MV	646	165	1	0	31	133	1	8	31	10	83
PCT7525	ED	779	145	-3	0	45	103	2	1	25	6	69
PCT7525	MV	779	214	4	2	50	158	2	7	29	5	115
PCT7526	ED	947	197	1	0	45	151	5	8	35	8	95
PCT7526	MV	947	313	2	0	86	225	4	15	49	16	141
PCT7527	ED	729	162	0	1	51	110	2	9	22	13	64
PCT7527	MV	729	237	4	2	57	174	1	18	42	20	93
PCT7529	ED	925	214	-1	0	72	143	4	3	38	7	91
PCT7529	MV	925	300	2	1	78	219	2	13	48	7	149
PCT7531	ED	847	179	0	0	51	128	0	2	31	5	90
PCT7531	MV	847	263	0	0	75	188	1	8	42	8	129
PCT7532	ED	823	172	1	0	44	127	3	8	33	8	75
PCT7532	MV	823	226	0	1	60	165	3	19	33	11	99
PCT7533	ED	951	268	-1	0	65	204	5	14	60	10	115
PCT7533	MV	951	297	0	0	80	217	8	26	52	12	119
PCT7534	ED	883	241	0	0	71	170	4	4	45	12	105
PCT7534	MV	883	240	-1	0	61	180	2	14	37	8	119
PCT7535	ED	743	201	0	0	60	141	3	8	39	10	81
PCT7535	MV	743	251	0	0	70	181	4	5	35	13	124
PCT7536	ED	856	206	-1	1	72	134	0	5	38	9	82
PCT7536	MV	856	279	0	0	73	206	2	10	39	16	139
PCT7537	ED	734	187	0	0	57	130	1	8	24	7	90
PCT7537	MV	734	225	1	0	65	159	3	3	26	8	119
PCT7538	ED	757	223	0	0	69	154	3	4	42	12	93
PCT7538	MV	757	256	0	0	64	192	1	5	31	9	146
PCT7539	ED	884	250	1	0	75	174	1	9	43	8	113
PCT7539	MV	884	286	-1	2	73	212	5	9	46	13	139
PCT7541	ED	791	215	1	0	71	143	2	7	43	8	83
PCT7541	MV	791	245	1	0	61	183	1	6	51	11	114
PCT7542	ED	787	183	0	0	54	129	3	5	25	7	89
PCT7542	MV	787	247	1	1	62	183	1	7	27	16	132
PCT7543	ED	910	187	-2	0	58	131	4	6	30	7	84
PCT7543	MV	910	332	0	2	83	247	2	11	38	18	178
PCT7544	ED	877	186	0	0	51	135	3	12	28	8	84
PCT7544	MV	877	331	-3	0	89	245	2	11	56	13	163
PCT7545	ED	877	179	-1	0	43	137	0	9	38	9	81
PCT7545	MV	877	291	0	0	70	221	3	23	42	16	137
PCT7546	ED	913	219	0	0	62	157	3	7	43	3	101
PCT7546	MV	913	310	1	0	80	229	2	16	58	14	139
PCT7547	ED	987	244	-2	0	91	155	2	4	49	9	91
PCT7547	MV	987	322	5	0	99	218	4	9	45	7	153
PCT7548	ED	1054	236	1	0	70	165	4	7	34	12	108
PCT7548	MV	1054	345	4	1	75	265	4	18	47	14	182
PCT7549	ED	785	165	-2	0	53	114	0	5	26	13	70
PCT7549	MV	785	281	1	0	70	210	4	16	43	18	129
PCT7551	ED	705	199	-1	0	60	140	0	8	42	12	78
PCT7551	MV	705	240	2	0	71	167	1	7	26	9	124
PCT7552	ED	718	191	0	0	55	136	4	4	35	3	90
PCT7552	MV	718	232	0	0	67	165	3	15	29	5	113
PCT7553	MV	171	87	2	0	15	70	0	4	18	3	45
PCT7554	ED	785	179	-1	0	63	117	2	10	27	5	73
PCT7554	MV	785	323	0	0	96	227	4	24	46	7	146
PCT7555	ED	847	242	0	0	56	186	2	10	44	8	122
PCT7555	MV	847	304	1	0	89	214	3	12	51	10	138
PCT7556	ED	961	223	-3	0	70	156	0	19	34	10	93
PCT7556	MV	961	422	1	0	114	307	0	27	60	20	200
PCT7601	ED	744	128	-1	1	26	102	2	18	27	9	46
PCT7601	MV	744	185	3	1	35	146	2	20	25	26	73
PCT7602	ED	880	147	-3	0	30	120	1	11	27	17	64
PCT7602	MV	880	243	3	2	52	186	1	13	49	22	101
PCT7603	ED	826	152	1	0	45	106	1	4	29	7	65
PCT7603	MV	826	215	0	0	47	168	2	16	35	22	93
PCT7604	ED	906	133	0	0	30	103	2	16	24	11	50
PCT7604	MV	906	233	-2	0	41	194	2	20	39	21	112
PCT7605	ED	651	77	0	0	17	60	0	4	14	9	33
PCT7605	MV	651	155	3	1	28	123	2	13	35	18	55
