area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	158:JACKIE SPEIER	16502:CRISTINA OSMEÃA
ALLPCTS	TO	55344	28223	31	12	2822	25358	97	20829	4432
ALLPCTS	ED	55344	8950	-19	5	1046	7918	40	6699	1179
ALLPCTS	MV	55344	19273	50	7	1776	17440	57	14130	3253
PCT1101	ED	544	83	0	0	7	76	0	67	9
PCT1101	MV	544	198	0	0	17	181	0	154	27
PCT1102	ED	964	188	-2	0	16	174	0	157	17
PCT1102	MV	964	337	1	0	27	309	2	248	59
PCT1103	ED	914	163	0	0	25	138	3	120	15
PCT1103	MV	914	348	1	0	32	315	4	246	65
PCT1104	ED	953	167	0	0	19	148	0	116	32
PCT1104	MV	953	292	0	0	36	256	3	213	40
PCT1106	ED	740	113	0	0	13	100	0	86	14
PCT1106	MV	740	231	0	0	15	216	0	166	50
PCT1107	ED	721	101	0	0	7	94	1	83	10
PCT1107	MV	721	240	5	0	18	217	1	182	34
PCT1108	ED	882	156	-1	0	24	133	0	121	12
PCT1108	MV	882	328	3	0	23	302	0	271	31
PCT1109	ED	758	124	0	0	16	108	0	98	10
PCT1109	MV	758	265	0	0	30	235	2	187	46
PCT1111	ED	938	132	-1	0	17	116	0	107	9
PCT1111	MV	938	330	3	1	47	279	2	217	60
PCT1112	ED	702	96	0	1	17	78	0	70	8
PCT1112	MV	702	221	1	0	37	183	1	157	25
PCT1113	ED	701	82	0	0	9	73	0	64	9
PCT1113	MV	701	272	2	1	41	228	1	167	60
PCT1114	ED	915	139	0	0	27	112	1	92	19
PCT1114	MV	915	280	0	2	23	255	0	202	53
PCT1115	ED	835	97	-1	0	12	86	1	77	8
PCT1115	MV	835	279	1	0	41	237	0	177	60
PCT1116	ED	842	141	0	0	22	119	1	108	10
PCT1116	MV	842	275	1	0	44	230	1	187	42
PCT1117	ED	827	138	-3	0	24	117	0	99	18
PCT1117	MV	827	240	1	0	20	219	1	183	35
PCT1118	ED	974	158	0	0	15	143	1	128	14
PCT1118	MV	974	335	0	0	33	302	0	248	54
PCT1119	ED	745	97	0	0	15	82	1	74	7
PCT1119	MV	745	274	0	0	21	253	1	202	50
PCT1121	ED	653	104	-1	0	13	92	0	70	22
PCT1121	MV	653	221	2	0	33	186	1	139	46
PCT1122	ED	607	69	0	0	5	64	2	54	8
PCT1122	MV	607	213	0	0	39	174	1	131	42
PCT1123	ED	876	118	0	0	14	104	1	92	11
PCT1123	MV	876	254	1	0	20	233	0	176	57
PCT1124	ED	773	109	0	0	19	90	0	81	9
PCT1124	MV	773	200	-1	0	19	182	2	155	25
PCT1125	ED	987	80	-1	0	15	66	1	53	12
PCT1125	MV	987	329	-1	1	42	287	1	216	70
PCT1126	ED	900	92	-2	0	13	81	4	68	9
PCT1126	MV	900	292	1	0	28	263	4	212	47
PCT1127	ED	875	141	-1	0	17	125	1	107	17
PCT1127	MV	875	277	1	0	39	237	0	176	61
PCT1128	ED	813	104	0	0	22	82	2	61	19
PCT1128	MV	813	246	0	0	27	219	1	168	50
PCT1129	ED	924	120	0	0	16	104	2	86	16
PCT1129	MV	924	274	2	0	17	255	1	192	62
PCT1131	ED	783	85	0	0	14	71	0	53	18
PCT1131	MV	783	288	1	0	27	260	1	205	54
PCT1132	ED	910	112	0	0	25	87	0	76	11
PCT1132	MV	910	324	0	0	42	282	0	211	71
PCT1133	ED	826	99	0	0	14	85	0	71	14
PCT1133	MV	826	292	-2	0	30	264	1	216	47
PCT1134	ED	727	126	0	1	19	106	0	98	8
PCT1134	MV	727	241	0	0	37	204	2	164	38
PCT1135	ED	511	71	0	0	8	63	0	54	9
PCT1135	MV	511	217	0	0	29	188	2	157	29
PCT1136	ED	807	97	0	0	13	84	1	66	17
PCT1136	MV	807	287	1	0	34	252	2	204	46
PCT9001	MV	257	101	2	0	3	96	0	89	7
PCT9453	ED	488	90	0	0	8	82	0	65	17
PCT9453	MV	488	175	0	0	5	170	0	142	28
PCT9712	ED	651	134	-1	0	8	127	1	110	16
PCT9712	MV	651	288	1	0	17	270	0	228	42
PCT9714	ED	911	154	0	0	14	140	0	113	27
PCT9714	MV	911	367	2	0	18	347	0	278	69
PCT9715	ED	566	162	0	0	14	148	2	129	17
PCT9715	MV	566	218	1	0	11	206	0	168	38
PCT9718	ED	843	183	-2	0	17	168	0	140	28
PCT9718	MV	843	385	3	0	16	366	0	296	70
PCT9719	ED	863	186	0	0	15	171	1	148	22
PCT9719	MV	863	389	1	0	31	357	1	297	59
PCT9721	ED	653	182	-1	0	19	164	1	141	22
PCT9721	MV	653	250	1	0	24	225	1	182	42
PCT9722	ED	593	86	0	0	8	78	0	63	15
PCT9722	MV	593	269	-3	0	24	248	0	192	56
PCT9723	ED	458	74	0	0	10	64	0	52	12
PCT9723	MV	458	198	1	0	18	179	1	135	43
PCT9724	ED	950	144	0	0	21	123	0	94	29
PCT9724	MV	950	386	-1	0	46	341	0	243	98
PCT9725	ED	941	118	-1	0	20	99	0	73	26
PCT9725	MV	941	350	0	0	47	303	1	228	74
PCT9726	ED	685	83	0	0	3	80	0	68	12
PCT9726	MV	685	137	0	0	9	128	1	98	29
PCT9727	ED	435	60	1	0	5	54	0	44	10
PCT9727	MV	435	205	2	0	21	182	0	136	46
PCT9728	ED	906	204	0	0	16	188	0	146	42
PCT9728	MV	906	378	-2	0	23	357	4	269	84
PCT9729	ED	782	161	1	0	19	141	0	108	33
PCT9729	MV	782	304	0	0	22	282	0	218	64
PCT9731	ED	529	138	0	0	12	126	1	101	24
PCT9731	MV	529	189	0	0	13	176	0	139	37
PCT9733	MV	224	146	0	0	7	139	0	126	13
PCT9734	ED	577	122	0	0	10	112	0	91	21
PCT9734	MV	577	261	1	1	13	246	0	202	44
PCT9735	ED	782	167	1	0	22	144	1	128	15
PCT9735	MV	782	344	0	0	25	319	0	260	59
PCT9736	ED	699	145	0	0	8	137	0	111	26
PCT9736	MV	699	305	1	0	17	287	2	253	32
PCT9737	ED	792	175	-1	0	14	162	2	141	19
PCT9737	MV	792	343	-3	0	22	324	0	275	49
PCT9738	ED	830	99	0	0	10	89	0	74	15
PCT9738	MV	830	263	4	1	18	240	1	197	42
PCT9739	ED	826	126	0	1	12	113	1	98	14
PCT9739	MV	826	193	-3	0	18	178	0	153	25
PCT9741	ED	1022	19	0	0	3	16	0	15	1
PCT9741	MV	1022	24	0	0	1	23	0	23	0
PCT9742	ED	647	134	0	0	10	124	0	101	23
PCT9742	MV	647	187	1	0	15	171	0	133	38
PCT9743	ED	1093	172	0	0	21	151	0	133	18
PCT9743	MV	1093	317	2	0	19	296	0	259	37
PCT9744	ED	902	141	0	0	13	128	0	105	23
PCT9744	MV	902	234	1	0	18	215	0	171	44
PCT9745	ED	934	141	0	0	20	121	1	102	18
PCT9745	MV	934	205	-1	0	12	194	0	162	32
PCT9746	ED	867	192	0	0	21	171	0	127	44
PCT9746	MV	867	334	2	0	27	305	0	251	54
PCT9747	ED	940	198	0	0	18	180	0	162	18
PCT9747	MV	940	323	0	0	40	283	1	243	39
PCT9748	ED	913	164	0	0	19	145	2	125	18
PCT9748	MV	913	342	3	0	26	313	1	252	60
PCT9749	ED	893	143	-1	0	25	119	1	98	20
PCT9749	MV	893	266	0	0	26	240	1	208	31
PCT9751	ED	977	157	-1	0	16	142	0	122	20
PCT9751	MV	977	384	2	0	33	349	1	294	54
PCT9752	ED	692	143	0	0	10	133	1	113	19
PCT9752	MV	692	305	2	0	25	278	0	234	44
PCT9753	ED	735	148	0	0	17	131	1	118	12
PCT9753	MV	735	266	-1	0	20	247	0	220	27
PCT9754	ED	701	169	0	1	17	151	1	133	17
PCT9754	MV	701	296	1	0	18	277	1	258	18
PCT9755	ED	553	120	-1	1	11	109	0	93	16
PCT9755	MV	553	201	0	0	15	186	0	154	32
PCT9756	ED	908	126	-1	0	11	116	0	104	12
PCT9756	MV	908	297	6	0	34	257	0	203	54
PCT9801	ED	399	76	0	0	14	62	0	48	14
PCT9801	MV	399	148	0	0	11	137	2	132	3
CONG14	TO	55344	28223	31	12	2822	25358	97	20829	4432
ASSM19	TO	55344	28223	31	12	2822	25358	97	20829	4432
BART8	TO	48700	24664	29	7	2457	22171	79	18165	3927
BART9	TO	6644	3559	2	5	365	3187	18	2664	505
SUPV4	TO	488	265	0	0	13	252	0	207	45
SUPV7	TO	28273	15223	18	5	1299	13901	34	11463	2404
SUPV8	TO	399	224	0	0	25	199	2	180	17
SUPV10	TO	257	109	2	0	5	102	0	93	9
SUPV11	TO	25927	12402	11	7	1480	10904	61	8886	1957
NEIG5	TO	16621	7997	7	5	967	7018	46	5641	1331
NEIG7	TO	11506	5461	8	2	634	4817	19	4038	760
NEIG9	TO	8641	3424	2	2	339	3081	6	2483	592
NEIG21	TO	488	265	0	0	13	252	0	207	45
NEIG23	TO	257	109	2	0	5	102	0	93	9
NEIG24	TO	17831	10967	12	3	864	10088	26	8367	1695
