area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	167:CURTIS KARNOW	168:MARIA EVANGELISTA
ALLPCTS	TO	481991	253583	246	122	51191	202024	951	108648	92425
ALLPCTS	ED	481991	89756	-68	30	20091	69703	458	31951	37294
ALLPCTS	MV	481991	163827	314	92	31100	132321	493	76697	55131
PCT1101	ED	544	83	0	0	18	65	0	19	46
PCT1101	MV	544	198	0	0	26	172	0	98	74
PCT1102	ED	964	188	-2	0	35	155	1	61	93
PCT1102	MV	964	337	1	0	52	284	0	136	148
PCT1103	ED	914	163	0	0	30	133	0	64	69
PCT1103	MV	914	348	1	0	51	296	1	172	123
PCT1104	ED	953	167	0	0	35	132	0	47	85
PCT1104	MV	953	292	0	0	58	234	1	101	132
PCT1106	ED	740	113	0	0	17	96	0	55	41
PCT1106	MV	740	231	0	0	32	199	1	109	89
PCT1107	ED	721	101	0	0	18	83	1	34	48
PCT1107	MV	721	240	5	0	50	185	2	106	77
PCT1108	ED	882	156	-1	0	47	110	3	48	59
PCT1108	MV	882	328	3	0	54	271	0	162	109
PCT1109	ED	758	124	0	0	25	99	3	50	46
PCT1109	MV	758	265	0	0	44	221	2	127	92
PCT1111	ED	938	132	-1	0	24	109	0	48	61
PCT1111	MV	938	330	3	2	59	266	2	168	96
PCT1112	ED	702	96	0	1	18	77	0	31	46
PCT1112	MV	702	221	1	0	37	183	5	106	72
PCT1113	ED	701	82	0	0	21	61	2	23	36
PCT1113	MV	701	272	2	1	57	212	1	123	88
PCT1114	ED	915	139	0	0	31	108	1	33	74
PCT1114	MV	915	280	0	0	34	246	0	131	115
PCT1115	ED	835	97	-1	0	17	81	2	35	44
PCT1115	MV	835	279	1	0	64	214	0	131	83
PCT1116	ED	842	141	0	0	38	103	1	35	67
PCT1116	MV	842	275	1	0	58	216	1	111	104
PCT1117	ED	827	138	-3	0	42	99	0	31	68
PCT1117	MV	827	240	1	0	42	197	1	113	83
PCT1118	ED	974	158	0	0	24	134	2	47	85
PCT1118	MV	974	335	0	0	67	268	1	136	131
PCT1119	ED	745	97	0	0	23	74	2	26	46
PCT1119	MV	745	274	0	0	48	226	1	124	101
PCT1121	ED	653	104	-1	0	18	87	1	41	45
PCT1121	MV	653	221	2	0	47	172	0	102	70
PCT1122	ED	607	69	0	0	12	57	2	26	29
PCT1122	MV	607	213	0	0	63	150	1	97	52
PCT1123	ED	876	118	0	0	32	86	1	33	52
PCT1123	MV	876	254	1	0	40	213	0	128	85
PCT1124	ED	773	109	0	0	33	76	1	33	42
PCT1124	MV	773	200	-1	1	35	165	1	98	66
PCT1125	ED	987	80	-1	0	16	65	2	16	47
PCT1125	MV	987	329	-1	1	56	273	3	142	128
PCT1126	ED	900	92	-2	0	20	74	1	25	48
PCT1126	MV	900	292	1	0	51	240	5	137	98
PCT1127	ED	875	141	-1	0	31	111	2	48	61
PCT1127	MV	875	277	1	0	42	234	1	146	87
PCT1128	ED	813	104	0	0	27	77	2	28	47
PCT1128	MV	813	246	0	0	45	201	2	112	87
PCT1129	ED	924	120	0	0	31	89	1	35	53
PCT1129	MV	924	274	2	1	36	235	0	130	105
PCT1131	ED	783	85	0	0	10	75	2	33	40
PCT1131	MV	783	288	1	0	52	235	2	143	90
PCT1132	ED	910	112	0	0	23	89	1	33	55
PCT1132	MV	910	324	0	0	50	274	0	166	108
PCT1133	ED	826	99	0	0	25	74	0	35	39
PCT1133	MV	826	292	-2	0	54	240	4	145	91
PCT1134	ED	727	126	0	0	22	104	1	35	68
PCT1134	MV	727	241	0	0	57	184	0	114	70
PCT1135	ED	511	71	0	0	12	59	0	27	32
PCT1135	MV	511	217	0	0	42	175	2	104	69
PCT1136	ED	807	97	0	0	17	80	1	22	57
PCT1136	MV	807	287	1	1	49	236	2	148	86
PCT1141	ED	998	149	0	0	34	115	2	45	68
PCT1141	MV	998	368	0	0	63	305	1	173	131
PCT1142	ED	822	120	0	0	23	97	1	39	57
PCT1142	MV	822	266	1	0	41	224	4	105	115
PCT1143	ED	989	147	-1	0	21	127	1	47	79
PCT1143	MV	989	311	0	1	67	243	4	115	124
PCT1144	ED	870	148	-1	1	25	123	1	37	85
PCT1144	MV	870	264	-2	0	48	218	0	107	111
PCT1145	ED	879	136	1	0	27	108	0	45	63
PCT1145	MV	879	370	0	0	71	299	1	157	141
PCT1146	ED	971	124	1	0	17	106	1	29	76
PCT1146	MV	971	326	0	1	60	265	0	135	130
PCT1147	ED	853	166	1	0	40	125	1	40	84
PCT1147	MV	853	279	-1	1	43	236	0	107	129
PCT1148	ED	918	121	0	0	25	96	0	34	62
PCT1148	MV	918	314	1	0	65	248	1	151	96
PCT1149	ED	873	148	-2	0	39	111	0	31	80
PCT1149	MV	873	285	0	1	42	242	1	132	109
PCT1152	ED	838	125	-1	0	26	100	1	41	58
PCT1152	MV	838	286	1	0	54	231	3	131	97
PCT1153	ED	909	139	0	0	40	99	0	43	56
PCT1153	MV	909	306	0	0	51	255	1	136	118
PCT7001	ED	735	119	-2	0	28	93	1	29	63
PCT7001	MV	735	266	6	0	49	211	0	101	110
PCT7002	ED	641	132	1	0	22	109	0	38	71
PCT7002	MV	641	173	0	1	23	149	0	72	77
PCT7003	ED	864	188	-1	0	46	143	1	68	74
PCT7003	MV	864	340	1	0	65	274	0	147	127
PCT7004	ED	835	175	-1	0	51	125	1	65	59
PCT7004	MV	835	306	6	0	47	253	2	145	106
PCT7005	ED	812	180	-1	0	39	142	0	64	78
PCT7005	MV	812	295	2	0	55	238	0	116	122
PCT7006	ED	884	213	-1	0	50	164	1	51	112
PCT7006	MV	884	290	1	0	44	245	0	99	146
PCT7007	ED	916	233	-4	0	51	186	1	74	111
PCT7007	MV	916	323	2	0	52	269	1	155	113
PCT7008	ED	861	187	0	0	53	134	0	68	66
PCT7008	MV	861	345	0	0	74	271	0	155	116
PCT7009	ED	864	133	-1	0	29	105	1	34	70
PCT7009	MV	864	312	-2	0	66	248	0	138	110
PCT7011	ED	976	141	0	0	38	103	3	41	59
