area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	174:LILY (ESPINOZA) PLOSKI	175:STEVEN IRELAND	176:TONY K. THURMOND	177:MARSHALL TUCK	198:DOUGLAS I. VIGIL	199:THOMAS L. WILLIAMS
ALLPCTS	TO	481991	253583	246	231	54260	198846	1077	29197	13498	102886	52185	3	0
ALLPCTS	ED	481991	89756	-68	58	20460	69306	496	11662	4892	35130	17124	2	0
ALLPCTS	MV	481991	163827	314	173	33800	129540	581	17535	8606	67756	35061	1	0
PCT1101	ED	544	83	0	0	20	63	0	11	4	33	15	0	0
PCT1101	MV	544	198	0	0	29	169	0	27	13	99	30	0	0
PCT1102	ED	964	188	-2	0	39	151	1	20	9	88	33	0	0
PCT1102	MV	964	337	1	0	60	276	0	42	30	140	64	0	0
PCT1103	ED	914	163	0	0	26	137	3	17	13	75	29	0	0
PCT1103	MV	914	348	1	0	47	300	3	37	29	172	59	0	0
PCT1104	ED	953	167	0	0	27	140	0	19	11	74	36	0	0
PCT1104	MV	953	292	0	0	57	235	1	36	19	138	41	0	0
PCT1106	ED	740	113	0	0	19	94	0	11	3	52	28	0	0
PCT1106	MV	740	231	0	0	34	197	0	22	6	117	52	0	0
PCT1107	ED	721	101	0	0	16	85	2	3	3	54	23	0	0
PCT1107	MV	721	240	5	0	40	195	2	21	21	113	38	0	0
PCT1108	ED	882	156	-1	0	39	118	2	22	6	61	27	0	0
PCT1108	MV	882	328	3	0	55	270	2	35	12	170	51	0	0
PCT1109	ED	758	124	0	0	18	106	1	15	8	61	21	0	0
PCT1109	MV	758	265	0	0	43	222	2	27	20	128	45	0	0
PCT1111	ED	938	132	-1	0	22	111	1	23	6	62	19	0	0
PCT1111	MV	938	330	3	0	51	276	2	40	18	139	77	0	0
PCT1112	ED	702	96	0	1	16	79	1	16	4	41	17	0	0
PCT1112	MV	702	221	1	0	41	179	3	17	10	117	32	0	0
PCT1113	ED	701	82	0	0	21	61	2	11	2	34	12	0	0
PCT1113	MV	701	272	2	2	65	203	1	16	19	103	64	0	0
PCT1114	ED	915	139	0	0	28	111	1	20	11	52	27	0	0
PCT1114	MV	915	280	0	2	30	248	1	28	23	137	59	0	0
PCT1115	ED	835	97	-1	0	17	81	1	11	5	48	16	0	0
PCT1115	MV	835	279	1	1	59	218	0	21	25	131	41	0	0
PCT1116	ED	842	141	0	0	28	113	2	17	12	56	26	0	0
PCT1116	MV	842	275	1	1	55	218	3	20	15	144	36	0	0
PCT1117	ED	827	138	-3	0	30	111	3	21	12	55	20	0	0
PCT1117	MV	827	240	1	1	45	193	1	22	14	109	47	0	0
PCT1118	ED	974	158	0	0	23	135	0	27	15	72	21	0	0
PCT1118	MV	974	335	0	0	62	273	1	45	19	161	47	0	0
PCT1119	ED	745	97	0	0	21	76	0	11	4	40	21	0	0
PCT1119	MV	745	274	0	0	35	239	0	21	22	148	48	0	0
PCT1121	ED	653	104	-1	0	16	89	1	12	14	43	19	0	0
PCT1121	MV	653	221	2	0	49	170	0	31	21	68	50	0	0
PCT1122	ED	607	69	0	0	14	55	1	8	3	30	13	0	0
PCT1122	MV	607	213	0	0	58	155	1	28	18	64	44	0	0
PCT1123	ED	876	118	0	0	14	104	2	14	7	58	23	0	0
PCT1123	MV	876	254	1	0	34	219	1	36	17	114	51	0	0
PCT1124	ED	773	109	0	0	26	83	1	12	4	47	19	0	0
PCT1124	MV	773	200	-1	0	23	178	1	21	18	99	39	0	0
PCT1125	ED	987	80	-1	0	19	62	2	11	7	28	14	0	0
PCT1125	MV	987	329	-1	0	54	276	4	43	30	146	53	0	0
PCT1126	ED	900	92	-2	0	19	75	2	15	0	39	19	0	0
PCT1126	MV	900	292	1	1	44	246	1	40	16	124	65	0	0
PCT1127	ED	875	141	-1	0	30	112	2	18	4	53	35	0	0
PCT1127	MV	875	277	1	0	48	228	0	34	13	112	69	0	0
PCT1128	ED	813	104	0	0	23	81	3	15	6	34	23	0	0
PCT1128	MV	813	246	0	0	45	201	1	37	26	83	54	0	0
PCT1129	ED	924	120	0	0	24	96	0	24	5	41	26	0	0
PCT1129	MV	924	274	2	1	40	231	1	30	19	126	55	0	0
PCT1131	ED	783	85	0	0	10	75	2	13	6	29	25	0	0
PCT1131	MV	783	288	1	1	47	239	3	35	34	105	62	0	0
PCT1132	ED	910	112	0	0	19	93	1	22	8	40	22	0	0
PCT1132	MV	910	324	0	2	58	264	0	36	20	133	75	0	0
PCT1133	ED	826	99	0	0	21	78	1	15	4	41	17	0	0
PCT1133	MV	826	292	-2	1	55	238	4	43	17	114	60	0	0
PCT1134	ED	727	126	0	2	21	103	1	26	7	55	14	0	0
PCT1134	MV	727	241	0	0	62	179	1	25	14	86	53	0	0
PCT1135	ED	511	71	0	0	13	58	0	8	5	32	13	0	0
PCT1135	MV	511	217	0	0	43	174	2	29	23	91	29	0	0
PCT1136	ED	807	97	0	0	15	82	1	20	13	31	17	0	0
PCT1136	MV	807	287	1	1	58	227	2	32	22	105	66	0	0
PCT1141	ED	998	149	0	0	34	115	0	26	10	48	31	0	0
PCT1141	MV	998	368	0	0	59	309	3	73	25	138	70	0	0
PCT1142	ED	822	120	0	0	24	96	1	18	12	44	21	0	0
PCT1142	MV	822	266	1	0	39	226	1	38	20	110	57	0	0
PCT1143	ED	989	147	-1	0	23	125	1	41	9	57	17	0	0
PCT1143	MV	989	311	0	1	64	246	6	59	18	111	52	0	0
PCT1144	ED	870	148	-1	1	21	127	1	35	9	55	27	0	0
PCT1144	MV	870	264	-2	1	45	220	0	45	16	104	55	0	0
PCT1145	ED	879	136	1	0	26	109	0	28	8	57	16	0	0
PCT1145	MV	879	370	0	0	62	308	2	52	26	167	61	0	0
PCT1146	ED	971	124	1	0	16	107	1	28	13	50	15	0	0
PCT1146	MV	971	326	0	1	46	279	1	57	27	117	77	0	0
PCT1147	ED	853	166	1	0	26	139	3	23	9	77	27	0	0
PCT1147	MV	853	279	-1	1	43	236	0	70	16	106	44	0	0
PCT1148	ED	918	121	0	0	26	95	1	26	4	40	24	0	0
PCT1148	MV	918	314	1	0	68	245	2	61	26	103	53	0	0
PCT1149	ED	873	148	-2	0	30	120	0	38	15	48	19	0	0
PCT1149	MV	873	285	0	3	43	239	2	45	17	117	58	0	0
PCT1152	ED	838	125	-1	0	23	103	0	23	11	47	22	0	0
PCT1152	MV	838	286	1	0	43	242	0	63	18	115	46	0	0
PCT1153	ED	909	139	0	0	35	104	1	24	9	42	28	0	0
PCT1153	MV	909	306	0	1	52	253	1	48	27	116	61	0	0
PCT7001	ED	735	119	-2	0	31	90	1	20	3	48	18	0	0
PCT7001	MV	735	266	6	0	62	198	0	41	10	95	52	0	0
PCT7002	ED	641	132	1	1	25	105	0	23	8	58	16	0	0
PCT7002	MV	641	173	0	0	31	142	0	21	11	72	38	0	0
PCT7003	ED	864	188	-1	0	47	142	1	20	6	91	24	0	0
PCT7003	MV	864	340	1	0	64	275	0	25	10	154	86	0	0
PCT7004	ED	835	175	-1	0	50	126	1	27	7	60	31	0	0
PCT7004	MV	835	306	6	0	58	242	0	14	11	130	87	0	0
PCT7005	ED	812	180	-1	0	42	139	1	29	5	84	20	0	0
PCT7005	MV	812	295	2	0	54	239	0	33	15	132	59	0	0
PCT7006	ED	884	213	-1	0	53	161	0	30	9	88	34	0	0
PCT7006	MV	884	290	1	0	46	243	2	37	12	142	50	0	0
PCT7007	ED	916	233	-4	0	59	178	0	36	14	82	46	0	0
PCT7007	MV	916	323	2	0	61	260	2	32	6	143	77	0	0
PCT7008	ED	861	187	0	0	53	134	0	16	9	76	33	0	0
PCT7008	MV	861	345	0	1	77	267	0	32	13	133	89	0	0
PCT7009	ED	864	133	-1	0	34	100	1	15	11	52	21	0	0
PCT7009	MV	864	312	-2	0	64	250	1	30	9	148	62	0	0
PCT7011	ED	976	141	0	0	36	105	3	29	8	42	23	0	0
PCT7011	MV	976	205	1	0	36	168	1	28	15	79	45	0	0
PCT7012	ED	1061	224	0	0	50	174	1	28	16	93	36	0	0
PCT7012	MV	1061	383	0	1	79	303	2	38	20	167	76	0	0
PCT7013	ED	805	132	0	0	31	101	2	22	4	47	26	0	0
PCT7013	MV	805	251	2	0	51	198	0	46	6	85	61	0	0
PCT7014	ED	1213	188	-2	0	46	144	0	33	6	70	35	0	0
PCT7014	MV	1213	434	-1	0	83	352	1	52	26	183	90	0	0
PCT7015	MV	93	34	0	0	3	31	0	5	0	21	5	0	0
PCT7016	ED	891	112	2	0	27	83	1	26	9	32	15	0	0
PCT7016	MV	891	221	2	0	46	173	1	30	17	85	40	0	0
PCT7017	ED	734	79	0	0	27	52	2	9	3	27	11	0	0
PCT7017	MV	734	167	1	0	37	129	0	22	7	73	27	0	0
PCT7018	ED	908	88	-1	0	16	73	0	15	5	38	15	0	0
PCT7018	MV	908	343	5	0	73	265	2	53	27	134	49	0	0
PCT7019	ED	864	111	2	0	20	89	1	24	7	46	11	0	0
PCT7019	MV	864	349	-1	1	58	291	3	59	17	155	57	0	0
