area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	186:JEFF SHEEHY	187:LAWRENCE ''STARK'' DAGESSE	188:RAFAEL MANDELMAN
RCV2	TO	56415	36015	-52	25	2780	120	33142		12875		20267
RCV1	TO	56415	36015	-52	25	2780	0	33262	0	12669	597	19996
ALL	TO	56415	36015	-52	25	2777	0	33265	88	12635	591	19951
ALL	ED	56415	13639	-11	6	1204	0	12440	38	4558	247	7597
ALL	MV	56415	22376	-41	19	1573	0	20825	50	8077	344	12354
PCT7801	ED	970	230	0	0	30	0	200	0	72	5	123
PCT7801	MV	970	424	-5	0	36	0	393	0	137	5	251
PCT7802	ED	762	205	-1	0	25	0	181	1	60	0	120
PCT7802	MV	762	313	-2	1	25	0	289	0	121	5	163
PCT7803	ED	823	143	0	0	10	0	133	0	44	2	87
PCT7803	MV	823	412	-1	0	24	0	389	0	168	4	217
PCT7804	ED	891	236	0	1	20	0	215	3	82	4	126
PCT7804	MV	891	394	-1	1	21	0	373	4	155	4	210
PCT7805	ED	785	176	2	0	9	0	165	1	43	1	120
PCT7805	MV	785	348	0	0	31	0	317	1	95	6	215
PCT7806	ED	699	163	1	0	19	0	143	0	43	3	97
PCT7806	MV	699	283	0	1	24	0	258	0	82	7	169
PCT7807	ED	796	228	-1	1	17	0	211	0	57	3	151
PCT7807	MV	796	273	-1	0	23	0	251	1	88	5	157
PCT7808	ED	655	178	0	0	13	0	165	0	66	4	95
PCT7808	MV	655	243	1	0	16	0	226	1	72	2	151
PCT7809	ED	742	160	-1	1	24	0	136	0	40	5	91
PCT7809	MV	742	267	2	1	23	0	241	0	78	9	154
PCT7811	ED	726	186	-1	0	12	0	175	1	57	5	112
PCT7811	MV	726	243	1	0	17	0	225	1	63	9	152
PCT7812	ED	843	207	-1	0	21	0	187	0	48	8	131
PCT7812	MV	843	292	-1	1	23	0	269	3	89	7	170
PCT7813	ED	988	251	-1	0	21	0	231	0	74	6	151
PCT7813	MV	988	362	1	0	36	0	325	0	116	4	205
PCT7814	ED	892	173	0	0	30	0	143	2	38	10	93
PCT7814	MV	892	223	-2	2	25	0	198	0	83	5	110
PCT7815	ED	914	178	-1	0	21	0	158	0	58	4	96
PCT7815	MV	914	407	-1	0	20	0	388	0	140	6	242
PCT7816	ED	858	202	1	0	10	0	191	0	70	3	118
PCT7816	MV	858	390	0	0	27	0	363	0	155	3	205
PCT7817	ED	795	215	-1	0	8	0	208	0	66	6	136
PCT7817	MV	795	309	0	0	7	0	302	0	96	4	202
PCT7818	ED	823	172	-1	0	25	0	148	0	45	3	100
PCT7818	MV	823	335	-2	1	25	0	311	3	111	7	190
PCT7819	ED	760	169	0	0	21	0	148	0	47	2	99
PCT7819	MV	760	297	2	0	23	0	272	0	102	7	163
PCT7821	ED	947	229	-1	0	11	0	219	0	93	2	124
PCT7821	MV	947	439	2	1	19	0	417	0	165	8	244
PCT7822	ED	927	244	0	0	17	0	227	0	66	4	157
PCT7822	MV	927	343	1	0	22	0	320	0	115	7	198
PCT7823	ED	857	237	0	0	14	0	223	1	78	2	142
PCT7823	MV	857	347	-1	0	15	0	333	1	125	6	201
PCT7824	ED	756	170	0	0	15	0	155	2	60	2	91
PCT7824	MV	756	274	0	0	11	0	263	0	111	8	144
PCT7825	ED	580	160	1	0	15	0	144	0	46	3	95
PCT7825	MV	580	215	1	0	16	0	198	0	73	4	121
PCT7826	ED	665	214	-1	0	29	0	186	0	61	3	122
PCT7826	MV	665	194	-2	0	14	0	182	0	58	3	121
PCT7827	ED	828	199	0	0	27	0	172	0	49	8	115
PCT7827	MV	828	252	0	0	25	0	227	2	73	2	150
PCT7828	ED	976	205	0	0	22	0	183	0	83	7	93
PCT7828	MV	976	397	0	0	29	0	368	1	145	2	220
PCT7829	ED	882	199	0	0	9	0	190	1	85	2	102
PCT7829	MV	882	391	-1	0	28	0	364	1	159	5	199
PCT7831	ED	828	202	1	0	11	0	190	0	64	6	120
PCT7831	MV	828	369	0	0	20	0	349	0	126	2	221
PCT7832	ED	781	162	-1	0	15	0	148	1	63	2	82
PCT7832	MV	781	343	-1	0	26	0	318	0	114	3	201
PCT7833	ED	745	182	0	0	17	0	165	0	43	1	121
PCT7833	MV	745	271	-1	0	16	0	256	0	86	4	166
PCT7834	ED	836	225	-1	0	22	0	204	0	60	2	142
PCT7834	MV	836	288	-1	0	25	0	264	0	75	4	185
PCT7835	ED	808	175	0	0	13	0	162	3	55	10	94
PCT7835	MV	808	338	-3	0	16	0	325	0	130	6	189
PCT7836	ED	979	199	0	0	16	0	183	1	76	5	101
PCT7836	MV	979	421	1	0	28	0	392	1	169	10	212
PCT7837	ED	883	237	1	0	20	0	216	0	74	3	139
PCT7837	MV	883	339	3	0	28	0	308	0	114	7	187
PCT7838	ED	891	210	0	0	13	0	197	0	79	0	118
PCT7838	MV	891	413	0	2	22	0	389	0	151	2	236
PCT7839	ED	830	172	-1	0	17	0	156	0	65	3	88
PCT7839	MV	830	389	-1	0	24	0	366	1	157	2	206
PCT7841	ED	898	240	0	0	20	0	220	2	77	5	136
PCT7841	MV	898	353	1	0	18	0	334	1	126	6	201
PCT7842	ED	873	214	0	0	14	0	200	0	67	2	131
PCT7842	MV	873	308	1	0	18	0	289	1	94	5	189
PCT7843	ED	751	182	-1	0	15	0	168	1	51	2	114
PCT7843	MV	751	267	1	0	24	0	242	1	76	7	158
PCT7844	ED	635	160	0	0	21	0	139	0	44	1	94
PCT7844	MV	635	245	-1	0	24	0	222	0	67	4	151
PCT7845	ED	803	202	0	0	22	0	180	0	72	2	106
PCT7845	MV	803	314	-2	0	25	0	291	0	109	3	179
PCT7846	ED	871	221	0	0	15	0	206	0	80	3	123
PCT7846	MV	871	330	2	2	24	0	302	1	142	2	157
PCT7847	ED	878	207	-2	0	15	0	194	2	70	3	119
PCT7847	MV	878	358	-2	0	21	0	339	0	135	2	202
PCT7848	ED	838	209	-1	0	11	0	199	1	68	1	129
PCT7848	MV	838	346	-3	0	27	0	322	0	123	1	198
PCT7849	ED	904	237	-1	0	15	0	223	0	76	2	145
PCT7849	MV	904	353	-2	0	27	0	328	1	132	7	188
PCT7851	ED	493	118	0	0	16	0	102	1	56	4	41
PCT7851	MV	493	204	0	0	18	0	186	1	89	6	90
PCT7852	ED	634	104	0	0	8	0	96	0	49	4	43
PCT7852	MV	634	303	-1	1	17	0	286	2	137	8	139
PCT7853	ED	837	180	0	0	24	0	156	1	74	3	78
PCT7853	MV	837	333	1	1	22	0	309	0	139	2	168
PCT7854	ED	874	216	-1	0	16	0	201	0	75	2	124
PCT7854	MV	874	346	-1	0	29	0	318	3	127	3	185
PCT7855	ED	949	259	0	0	18	0	241	1	80	2	158
PCT7855	MV	949	359	-6	0	34	0	331	1	137	2	191
PCT7856	ED	790	204	2	0	19	0	183	0	64	1	118
PCT7856	MV	790	312	-1	0	16	0	297	0	106	5	186
PCT7857	ED	913	226	1	0	22	0	203	1	80	2	120
PCT7857	MV	913	350	-1	0	32	0	319	0	113	3	203
PCT7858	ED	743	192	0	0	26	0	166	1	51	6	108
PCT7858	MV	743	252	0	1	16	0	235	0	69	4	162
PCT7859	ED	879	219	0	0	17	0	202	1	92	1	108
PCT7859	MV	879	352	-1	0	24	0	329	0	145	8	176
PCT7861	ED	835	184	0	0	19	0	165	1	55	6	103
PCT7861	MV	835	367	0	0	26	0	341	0	128	6	207
PCT7862	ED	850	237	0	0	23	0	214	1	79	3	131
PCT7862	MV	850	323	-3	0	27	0	299	2	121	6	170
PCT7863	ED	870	237	1	0	15	0	221	0	79	9	133
PCT7863	MV	870	302	-1	0	20	0	283	2	116	3	162
PCT7864	ED	773	188	0	0	12	0	176	0	48	6	122
PCT7864	MV	773	284	-2	0	15	0	271	2	94	3	172
PCT7865	ED	808	178	0	0	23	0	155	0	58	2	95
PCT7865	MV	808	310	-3	0	26	0	287	1	109	5	172
PCT7866	ED	816	184	0	0	16	0	168	3	71	2	92
PCT7866	MV	816	389	0	2	30	0	357	1	152	7	197
PCT7867	ED	932	209	0	0	17	0	192	1	87	5	99
PCT7867	MV	932	385	1	0	20	0	364	0	174	7	183
PCT7868	ED	860	218	0	0	15	0	203	1	107	4	91
PCT7868	MV	860	324	-1	0	21	0	304	0	139	10	155
PCT7869	ED	842	219	0	0	13	0	206	0	83	3	120
PCT7869	MV	842	376	-2	0	22	0	356	0	132	3	221
PCT7871	ED	882	240	-2	3	19	0	220	0	116	3	101
PCT7871	MV	882	364	1	0	18	0	345	2	173	7	163
PCT7872	ED	864	242	0	0	15	0	227	0	115	5	107
PCT7872	MV	864	369	-1	0	16	0	354	0	174	6	174
PCT7873	ED	841	231	1	0	14	0	216	0	78	2	136
PCT7873	MV	841	387	-1	0	28	0	360	0	167	1	192
PCT7874	ED	453	85	0	0	7	0	78	0	30	3	45
PCT7874	MV	453	174	0	0	11	0	163	1	58	4	100
PCT7875	ED	615	127	0	0	18	0	109	1	41	3	64
PCT7875	MV	615	203	-1	1	27	0	176	3	52	5	116
PCT7876	ED	491	101	0	0	11	0	90	1	46	3	40
PCT7876	MV	491	148	-1	0	23	0	126	0	59	4	63
PCT9801	ED	399	76	-1	0	14	0	63	0	29	3	31
PCT9801	MV	399	148	0	0	17	0	131	3	66	5	57
CONG12	TO	56016	35791	-51	25	2746	0	33071	85	12540	583	19863
CONG14	TO	399	224	-1	0	31	0	194	3	95	8	88
ASSM17	TO	56016	35791	-51	25	2746	0	33071	85	12540	583	19863
ASSM19	TO	399	224	-1	0	31	0	194	3	95	8	88
BART9	TO	56415	36015	-52	25	2777	0	33265	88	12635	591	19951
SUPV8	TO	56415	36015	-52	25	2777	0	33265	88	12635	591	19951
NEIG4	TO	6333	4126	-2	7	302	0	3819	14	1800	81	1924
NEIG5	TO	399	224	-1	0	31	0	194	3	95	8	88
NEIG12	TO	9297	5435	-8	4	505	0	4934	13	1551	111	3259
NEIG13	TO	16415	10584	-23	4	788	0	9815	28	3727	149	5911
NEIG19	TO	3615	2413	-4	1	171	0	2245	5	930	35	1275
NEIG22	TO	18424	12111	-15	6	856	0	11264	24	4184	176	6880
NEIG25	TO	1932	1122	1	3	124	0	994	1	348	31	614
