contest_id_eds	candidate_order	candidate_id	candidate_type	candidate_full_name	candidate_party_id	is_writein_candidate
001	029	189	9	K. PEARCE	2	1
001	030	190	9	VERONIKA FIMBRES	3	1
001	031	191	9	ARMANDO M. ARREOLA	7	1
001	032	192	9	ARMAN SOLTANI	7	1
001	033	193	9	PETER CRAWFORD VALENTINO	7	1
002	013	194	9	MARJAN S. FARIBA	7	1
009	034	195	9	SEELAM PRABHAKAR REDDY	1	1
009	035	196	9	MICHAEL V. ZIESING	3	1
009	036	197	9	URSULA M. SCHILLING	7	1
019	006	198	9	DOUGLAS I. VIGIL		1
019	007	199	9	THOMAS L. WILLIAMS		1
020	010	200	9	ANTOINE R. ROGERS		1
