candidate_id	total	is_winner
001	220	0
002	533	0
003	416	0
004	518	0
005	480	0
006	503	0
007	875	0
008	1782	0
009	668	0
010	347	0
011	0	
012	97	0
013	1161	0
014	428	0
015	908	0
016	951	0
017	1001	0
018	1050	0
019	1077	0
020	492	0
021	88	0
022	189846	1
023	47662	0
024	205540	1
025	29535	0
026	60764	0
027	162341	1
028	190743	1
029	34882	0
030	199392	1
031	30551	0
032	153812	1
033	81383	0
034	181638	1
035	53572	0
036	160214	1
037	69570	0
038	120199	1
039	116085	0
040	105746	0
041	129611	1
042	164844	1
043	76193	0
044	133190	1
045	105774	0
046	144686	1
047	93447	0
048	90334	0
049	146997	1
050	97863	0
051	130916	1
052	824	0
053	267	0
054	821	0
055	550	0
056	22211	0
057	172	0
058	140	0
059	38	0
060	5327	0
061	206	0
062	56	0
063	266	0
064	87	0
065	632	0
066	552	0
067	300	0
068	543	0
069	21711	0
070	15977	0
071	3135	0
072	28240	0
073	153	0
074	188	0
075	194	0
076	336	0
077	140264	1
078	701	0
079	46082	0
080	64451	1
081	1996	0
082	3336	0
083	5561	0
084	1941	0
085	10946	0
086	38935	0
087	5163	0
088	7176	0
089	36407	0
090	165952	1
091	4962	0
092	2913	0
093	2628	0
094	4503	0
095	8823	0
096	9493	0
097	18441	0
098	19113	0
099	9071	0
100	174517	1
101	27433	0
102	15384	0
103	20926	0
104	13496	0
105	142062	1
106	50085	0
107	18297	0
108	138471	1
109	9457	0
110	61044	0
111	85107	1
112	29487	0
113	33001	0
114	24445	0
115	38518	0
116	22778	0
117	109076	1
118	252	0
119	919	0
120	1465	0
121	651	0
122	419	0
123	3823	0
124	2309	0
125	594	0
126	841	0
127	103	0
128	77	0
129	264	0
130	422	0
131	1704	0
132	681	0
133	1726	0
134	1993	0
135	145492	1
136	591	0
137	2276	0
138	3895	0
139	696	0
140	3740	0
141	3693	0
142	608	0
143	883	0
144	1094	0
145	1563	0
146	51347	0
147	979	0
148	627	0
149	861	0
150	141365	1
151	12114	0
152	17597	0
153	9498	0
154	2820	0
155	18771	0
156	4217	0
157	0	
158	20829	1
159	4432	0
160	93212	1
161	20639	0
162	72070	1
163	13248	0
164	3099	0
165	73560	0
166	131468	1
167	108648	1
168	92425	0
169	126913	1
170	20723	0
171	55070	0
172	81194	0
173	119131	1
174	29197	0
175	13498	0
176	102886	1
177	52185	0
178	890	0
179	91918	1
180	61276	0
181	60644	0
182	7016	0
183	17447	0
184	1661	0
185	9521	0
186	12635	0
187	591	0
188	19951	1
189	0	
190	25	0
191	0	
192	0	
193	1	0
194	4	0
195	0	
196	5	0
197	0	
198	3	0
199	0	
200	3	0
