contest_id	total_precincts	processed_done	processed_started	contest_total	undervote	overvote
001	604	604	604	244137	5272	4174
002	604	604	604	222531	30464	588
003	604	604	604	218131	35133	319
004	604	604	604	203219	50259	105
005	604	604	604	219781	33551	251
006	604	604	604	216813	36538	232
007	604	604	604	209514	43501	322
008	604	604	604	196599	56380	358
009	604	604	604	237261	14959	1117
010	529	529	529	206729	18080	336
011	1	1	1	0	0	0
012	74	74	74	25358	2822	12
013	353	353	353	115012	32145	58
014	251	251	251	88845	17250	27
015	604	604	604	205936	47266	135
016	604	604	604	202024	51191	122
017	604	604	604	203707	49475	155
018	604	604	604	201375	51854	108
019	604	604	604	198846	54260	231
020	604	604	604	250868	2527	621
021	71	71	71	33265	2777	25
022	604	604	604	237508	16061	70
023	604	604	604	235075	18506	58
024	604	604	604	223105	30434	100
025	604	604	604	225625	27780	234
026	604	604	604	229943	23643	53
027	604	604	604	235195	18374	70
028	604	604	604	235210	18217	212
029	604	604	604	229784	23779	76
030	604	604	604	236284	17208	147
031	604	604	604	235357	18122	160
032	604	604	604	241037	12411	191
033	604	604	604	238964	14543	132
034	604	604	604	238133	15363	143
035	604	604	604	237331	16088	220
036	604	604	604	228779	24758	102
