area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	118:GERALD PLUMMER	119:TOM PALZER	120:JOHN THOMPSON PARKER	121:DOUGLAS HOWARD PIERCE	122:HERBERT G. PETERS	123:JAMES P BRADLEY	124:ARUN K. BHUMITRA	125:JERRY JOSEPH LAWS	126:PATRICK LITTLE	127:TIM GILDERSLEEVE	128:MICHAEL FAHMY GIRGIS	129:DON J. GRUNDMANN	130:RASH BIHARI GHOSH	131:LING LING SHI	132:JOHN ''JACK'' CREW	133:ERIN CRUZ	134:DERRICK MICHAEL REID	135:DIANNE FEINSTEIN	136:COLLEEN SHEA FERNALD	137:ADRIENNE NICOLE EDWARDS	138:PAUL A TAYLOR	139:DONNIE O. TURNER	140:PAT HARRIS	141:ALISON HARTSON	142:JASON M. HANANIA	143:DAVID HILDEBRAND	144:LEE OLSON	145:ROQUE ''ROCKY'' DE LA FUENTE	146:KEVIN DE LEON	147:KEVIN MOTTUS	148:DAVID MOORE	149:MARIO NABLIBA	195:SEELAM PRABHAKAR REDDY	196:MICHAEL V. ZIESING	197:URSULA M. SCHILLING
ALLPCTS	TO	481991	253583	246	0	1117	14959	237261	668	252	919	1465	651	419	3823	2309	594	841	103	77	264	422	1704	681	1726	1993	145492	591	2276	3895	696	3740	3693	608	883	1094	1563	51347	979	627	861	0	5	0
ALLPCTS	ED	481991	89756	-68	0	313	5648	83863	245	104	283	649	280	198	941	657	182	285	34	26	66	175	349	245	532	737	49642	213	996	1246	312	1761	1273	187	360	305	581	20144	309	268	277	0	1	0
ALLPCTS	MV	481991	163827	314	0	804	9311	153398	423	148	636	816	371	221	2882	1652	412	556	69	51	198	247	1355	436	1194	1256	95850	378	1280	2649	384	1979	2420	421	523	789	982	31203	670	359	584	0	4	0
PCT1101	ED	544	83	0	0	1	6	76	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	45	0	3	1	1	1	2	1	1	0	0	16	0	0	2	0	0	0
PCT1101	MV	544	198	0	0	1	12	185	2	0	1	0	2	0	2	3	0	3	0	0	0	0	6	0	1	8	92	1	1	1	1	6	2	0	0	2	1	48	0	0	2	0	0	0
PCT1102	ED	964	188	-2	0	0	9	181	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	5	0	106	0	1	1	3	7	1	0	0	1	0	46	1	0	2	0	0	0
PCT1102	MV	964	337	1	0	6	28	302	0	0	0	3	3	1	6	6	2	0	0	0	1	1	1	2	5	2	173	1	3	5	1	5	6	6	0	1	7	58	0	3	0	0	0	0
PCT1103	ED	914	163	0	0	0	8	155	2	1	0	2	1	0	1	0	0	1	0	0	0	0	1	0	2	1	90	0	5	3	0	2	4	0	0	0	1	33	1	4	0	0	0	0
PCT1103	MV	914	348	1	0	5	17	325	4	1	3	1	2	3	9	4	11	2	0	0	0	1	3	0	2	2	177	2	4	6	2	1	2	0	2	2	4	68	2	1	4	0	0	0
PCT1104	ED	953	167	0	0	0	12	155	1	1	0	3	0	0	2	1	0	2	0	2	0	0	0	2	7	1	67	4	2	4	1	5	0	0	1	3	5	38	1	1	1	0	0	0
PCT1104	MV	953	292	0	0	1	32	259	1	0	4	2	1	2	4	1	0	3	0	0	0	0	11	0	1	2	119	2	1	5	0	4	6	2	1	3	1	78	1	0	4	0	0	0
PCT1106	ED	740	113	0	0	0	10	103	0	1	3	0	0	1	1	5	0	0	0	0	0	0	0	1	1	0	52	2	3	1	1	5	3	0	0	1	0	20	0	2	0	0	0	0
PCT1106	MV	740	231	0	0	3	13	215	0	0	4	0	0	0	11	5	0	1	0	1	0	0	3	0	4	2	128	1	3	6	2	4	4	2	0	2	2	30	0	0	0	0	0	0
PCT1107	ED	721	101	0	0	0	7	94	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	56	2	3	2	0	3	1	0	2	1	2	17	0	1	0	0	0	0
PCT1107	MV	721	240	5	0	0	14	221	1	0	6	2	0	0	1	6	1	1	0	0	0	0	9	2	3	0	125	0	0	4	3	7	6	2	1	0	1	38	1	1	0	0	0	0
PCT1108	ED	882	156	-1	0	0	17	140	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	86	2	3	1	0	8	3	1	0	2	0	25	0	0	2	0	0	0
PCT1108	MV	882	328	3	0	0	20	305	0	0	3	1	1	0	3	1	0	0	0	1	1	0	3	1	1	3	220	0	2	5	0	5	5	1	0	0	3	42	0	1	2	0	0	0
PCT1109	ED	758	124	0	0	2	7	115	1	0	0	0	1	0	1	2	1	0	0	0	0	0	1	1	0	0	69	0	2	2	0	3	4	0	0	2	1	23	0	1	0	0	0	0
PCT1109	MV	758	265	0	0	0	16	249	0	2	9	3	1	1	11	5	0	2	0	0	0	0	4	0	2	0	145	0	4	7	1	4	2	1	0	8	1	34	1	0	1	0	0	0
PCT1111	ED	938	132	-1	0	0	13	120	1	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	56	0	5	3	4	2	5	0	0	0	2	31	0	4	1	0	0	0
PCT1111	MV	938	330	3	0	3	30	294	1	4	3	1	0	0	17	1	0	2	0	0	0	0	7	3	1	1	168	3	8	4	3	6	4	1	3	6	6	40	0	1	0	0	0	0
PCT1112	ED	702	96	0	0	3	7	86	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	43	1	2	2	2	2	0	1	1	0	3	22	0	1	1	0	0	0
PCT1112	MV	702	221	1	0	0	21	199	1	0	0	1	1	1	2	4	3	0	0	0	0	0	7	0	0	0	119	1	2	8	0	3	8	0	3	3	0	28	2	1	1	0	0	0
PCT1113	ED	701	82	0	0	0	5	77	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	42	0	2	1	1	1	2	0	0	2	0	20	0	0	1	0	0	0
PCT1113	MV	701	272	2	0	2	25	243	1	2	4	4	1	0	10	4	0	4	0	1	1	0	7	2	2	0	131	0	0	11	2	5	3	0	2	2	1	37	2	1	3	0	0	0
PCT1114	ED	915	139	0	0	4	6	129	1	0	1	1	4	1	1	0	1	1	0	0	0	2	0	0	0	1	63	0	3	5	1	3	4	1	1	0	2	29	1	1	1	0	0	0
PCT1114	MV	915	280	0	0	3	18	259	3	0	1	2	2	0	7	10	3	3	1	0	1	1	5	0	2	1	123	1	7	5	0	10	4	0	0	3	6	55	0	0	3	0	0	0
PCT1115	ED	835	97	-1	0	0	6	92	2	1	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	49	0	4	3	1	4	0	0	0	1	0	20	0	0	0	0	0	0
PCT1115	MV	835	279	1	0	6	28	244	1	2	0	4	2	0	3	5	0	1	0	0	5	0	4	3	1	3	138	5	1	8	1	3	5	0	1	5	2	38	3	0	0	0	0	0
PCT1116	ED	842	141	0	0	2	13	126	1	0	1	3	3	1	0	0	1	0	0	0	0	0	0	1	0	1	74	1	5	0	1	10	3	0	0	0	0	18	1	0	1	0	0	0
PCT1116	MV	842	275	1	0	3	27	244	2	0	0	3	0	0	6	6	2	0	0	0	1	0	12	0	0	2	142	2	5	4	3	8	2	1	0	0	3	34	2	2	2	0	0	0
