area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
ALLPCTS	TO	426647	225360	215	0	336	18080	206729	347	141365	12114	17597	9498	2820	18771	4217
ALLPCTS	ED	426647	80806	-49	0	76	6840	73939	131	49517	4796	7903	3626	958	5324	1684
ALLPCTS	MV	426647	144554	264	0	260	11240	132790	216	91848	7318	9694	5872	1862	13447	2533
PCT1141	ED	998	149	0	0	0	14	135	0	91	8	14	4	3	14	1
PCT1141	MV	998	368	0	0	1	25	342	2	236	15	14	27	10	30	8
PCT1142	ED	822	120	0	0	0	10	110	0	74	7	10	9	2	7	1
PCT1142	MV	822	266	1	0	0	14	251	1	167	12	25	6	3	30	7
PCT1143	ED	989	147	-1	0	0	8	140	1	95	6	14	12	1	7	4
PCT1143	MV	989	311	0	0	2	26	283	1	171	15	18	20	7	44	7
PCT1144	ED	870	148	-1	0	1	11	137	0	105	4	8	6	2	7	5
PCT1144	MV	870	264	-2	0	0	24	242	2	140	17	16	16	6	41	4
PCT1145	ED	879	136	1	0	0	7	128	0	87	8	10	4	2	12	5
PCT1145	MV	879	370	0	0	0	25	345	1	247	19	14	18	3	33	10
PCT1146	ED	971	124	1	0	0	11	112	1	64	10	16	7	2	10	2
PCT1146	MV	971	326	0	0	3	21	302	0	201	21	20	8	9	35	8
PCT1147	ED	853	166	1	0	0	14	151	0	96	8	20	8	2	15	2
PCT1147	MV	853	279	-1	0	3	19	258	0	168	7	25	18	3	28	9
PCT1148	ED	918	121	0	0	0	8	113	1	74	6	10	4	0	13	5
PCT1148	MV	918	314	1	0	0	39	274	0	167	20	9	12	9	48	9
PCT1149	ED	873	148	-2	0	0	12	138	0	86	4	11	11	0	16	10
PCT1149	MV	873	285	0	0	1	15	269	0	166	14	23	18	10	34	4
PCT1152	ED	838	125	-1	0	0	14	112	2	62	8	14	7	4	13	2
PCT1152	MV	838	286	1	0	0	18	267	2	185	13	16	11	3	30	7
PCT1153	ED	909	139	0	0	0	15	124	1	89	5	5	2	4	15	3
PCT1153	MV	909	306	0	0	1	16	289	0	196	13	7	14	6	44	9
PCT7001	ED	735	119	-2	0	0	13	108	0	72	4	21	9	0	2	0
PCT7001	MV	735	266	6	0	0	26	234	0	171	12	23	14	1	9	4
PCT7002	ED	641	132	1	0	0	6	125	0	87	12	17	4	0	3	2
PCT7002	MV	641	173	0	0	0	7	166	0	112	13	12	8	2	16	3
PCT7003	ED	864	188	-1	0	0	15	174	0	118	7	26	6	0	8	9
PCT7003	MV	864	340	1	0	0	22	317	0	226	19	35	4	6	24	3
PCT7004	ED	835	175	-1	0	0	11	165	0	117	12	15	4	3	11	3
PCT7004	MV	835	306	6	0	0	9	291	0	210	16	27	12	2	20	4
PCT7005	ED	812	180	-1	0	0	12	169	0	125	11	19	9	1	4	0
PCT7005	MV	812	295	2	0	0	10	283	0	198	12	37	12	3	17	4
PCT7006	ED	884	213	-1	0	0	10	204	0	113	14	44	19	0	8	6
PCT7006	MV	884	290	1	0	2	13	274	0	172	22	39	18	3	15	5
PCT7007	ED	916	233	-4	0	0	10	227	0	168	9	19	16	5	6	4
PCT7007	MV	916	323	2	0	0	13	308	0	235	15	33	7	1	12	5
PCT7008	ED	861	187	0	0	0	14	173	0	131	8	18	3	1	9	3
PCT7008	MV	861	345	0	0	0	23	322	0	251	16	16	5	3	19	12
PCT7009	ED	864	133	-1	0	0	10	124	0	85	4	11	8	1	11	4
PCT7009	MV	864	312	-2	0	0	32	282	1	215	11	26	11	4	11	3
PCT7011	ED	976	141	0	0	0	15	126	1	99	8	7	3	1	3	4
PCT7011	MV	976	205	1	0	1	11	192	0	147	16	10	5	3	6	5
PCT7012	ED	1061	224	0	0	0	12	212	0	138	13	28	3	5	21	4
PCT7012	MV	1061	383	0	0	0	32	351	2	235	27	34	17	2	24	10
PCT7013	ED	805	132	0	0	0	10	122	0	86	7	11	10	1	7	0
PCT7013	MV	805	251	2	0	0	8	241	0	162	32	22	9	1	13	2
PCT7014	ED	1213	188	-2	0	0	10	180	0	128	9	23	9	0	9	2
PCT7014	MV	1213	434	-1	0	0	26	409	0	306	29	30	19	2	18	5
PCT7015	MV	93	34	0	0	0	0	34	0	22	1	6	1	0	2	2
PCT7016	ED	891	112	2	0	1	20	89	0	68	2	8	1	0	5	5
PCT7016	MV	891	221	2	0	0	24	195	0	154	4	5	10	1	20	1
PCT7017	ED	734	79	0	0	0	17	62	0	54	1	2	1	0	2	2
PCT7017	MV	734	167	1	0	0	11	155	0	125	12	8	3	1	4	2
PCT7018	ED	908	88	-1	0	0	8	81	0	62	5	7	0	1	5	1
PCT7018	MV	908	343	5	0	1	21	316	2	243	18	10	8	5	29	1
PCT7019	ED	864	111	2	0	0	10	99	0	88	2	2	1	2	3	1
PCT7019	MV	864	349	-1	0	0	25	325	0	246	17	14	5	2	32	9
PCT7021	ED	927	129	0	0	0	18	111	0	72	11	15	5	2	3	3
PCT7021	MV	927	220	-1	0	0	22	199	0	151	6	13	7	4	14	4
