area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
ALLPCTS	TO	280269	147301	86	0	58	32145	115012	1161	93212	20639
ALLPCTS	ED	280269	52419	-57	0	11	12393	40072	514	31164	8394
ALLPCTS	MV	280269	94882	143	0	47	19752	74940	647	62048	12245
PCT1141	ED	998	149	0	0	0	34	115	1	80	34
PCT1141	MV	998	368	0	0	0	75	293	4	216	73
PCT1142	ED	822	120	0	0	0	22	98	1	71	26
PCT1142	MV	822	266	1	0	0	51	214	2	153	59
PCT1143	ED	989	147	-1	0	0	34	114	1	65	48
PCT1143	MV	989	311	0	0	1	79	231	4	154	73
PCT1144	ED	870	148	-1	0	1	38	110	2	63	45
PCT1144	MV	870	264	-2	0	0	46	220	13	155	52
PCT1145	ED	879	136	1	0	0	36	99	0	79	20
PCT1145	MV	879	370	0	0	0	74	296	4	227	65
PCT1146	ED	971	124	1	0	0	37	86	4	59	23
PCT1146	MV	971	326	0	0	1	41	284	2	216	66
PCT1147	ED	853	166	1	0	0	38	127	1	86	40
PCT1147	MV	853	279	-1	0	0	58	222	1	168	53
PCT1148	ED	918	121	0	0	0	26	95	1	59	35
PCT1148	MV	918	314	1	0	0	61	252	0	204	48
PCT1149	ED	873	148	-2	0	0	30	120	2	70	48
PCT1149	MV	873	285	0	0	0	54	231	1	184	46
PCT1152	ED	838	125	-1	0	0	35	91	5	65	21
PCT1152	MV	838	286	1	0	0	63	222	4	168	50
PCT1153	ED	909	139	0	0	0	34	105	3	74	28
PCT1153	MV	909	306	0	0	0	51	255	0	189	66
PCT7001	ED	735	119	-2	0	0	40	81	0	63	18
PCT7001	MV	735	266	6	0	0	58	202	0	172	30
PCT7002	ED	641	132	1	0	0	26	105	1	85	19
PCT7002	MV	641	173	0	0	0	28	145	1	117	27
PCT7003	ED	864	188	-1	0	0	38	151	4	119	28
PCT7003	MV	864	340	1	0	0	73	266	4	227	35
PCT7004	ED	835	175	-1	0	0	39	137	1	125	11
PCT7004	MV	835	306	6	0	0	68	232	2	201	29
PCT7005	ED	812	180	-1	0	0	34	147	2	121	24
PCT7005	MV	812	295	2	0	0	56	237	0	209	28
PCT7006	ED	884	213	-1	0	0	56	158	2	124	32
PCT7006	MV	884	290	1	0	0	64	225	6	172	47
