area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	162:PHIL TING	163:KEITH BOGDON	164:DAVID ERNST
ALLPCTS	TO	201722	106282	160	0	27	17250	88845	428	72070	13248	3099
ALLPCTS	ED	201722	37337	-11	0	6	7009	30333	202	24916	4003	1212
ALLPCTS	MV	201722	68945	171	0	21	10241	58512	226	47154	9245	1887
PCT1101	ED	544	83	0	0	0	12	71	0	59	9	3
PCT1101	MV	544	198	0	0	0	23	175	1	151	19	4
PCT1102	ED	964	188	-2	0	0	29	161	1	141	14	5
PCT1102	MV	964	337	1	0	0	39	297	0	234	42	21
PCT1103	ED	914	163	0	0	0	29	134	1	109	14	10
PCT1103	MV	914	348	1	0	0	34	313	2	246	57	8
PCT1104	ED	953	167	0	0	0	28	139	0	107	23	9
PCT1104	MV	953	292	0	0	2	41	249	1	213	24	11
PCT1106	ED	740	113	0	0	0	16	97	0	79	13	5
PCT1106	MV	740	231	0	0	0	20	211	0	164	40	7
PCT1107	ED	721	101	0	0	0	11	90	2	76	7	5
PCT1107	MV	721	240	5	0	0	24	211	3	169	35	4
PCT1108	ED	882	156	-1	0	0	32	125	3	109	10	3
PCT1108	MV	882	328	3	0	0	35	290	0	257	25	8
PCT1109	ED	758	124	0	0	0	19	105	1	86	10	8
PCT1109	MV	758	265	0	0	1	31	233	2	188	37	6
PCT1111	ED	938	132	-1	0	0	21	112	1	93	10	8
PCT1111	MV	938	330	3	0	1	43	283	3	218	51	11
PCT1112	ED	702	96	0	0	0	19	77	2	63	8	4
PCT1112	MV	702	221	1	0	0	26	194	2	163	22	7
PCT1113	ED	701	82	0	0	0	13	69	1	57	6	5
PCT1113	MV	701	272	2	0	1	32	237	0	180	38	19
PCT1114	ED	915	139	0	0	0	27	112	1	87	13	11
PCT1114	MV	915	280	0	0	0	27	253	1	190	41	21
PCT1115	ED	835	97	-1	0	0	11	87	0	78	4	5
PCT1115	MV	835	279	1	0	0	43	235	1	178	41	15
PCT1116	ED	842	141	0	0	0	29	112	2	100	6	4
PCT1116	MV	842	275	1	0	0	56	218	2	182	27	7
PCT1117	ED	827	138	-3	0	0	30	111	2	90	8	11
PCT1117	MV	827	240	1	0	0	23	216	1	177	22	16
PCT1118	ED	974	158	0	0	0	16	142	3	116	11	12
PCT1118	MV	974	335	0	0	0	53	282	0	226	39	17
PCT1119	ED	745	97	0	0	1	19	77	1	67	7	2
PCT1119	MV	745	274	0	0	0	26	248	1	192	47	8
PCT1121	ED	653	104	-1	0	0	20	85	0	62	15	8
PCT1121	MV	653	221	2	0	0	35	184	0	142	28	14
PCT1122	ED	607	69	0	0	0	8	61	2	51	8	0
PCT1122	MV	607	213	0	0	0	38	175	0	134	35	6
PCT1123	ED	876	118	0	0	0	18	100	1	87	8	4
PCT1123	MV	876	254	1	0	0	28	225	0	179	31	15
PCT1124	ED	773	109	0	0	0	24	85	1	71	11	2
PCT1124	MV	773	200	-1	0	0	22	179	0	159	17	3
PCT1125	ED	987	80	-1	0	0	23	58	1	42	9	6
PCT1125	MV	987	329	-1	0	1	38	291	2	222	49	18
PCT1126	ED	900	92	-2	0	0	17	77	3	65	7	2
PCT1126	MV	900	292	1	0	0	21	270	4	222	31	13
PCT1127	ED	875	141	-1	0	0	24	118	3	88	17	10
PCT1127	MV	875	277	1	0	0	42	234	1	182	42	9
PCT1128	ED	813	104	0	0	1	17	86	0	66	14	6
PCT1128	MV	813	246	0	0	0	24	222	4	160	43	15
PCT1129	ED	924	120	0	0	0	18	102	1	82	14	5
PCT1129	MV	924	274	2	0	0	28	244	1	192	44	7
PCT1131	ED	783	85	0	0	0	14	71	1	54	11	5
PCT1131	MV	783	288	1	0	0	24	263	1	206	43	13
PCT1132	ED	910	112	0	0	0	30	82	0	66	8	8
PCT1132	MV	910	324	0	0	1	40	283	0	221	48	14
PCT1133	ED	826	99	0	0	0	19	80	0	62	12	6
PCT1133	MV	826	292	-2	0	0	35	259	4	204	36	15
PCT1134	ED	727	126	0	0	0	25	101	1	86	7	7
PCT1134	MV	727	241	0	0	0	33	208	1	173	26	8
PCT1135	ED	511	71	0	0	0	12	59	0	53	5	1
PCT1135	MV	511	217	0	0	0	26	191	1	153	26	11
PCT1136	ED	807	97	0	0	0	18	79	2	62	10	5
PCT1136	MV	807	287	1	0	0	37	249	2	198	39	10
PCT9001	MV	257	101	2	0	0	6	93	0	81	6	6
PCT9101	ED	833	190	0	0	0	40	150	0	123	22	5
PCT9101	MV	833	323	0	0	0	43	280	2	216	51	11
PCT9102	ED	950	182	-1	0	0	41	142	0	109	27	6
PCT9102	MV	950	335	4	0	0	33	298	1	246	41	10
PCT9103	ED	924	174	0	0	0	28	146	1	124	16	5
PCT9103	MV	924	302	0	0	0	38	264	4	204	48	8
PCT9104	ED	937	176	0	0	0	46	130	0	103	20	7
PCT9104	MV	937	332	0	0	0	48	284	3	228	45	8
PCT9105	ED	888	191	1	0	0	44	146	1	124	14	7
PCT9105	MV	888	339	-1	0	1	56	283	2	230	43	8
PCT9106	ED	907	213	1	0	0	36	176	0	150	23	3
PCT9106	MV	907	334	4	0	1	53	276	0	230	43	3
PCT9107	ED	806	164	0	0	0	32	132	1	115	14	2
PCT9107	MV	806	246	1	0	0	41	204	1	161	36	6
PCT9108	ED	761	185	-1	0	0	29	157	4	124	19	10
PCT9108	MV	761	220	-1	0	0	35	186	0	163	16	7
PCT9109	ED	848	205	-1	0	0	37	169	2	144	20	3
PCT9109	MV	848	285	4	0	0	46	235	0	212	18	5
PCT9111	ED	756	150	0	0	0	28	122	0	101	17	4
PCT9111	MV	756	226	-1	0	0	35	192	0	149	34	9
PCT9112	ED	918	211	0	0	0	37	174	2	152	12	8
PCT9112	MV	918	295	0	0	0	54	241	1	213	22	5
PCT9113	ED	959	231	0	0	0	49	182	2	148	21	11
PCT9113	MV	959	351	1	0	0	52	298	2	252	39	5
PCT9114	ED	820	170	0	0	1	40	129	1	112	11	5
PCT9114	MV	820	273	1	0	0	56	216	2	179	22	13
PCT9115	ED	873	172	0	0	0	24	148	1	130	11	6
PCT9115	MV	873	287	2	0	0	60	225	0	189	25	11
PCT9116	ED	903	193	2	0	0	36	155	4	128	15	8
PCT9116	MV	903	314	4	0	0	61	249	1	200	39	9
PCT9117	ED	756	180	2	0	0	29	149	0	125	16	8
PCT9117	MV	756	285	1	0	0	42	242	1	203	29	9
PCT9118	ED	923	184	0	0	0	39	145	1	119	20	5
PCT9118	MV	923	268	0	0	0	43	225	3	183	31	8
PCT9119	ED	856	152	-2	0	0	37	117	2	97	12	6
PCT9119	MV	856	323	0	0	0	43	280	1	228	40	11
PCT9121	ED	890	188	0	0	0	40	148	2	114	28	4
PCT9121	MV	890	274	0	0	0	35	239	2	200	30	7
PCT9122	ED	913	131	0	0	0	37	94	0	82	10	2
PCT9122	MV	913	292	1	0	0	46	245	0	193	47	5
PCT9123	ED	829	175	0	0	0	31	144	1	118	23	2
PCT9123	MV	829	270	1	0	0	28	241	3	190	37	11
PCT9124	ED	832	150	0	0	0	28	122	0	100	15	7
PCT9124	MV	832	290	1	0	0	49	240	1	192	45	2
PCT9125	ED	822	159	1	0	0	26	132	2	117	10	3
PCT9125	MV	822	299	-3	0	0	47	255	1	215	27	12
PCT9126	ED	945	186	0	0	0	39	147	0	117	24	6
PCT9126	MV	945	350	0	0	0	58	292	1	232	52	7
PCT9127	ED	908	209	0	0	0	47	162	0	137	21	4
PCT9127	MV	908	315	-1	0	0	49	267	0	231	28	8
PCT9128	ED	805	188	0	0	0	40	148	1	117	18	12
PCT9128	MV	805	296	0	0	0	41	255	1	205	42	7
PCT9129	ED	713	173	0	0	0	31	142	0	127	13	2
PCT9129	MV	713	225	3	0	0	25	197	2	168	20	7
PCT9131	ED	740	151	0	0	0	21	130	1	111	9	9
PCT9131	MV	740	274	2	0	0	41	231	2	186	35	8
PCT9132	ED	827	167	0	0	0	40	127	3	114	6	4
PCT9132	MV	827	251	0	0	0	48	203	2	178	18	5
PCT9133	ED	1007	188	0	0	0	34	154	0	144	7	3
PCT9133	MV	1007	388	1	0	0	73	314	2	267	32	13
PCT9134	ED	893	132	0	0	0	24	108	2	93	7	6
PCT9134	MV	893	297	3	0	0	44	250	1	209	29	11
PCT9135	ED	778	149	0	0	0	29	120	2	87	25	6
PCT9135	MV	778	269	1	0	0	42	226	0	166	46	14
