area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
RCV9	TO	481991	253583	-433	0	748	2350	21510	229408	0	0	115977	113431	0	0	0	0	0	0
RCV8	TO	481991	253583	-433	0	693	2350	13456	237517	0	0	102767	68707	66043	0	0	0	0	0
RCV7	TO	481991	253583	-433	0	667	2350	5237	245762	0	0	96392	64128	63261	0	21981	0	0	0
RCV6	TO	481991	253583	-433	0	649	2350	2445	248572	0	0	93605	62861	61843	0	19626	0	10637	0
RCV5	TO	481991	253583	-433	0	641	2350	280	250745	0	0	92442	61881	61422	7242	17929	0	9829	0
RCV4	TO	481991	253583	-433	0	638	2350	136	250892	0	0	92243	61533	60829	7128	17737	1735	9687	0
RCV3	TO	481991	253583	-433	0	634	2350	0	251032	0	900	92124	61416	60738	7051	17552	1675	9576	0
RCV2	TO	481991	253583	-433	0	634	2350	0	251032	0	900	92121	61416	60738	7051	17552	1675	9576	3
RCV1	TO	481991	253583	-433	0	634	2350	0	251032	0	900	92121	61416	60738	7051	17552	1675	9576	3
ALLPCTS	TO	481991	253583	-433	0	621	2527	0	250868	492	890	91918	61276	60644	7016	17447	1661	9521	3
ALLPCTS	ED	481991	89756	-35	0	158	890	0	88743	158	318	31591	21335	25117	1911	6004	613	1696	0
ALLPCTS	MV	481991	163827	-398	0	463	1637	0	162125	334	572	60327	39941	35527	5105	11443	1048	7825	3
PCT1101	ED	544	83	0	0	0	1	0	82	1	0	19	22	28	1	11	0	0	0
PCT1101	MV	544	198	1	0	0	1	0	196	0	0	53	56	44	7	17	2	17	0
PCT1102	ED	964	188	0	0	0	0	0	188	1	2	74	36	44	2	23	0	6	0
PCT1102	MV	964	337	-3	0	0	4	0	336	0	2	118	81	68	9	35	2	21	0
PCT1103	ED	914	163	0	0	0	0	0	163	0	0	65	44	34	5	12	1	2	0
PCT1103	MV	914	348	-2	0	0	2	0	348	0	1	98	82	76	17	31	3	40	0
PCT1104	ED	953	167	0	0	0	0	0	167	0	1	44	45	34	10	20	1	12	0
PCT1104	MV	953	292	-1	0	1	3	0	289	1	0	80	69	75	5	23	2	34	0
PCT1106	ED	740	113	-1	0	0	1	0	113	0	0	55	22	24	1	8	2	1	0
PCT1106	MV	740	231	0	0	0	3	0	228	1	1	85	42	48	10	19	0	22	0
PCT1107	ED	721	101	0	0	0	1	0	100	0	1	49	13	28	2	4	1	2	0
PCT1107	MV	721	240	2	0	1	2	0	235	2	2	103	41	37	10	8	1	31	0
PCT1108	ED	882	156	0	0	1	4	0	151	0	1	75	23	30	3	10	1	8	0
PCT1108	MV	882	328	1	0	1	0	0	326	2	1	147	67	56	4	20	2	27	0
PCT1109	ED	758	124	0	0	0	2	0	122	0	1	54	20	36	4	3	0	4	0
PCT1109	MV	758	265	-1	0	1	2	0	263	0	0	105	54	47	7	8	0	42	0
PCT1111	ED	938	132	0	0	0	2	0	130	1	0	42	24	32	5	11	3	12	0
PCT1111	MV	938	330	1	0	0	2	0	327	3	0	115	60	66	7	18	8	50	0
PCT1112	ED	702	96	-3	0	2	3	0	94	0	0	39	13	27	0	3	2	10	0
PCT1112	MV	702	221	0	0	2	1	0	218	0	0	74	28	59	12	6	2	37	0
PCT1113	ED	701	82	0	0	0	2	0	80	0	0	23	15	33	2	3	1	3	0
PCT1113	MV	701	272	-3	0	6	2	0	267	0	3	93	35	58	17	17	2	42	0
PCT1114	ED	915	139	1	0	0	4	0	134	0	1	38	37	34	3	15	4	2	0
PCT1114	MV	915	280	0	0	0	0	0	280	1	11	79	61	70	8	26	3	21	0
PCT1115	ED	835	97	-1	0	0	1	0	97	0	0	37	27	24	0	4	0	5	0
PCT1115	MV	835	279	-2	0	0	3	0	278	0	4	116	51	46	4	20	2	35	0
PCT1116	ED	842	141	0	0	1	0	0	140	1	1	73	15	28	1	14	2	5	0
PCT1116	MV	842	275	0	0	1	3	0	271	1	0	105	46	50	10	11	3	45	0
PCT1117	ED	827	138	-3	0	0	2	0	139	1	2	82	13	27	4	8	1	1	0
PCT1117	MV	827	240	-1	0	0	2	0	239	1	2	98	37	40	10	18	0	33	0
PCT1118	ED	974	158	1	0	0	0	0	157	0	2	64	24	46	2	4	0	15	0
PCT1118	MV	974	335	-2	0	1	4	0	332	0	1	142	59	64	1	12	3	50	0
PCT1119	ED	745	97	-1	0	0	3	0	95	1	0	42	18	25	2	6	0	1	0
PCT1119	MV	745	274	1	0	0	1	0	272	0	3	109	65	41	8	23	1	22	0
PCT1121	ED	653	104	0	0	1	3	0	100	0	1	20	18	29	3	18	0	11	0
PCT1121	MV	653	221	-2	0	0	3	0	220	0	2	66	39	44	8	25	3	33	0
PCT1122	ED	607	69	0	0	0	2	0	67	0	0	18	13	21	2	11	0	2	0
PCT1122	MV	607	213	0	0	0	7	0	206	0	0	66	38	47	4	14	2	35	0
PCT1123	ED	876	118	-1	0	0	0	0	119	0	1	64	16	27	1	5	0	5	0
PCT1123	MV	876	254	-3	0	0	0	0	257	0	4	96	39	41	12	14	3	48	0
PCT1124	ED	773	109	0	0	1	3	0	105	0	4	47	18	24	2	6	1	3	0
PCT1124	MV	773	200	-1	0	1	0	0	200	0	1	82	21	44	3	10	1	38	0
PCT1125	ED	987	80	-1	0	1	0	0	80	1	2	33	12	26	1	4	1	0	0
PCT1125	MV	987	329	-2	0	2	4	0	325	3	5	96	74	54	11	35	2	45	0
PCT1126	ED	900	92	-2	0	1	1	0	92	0	0	32	28	21	1	7	0	3	0
PCT1126	MV	900	292	0	0	0	3	0	289	1	4	100	59	67	9	24	0	25	0
PCT1127	ED	875	141	1	0	0	2	0	138	1	1	45	29	39	4	14	1	4	0
PCT1127	MV	875	277	1	0	3	6	0	267	0	2	87	44	61	18	20	1	34	0
PCT1128	ED	813	104	0	0	0	2	0	102	1	0	29	15	26	3	19	1	8	0
PCT1128	MV	813	246	0	0	3	1	0	242	0	0	68	47	53	10	27	2	35	0
PCT1129	ED	924	120	-1	0	0	2	0	119	1	0	41	22	35	1	14	1	4	0
PCT1129	MV	924	274	1	0	0	5	0	268	0	2	67	54	65	5	34	0	41	0
PCT1131	ED	783	85	0	0	0	1	0	84	0	1	16	21	26	4	12	0	4	0
PCT1131	MV	783	288	-4	0	0	1	0	291	0	2	100	53	56	15	25	0	40	0
PCT1132	ED	910	112	1	0	0	0	0	111	2	1	36	19	29	4	15	1	4	0
PCT1132	MV	910	324	0	0	1	5	0	318	0	4	104	64	51	13	30	2	50	0
PCT1133	ED	826	99	0	0	0	0	0	99	0	0	33	20	28	4	7	1	6	0
PCT1133	MV	826	292	-1	0	1	6	0	286	0	2	107	55	53	14	34	1	20	0
PCT1134	ED	727	126	0	0	1	0	0	125	0	2	37	29	40	0	13	2	2	0
PCT1134	MV	727	241	1	0	1	4	0	235	2	1	70	42	56	5	22	1	36	0
PCT1135	ED	511	71	-1	0	0	0	0	72	0	0	28	15	18	3	3	1	4	0
PCT1135	MV	511	217	0	0	0	3	0	214	1	3	65	56	36	7	17	1	28	0
PCT1136	ED	807	97	0	0	0	2	0	95	1	1	40	19	17	0	10	0	7	0
PCT1136	MV	807	287	0	0	1	4	0	282	1	0	92	56	51	17	31	1	33	0
PCT1141	ED	998	149	0	0	0	1	0	148	0	2	47	33	43	5	12	0	6	0
PCT1141	MV	998	368	-2	0	0	1	0	369	1	0	110	84	99	12	23	1	39	0
PCT1142	ED	822	120	-1	0	0	3	0	118	0	1	34	36	33	1	8	0	5	0
PCT1142	MV	822	266	-1	0	0	0	0	267	1	1	69	77	61	8	24	0	26	0
PCT1143	ED	989	147	-1	0	0	2	0	146	1	1	31	40	51	2	15	2	3	0
PCT1143	MV	989	311	0	0	2	3	0	306	1	4	95	58	73	14	26	2	33	0
PCT1144	ED	870	148	0	0	1	0	0	147	0	1	43	29	51	5	15	1	2	0
PCT1144	MV	870	264	-1	0	0	3	0	262	0	4	83	41	72	6	26	0	30	0
PCT1145	ED	879	136	1	0	0	0	0	135	0	0	44	32	46	3	8	0	2	0
PCT1145	MV	879	370	-1	0	1	2	0	368	0	3	108	103	77	7	37	3	30	0
PCT1146	ED	971	124	0	0	0	1	0	123	0	2	38	22	44	1	9	1	6	0
PCT1146	MV	971	326	-1	0	4	2	0	321	1	0	112	62	81	1	31	4	29	0
PCT1147	ED	853	166	2	0	0	2	0	162	1	0	49	42	48	0	14	2	6	0
PCT1147	MV	853	279	0	0	5	1	0	273	0	2	70	63	68	7	37	4	22	0
PCT1148	ED	918	121	0	0	2	4	0	115	0	1	31	24	30	4	19	0	6	0
PCT1148	MV	918	314	3	0	1	3	0	307	0	2	87	64	53	10	39	4	48	0
PCT1149	ED	873	148	-2	0	0	3	0	147	1	1	36	29	54	0	21	1	4	0
PCT1149	MV	873	285	-4	0	2	5	0	282	0	3	83	40	88	7	33	3	25	0
PCT1152	ED	838	125	-1	0	0	3	0	123	3	0	33	19	39	7	16	4	2	0
PCT1152	MV	838	286	0	0	0	7	0	279	0	1	94	48	51	4	42	3	36	0
PCT1153	ED	909	139	0	0	0	3	0	136	0	2	52	17	39	2	9	2	13	0
PCT1153	MV	909	306	-1	0	1	2	0	304	1	3	104	53	68	5	28	1	41	0
PCT7001	ED	735	119	-1	0	0	0	0	120	0	0	38	30	43	1	6	2	0	0
PCT7001	MV	735	266	1	0	3	1	0	261	0	3	98	55	61	10	20	4	10	0
PCT7002	ED	641	132	0	0	1	1	0	130	0	0	42	31	50	0	5	1	1	0
PCT7002	MV	641	173	-2	0	0	2	0	173	1	1	62	41	41	3	20	4	0	0
PCT7003	ED	864	188	-1	0	1	3	0	185	0	0	63	49	58	3	11	1	0	0
PCT7003	MV	864	340	0	0	0	3	0	337	0	2	135	100	77	5	17	0	1	0
PCT7004	ED	835	175	3	0	0	2	0	170	0	0	70	49	41	1	4	1	4	0
PCT7004	MV	835	306	1	0	0	2	0	303	1	0	121	82	76	9	7	2	5	0
PCT7005	ED	812	180	0	0	0	1	0	179	0	0	62	45	62	1	8	1	0	0
