contest_id|cand_id|cand_name|ballot_designation|cand_party|incumbent|qualified
1010|001|DIANNE FEINSTEIN|United States Senator||Y|Y
1010|002|KEVIN DE LEON|California Senator||N|Y
1020|001|NANCY PELOSI|Member of Congress||Y|Y
1020|002|LISA REMMER|Educator||N|Y
1030|001|BARBARA LEE|United States Representative||Y|Y
1030|002|LAURA WELLS|||N|Y
1040|001|JACKIE SPEIER|Congresswoman||Y|Y
1040|002|CRISTINA OSMEÑA|Solar Industry Executive||N|Y
1210|001|PHIL TING|Assemblymember||Y|Y
1210|002|KEITH BOGDON|Biotech Marketing Consultant||N|Y
1310|001|DAVID CHIU|Assemblymember||Y|Y
1310|002|ALEJANDRO FERNANDEZ|Small Business Entrepreneur||N|Y
4000|002|JOHN H COX|Businessman / Taxpayer Advocate|Republican|N|Y
4000|001|GAVIN NEWSOM|Lieutenant Governor / Businessman|Democratic|N|Y
4010|002|ED HERNANDEZ|State Senator / Businessman|Democratic|N|Y
4010|001|ELENI KOUNALAKIS|Businesswoman / Economic Advisor|Democratic|N|Y
4020|001|ALEX PADILLA|Secretary of State|Democratic|Y|Y
4020|002|MARK P MEUSER|Election Law Attorney|Republican|N|Y
4030|001|BETTY T YEE|California State Controller|Democratic|Y|Y
4030|002|KONSTANTINOS RODITIS|Entrepreneur|Republican|N|Y
4040|002|GREG CONLON|Businessman / CPA|Republican|N|Y
4040|001|FIONA MA|CPA / Taxpayer Representative|Democratic|N|Y
4050|002|STEVEN C BAILEY|Retired California Judge|Republican|N|Y
4050|001|XAVIER BECERRA|Appointed Attorney General of the State of California|Democratic|N|Y
4060|002|RICARDO LARA|California Senator|Democratic|N|Y
4060|001|STEVE POIZNER|Businessman / Non-Profit Director|No Party Preference|N|Y
4070|002|MARK BURNS|Realtor / Businessman|Republican|N|Y
4070|001|MALIA COHEN|President, San Francisco County Supervisors|Democratic|N|Y
4080|002|TONY K THURMOND|Educator / State Legislator||N|Y
4080|001|MARSHALL TUCK|Schools Improvement Director||N|Y
5030|002|CARMEN CHU|City and County of San Francisco Assessor-Recorder||Y|Y
5030|001|PAUL BELLAR|Teacher / Property Appraiser||N|Y
5060|001|JEFF ADACHI|Public Defender||Y|Y
5102|006|JOHN DENNIS|Independent Businessman||N|Y
5102|001|SCHUYLER HUDAK|Businesswoman / Entrepreneur / CEO||N|Y
5102|002|NICK JOSEFOWITZ|Clean Energy Entrepreneur||N|Y
5102|005|CATHERINE STEFANI|Appointed Supervisor / Attorney||N|Y
5104|011|LOU ANN BASSAN|Attorney / Teacher||N|Y
5104|006|JESSICA HO|Legislative Aide||N|Y
5104|003|ADAM  KIM|Project Manager||N|Y
5104|008|GORDON MAR|Nonprofit Director / Parent||N|Y
5104|013|TREVOR MCNEIL|Public School Teacher||N|Y
5104|002|MIKE MURPHY|Educator||N|Y
5104|012|TUAN NGUYEN|Consultant||N|Y
5104|010|ARTHUR TOM|City Auditor||N|Y
5106|001|MATT HANEY|School Board Member / Attorney||N|Y
5106|002|CHRISTINE JOHNSON|Housing Policy Educator||N|Y
5106|007|SONJA TRAUSS|Housing Non-profit Director||N|Y
5108|001|RAFAEL MANDELMAN|City College Trustee / Attorney||Y|Y
5108|008|LAWRENCE "STARK" DAGESSE|Theatrical Stage Technician||N|Y
5110|001|GLORIA BERRY|Mother||N|Y
5110|002|ASALE CHANDLER|Mother / Grandmother||N|Y
5110|003|THEO ELLINGTON|Human Rights Commissioner||N|Y
5110|005|TONY KELLY|Artist / Art Director||N|Y
5110|006|UZURI PEASE-GREENE|Community Builder||N|Y
5110|008|SHAMANN WALTON|San Francisco Board of Education Commissioner||N|Y
6020|010|EVA I. CHAO|Chief Financial Officer||N|Y
6020|007|BRIAN J. LARKIN|Engineer / Transit Consultant||N|Y
6020|009|JANICE LI|Director, Transportation Nonprofit||N|Y
6020|004|JONATHAN LYENS|Budget Analyst||N|Y
6020|005|MELANIE NUTTER|Transportation Policy Advisor||N|Y
6020|006|WILLIAM WALKER|Driver / Student||N|Y
8520|001|MONICA CHINCHILLA|Parent||N|Y
8520|002|ALISON COLLINS|Educator / Parent Organizer||N|Y
8520|004|ALIDA FISHER|Parent / Education Consultant||N|Y
8520|022|PHILLIP MARCEL HOUSE|none||N|Y
8520|006|PAUL KANGAS|Doctor / Private Investigator||N|Y
8520|007|PHIL KIM|Public School Educator||N|Y
8520|027|CONNOR KRONE|Financial Literacy Educator||N|Y
8520|008|LEX LEIFHEIT|Parent / Public Servant||N|Y
8520|024|LI MIAO LOVETT|Academic Counselor / Mother||N|Y
8520|010|FAAUUGA MOLIGA|Social Worker / Parent||N|Y
8520|009|GABRIELA LÓPEZ|Public School Teacher||N|Y
8520|016|MIA SATYA|Case Manager / Author||N|Y
8520|017|ROGER SINASOHN|Software Developer||N|Y
8520|026|LENETTE THOMPSON|Mother / Firefighter||N|Y
8520|023|JOHN TRASVIÑA|Law School Dean||N|Y
8520|021|JOSEPHINE ZHAO|Paraeducator / Mom||N|Y
8520|025|DARRON A. PADILLA|Organization Development Consultant||N|Y
8520|012|MICHELLE PARKER|Nonprofit Grantwriter / Parent||N|Y
8520|015|MARTIN RAWLINGS-FEIN|Educator / Parent||N|Y
8540|001|BRIGITTE DAVILA|President, College Board||Y|Y
8540|003|JOHN RIZZO|Incumbent||Y|Y
8540|005|THEA SELBY|Incumbent||Y|Y
8540|002|VICTOR OLIVIERI|Educator / Nonprofit Director||N|Y
