contest_seq|contest_id|district_id|headings|ballot_title|contest_abbr|contest_party|vote_for|on_ballot
001|1010|0|FEDERAL|UNITED STATES SENATE|UNITED STATES SENATE||1|Y
002|1020|CONG12|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 12|US House of Rep~District 12||1|Y
003|1030|CONG13|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 13|US House of Rep~District 13||1|Y
004|1040|CONG14|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 14|US House of Rep~District 14||1|Y
005|1210|ASSM19|STATE|STATE ASSEMBLY MEMBER, DISTRICT 19|STATE ASSEMBLY MEMBER~District 19||1|Y
006|1310|ASSM17|STATE|STATE ASSEMBLY MEMBER, DISTRICT 17|STATE ASSEMBLY MEMBER~District 17||1|Y
007|4000|CITY1|STATE|GOVERNOR|GOVERNOR||1|Y
008|4010|CITY1|STATE|LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR||1|Y
009|4020|CITY1|STATE|SECRETARY OF STATE|SECRETARY OF STATE||1|Y
010|4030|CITY1|STATE|CONTROLLER|CONTROLLER||1|Y
011|4040|CITY1|STATE|TREASURER|TREASURER||1|Y
012|4050|CITY1|STATE|ATTORNEY GENERAL|ATTORNEY GENERAL||1|Y
013|4060|CITY1|STATE|INSURANCE COMMISSIONER|INSURANCE COMMISSIONER||1|Y
014|4070|EQUAL2|STATE|BOARD OF EQUALIZATION MEMBER, DISTRICT 2|BOARD OF EQUALIZATION||1|Y
015|4080|CITY1|SCHOOL|SUPERINTENDENT OF PUBLIC INSTRUCTION|Superintendent of Public Instruction||1|Y
016|5030|CITY1|CITY AND COUNTY|ASSESSOR-RECORDER|ASSESSOR-RECORDER||1|Y
017|5060|CITY1|CITY AND COUNTY|PUBLIC DEFENDER|PUBLIC DEFENDER||1|Y
018|5102|SUPV2|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 2|BOARD OF SUPERVISORS~DISTRICT 2||1|Y
019|5104|SUPV4|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 4|BOARD OF SUPERVISORS~DISTRICT 4||1|Y
020|5106|SUPV6|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 6|BOARD OF SUPERVISORS~DISTRICT 6||1|Y
021|5108|SUPV8|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 8|BOARD OF SUPERVISORS~DISTRICT 8||1|Y
022|5110|SUPV10|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 10|BOARD OF SUPERVISORS~DISTRICT 10||1|Y
023|6020|BART8|DISTRICT|BART DIRECTOR, DISTRICT 8|BART DIRECTOR~DISTRICT 8||1|Y
024|8520|CITY1|SCHOOL|MEMBER, BOARD OF EDUCATION|Member, BoE||3|Y
025|8540|CITY1|SCHOOL|MEMBER, COMMUNITY COLLEGE BOARD|Member, CCB||3|Y
