ballot_type|contest_ids
000|622 623 626 627 628 624 625 621 629 476 477 478 474 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 669 670 671 632 672
001|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
002|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
003|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
004|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
005|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 672
006|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 672
007|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
008|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 669
009|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 669
010|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
011|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
012|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
013|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 671
014|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
015|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
016|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 632
017|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
018|622 623 626 627 628 624 625 621 629 476 474 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
019|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 672
020|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
021|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 669
022|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 669
023|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 670
024|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 670
025|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 670
026|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
027|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
028|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
029|622 623 626 627 628 624 625 621 629 476 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
030|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 619 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
031|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
032|622 623 626 627 628 624 625 621 629 478 475 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 632
033|622 623 626 627 628 624 625 621 629 477 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 672
034|622 623 626 627 628 624 625 621 629 478 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668 632
035|622 623 626 627 628 624 625 621 629 478 474 680 681 682 683 684 685 709 686 710 687 637 618 652 314 104 105 106 107 108 486 691 prop9 692 693 694 498 499 511 512 513 667 668
