contest_id2	contest_id1	contest_name2	contest_name1
104	360	Proposition:2	Proposition:2
105	365	Proposition:3	Proposition:3
106	370	Proposition:4	Proposition:4
107	375	Proposition:5	Proposition:5
108	380	Proposition:6	Proposition:6
314	355	Proposition:1	Proposition:1
474	160	STATE ASSEMBLY MEMBER~DISTRICT 17	State Assembly, District 17
475	165	STATE ASSEMBLY MEMBER~DISTRICT 19	State Assembly, District 19
476	145	UNITED STATES REPRESENTATIVE~DISTRICT 12	U.S. Representative, District 12
477	150	UNITED STATES REPRESENTATIVE~DISTRICT 13	U.S. Representative, District 13
478	155	UNITED STATES REPRESENTATIVE~DISTRICT 14	U.S. Representative, District 14
486	385	Proposition:7	Proposition:7
498	410	Measure:A	Measure:A
499	415	Measure:B	Measure:B
511	420	Measure:C	Measure:C
512	425	Measure:D	Measure:D
513	430	Measure:E	Measure:E
618	170	MEMBER, BOARD OF EDUCATION	Member, Board of Education
619	245	BART DIRECTOR~DISTRICT 8	BART Director, District 8
621	135	BOARD OF EQUALIZATION MEMBER, DISTRICT 2	Board of Equalization, District 2
622	100	GOVERNOR	Governor
623	105	LIEUTENANT GOVERNOR	Lieutenant Governor
624	125	ATTORNEY GENERAL	Attorney General
625	130	INSURANCE COMMISSIONER	Insurance Commissioner
626	110	SECRETARY OF STATE	Secretary of State
627	115	CONTROLLER	State Controller
628	120	TREASURER	State Treasurer
629	140	UNITED STATES SENATE	U.S. Senator
632	295	MEMBER, BOARD OF SUPERVISORS~DISTRICT 8	Board of Supervisors, District 8
637	235	SUPERINTENDENT OF PUBLIC INSTRUCTION	Superintendent of Public Instruction
652	240	MEMBER, COMMUNITY COLLEGE BOARD	Member, Community College Board
667	250	ASSESSOR-RECORDER	Assessor-Recorder
668	265	PUBLIC DEFENDER	Public Defender
669	280	MEMBER, BOARD OF SUPERVISORS~DISTRICT 2	Board of Supervisors, District 2
670	285	MEMBER, BOARD OF SUPERVISORS~DISTRICT 4	Board of Supervisors, District 4
671	290	MEMBER, BOARD OF SUPERVISORS~DISTRICT 6	Board of Supervisors, District 6
672	300	MEMBER, BOARD OF SUPERVISORS~DISTRICT 10	Board of Supervisors, District 10
680	305	Retention:CAROL A. CORRIGAN	Retention:CORRIGAN
681	310	Retention:LEONDRA R. KRUGER	Retention:KRUGER
682	315	Retention:JAMES M. HUMES	Retention:HUMES
683	320	Retention:SANDRA MARGULIES	Retention:MARGULIES
684	325	Retention:JAMES A. RICHMAN	Retention:RICHMAN
685	330	Retention:MARLA MILLER	Retention:MILLER
686	340	Retention:JON B. STREETER	Retention:STREETER
687	350	Retention:BARBARA JONES	Retention:JONES
691	390	Proposition:8	Proposition:8
692	395	Proposition:10	Proposition:10
693	400	Proposition:11	Proposition:11
694	405	Proposition:12	Proposition:12
709	335	Retention:PETER JOHN SIGGINS	Retention:SIGGINS
710	345	Retention:ALISON M. TUCHER	Retention:TUCHER
prop9		Proposition:9	
