sequence	cont_external_id	cand_external_ids	bts
100	622	5279 5280	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
105	623	5281 5282	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
110	626	5105 5283	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
115	627	5110 5111	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
120	628	5113 5115	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
125	624	5095 5096	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
130	625	5098 5100	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
135	621	5046 5278	001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
135	621	5278 5046	000
140	629	5285 5127	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
145	476	5123 5284	000 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018
145	476	5284 5123	020 021 022 023 024 026 027 028 029
150	477	5124	000 033
155	478	5125 5126	001 002 019 025 030 031 032
155	478	5126 5125	000 034 035
160	474	5050 5051	000 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 033 034 035
165	475	5054 5052	000 001 002 019 020 021 022 023 024 025 026 027 028 029 030 031 032
185	680	5296 5297	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
190	681	5298 5299	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
195	682	5300 5301	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
200	683	5302 5303	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
205	684	5304 5305	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
210	685	5306 5307	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
215	709	5479 5480	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
220	686	5308 5309	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
225	710	5481 5482	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
230	687	5310 5311	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
235	637	5295 5294	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
237	618	5027 5035 5033 5031 5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291	008 009 021 022
237	618	5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031 5287 5030	016 032 034
237	618	5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031 5287	014 015 028 029 030 031 035
237	618	5031 5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033	012 026 027
237	618	5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031 5287 5030 5028 5286	005 006 019 033
237	618	5033 5031 5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035	023 024 025
237	618	5035 5033 5031 5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027	010 011
237	618	5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031 5287 5030 5028	017 018
237	618	5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031	013
237	618	5288 5036 5290 5292 5293 5289 5037 5029 5034 5291 5027 5035 5033 5031 5287 5030 5028 5286 5032	001 002 003 004
237	618	5291 5027 5035 5033 5031 5287 5030 5028 5286 5032 5288 5036 5290 5292 5293 5289 5037 5029 5034	000 007 020
240	652	5233 5234 5276 5277	000 007 012 017 018 020 026 027
240	652	5234 5276 5277 5233	005 006 008 009 013 019 021 022 033
240	652	5276 5277 5233 5234	001 002 003 004 010 011 014 015 028 029 030 031 035
240	652	5277 5233 5234 5276	016 023 024 025 032 034
245	619	5252 5250 5247 5251 5248 5249	000 002 004 006 008 010 015 018 019 020 021 023 025 027 029 030
250	667	5253 5254	005 006 008 009 013 016 019 021 022 023 024 025 032 033 034
250	667	5254 5253	000 001 002 003 004 007 010 011 012 014 015 017 018 020 026 027 028 029 030 031 035
265	668	5255	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
280	669	5257 5258 5256 5259	000 008 009 021 022
285	670	5262 5261 5266 5263 5267 5265 5260 5264	000 023 024 025
290	671	5269 5268 5400	000 013
295	632	5215 5214	000 016 032 034
300	672	5273 5274 5270 5275 5272 5271	000 005 006 019 033
305	314	2173 2174	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
310	104	478 479	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
315	105	480 481	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
320	106	482 483	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
325	107	484 485	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
330	108	486 487	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
335	486	3522 3523	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
340	691	5392 5393	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
350	692	5394 5395	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
355	693	5396 5397	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
360	694	5398 5399	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
365	498	3559 3560	000 001 002 003 004 005 006 007 008 009 010 011 012 013 014 015 016 017 018 019 020 021 022 023 024 025 026 027 028 029 030 031 032 033 034 035
