contest_id2	contest_id1	district_id
104	1702	0
105	1703	0
106	1704	0
107	1705	0
108	1706	0
314	1701	0
474	1310	ASSM17
475	1210	ASSM19
476	1020	CONG12
477	1030	CONG13
478	1040	CONG14
486	1707	0
498	1801	0
499	1802	0
511	1803	0
512	1804	0
513	1805	0
618	8520	CITY1
619	6020	BART8
621	4070	EQUAL2
622	4000	CITY1
623	4010	CITY1
624	4050	CITY1
625	4060	CITY1
626	4020	CITY1
627	4030	CITY1
628	4040	CITY1
629	1010	0
632	5108	SUPV8
637	4080	CITY1
652	8540	CITY1
667	5030	CITY1
668	5060	CITY1
669	5102	SUPV2
670	5104	SUPV4
671	5106	SUPV6
672	5110	SUPV10
680	2001	0
681	2002	0
682	2003	0
683	2004	0
684	2005	0
685	2006	0
686	2008	0
687	2010	0
691	1708	0
692	1710	0
693	1711	0
694	1712	0
709	2007	0
710	2009	0
