area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
ALL	TO	291063	0	0	0	0	0	0	0
ALL	ED	291063	0	0	0	0	0	0	0
ALL	MV	291063	0	0	0	0	0	0	0
PCT1141	ED	1041	0	0	0	0	0	0	0
PCT1141	MV	1041	0	0	0	0	0	0	0
PCT1142	ED	861	0	0	0	0	0	0	0
PCT1142	MV	861	0	0	0	0	0	0	0
PCT1143	ED	1034	0	0	0	0	0	0	0
PCT1143	MV	1034	0	0	0	0	0	0	0
PCT1144	ED	907	0	0	0	0	0	0	0
PCT1144	MV	907	0	0	0	0	0	0	0
PCT1145	ED	888	0	0	0	0	0	0	0
PCT1145	MV	888	0	0	0	0	0	0	0
PCT1146	ED	1011	0	0	0	0	0	0	0
PCT1146	MV	1011	0	0	0	0	0	0	0
PCT1147	ED	877	0	0	0	0	0	0	0
PCT1147	MV	877	0	0	0	0	0	0	0
PCT1148	ED	962	0	0	0	0	0	0	0
PCT1148	MV	962	0	0	0	0	0	0	0
PCT1149	ED	907	0	0	0	0	0	0	0
PCT1149	MV	907	0	0	0	0	0	0	0
PCT1152	ED	864	0	0	0	0	0	0	0
PCT1152	MV	864	0	0	0	0	0	0	0
PCT1153	ED	951	0	0	0	0	0	0	0
PCT1153	MV	951	0	0	0	0	0	0	0
PCT7001	ED	776	0	0	0	0	0	0	0
PCT7001	MV	776	0	0	0	0	0	0	0
PCT7002	ED	706	0	0	0	0	0	0	0
PCT7002	MV	706	0	0	0	0	0	0	0
PCT7003	ED	884	0	0	0	0	0	0	0
PCT7003	MV	884	0	0	0	0	0	0	0
PCT7004	ED	881	0	0	0	0	0	0	0
PCT7004	MV	881	0	0	0	0	0	0	0
PCT7005	ED	847	0	0	0	0	0	0	0
PCT7005	MV	847	0	0	0	0	0	0	0
PCT7006	ED	917	0	0	0	0	0	0	0
PCT7006	MV	917	0	0	0	0	0	0	0
PCT7007	ED	949	0	0	0	0	0	0	0
PCT7007	MV	949	0	0	0	0	0	0	0
PCT7008	ED	932	0	0	0	0	0	0	0
PCT7008	MV	932	0	0	0	0	0	0	0
PCT7009	ED	905	0	0	0	0	0	0	0
PCT7009	MV	905	0	0	0	0	0	0	0
PCT7011	ED	985	0	0	0	0	0	0	0
PCT7011	MV	985	0	0	0	0	0	0	0
PCT7012	ED	1109	0	0	0	0	0	0	0
PCT7012	MV	1109	0	0	0	0	0	0	0
PCT7013	ED	956	0	0	0	0	0	0	0
PCT7013	MV	956	0	0	0	0	0	0	0
PCT7014	ED	1460	0	0	0	0	0	0	0
PCT7014	MV	1460	0	0	0	0	0	0	0
PCT7015	MV	95	0	0	0	0	0	0	0
PCT7016	ED	918	0	0	0	0	0	0	0
PCT7016	MV	918	0	0	0	0	0	0	0
PCT7017	ED	754	0	0	0	0	0	0	0
PCT7017	MV	754	0	0	0	0	0	0	0
PCT7018	ED	977	0	0	0	0	0	0	0
PCT7018	MV	977	0	0	0	0	0	0	0
PCT7019	ED	899	0	0	0	0	0	0	0
PCT7019	MV	899	0	0	0	0	0	0	0
PCT7021	ED	947	0	0	0	0	0	0	0
PCT7021	MV	947	0	0	0	0	0	0	0
PCT7022	ED	945	0	0	0	0	0	0	0
PCT7022	MV	945	0	0	0	0	0	0	0
PCT7023	ED	928	0	0	0	0	0	0	0
PCT7023	MV	928	0	0	0	0	0	0	0
PCT7024	ED	414	0	0	0	0	0	0	0
PCT7024	MV	414	0	0	0	0	0	0	0
PCT7025	ED	477	0	0	0	0	0	0	0
PCT7025	MV	477	0	0	0	0	0	0	0
PCT7026	ED	1011	0	0	0	0	0	0	0
PCT7026	MV	1011	0	0	0	0	0	0	0
PCT7027	ED	869	0	0	0	0	0	0	0
PCT7027	MV	869	0	0	0	0	0	0	0
PCT7028	ED	850	0	0	0	0	0	0	0
PCT7028	MV	850	0	0	0	0	0	0	0
PCT7029	ED	901	0	0	0	0	0	0	0
PCT7029	MV	901	0	0	0	0	0	0	0
PCT7030	ED	759	0	0	0	0	0	0	0
PCT7030	MV	759	0	0	0	0	0	0	0
PCT7031	ED	641	0	0	0	0	0	0	0
PCT7031	MV	641	0	0	0	0	0	0	0
PCT7032	ED	904	0	0	0	0	0	0	0
PCT7032	MV	904	0	0	0	0	0	0	0
PCT7033	ED	798	0	0	0	0	0	0	0
PCT7033	MV	798	0	0	0	0	0	0	0
PCT7034	ED	958	0	0	0	0	0	0	0
PCT7034	MV	958	0	0	0	0	0	0	0
PCT7035	ED	606	0	0	0	0	0	0	0
PCT7035	MV	606	0	0	0	0	0	0	0
PCT7036	ED	921	0	0	0	0	0	0	0
PCT7036	MV	921	0	0	0	0	0	0	0
PCT7037	ED	735	0	0	0	0	0	0	0
PCT7037	MV	735	0	0	0	0	0	0	0
PCT7038	ED	911	0	0	0	0	0	0	0
PCT7038	MV	911	0	0	0	0	0	0	0
PCT7039	ED	784	0	0	0	0	0	0	0
PCT7039	MV	784	0	0	0	0	0	0	0
PCT7041	MV	61	0	0	0	0	0	0	0
PCT7042	ED	639	0	0	0	0	0	0	0
PCT7042	MV	639	0	0	0	0	0	0	0
PCT7043	ED	957	0	0	0	0	0	0	0
PCT7043	MV	957	0	0	0	0	0	0	0
PCT7044	ED	827	0	0	0	0	0	0	0
PCT7044	MV	827	0	0	0	0	0	0	0
PCT7045	ED	779	0	0	0	0	0	0	0
PCT7045	MV	779	0	0	0	0	0	0	0
PCT7046	ED	402	0	0	0	0	0	0	0
PCT7046	MV	402	0	0	0	0	0	0	0
PCT7047	ED	823	0	0	0	0	0	0	0
PCT7047	MV	823	0	0	0	0	0	0	0
PCT7048	ED	858	0	0	0	0	0	0	0
PCT7048	MV	858	0	0	0	0	0	0	0
PCT7049	ED	792	0	0	0	0	0	0	0
PCT7049	MV	792	0	0	0	0	0	0	0
PCT7051	ED	861	0	0	0	0	0	0	0
PCT7051	MV	861	0	0	0	0	0	0	0
PCT7052	ED	852	0	0	0	0	0	0	0
PCT7052	MV	852	0	0	0	0	0	0	0
PCT7053	ED	548	0	0	0	0	0	0	0
PCT7053	MV	548	0	0	0	0	0	0	0
PCT7054	ED	1073	0	0	0	0	0	0	0
PCT7054	MV	1073	0	0	0	0	0	0	0
PCT7055	ED	808	0	0	0	0	0	0	0
PCT7055	MV	808	0	0	0	0	0	0	0
PCT7101	MV	155	0	0	0	0	0	0	0
PCT7201	ED	936	0	0	0	0	0	0	0
PCT7201	MV	936	0	0	0	0	0	0	0
PCT7202	ED	850	0	0	0	0	0	0	0
PCT7202	MV	850	0	0	0	0	0	0	0
PCT7203	ED	921	0	0	0	0	0	0	0
PCT7203	MV	921	0	0	0	0	0	0	0
PCT7204	ED	918	0	0	0	0	0	0	0
PCT7204	MV	918	0	0	0	0	0	0	0
PCT7205	ED	875	0	0	0	0	0	0	0
PCT7205	MV	875	0	0	0	0	0	0	0
PCT7206	ED	378	0	0	0	0	0	0	0
PCT7206	MV	378	0	0	0	0	0	0	0
PCT7207	ED	812	0	0	0	0	0	0	0
PCT7207	MV	812	0	0	0	0	0	0	0
