area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	133:NICK JOSEFOWITZ	134:JOHN DENNIS	135:SCHUYLER HUDAK	136:CATHERINE STEFANI
ALLPCTS	TO	50394	0	0	0	0	0	0	0	0	0	0	0
ALLPCTS	ED	50394	0	0	0	0	0	0	0	0	0	0	0
ALLPCTS	MV	50394	0	0	0	0	0	0	0	0	0	0	0
PCT7201	ED	936	0	0	0	0	0	0	0	0	0	0	0
PCT7201	MV	936	0	0	0	0	0	0	0	0	0	0	0
PCT7202	ED	850	0	0	0	0	0	0	0	0	0	0	0
PCT7202	MV	850	0	0	0	0	0	0	0	0	0	0	0
PCT7203	ED	921	0	0	0	0	0	0	0	0	0	0	0
PCT7203	MV	921	0	0	0	0	0	0	0	0	0	0	0
PCT7204	ED	918	0	0	0	0	0	0	0	0	0	0	0
PCT7204	MV	918	0	0	0	0	0	0	0	0	0	0	0
PCT7205	ED	875	0	0	0	0	0	0	0	0	0	0	0
PCT7205	MV	875	0	0	0	0	0	0	0	0	0	0	0
PCT7206	ED	378	0	0	0	0	0	0	0	0	0	0	0
PCT7206	MV	378	0	0	0	0	0	0	0	0	0	0	0
PCT7207	ED	812	0	0	0	0	0	0	0	0	0	0	0
PCT7207	MV	812	0	0	0	0	0	0	0	0	0	0	0
PCT7208	ED	600	0	0	0	0	0	0	0	0	0	0	0
PCT7208	MV	600	0	0	0	0	0	0	0	0	0	0	0
PCT7209	ED	626	0	0	0	0	0	0	0	0	0	0	0
PCT7209	MV	626	0	0	0	0	0	0	0	0	0	0	0
PCT9201	ED	1004	0	0	0	0	0	0	0	0	0	0	0
PCT9201	MV	1004	0	0	0	0	0	0	0	0	0	0	0
PCT9202	ED	971	0	0	0	0	0	0	0	0	0	0	0
PCT9202	MV	971	0	0	0	0	0	0	0	0	0	0	0
PCT9203	ED	1002	0	0	0	0	0	0	0	0	0	0	0
PCT9203	MV	1002	0	0	0	0	0	0	0	0	0	0	0
PCT9204	ED	873	0	0	0	0	0	0	0	0	0	0	0
PCT9204	MV	873	0	0	0	0	0	0	0	0	0	0	0
PCT9205	ED	728	0	0	0	0	0	0	0	0	0	0	0
PCT9205	MV	728	0	0	0	0	0	0	0	0	0	0	0
PCT9206	ED	931	0	0	0	0	0	0	0	0	0	0	0
PCT9206	MV	931	0	0	0	0	0	0	0	0	0	0	0
PCT9207	ED	981	0	0	0	0	0	0	0	0	0	0	0
PCT9207	MV	981	0	0	0	0	0	0	0	0	0	0	0
PCT9208	ED	1002	0	0	0	0	0	0	0	0	0	0	0
PCT9208	MV	1002	0	0	0	0	0	0	0	0	0	0	0
PCT9209	ED	711	0	0	0	0	0	0	0	0	0	0	0
PCT9209	MV	711	0	0	0	0	0	0	0	0	0	0	0
PCT9211	ED	889	0	0	0	0	0	0	0	0	0	0	0
PCT9211	MV	889	0	0	0	0	0	0	0	0	0	0	0
PCT9212	ED	803	0	0	0	0	0	0	0	0	0	0	0
PCT9212	MV	803	0	0	0	0	0	0	0	0	0	0	0
PCT9213	ED	951	0	0	0	0	0	0	0	0	0	0	0
PCT9213	MV	951	0	0	0	0	0	0	0	0	0	0	0
PCT9214	ED	640	0	0	0	0	0	0	0	0	0	0	0
PCT9214	MV	640	0	0	0	0	0	0	0	0	0	0	0
PCT9215	ED	652	0	0	0	0	0	0	0	0	0	0	0
PCT9215	MV	652	0	0	0	0	0	0	0	0	0	0	0
PCT9216	ED	845	0	0	0	0	0	0	0	0	0	0	0
PCT9216	MV	845	0	0	0	0	0	0	0	0	0	0	0
PCT9217	ED	698	0	0	0	0	0	0	0	0	0	0	0
PCT9217	MV	698	0	0	0	0	0	0	0	0	0	0	0
PCT9218	ED	841	0	0	0	0	0	0	0	0	0	0	0
