area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSPnd	RSCha
ALL	TO	ALL	500516	0	0	0	0
ALL	ED	ALL	133232	0	0
ALL	MV	ALL	367432	0	0	0	0
ALL	MV	AI	6119	0	0	0	0
ALL	MV	DEM	211862	0	0	0	0
ALL	MV	GRN	2685	0	0	0	0
ALL	MV	LIB	2234	0	0	0	0
ALL	MV	PF	947	0	0	0	0
ALL	MV	REP	24417	0	0	0	0
ALL	MV	NPP	117148	0	0	0	0
PCT1101	TO	ALL	553	0	0
PCT1101	ED	ALL	151	0	0
PCT1101	MV	ALL	402	0	0	0	0
PCT1101	MV	AI	5	0	0	0	0
PCT1101	MV	DEM	223	0	0	0	0
PCT1101	MV	GRN	0	0	0	0	0
PCT1101	MV	LIB	2	0	0	0	0
PCT1101	MV	PF	1	0	0	0	0
PCT1101	MV	REP	19	0	0	0	0
PCT1101	MV	NPP	150	0	0	0	0
PCT1102	TO	ALL	995	0	0
PCT1102	ED	ALL	298	0	0
PCT1102	MV	ALL	697	0	0	0	0
PCT1102	MV	AI	12	0	0	0	0
PCT1102	MV	DEM	415	0	0	0	0
PCT1102	MV	GRN	2	0	0	0	0
PCT1102	MV	LIB	1	0	0	0	0
PCT1102	MV	PF	2	0	0	0	0
PCT1102	MV	REP	47	0	0	0	0
PCT1102	MV	NPP	215	0	0	0	0
PCT1103	TO	ALL	951	0	0
PCT1103	ED	ALL	277	0	0
PCT1103	MV	ALL	674	0	0	0	0
PCT1103	MV	AI	8	0	0	0	0
PCT1103	MV	DEM	382	0	0	0	0
PCT1103	MV	GRN	8	0	0	0	0
PCT1103	MV	LIB	4	0	0	0	0
PCT1103	MV	PF	2	0	0	0	0
PCT1103	MV	REP	55	0	0	0	0
PCT1103	MV	NPP	213	0	0	0	0
PCT1104	TO	ALL	993	0	0
PCT1104	ED	ALL	316	0	0
PCT1104	MV	ALL	677	0	0	0	0
PCT1104	MV	AI	15	0	0	0	0
PCT1104	MV	DEM	379	0	0	0	0
PCT1104	MV	GRN	6	0	0	0	0
PCT1104	MV	LIB	1	0	0	0	0
PCT1104	MV	PF	2	0	0	0	0
PCT1104	MV	REP	36	0	0	0	0
PCT1104	MV	NPP	238	0	0	0	0
PCT1106	TO	ALL	765	0	0
PCT1106	ED	ALL	211	0	0
PCT1106	MV	ALL	554	0	0	0	0
PCT1106	MV	AI	9	0	0	0	0
PCT1106	MV	DEM	305	0	0	0	0
PCT1106	MV	GRN	6	0	0	0	0
PCT1106	MV	LIB	2	0	0	0	0
PCT1106	MV	PF	1	0	0	0	0
PCT1106	MV	REP	38	0	0	0	0
PCT1106	MV	NPP	191	0	0	0	0
PCT1107	TO	ALL	746	0	0
PCT1107	ED	ALL	203	0	0
PCT1107	MV	ALL	543	0	0	0	0
PCT1107	MV	AI	3	0	0	0	0
PCT1107	MV	DEM	305	0	0	0	0
PCT1107	MV	GRN	3	0	0	0	0
PCT1107	MV	LIB	2	0	0	0	0
PCT1107	MV	PF	1	0	0	0	0
PCT1107	MV	REP	25	0	0	0	0
PCT1107	MV	NPP	203	0	0	0	0
PCT1108	TO	ALL	909	0	0
PCT1108	ED	ALL	237	0	0
PCT1108	MV	ALL	672	0	0	0	0
PCT1108	MV	AI	12	0	0	0	0
PCT1108	MV	DEM	405	0	0	0	0
PCT1108	MV	GRN	4	0	0	0	0
PCT1108	MV	LIB	2	0	0	0	0
PCT1108	MV	PF	2	0	0	0	0
PCT1108	MV	REP	15	0	0	0	0
PCT1108	MV	NPP	227	0	0	0	0
PCT1109	TO	ALL	798	0	0
PCT1109	ED	ALL	195	0	0
PCT1109	MV	ALL	603	0	0	0	0
PCT1109	MV	AI	8	0	0	0	0
PCT1109	MV	DEM	321	0	0	0	0
PCT1109	MV	GRN	3	0	0	0	0
PCT1109	MV	LIB	2	0	0	0	0
PCT1109	MV	PF	2	0	0	0	0
PCT1109	MV	REP	31	0	0	0	0
PCT1109	MV	NPP	235	0	0	0	0
PCT1111	TO	ALL	1002	0	0
PCT1111	ED	ALL	264	0	0
PCT1111	MV	ALL	738	0	0	0	0
PCT1111	MV	AI	9	0	0	0	0
PCT1111	MV	DEM	375	0	0	0	0
PCT1111	MV	GRN	6	0	0	0	0
PCT1111	MV	LIB	3	0	0	0	0
PCT1111	MV	PF	0	0	0	0	0
PCT1111	MV	REP	37	0	0	0	0
PCT1111	MV	NPP	300	0	0	0	0
PCT1112	TO	ALL	769	0	0
PCT1112	ED	ALL	200	0	0
PCT1112	MV	ALL	569	0	0	0	0
PCT1112	MV	AI	2	0	0	0	0
PCT1112	MV	DEM	281	0	0	0	0
PCT1112	MV	GRN	2	0	0	0	0
PCT1112	MV	LIB	3	0	0	0	0
PCT1112	MV	PF	1	0	0	0	0
PCT1112	MV	REP	21	0	0	0	0
PCT1112	MV	NPP	256	0	0	0	0
PCT1113	TO	ALL	746	0	0
PCT1113	ED	ALL	143	0	0
PCT1113	MV	ALL	603	0	0	0	0
PCT1113	MV	AI	7	0	0	0	0
PCT1113	MV	DEM	303	0	0	0	0
PCT1113	MV	GRN	4	0	0	0	0
PCT1113	MV	LIB	2	0	0	0	0
PCT1113	MV	PF	5	0	0	0	0
PCT1113	MV	REP	41	0	0	0	0
PCT1113	MV	NPP	238	0	0	0	0
PCT1114	TO	ALL	957	0	0
PCT1114	ED	ALL	286	0	0
PCT1114	MV	ALL	671	0	0	0	0
PCT1114	MV	AI	17	0	0	0	0
PCT1114	MV	DEM	342	0	0	0	0
PCT1114	MV	GRN	9	0	0	0	0
PCT1114	MV	LIB	3	0	0	0	0
PCT1114	MV	PF	2	0	0	0	0
PCT1114	MV	REP	47	0	0	0	0
PCT1114	MV	NPP	247	0	0	0	0
PCT1115	TO	ALL	895	0	0
PCT1115	ED	ALL	222	0	0
PCT1115	MV	ALL	673	0	0	0	0
PCT1115	MV	AI	7	0	0	0	0
PCT1115	MV	DEM	353	0	0	0	0
PCT1115	MV	GRN	3	0	0	0	0
PCT1115	MV	LIB	6	0	0	0	0
PCT1115	MV	PF	2	0	0	0	0
PCT1115	MV	REP	23	0	0	0	0
PCT1115	MV	NPP	274	0	0	0	0
PCT1116	TO	ALL	895	0	0
PCT1116	ED	ALL	266	0	0
PCT1116	MV	ALL	629	0	0	0	0
PCT1116	MV	AI	8	0	0	0	0
PCT1116	MV	DEM	340	0	0	0	0
PCT1116	MV	GRN	3	0	0	0	0
PCT1116	MV	LIB	3	0	0	0	0
PCT1116	MV	PF	3	0	0	0	0
PCT1116	MV	REP	42	0	0	0	0
PCT1116	MV	NPP	224	0	0	0	0
PCT1117	TO	ALL	858	0	0
PCT1117	ED	ALL	246	0	0
PCT1117	MV	ALL	612	0	0	0	0
PCT1117	MV	AI	9	0	0	0	0
PCT1117	MV	DEM	353	0	0	0	0
PCT1117	MV	GRN	2	0	0	0	0
PCT1117	MV	LIB	5	0	0	0	0
PCT1117	MV	PF	3	0	0	0	0
PCT1117	MV	REP	23	0	0	0	0
PCT1117	MV	NPP	214	0	0	0	0
PCT1118	TO	ALL	1043	0	0
PCT1118	ED	ALL	278	0	0
PCT1118	MV	ALL	765	0	0	0	0
PCT1118	MV	AI	13	0	0	0	0
PCT1118	MV	DEM	413	0	0	0	0
PCT1118	MV	GRN	6	0	0	0	0
PCT1118	MV	LIB	2	0	0	0	0
PCT1118	MV	PF	5	0	0	0	0
PCT1118	MV	REP	22	0	0	0	0
PCT1118	MV	NPP	299	0	0	0	0
PCT1119	TO	ALL	791	0	0
PCT1119	ED	ALL	195	0	0
PCT1119	MV	ALL	596	0	0	0	0
PCT1119	MV	AI	6	0	0	0	0
PCT1119	MV	DEM	336	0	0	0	0
PCT1119	MV	GRN	2	0	0	0	0
PCT1119	MV	LIB	3	0	0	0	0
PCT1119	MV	PF	6	0	0	0	0
PCT1119	MV	REP	24	0	0	0	0
PCT1119	MV	NPP	217	0	0	0	0
PCT1121	TO	ALL	691	0	0
PCT1121	ED	ALL	189	0	0
PCT1121	MV	ALL	502	0	0	0	0
PCT1121	MV	AI	4	0	0	0	0
PCT1121	MV	DEM	275	0	0	0	0
PCT1121	MV	GRN	0	0	0	0	0
PCT1121	MV	LIB	3	0	0	0	0
PCT1121	MV	PF	4	0	0	0	0
PCT1121	MV	REP	25	0	0	0	0
PCT1121	MV	NPP	184	0	0	0	0
PCT1122	TO	ALL	632	0	0
PCT1122	ED	ALL	161	0	0
PCT1122	MV	ALL	471	0	0	0	0
PCT1122	MV	AI	7	0	0	0	0
PCT1122	MV	DEM	229	0	0	0	0
PCT1122	MV	GRN	2	0	0	0	0
PCT1122	MV	LIB	0	0	0	0	0
PCT1122	MV	PF	1	0	0	0	0
PCT1122	MV	REP	26	0	0	0	0
PCT1122	MV	NPP	201	0	0	0	0
PCT1123	TO	ALL	915	0	0
PCT1123	ED	ALL	243	0	0
PCT1123	MV	ALL	672	0	0	0	0
PCT1123	MV	AI	7	0	0	0	0
PCT1123	MV	DEM	346	0	0	0	0
PCT1123	MV	GRN	3	0	0	0	0
PCT1123	MV	LIB	3	0	0	0	0
PCT1123	MV	PF	3	0	0	0	0
PCT1123	MV	REP	30	0	0	0	0
PCT1123	MV	NPP	277	0	0	0	0
PCT1124	TO	ALL	819	0	0
PCT1124	ED	ALL	244	0	0
PCT1124	MV	ALL	575	0	0	0	0
