area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	072:JOHN H. COX	073:GAVIN NEWSOM
ALLPCTS	TO	500516	372461	106	144	11224	360987	49149	311838
ALLPCTS	ED	500516	127556	80	39	4240	123197	15407	107790
ALLPCTS	MV	500516	244905	26	105	6984	237790	33742	204048
PCT1101	ED	553	125	0	0	5	120	14	106
PCT1101	MV	553	266	0	0	11	255	47	208
PCT1102	ED	995	266	0	0	3	263	28	235
PCT1102	MV	995	480	0	0	11	469	94	375
PCT1103	ED	951	246	1	0	5	240	34	206
PCT1103	MV	951	445	0	1	13	431	82	349
PCT1104	ED	993	249	0	0	12	237	40	197
PCT1104	MV	993	414	0	0	15	399	68	331
PCT1106	ED	765	191	0	0	14	177	28	149
PCT1106	MV	765	343	0	0	13	330	75	255
PCT1107	ED	746	163	0	0	5	158	21	137
PCT1107	MV	746	336	0	1	10	325	56	269
PCT1108	ED	909	232	0	0	7	225	31	194
PCT1108	MV	909	437	0	0	8	429	61	368
PCT1109	ED	798	166	0	0	4	162	23	139
PCT1109	MV	798	365	0	0	11	354	83	271
PCT1111	ED	1002	205	0	0	14	191	24	167
PCT1111	MV	1002	460	0	0	18	442	88	354
PCT1112	ED	769	151	0	0	6	145	23	122
PCT1112	MV	769	344	0	0	5	339	57	282
PCT1113	ED	746	134	0	0	5	129	15	114
PCT1113	MV	746	359	0	0	18	341	69	272
PCT1114	ED	957	226	0	0	4	222	43	179
PCT1114	MV	957	403	0	1	18	384	78	306
PCT1115	ED	895	173	0	0	8	165	22	143
PCT1115	MV	895	371	0	1	11	359	80	279
PCT1116	ED	895	224	0	0	6	218	13	205
PCT1116	MV	895	376	0	0	14	362	73	289
PCT1117	ED	858	184	0	0	7	177	19	158
PCT1117	MV	858	357	0	0	14	343	57	286
PCT1118	ED	1043	213	0	0	7	206	17	189
PCT1118	MV	1043	475	0	1	15	459	94	365
PCT1119	ED	791	165	0	0	10	155	22	133
PCT1119	MV	791	386	0	1	7	378	63	315
PCT1121	ED	691	159	0	0	8	151	33	118
PCT1121	MV	691	313	0	0	11	302	71	231
PCT1122	ED	632	109	0	0	0	109	18	91
PCT1122	MV	632	310	0	0	6	304	84	220
PCT1123	ED	915	179	0	0	4	175	20	155
PCT1123	MV	915	364	0	0	11	353	72	281
PCT1124	ED	819	152	0	0	5	147	18	129
PCT1124	MV	819	302	0	0	6	296	42	254
PCT1125	ED	1047	159	0	0	6	153	29	124
PCT1125	MV	1047	466	0	0	9	457	91	366
PCT1126	ED	922	190	0	0	3	187	24	163
PCT1126	MV	922	400	0	0	12	388	53	335
PCT1127	ED	920	200	0	0	5	195	36	159
PCT1127	MV	920	382	0	0	14	368	83	285
PCT1128	ED	838	154	0	0	4	150	27	123
PCT1128	MV	838	362	0	0	8	354	75	279
PCT1129	ED	980	227	0	0	6	221	44	177
PCT1129	MV	980	416	0	1	4	411	102	309
PCT1131	ED	797	132	0	0	4	128	17	111
PCT1131	MV	797	371	0	0	8	363	113	250
PCT1132	ED	969	179	0	0	8	171	28	143
PCT1132	MV	969	427	0	0	16	411	101	310
PCT1133	ED	863	161	0	0	3	158	22	136
PCT1133	MV	863	410	0	0	10	400	91	309
PCT1134	ED	759	170	0	0	15	155	14	141
PCT1134	MV	759	317	0	1	2	314	72	242
PCT1135	ED	540	87	0	0	2	85	10	75
PCT1135	MV	540	295	0	0	15	280	57	223
PCT1136	ED	829	144	0	1	6	137	28	109
PCT1136	MV	829	412	0	0	10	402	78	324
PCT1141	ED	1041	223	0	0	11	212	32	180
PCT1141	MV	1041	484	0	0	12	472	67	405
PCT1142	ED	861	175	0	0	6	169	28	141
PCT1142	MV	861	393	0	0	13	380	72	308
PCT1143	ED	1034	228	0	0	8	220	23	197
PCT1143	MV	1034	440	0	0	19	421	85	336
PCT1144	ED	907	205	0	1	8	196	32	164
PCT1144	MV	907	387	0	0	9	378	76	302
PCT1145	ED	888	189	0	0	8	181	28	153
PCT1145	MV	888	461	0	1	16	444	63	381
PCT1146	ED	1011	186	0	0	11	175	24	151
PCT1146	MV	1011	454	0	1	15	438	70	368
PCT1147	ED	877	210	0	0	7	203	33	170
PCT1147	MV	877	396	0	1	15	380	70	310
PCT1148	ED	962	196	0	0	12	184	27	157
PCT1148	MV	962	444	0	2	7	435	96	339
PCT1149	ED	907	210	0	0	7	203	26	177
PCT1149	MV	907	407	0	0	12	395	69	326
PCT1152	ED	864	198	0	0	7	191	38	153
PCT1152	MV	864	388	0	1	10	377	68	309
PCT1153	ED	951	209	0	1	11	197	44	153
PCT1153	MV	951	415	0	0	15	400	93	307
PCT7001	ED	776	175	2	0	4	169	12	157
PCT7001	MV	776	429	0	0	20	409	38	371
PCT7002	ED	706	176	0	0	3	173	12	161
PCT7002	MV	706	332	0	1	13	318	35	283
PCT7003	ED	884	238	0	0	11	227	23	204
PCT7003	MV	884	498	0	0	9	489	50	439
PCT7004	ED	881	239	1	0	11	227	13	214
PCT7004	MV	881	496	0	0	4	492	27	465
PCT7005	ED	847	253	0	0	12	241	13	228
PCT7005	MV	847	480	0	0	15	465	25	440
PCT7006	ED	917	254	0	0	14	240	22	218
PCT7006	MV	917	442	0	0	25	417	27	390
PCT7007	ED	949	282	0	0	10	272	14	258
PCT7007	MV	949	516	0	0	19	497	37	460
PCT7008	ED	932	264	1	0	12	251	20	231
PCT7008	MV	932	546	1	0	8	537	48	489
PCT7009	ED	905	185	0	0	5	180	25	155
PCT7009	MV	905	513	0	0	18	495	44	451
PCT7011	ED	985	203	0	0	9	194	12	182
PCT7011	MV	985	294	0	0	3	291	18	273
PCT7012	ED	1109	313	0	0	8	305	42	263
PCT7012	MV	1109	594	0	0	14	580	54	526
PCT7013	ED	956	265	0	0	14	251	25	226
PCT7013	MV	956	501	0	0	14	487	35	452
PCT7014	ED	1460	366	0	0	10	356	30	326
PCT7014	MV	1460	801	0	0	21	780	48	732
PCT7015	MV	95	44	0	0	0	44	3	41
PCT7016	ED	918	171	0	0	2	169	16	153
PCT7016	MV	918	280	0	0	7	273	49	224
