area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	076:ALEX PADILLA	077:MARK P. MEUSER
ALLPCTS	TO	500516	372461	106	109	19713	352533	309025	43508
ALLPCTS	ED	500516	127556	80	49	6755	120672	107373	13299
ALLPCTS	MV	500516	244905	26	60	12958	231861	201652	30209
PCT1101	ED	553	125	0	0	7	118	106	12
PCT1101	MV	553	266	0	0	12	254	214	40
PCT1102	ED	995	266	0	1	7	258	240	18
PCT1102	MV	995	480	0	0	16	464	393	71
PCT1103	ED	951	246	1	0	14	231	211	20
PCT1103	MV	951	445	0	0	15	430	352	78
PCT1104	ED	993	249	0	0	16	233	201	32
PCT1104	MV	993	414	0	1	21	392	335	57
PCT1106	ED	765	191	0	0	10	181	157	24
PCT1106	MV	765	343	0	0	21	322	255	67
PCT1107	ED	746	163	0	0	6	157	146	11
PCT1107	MV	746	336	0	0	30	306	261	45
PCT1108	ED	909	232	0	0	15	217	198	19
PCT1108	MV	909	437	0	0	28	409	362	47
PCT1109	ED	798	166	0	0	9	157	137	20
PCT1109	MV	798	365	0	0	16	349	286	63
PCT1111	ED	1002	205	0	0	15	190	173	17
PCT1111	MV	1002	460	0	0	27	433	355	78
PCT1112	ED	769	151	0	0	13	138	127	11
PCT1112	MV	769	344	0	0	21	323	280	43
PCT1113	ED	746	134	0	0	8	126	113	13
PCT1113	MV	746	359	0	0	42	317	250	67
PCT1114	ED	957	226	0	0	19	207	175	32
PCT1114	MV	957	403	0	0	29	374	307	67
PCT1115	ED	895	173	0	0	6	167	153	14
PCT1115	MV	895	371	0	1	19	351	283	68
PCT1116	ED	895	224	0	0	17	207	192	15
PCT1116	MV	895	376	0	0	26	350	285	65
PCT1117	ED	858	184	0	0	17	167	146	21
PCT1117	MV	858	357	0	0	35	322	278	44
PCT1118	ED	1043	213	0	0	10	203	187	16
PCT1118	MV	1043	475	0	0	36	439	361	78
PCT1119	ED	791	165	0	0	12	153	139	14
PCT1119	MV	791	386	0	0	13	373	311	62
PCT1121	ED	691	159	0	0	12	147	121	26
PCT1121	MV	691	313	0	1	35	277	220	57
PCT1122	ED	632	109	0	1	9	99	89	10
PCT1122	MV	632	310	0	0	26	284	214	70
PCT1123	ED	915	179	0	0	8	171	158	13
PCT1123	MV	915	364	0	0	28	336	280	56
PCT1124	ED	819	152	0	0	13	139	121	18
PCT1124	MV	819	302	0	0	15	287	240	47
PCT1125	ED	1047	159	0	0	6	153	126	27
PCT1125	MV	1047	466	0	0	23	443	359	84
PCT1126	ED	922	190	0	1	9	180	162	18
PCT1126	MV	922	400	0	0	27	373	322	51
PCT1127	ED	920	200	0	0	12	188	154	34
PCT1127	MV	920	382	0	0	21	361	286	75
PCT1128	ED	838	154	0	0	6	148	120	28
PCT1128	MV	838	362	0	0	17	345	278	67
PCT1129	ED	980	227	0	0	15	212	167	45
PCT1129	MV	980	416	0	0	14	402	311	91
PCT1131	ED	797	132	0	0	6	126	111	15
PCT1131	MV	797	371	0	0	23	348	261	87
PCT1132	ED	969	179	0	0	9	170	148	22
PCT1132	MV	969	427	0	0	38	389	315	74
PCT1133	ED	863	161	0	0	10	151	132	19
PCT1133	MV	863	410	0	0	20	390	310	80
PCT1134	ED	759	170	0	0	20	150	141	9
PCT1134	MV	759	317	0	0	26	291	239	52
PCT1135	ED	540	87	0	0	5	82	70	12
PCT1135	MV	540	295	0	0	21	274	221	53
PCT1136	ED	829	144	0	0	9	135	120	15
PCT1136	MV	829	412	0	0	28	384	309	75
PCT1141	ED	1041	223	0	0	16	207	184	23
PCT1141	MV	1041	484	0	0	26	458	399	59
PCT1142	ED	861	175	0	0	5	170	152	18
PCT1142	MV	861	393	0	0	24	369	309	60
PCT1143	ED	1034	228	0	0	4	224	209	15
PCT1143	MV	1034	440	0	0	24	416	331	85
PCT1144	ED	907	205	0	1	9	195	168	27
PCT1144	MV	907	387	0	0	28	359	297	62
PCT1145	ED	888	189	0	1	12	176	157	19
PCT1145	MV	888	461	0	0	24	437	374	63
PCT1146	ED	1011	186	0	0	14	172	150	22
PCT1146	MV	1011	454	0	1	41	412	358	54
PCT1147	ED	877	210	0	0	13	197	170	27
PCT1147	MV	877	396	0	1	32	363	312	51
PCT1148	ED	962	196	0	0	12	184	161	23
PCT1148	MV	962	444	0	2	30	412	322	90
PCT1149	ED	907	210	0	0	14	196	175	21
PCT1149	MV	907	407	0	0	28	379	326	53
PCT1152	ED	864	198	0	0	9	189	158	31
PCT1152	MV	864	388	0	1	24	363	306	57
PCT1153	ED	951	209	0	1	14	194	162	32
PCT1153	MV	951	415	0	0	29	386	308	78
PCT7001	ED	776	175	2	0	6	167	159	8
PCT7001	MV	776	429	0	0	22	407	378	29
PCT7002	ED	706	176	0	0	8	168	158	10
PCT7002	MV	706	332	0	0	11	321	293	28
PCT7003	ED	884	238	0	0	11	227	209	18
PCT7003	MV	884	498	0	0	19	479	438	41
PCT7004	ED	881	239	1	0	10	228	214	14
PCT7004	MV	881	496	0	0	16	480	448	32
PCT7005	ED	847	253	0	0	13	240	230	10
PCT7005	MV	847	480	0	0	16	464	444	20
PCT7006	ED	917	254	0	0	10	244	228	16
PCT7006	MV	917	442	0	1	19	422	400	22
PCT7007	ED	949	282	0	0	9	273	262	11
PCT7007	MV	949	516	0	0	17	499	464	35
PCT7008	ED	932	264	1	0	8	255	234	21
PCT7008	MV	932	546	1	0	22	523	480	43
PCT7009	ED	905	185	0	0	11	174	156	18
PCT7009	MV	905	513	0	0	20	493	455	38
PCT7011	ED	985	203	0	0	10	193	186	7
PCT7011	MV	985	294	0	0	16	278	262	16
PCT7012	ED	1109	313	0	0	3	310	271	39
PCT7012	MV	1109	594	0	0	27	567	520	47
PCT7013	ED	956	265	0	0	20	245	220	25
PCT7013	MV	956	501	0	0	18	483	450	33
PCT7014	ED	1460	366	0	0	13	353	333	20
PCT7014	MV	1460	801	0	1	29	771	721	50
PCT7015	MV	95	44	0	0	3	41	40	1
PCT7016	ED	918	171	0	0	15	156	140	16
PCT7016	MV	918	280	0	0	29	251	213	38
PCT7017	ED	754	149	0	0	13	136	127	9
PCT7017	MV	754	252	0	0	12	240	229	11
PCT7018	ED	977	154	0	0	13	141	121	20
PCT7018	MV	977	448	0	0	51	397	334	63
PCT7019	ED	899	182	0	1	15	166	159	7
PCT7019	MV	899	413	0	0	20	393	338	55
PCT7021	ED	947	184	0	0	14	170	156	14
PCT7021	MV	947	305	0	0	20	285	252	33
PCT7022	ED	945	214	0	0	17	197	188	9
PCT7022	MV	945	351	0	0	18	333	298	35
PCT7023	ED	928	177	0	0	6	171	159	12
PCT7023	MV	928	400	0	1	26	373	334	39
PCT7024	ED	414	70	0	0	8	62	59	3
PCT7024	MV	414	78	0	0	6	72	58	14
PCT7025	ED	477	85	0	0	10	75	71	4
PCT7025	MV	477	128	0	0	4	124	117	7
PCT7026	ED	1011	149	0	0	14	135	121	14
PCT7026	MV	1011	455	0	0	44	411	341	70
PCT7027	ED	869	195	0	0	14	181	166	15
PCT7027	MV	869	353	0	1	19	333	276	57
PCT7028	ED	850	212	0	0	15	197	185	12
PCT7028	MV	850	282	0	0	8	274	258	16
PCT7029	ED	901	183	0	2	22	159	148	11
PCT7029	MV	901	251	0	0	8	243	217	26
PCT7030	ED	759	118	0	0	9	109	86	23
PCT7030	MV	759	357	0	0	40	317	228	89
PCT7031	ED	641	91	0	0	7	84	77	7
PCT7031	MV	641	308	0	0	20	288	238	50
PCT7032	ED	904	173	1	0	22	150	133	17
PCT7032	MV	904	316	0	0	27	289	257	32
PCT7033	ED	798	191	0	0	15	176	159	17
PCT7033	MV	798	247	0	0	15	232	216	16
PCT7034	ED	958	197	0	0	27	170	155	15
PCT7034	MV	958	201	0	0	16	185	171	14
PCT7035	ED	606	122	0	0	6	116	108	8
PCT7035	MV	606	262	0	0	9	253	225	28
PCT7036	ED	921	117	0	0	9	108	99	9
PCT7036	MV	921	342	0	0	15	327	251	76
PCT7037	ED	735	134	0	0	20	114	104	10
PCT7037	MV	735	98	0	0	11	87	70	17
PCT7038	ED	911	135	0	0	16	119	107	12
PCT7038	MV	911	351	0	0	34	317	238	79
PCT7039	ED	784	178	0	0	12	166	141	25
PCT7039	MV	784	306	0	0	19	287	218	69
PCT7041	MV	61	33	0	0	1	32	25	7
PCT7042	ED	639	118	0	0	6	112	96	16
PCT7042	MV	639	258	0	0	15	243	206	37
PCT7043	ED	957	175	0	0	11	164	153	11
PCT7043	MV	957	404	0	0	32	372	333	39
PCT7044	ED	827	167	0	0	19	148	127	21
PCT7044	MV	827	193	0	0	12	181	152	29
PCT7045	ED	779	120	0	0	15	105	85	20
PCT7045	MV	779	344	0	0	28	316	242	74
PCT7046	ED	402	94	0	0	5	89	81	8
PCT7046	MV	402	175	0	0	14	161	123	38
PCT7047	ED	823	119	0	0	7	112	103	9
PCT7047	MV	823	388	0	0	27	361	290	71
PCT7048	ED	858	150	3	0	13	134	123	11
PCT7048	MV	858	318	0	0	27	291	242	49
PCT7049	ED	792	172	0	0	20	152	117	35
PCT7049	MV	792	305	0	0	44	261	196	65
PCT7051	ED	861	114	0	0	9	105	92	13
PCT7051	MV	861	380	0	0	48	332	253	79
PCT7052	ED	852	161	0	0	13	148	128	20
PCT7052	MV	852	402	0	0	39	363	283	80
PCT7053	ED	548	102	0	0	8	94	84	10
PCT7053	MV	548	278	0	0	14	264	208	56
PCT7054	ED	1073	214	0	0	10	204	193	11
PCT7054	MV	1073	410	0	0	26	384	334	50
PCT7055	ED	808	188	0	0	12	176	169	7
PCT7055	MV	808	440	0	0	25	415	359	56
PCT7101	MV	155	120	1	0	3	116	110	6
PCT7201	ED	936	245	0	0	16	229	201	28
PCT7201	MV	936	518	0	0	24	494	410	84
PCT7202	ED	850	225	0	0	5	220	189	31
PCT7202	MV	850	431	0	0	21	410	310	100
PCT7203	ED	921	289	1	1	10	277	249	28
PCT7203	MV	921	423	0	0	15	408	356	52
PCT7204	ED	918	233	0	0	11	222	186	36
PCT7204	MV	918	531	0	0	15	516	442	74
PCT7205	ED	875	249	0	0	21	228	199	29
PCT7205	MV	875	485	0	0	20	465	375	90
PCT7206	ED	378	134	0	0	5	129	118	11
PCT7206	MV	378	191	0	0	6	185	159	26
PCT7207	ED	812	194	0	0	12	182	159	23
PCT7207	MV	812	433	0	0	23	410	365	45
PCT7208	ED	600	111	0	0	7	104	96	8
PCT7208	MV	600	328	0	0	15	313	263	50
PCT7209	ED	626	107	0	0	9	98	88	10
PCT7209	MV	626	423	0	0	20	403	340	63
PCT7301	ED	1016	228	0	0	19	209	169	40
PCT7301	MV	1016	435	0	0	31	404	333	71
PCT7302	ED	814	188	0	0	9	179	147	32
PCT7302	MV	814	458	0	1	37	420	359	61
PCT7303	ED	1042	280	0	0	19	261	228	33
PCT7303	MV	1042	482	0	0	23	459	405	54
PCT7304	ED	1002	278	0	0	11	267	233	34
PCT7304	MV	1002	493	0	0	23	470	397	73
PCT7305	ED	871	239	0	0	13	226	190	36
PCT7305	MV	871	459	0	1	29	429	340	89
PCT7306	ED	1056	317	0	0	25	292	255	37
PCT7306	MV	1056	496	0	0	49	447	377	70
PCT7307	ED	767	209	0	0	11	198	184	14
PCT7307	MV	767	345	0	0	23	322	277	45
PCT7308	ED	603	177	0	0	10	167	149	18
PCT7308	MV	603	313	0	0	15	298	256	42
PCT7309	ED	884	260	0	0	13	247	217	30
PCT7309	MV	884	439	0	0	19	420	344	76
PCT7311	ED	917	266	0	0	8	258	235	23
PCT7311	MV	917	448	0	0	14	434	378	56
PCT7312	ED	821	203	0	0	12	191	160	31
PCT7312	MV	821	470	0	0	30	440	361	79
PCT7313	ED	968	224	1	0	10	213	194	19
PCT7313	MV	968	485	0	0	44	441	365	76
PCT7314	ED	787	125	0	0	12	113	93	20
PCT7314	MV	787	271	0	0	47	224	189	35
PCT7315	ED	760	220	0	0	20	200	175	25
PCT7315	MV	760	282	0	0	19	263	225	38
PCT7316	ED	853	205	0	0	9	196	175	21
PCT7316	MV	853	367	0	0	35	332	291	41
PCT7317	ED	904	189	0	0	9	180	155	25
PCT7317	MV	904	454	0	0	25	429	352	77
PCT7318	ED	727	179	0	0	16	163	144	19
PCT7318	MV	727	389	0	0	30	359	313	46
PCT7319	ED	1079	298	0	0	17	281	254	27
PCT7319	MV	1079	516	0	0	37	479	400	79
PCT7321	ED	671	149	0	0	19	130	112	18
PCT7321	MV	671	286	0	0	27	259	215	44
PCT7322	ED	874	64	0	0	10	54	46	8
PCT7322	MV	874	337	0	0	74	263	219	44
PCT7323	ED	950	234	0	0	16	218	189	29
PCT7323	MV	950	455	0	0	31	424	359	65
PCT7324	ED	755	189	0	0	18	171	147	24
PCT7324	MV	755	364	0	1	28	335	292	43
PCT7325	ED	904	240	0	0	16	224	196	28
PCT7325	MV	904	436	0	1	25	410	367	43
PCT7326	ED	876	199	0	0	10	189	177	12
PCT7326	MV	876	429	0	0	48	381	326	55
PCT7327	ED	699	71	0	0	12	59	49	10
PCT7327	MV	699	276	0	0	36	240	179	61
PCT7328	ED	973	94	0	0	15	79	63	16
PCT7328	MV	973	394	0	0	81	313	263	50
PCT7329	ED	640	112	0	0	6	106	94	12
PCT7329	MV	640	321	0	0	26	295	228	67
PCT7331	ED	852	213	0	1	11	201	147	54
PCT7331	MV	852	461	0	1	21	439	343	96
PCT7332	ED	834	223	0	0	16	207	188	19
PCT7332	MV	834	364	0	1	18	345	298	47
PCT7333	ED	1044	295	0	0	21	274	242	32
