area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	082:STEVEN C BAILEY	083:XAVIER BECERRA
ALLPCTS	TO	500516	372461	106	0	94	20059	352202	47033	305169
ALLPCTS	ED	500516	127556	80	0	35	7165	120276	14631	105645
ALLPCTS	MV	500516	244905	26	0	59	12894	231926	32402	199524
PCT1101	ED	553	125	0	0	0	7	118	16	102
PCT1101	MV	553	266	0	0	0	10	256	38	218
PCT1102	ED	995	266	0	0	1	9	256	24	232
PCT1102	MV	995	480	0	0	0	12	468	87	381
PCT1103	ED	951	246	1	0	0	12	233	24	209
PCT1103	MV	951	445	0	0	0	15	430	86	344
PCT1104	ED	993	249	0	0	0	17	232	35	197
PCT1104	MV	993	414	0	0	0	19	395	61	334
PCT1106	ED	765	191	0	0	0	11	180	24	156
PCT1106	MV	765	343	0	0	0	25	318	68	250
PCT1107	ED	746	163	0	0	0	10	153	18	135
PCT1107	MV	746	336	0	0	0	30	306	44	262
PCT1108	ED	909	232	0	0	0	21	211	22	189
PCT1108	MV	909	437	0	0	0	29	408	47	361
PCT1109	ED	798	166	0	0	0	10	156	24	132
PCT1109	MV	798	365	0	0	0	17	348	67	281
PCT1111	ED	1002	205	0	0	0	17	188	21	167
PCT1111	MV	1002	460	0	0	1	30	429	80	349
PCT1112	ED	769	151	0	0	1	13	137	14	123
PCT1112	MV	769	344	0	0	0	24	320	54	266
PCT1113	ED	746	134	0	0	0	8	126	16	110
PCT1113	MV	746	359	0	0	0	39	320	62	258
PCT1114	ED	957	226	0	0	0	24	202	36	166
PCT1114	MV	957	403	0	0	0	21	382	68	314
PCT1115	ED	895	173	0	0	0	12	161	12	149
PCT1115	MV	895	371	0	0	0	23	348	83	265
PCT1116	ED	895	224	0	0	0	15	209	20	189
PCT1116	MV	895	376	0	0	0	31	345	67	278
PCT1117	ED	858	184	0	0	0	19	165	19	146
PCT1117	MV	858	357	0	0	0	33	324	43	281
PCT1118	ED	1043	213	0	0	1	9	203	19	184
PCT1118	MV	1043	475	0	0	0	39	436	91	345
PCT1119	ED	791	165	0	0	0	12	153	11	142
PCT1119	MV	791	386	0	0	0	14	372	60	312
PCT1121	ED	691	159	0	0	0	11	148	29	119
PCT1121	MV	691	313	0	0	0	31	282	52	230
PCT1122	ED	632	109	0	0	0	10	99	16	83
PCT1122	MV	632	310	0	0	0	31	279	79	200
PCT1123	ED	915	179	0	0	0	9	170	13	157
PCT1123	MV	915	364	0	0	0	30	334	62	272
PCT1124	ED	819	152	0	0	0	12	140	23	117
PCT1124	MV	819	302	0	0	0	13	289	50	239
PCT1125	ED	1047	159	0	0	0	12	147	28	119
PCT1125	MV	1047	466	0	0	0	25	441	89	352
PCT1126	ED	922	190	0	0	0	4	186	24	162
PCT1126	MV	922	400	0	0	1	27	372	58	314
PCT1127	ED	920	200	0	0	0	14	186	38	148
PCT1127	MV	920	382	0	0	0	30	352	77	275
PCT1128	ED	838	154	0	0	0	8	146	24	122
PCT1128	MV	838	362	0	0	0	18	344	72	272
PCT1129	ED	980	227	0	0	0	17	210	47	163
PCT1129	MV	980	416	0	0	0	12	404	93	311
PCT1131	ED	797	132	0	0	0	11	121	16	105
PCT1131	MV	797	371	0	0	1	20	350	96	254
PCT1132	ED	969	179	0	0	0	14	165	17	148
PCT1132	MV	969	427	0	0	0	38	389	84	305
PCT1133	ED	863	161	0	0	0	14	147	19	128
PCT1133	MV	863	410	0	0	0	23	387	87	300
PCT1134	ED	759	170	0	0	0	14	156	11	145
PCT1134	MV	759	317	0	0	0	33	284	68	216
PCT1135	ED	540	87	0	0	0	7	80	11	69
PCT1135	MV	540	295	0	0	0	18	277	62	215
PCT1136	ED	829	144	0	0	0	12	132	21	111
PCT1136	MV	829	412	0	0	0	31	381	83	298
PCT1141	ED	1041	223	0	0	0	16	207	24	183
PCT1141	MV	1041	484	0	0	1	25	458	64	394
PCT1142	ED	861	175	0	0	0	7	168	23	145
PCT1142	MV	861	393	0	0	0	23	370	64	306
PCT1143	ED	1034	228	0	0	0	3	225	19	206
PCT1143	MV	1034	440	0	0	1	24	415	91	324
PCT1144	ED	907	205	0	0	1	8	196	30	166
PCT1144	MV	907	387	0	0	1	21	365	70	295
PCT1145	ED	888	189	0	0	1	11	177	18	159
PCT1145	MV	888	461	0	0	0	21	440	70	370
PCT1146	ED	1011	186	0	0	0	15	171	26	145
PCT1146	MV	1011	454	0	0	1	38	415	57	358
PCT1147	ED	877	210	0	0	0	12	198	28	170
PCT1147	MV	877	396	0	0	0	31	365	67	298
PCT1148	ED	962	196	0	0	0	13	183	26	157
PCT1148	MV	962	444	0	0	2	33	409	83	326
PCT1149	ED	907	210	0	0	0	12	198	23	175
PCT1149	MV	907	407	0	0	0	22	385	59	326
PCT1152	ED	864	198	0	0	0	11	187	33	154
PCT1152	MV	864	388	0	0	0	18	370	67	303
PCT1153	ED	951	209	0	0	1	15	193	34	159
