area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	084:RICARDO LARA	085:STEVE POIZNER
ALLPCTS	TO	500516	372461	106	0	157	34881	337317	235037	102280
ALLPCTS	ED	500516	127556	80	0	44	11916	115516	83460	32056
ALLPCTS	MV	500516	244905	26	0	113	22965	221801	151577	70224
PCT1101	ED	553	125	0	0	0	12	113	87	26
PCT1101	MV	553	266	0	0	0	19	247	181	66
PCT1102	ED	995	266	0	0	0	18	248	189	59
PCT1102	MV	995	480	0	0	0	25	455	326	129
PCT1103	ED	951	246	1	0	0	24	221	166	55
PCT1103	MV	951	445	0	0	0	28	417	281	136
PCT1104	ED	993	249	0	0	0	26	223	171	52
PCT1104	MV	993	414	0	0	0	37	377	286	91
PCT1106	ED	765	191	0	0	0	14	177	136	41
PCT1106	MV	765	343	0	0	0	29	314	209	105
PCT1107	ED	746	163	0	0	0	15	148	112	36
PCT1107	MV	746	336	0	0	0	45	291	209	82
PCT1108	ED	909	232	0	0	0	29	203	160	43
PCT1108	MV	909	437	0	0	0	40	397	280	117
PCT1109	ED	798	166	0	0	0	14	152	116	36
PCT1109	MV	798	365	0	0	0	36	329	233	96
PCT1111	ED	1002	205	0	0	0	20	185	149	36
PCT1111	MV	1002	460	0	0	2	52	406	288	118
PCT1112	ED	769	151	0	0	0	17	134	99	35
PCT1112	MV	769	344	0	0	0	33	311	222	89
PCT1113	ED	746	134	0	0	0	11	123	96	27
PCT1113	MV	746	359	0	0	0	49	310	208	102
PCT1114	ED	957	226	0	0	0	33	193	158	35
PCT1114	MV	957	403	0	0	1	41	361	254	107
PCT1115	ED	895	173	0	0	0	15	158	125	33
PCT1115	MV	895	371	0	0	1	38	332	233	99
PCT1116	ED	895	224	0	0	0	19	205	160	45
PCT1116	MV	895	376	0	0	0	36	340	244	96
PCT1117	ED	858	184	0	0	0	26	158	123	35
PCT1117	MV	858	357	0	0	0	40	317	238	79
PCT1118	ED	1043	213	0	0	1	16	196	153	43
PCT1118	MV	1043	475	0	0	0	55	420	301	119
PCT1119	ED	791	165	0	0	0	23	142	111	31
PCT1119	MV	791	386	0	0	0	27	359	267	92
PCT1121	ED	691	159	0	0	0	16	143	96	47
PCT1121	MV	691	313	0	0	1	48	264	182	82
PCT1122	ED	632	109	0	0	1	13	95	66	29
PCT1122	MV	632	310	0	0	0	39	271	168	103
PCT1123	ED	915	179	0	0	0	10	169	130	39
PCT1123	MV	915	364	0	0	0	34	330	236	94
PCT1124	ED	819	152	0	0	0	14	138	109	29
PCT1124	MV	819	302	0	0	0	27	275	213	62
PCT1125	ED	1047	159	0	0	0	13	146	106	40
PCT1125	MV	1047	466	0	0	0	31	435	314	121
PCT1126	ED	922	190	0	0	0	14	176	144	32
PCT1126	MV	922	400	0	0	0	44	356	268	88
PCT1127	ED	920	200	0	0	0	24	176	128	48
PCT1127	MV	920	382	0	0	0	46	336	240	96
PCT1128	ED	838	154	0	0	0	14	140	105	35
PCT1128	MV	838	362	0	0	0	31	331	230	101
PCT1129	ED	980	227	0	0	0	26	201	146	55
PCT1129	MV	980	416	0	0	0	29	387	289	98
PCT1131	ED	797	132	0	0	0	15	117	87	30
PCT1131	MV	797	371	0	0	0	39	332	220	112
PCT1132	ED	969	179	0	0	0	16	163	124	39
PCT1132	MV	969	427	0	0	1	48	378	270	108
PCT1133	ED	863	161	0	0	0	12	149	105	44
PCT1133	MV	863	410	0	0	0	41	369	253	116
PCT1134	ED	759	170	0	0	0	21	149	123	26
PCT1134	MV	759	317	0	0	0	45	272	201	71
PCT1135	ED	540	87	0	0	0	10	77	65	12
PCT1135	MV	540	295	0	0	0	30	265	169	96
PCT1136	ED	829	144	0	0	0	16	128	91	37
PCT1136	MV	829	412	0	0	0	42	370	256	114
PCT1141	ED	1041	223	0	0	0	17	206	166	40
PCT1141	MV	1041	484	0	0	0	40	444	339	105
PCT1142	ED	861	175	0	0	0	9	166	133	33
PCT1142	MV	861	393	0	0	0	34	359	262	97
PCT1143	ED	1034	228	0	0	0	10	218	178	40
PCT1143	MV	1034	440	0	0	0	43	397	282	115
PCT1144	ED	907	205	0	0	1	11	193	144	49
PCT1144	MV	907	387	0	0	0	41	346	262	84
PCT1145	ED	888	189	0	0	1	17	171	133	38
PCT1145	MV	888	461	0	0	0	40	421	310	111
PCT1146	ED	1011	186	0	0	0	16	170	129	41
PCT1146	MV	1011	454	0	0	1	54	399	314	85
PCT1147	ED	877	210	0	0	0	17	193	151	42
PCT1147	MV	877	396	0	0	0	38	358	267	91
PCT1148	ED	962	196	0	0	0	20	176	140	36
PCT1148	MV	962	444	0	0	2	46	396	276	120
PCT1149	ED	907	210	0	0	0	20	190	142	48
PCT1149	MV	907	407	0	0	0	37	370	267	103
PCT1152	ED	864	198	0	0	0	17	181	141	40
PCT1152	MV	864	388	0	0	0	33	355	272	83
PCT1153	ED	951	209	0	0	1	23	185	126	59
PCT1153	MV	951	415	0	0	1	64	350	254	96
