area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	086:MALIA COHEN	087:MARK BURNS
ALL	TO	500516	372848	106	75	31941	340726	292973	47753
ALL	ED	500516	127886	80	29	11659	116118	101688	14430
ALL	MV	500516	244962	26	46	20282	224608	191285	33323
PCT1101	ED	553	126	0	0	10	116	106	10
PCT1101	MV	553	266	0	0	18	248	202	46
PCT1102	ED	995	266	0	0	20	246	218	28
PCT1102	MV	995	480	0	0	24	456	373	83
PCT1103	ED	951	246	1	0	26	219	186	33
PCT1103	MV	951	445	0	0	26	419	332	87
PCT1104	ED	993	249	0	0	21	228	195	33
PCT1104	MV	993	414	0	1	30	383	316	67
PCT1106	ED	765	191	0	0	17	174	149	25
PCT1106	MV	765	343	0	0	33	310	247	63
PCT1107	ED	746	163	0	0	13	150	135	15
PCT1107	MV	746	336	0	0	30	306	255	51
PCT1108	ED	909	232	0	0	22	210	189	21
PCT1108	MV	909	438	0	0	27	411	357	54
PCT1109	ED	798	166	0	0	15	151	129	22
PCT1109	MV	798	365	0	0	33	332	271	61
PCT1111	ED	1002	205	0	0	22	183	166	17
PCT1111	MV	1002	460	0	0	37	423	341	82
PCT1112	ED	769	151	0	0	13	138	124	14
PCT1112	MV	769	344	0	0	30	314	265	49
PCT1113	ED	746	135	0	1	9	125	109	16
PCT1113	MV	746	360	0	0	42	318	252	66
PCT1114	ED	957	226	0	0	30	196	161	35
PCT1114	MV	957	404	0	0	37	367	299	68
PCT1115	ED	895	174	0	0	15	159	148	11
PCT1115	MV	895	371	0	1	31	339	273	66
PCT1116	ED	895	225	0	0	14	211	198	13
PCT1116	MV	895	376	0	0	27	349	284	65
PCT1117	ED	858	185	0	0	22	163	145	18
PCT1117	MV	858	357	0	0	40	317	269	48
PCT1118	ED	1043	213	0	0	12	201	181	20
PCT1118	MV	1043	476	0	0	42	434	352	82
PCT1119	ED	791	165	0	0	16	149	134	15
PCT1119	MV	791	386	0	1	21	364	305	59
PCT1121	ED	691	160	0	0	19	141	108	33
PCT1121	MV	691	313	0	1	40	272	218	54
PCT1122	ED	632	110	0	0	10	100	84	16
PCT1122	MV	632	310	0	0	30	280	205	75
PCT1123	ED	915	179	0	0	15	164	152	12
PCT1123	MV	915	364	0	0	30	334	279	55
PCT1124	ED	819	152	0	0	12	140	120	20
PCT1124	MV	819	302	0	0	14	288	247	41
PCT1125	ED	1047	159	0	1	11	147	116	31
PCT1125	MV	1047	466	0	0	24	442	360	82
PCT1126	ED	922	191	0	0	12	179	155	24
PCT1126	MV	922	400	0	0	38	362	309	53
PCT1127	ED	920	200	0	0	17	183	148	35
PCT1127	MV	920	382	0	0	35	347	266	81
PCT1128	ED	838	154	0	0	9	145	122	23
PCT1128	MV	838	362	0	0	21	341	262	79
PCT1129	ED	980	227	0	0	19	208	168	40
PCT1129	MV	980	416	0	0	19	397	311	86
PCT1131	ED	797	132	0	0	14	118	100	18
PCT1131	MV	797	371	0	0	22	349	250	99
PCT1132	ED	969	179	0	0	16	163	150	13
PCT1132	MV	969	427	0	0	39	388	305	83
PCT1133	ED	863	161	0	0	18	143	120	23
PCT1133	MV	863	410	0	0	31	379	287	92
PCT1134	ED	759	170	0	0	20	150	140	10
PCT1134	MV	759	318	0	0	43	275	217	58
PCT1135	ED	540	87	0	0	12	75	62	13
PCT1135	MV	540	295	0	0	28	267	212	55
PCT1136	ED	829	144	0	1	12	131	113	18
PCT1136	MV	829	412	0	0	27	385	306	79
PCT1141	ED	1041	223	0	0	20	203	179	24
PCT1141	MV	1041	484	0	0	28	456	399	57
PCT1142	ED	861	175	0	0	7	168	145	23
PCT1142	MV	861	393	0	0	34	359	302	57
PCT1143	ED	1034	229	0	0	11	218	199	19
PCT1143	MV	1034	440	0	0	34	406	320	86
PCT1144	ED	907	205	0	1	18	186	154	32
PCT1144	MV	907	387	0	0	28	359	288	71
PCT1145	ED	888	189	0	0	18	171	153	18
PCT1145	MV	888	461	0	0	35	426	366	60
PCT1146	ED	1011	186	0	0	18	168	147	21
PCT1146	MV	1011	454	0	1	42	411	355	56
PCT1147	ED	877	210	0	0	17	193	159	34
PCT1147	MV	877	396	0	0	34	362	299	63
PCT1148	ED	962	196	0	0	17	179	146	33
PCT1148	MV	962	444	0	2	39	403	316	87
PCT1149	ED	907	210	0	0	18	192	168	24
PCT1149	MV	907	407	0	0	46	361	298	63
PCT1152	ED	864	198	0	0	13	185	152	33
PCT1152	MV	864	388	0	0	20	368	304	64
PCT1153	ED	951	210	0	1	21	188	153	35
PCT1153	MV	951	415	0	0	43	372	292	80
PCT7001	ED	776	176	2	0	12	162	149	13
PCT7001	MV	776	429	0	0	39	390	355	35
PCT7002	ED	706	176	0	0	14	162	148	14
PCT7002	MV	706	332	0	0	23	309	266	43
PCT7003	ED	884	238	0	0	19	219	195	24
PCT7003	MV	884	498	0	0	42	456	397	59
PCT7004	ED	881	241	1	0	27	213	191	22
PCT7004	MV	881	496	0	0	41	455	417	38
PCT7005	ED	847	253	0	0	33	220	205	15
PCT7005	MV	847	480	0	0	51	429	382	47
PCT7006	ED	917	254	0	0	16	238	218	20
PCT7006	MV	917	442	0	0	29	413	372	41
PCT7007	ED	949	283	0	0	19	264	244	20
PCT7007	MV	949	516	0	0	42	474	411	63
PCT7008	ED	932	264	1	0	24	239	210	29
PCT7008	MV	932	546	1	0	48	497	422	75
PCT7009	ED	905	185	0	0	22	163	140	23
PCT7009	MV	905	513	0	0	36	477	416	61
PCT7011	ED	985	204	0	0	14	190	164	26
PCT7011	MV	985	294	0	0	23	271	233	38
PCT7012	ED	1109	313	0	0	24	289	250	39
PCT7012	MV	1109	594	0	0	50	544	483	61
PCT7013	ED	956	267	0	0	26	241	218	23
PCT7013	MV	956	501	0	0	36	465	425	40
PCT7014	ED	1460	367	0	0	24	343	307	36
PCT7014	MV	1460	802	0	0	48	754	692	62
PCT7015	MV	95	44	0	0	6	38	35	3
PCT7016	ED	918	171	0	0	21	150	133	17
PCT7016	MV	918	280	0	0	35	245	214	31
PCT7017	ED	754	149	0	0	7	142	129	13
PCT7017	MV	754	252	0	0	12	240	225	15
PCT7018	ED	977	155	0	0	13	142	118	24
PCT7018	MV	977	448	0	0	41	407	339	68
PCT7019	ED	899	182	0	0	15	167	158	9
PCT7019	MV	899	413	0	0	24	389	328	61
PCT7021	ED	947	184	0	0	21	163	141	22
PCT7021	MV	947	305	0	0	36	269	237	32
PCT7022	ED	945	215	0	0	18	197	184	13
PCT7022	MV	945	352	0	0	30	322	278	44
PCT7023	ED	928	178	0	0	10	168	155	13
PCT7023	MV	928	400	0	1	29	370	326	44
PCT7024	ED	414	70	0	0	7	63	60	3
PCT7024	MV	414	78	0	0	5	73	59	14
