area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	088:DIANNE FEINSTEIN	089:KEVIN DE LEON
ALL	TO	500516	372848	106	374	20247	352121	226167	125954
ALL	ED	500516	127886	80	147	6762	120897	76171	44726
ALL	MV	500516	244962	26	227	13485	231224	149996	81228
PCT1101	ED	553	126	0	1	7	118	73	45
PCT1101	MV	553	266	0	1	12	253	135	118
PCT1102	ED	995	266	0	1	7	258	152	106
PCT1102	MV	995	480	0	0	22	458	284	174
PCT1103	ED	951	246	1	0	9	236	155	81
PCT1103	MV	951	445	0	1	22	422	235	187
PCT1104	ED	993	249	0	0	12	237	143	94
PCT1104	MV	993	414	0	2	27	385	229	156
PCT1106	ED	765	191	0	1	15	175	120	55
PCT1106	MV	765	343	0	2	40	301	203	98
PCT1107	ED	746	163	0	0	6	157	119	38
PCT1107	MV	746	336	0	1	24	311	205	106
PCT1108	ED	909	232	0	0	17	215	141	74
PCT1108	MV	909	438	0	0	11	427	297	130
PCT1109	ED	798	166	0	0	13	153	92	61
PCT1109	MV	798	365	0	0	36	329	225	104
PCT1111	ED	1002	205	0	0	21	184	113	71
PCT1111	MV	1002	460	0	0	33	427	304	123
PCT1112	ED	769	151	0	1	13	137	88	49
PCT1112	MV	769	344	0	2	20	322	230	92
PCT1113	ED	746	135	0	0	8	127	71	56
PCT1113	MV	746	360	0	0	41	319	201	118
PCT1114	ED	957	226	0	1	20	205	115	90
PCT1114	MV	957	404	0	0	38	366	209	157
PCT1115	ED	895	174	0	1	7	166	99	67
PCT1115	MV	895	371	0	2	20	349	228	121
PCT1116	ED	895	225	0	0	9	216	155	61
PCT1116	MV	895	376	0	0	39	337	232	105
PCT1117	ED	858	185	0	0	15	170	123	47
PCT1117	MV	858	357	0	0	26	331	221	110
PCT1118	ED	1043	213	0	0	11	202	126	76
PCT1118	MV	1043	476	0	1	46	429	261	168
PCT1119	ED	791	165	0	0	16	149	86	63
PCT1119	MV	791	386	0	4	19	363	229	134
PCT1121	ED	691	160	0	0	14	146	90	56
PCT1121	MV	691	313	0	2	38	273	176	97
PCT1122	ED	632	110	0	0	4	106	76	30
PCT1122	MV	632	310	0	0	22	288	192	96
PCT1123	ED	915	179	0	0	6	173	110	63
PCT1123	MV	915	364	0	0	31	333	218	115
PCT1124	ED	819	152	0	1	10	141	82	59
PCT1124	MV	819	302	0	1	19	282	186	96
PCT1125	ED	1047	159	0	0	9	150	92	58
PCT1125	MV	1047	466	0	0	26	440	305	135
PCT1126	ED	922	191	0	1	11	179	119	60
PCT1126	MV	922	400	0	2	33	365	262	103
PCT1127	ED	920	200	0	1	16	183	116	67
PCT1127	MV	920	382	0	1	27	354	231	123
PCT1128	ED	838	154	0	0	12	142	94	48
PCT1128	MV	838	362	0	0	28	334	221	113
PCT1129	ED	980	227	0	4	24	199	128	71
PCT1129	MV	980	416	0	1	35	380	249	131
PCT1131	ED	797	132	0	0	8	124	74	50
PCT1131	MV	797	371	0	0	19	352	239	113
PCT1132	ED	969	179	0	0	17	162	104	58
PCT1132	MV	969	427	0	0	52	375	241	134
PCT1133	ED	863	161	0	0	10	151	104	47
PCT1133	MV	863	410	0	0	30	380	255	125
PCT1134	ED	759	170	0	0	13	157	101	56
PCT1134	MV	759	318	0	0	26	292	194	98
PCT1135	ED	540	87	0	0	5	82	48	34
PCT1135	MV	540	295	0	0	18	277	180	97
PCT1136	ED	829	144	0	0	16	128	85	43
PCT1136	MV	829	412	0	0	28	384	245	139
PCT1141	ED	1041	223	0	0	10	213	134	79
PCT1141	MV	1041	484	0	0	34	450	288	162
PCT1142	ED	861	175	0	2	10	163	97	66
PCT1142	MV	861	393	0	0	29	364	219	145
PCT1143	ED	1034	229	0	2	8	219	130	89
PCT1143	MV	1034	440	0	2	36	402	239	163
PCT1144	ED	907	205	0	1	6	198	134	64
PCT1144	MV	907	387	0	1	32	354	232	122
PCT1145	ED	888	189	0	1	10	178	100	78
PCT1145	MV	888	461	0	1	18	442	292	150
PCT1146	ED	1011	186	0	0	10	176	93	83
PCT1146	MV	1011	454	0	2	31	421	275	146
PCT1147	ED	877	210	0	2	11	197	111	86
PCT1147	MV	877	396	0	0	28	368	223	145
PCT1148	ED	962	196	0	1	12	183	100	83
PCT1148	MV	962	444	0	2	33	409	269	140
PCT1149	ED	907	210	0	1	12	197	118	79
PCT1149	MV	907	407	0	1	22	384	247	137
PCT1152	ED	864	198	0	0	16	182	100	82
PCT1152	MV	864	388	0	0	23	365	260	105
PCT1153	ED	951	210	0	1	16	193	132	61
PCT1153	MV	951	415	0	2	37	376	239	137
PCT7001	ED	776	176	2	0	7	167	97	70
PCT7001	MV	776	429	0	0	25	404	242	162
PCT7002	ED	706	176	0	0	2	174	99	75
PCT7002	MV	706	332	0	1	15	316	187	129
PCT7003	ED	884	238	0	0	5	233	133	100
PCT7003	MV	884	498	0	1	13	484	298	186
PCT7004	ED	881	241	1	0	8	232	153	79
PCT7004	MV	881	496	0	0	12	484	312	172
PCT7005	ED	847	253	0	0	7	246	153	93
PCT7005	MV	847	480	0	0	21	459	303	156
PCT7006	ED	917	254	0	0	11	243	111	132
PCT7006	MV	917	442	0	0	19	423	212	211
PCT7007	ED	949	283	0	0	5	278	180	98
PCT7007	MV	949	516	0	1	23	492	312	180
PCT7008	ED	932	264	1	0	7	256	158	98
PCT7008	MV	932	546	1	0	18	527	361	166
PCT7009	ED	905	185	0	0	13	172	93	79
PCT7009	MV	905	513	0	0	24	489	300	189
PCT7011	ED	985	204	0	1	7	196	127	69
PCT7011	MV	985	294	0	0	11	283	179	104
PCT7012	ED	1109	313	0	0	15	298	170	128
PCT7012	MV	1109	594	0	0	29	565	348	217
PCT7013	ED	956	267	0	1	22	244	139	105
PCT7013	MV	956	501	0	0	11	490	292	198
PCT7014	ED	1460	367	0	0	17	350	222	128
PCT7014	MV	1460	802	0	0	36	766	467	299
