area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	093:CRISTINA OSMEÑA	094:JACKIE SPEIER
ALLPCTS	TO	56946	40357	19	8	2211	38119	6487	31632
ALLPCTS	ED	56946	13105	13	5	933	12154	1880	10274
ALLPCTS	MV	56946	27252	6	3	1278	25965	4607	21358
PCT1101	ED	553	126	0	0	3	123	13	110
PCT1101	MV	553	266	0	0	8	258	41	217
PCT1102	ED	995	266	0	0	19	247	23	224
PCT1102	MV	995	480	0	0	10	470	85	385
PCT1103	ED	951	246	1	0	17	228	27	201
PCT1103	MV	951	445	0	0	15	430	75	355
PCT1104	ED	993	249	0	0	25	224	34	190
PCT1104	MV	993	414	0	0	15	399	68	331
PCT1106	ED	765	191	0	1	10	180	25	155
PCT1106	MV	765	343	0	0	13	330	65	265
PCT1107	ED	746	163	0	0	14	149	13	136
PCT1107	MV	746	336	0	0	21	315	42	273
PCT1108	ED	909	232	0	0	22	210	18	192
PCT1108	MV	909	438	0	0	16	422	39	383
PCT1109	ED	798	166	0	0	12	154	18	136
PCT1109	MV	798	365	0	0	31	334	47	287
PCT1111	ED	1002	205	0	0	23	182	21	161
PCT1111	MV	1002	460	0	0	30	430	77	353
PCT1112	ED	769	151	0	0	17	134	19	115
PCT1112	MV	769	344	0	0	17	327	46	281
PCT1113	ED	746	135	0	0	7	128	20	108
PCT1113	MV	746	360	0	0	36	324	64	260
PCT1114	ED	957	226	0	0	33	193	32	161
PCT1114	MV	957	404	0	0	35	369	68	301
PCT1115	ED	895	174	0	0	17	157	15	142
PCT1115	MV	895	371	0	0	25	346	66	280
PCT1116	ED	895	225	0	0	20	205	14	191
PCT1116	MV	895	376	0	0	27	349	57	292
PCT1117	ED	858	185	0	0	21	164	25	139
PCT1117	MV	858	357	0	0	27	330	56	274
PCT1118	ED	1043	213	0	0	19	194	18	176
PCT1118	MV	1043	476	0	0	33	443	76	367
PCT1119	ED	791	165	0	0	17	148	19	129
PCT1119	MV	791	386	0	0	22	364	57	307
PCT1121	ED	691	160	0	1	19	140	28	112
PCT1121	MV	691	313	0	0	31	282	55	227
PCT1122	ED	632	110	0	0	6	104	18	86
