area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
ALLPCTS	TO	291063	214584	62	0	192	28665	185665	140270	45395
ALLPCTS	ED	291063	73520	46	0	82	10702	62690	44713	17977
ALLPCTS	MV	291063	141064	16	0	110	17963	122975	95557	27418
PCT1141	ED	1041	223	0	0	0	29	194	115	79
PCT1141	MV	1041	484	0	0	0	49	435	324	111
PCT1142	ED	861	175	0	0	0	24	151	94	57
PCT1142	MV	861	393	0	0	0	58	335	231	104
PCT1143	ED	1034	228	0	0	2	20	206	114	92
PCT1143	MV	1034	440	0	0	1	55	384	247	137
PCT1144	ED	907	205	0	0	1	18	186	105	81
PCT1144	MV	907	387	0	0	0	53	334	241	93
PCT1145	ED	888	189	0	0	0	27	162	104	58
PCT1145	MV	888	461	0	0	0	52	409	303	106
PCT1146	ED	1011	186	0	0	0	36	150	86	64
PCT1146	MV	1011	454	0	0	2	46	406	289	117
PCT1147	ED	877	210	0	0	1	23	186	113	73
PCT1147	MV	877	396	0	0	0	51	345	231	114
PCT1148	ED	962	196	0	0	0	32	164	101	63
PCT1148	MV	962	444	0	0	3	50	391	270	121
PCT1149	ED	907	210	0	0	1	22	187	111	76
PCT1149	MV	907	407	0	0	0	39	368	269	99
PCT1152	ED	864	198	0	0	0	36	162	102	60
PCT1152	MV	864	388	0	0	0	37	351	258	93
PCT1153	ED	951	209	0	0	1	35	173	97	76
PCT1153	MV	951	415	0	0	2	53	360	252	108
PCT7001	ED	776	175	2	0	0	24	149	112	37
PCT7001	MV	776	429	0	0	0	60	369	297	72
PCT7002	ED	706	176	0	0	0	24	152	106	46
PCT7002	MV	706	332	0	0	0	52	280	209	71
PCT7003	ED	884	238	0	0	0	24	214	158	56
PCT7003	MV	884	498	0	0	1	68	429	354	75
PCT7004	ED	881	239	1	0	0	37	201	164	37
PCT7004	MV	881	496	0	0	0	56	440	364	76
PCT7005	ED	847	253	0	0	0	40	213	170	43
PCT7005	MV	847	480	0	0	0	66	414	335	79
PCT7006	ED	917	254	0	0	0	43	211	141	70
PCT7006	MV	917	442	0	0	0	61	381	293	88
PCT7007	ED	949	282	0	0	0	29	253	192	61
PCT7007	MV	949	516	0	0	0	59	457	354	103
PCT7008	ED	932	264	1	0	0	31	232	180	52
PCT7008	MV	932	546	1	0	0	71	474	391	83
PCT7009	ED	905	185	0	0	0	39	146	100	46
PCT7009	MV	905	513	0	0	1	69	443	340	103
PCT7011	ED	985	203	0	0	0	24	179	120	59
PCT7011	MV	985	294	0	0	1	28	265	199	66
PCT7012	ED	1109	313	0	0	0	46	267	192	75
PCT7012	MV	1109	594	0	0	0	66	528	426	102
PCT7013	ED	956	265	0	0	0	53	212	160	52
PCT7013	MV	956	501	0	0	0	54	447	344	103
PCT7014	ED	1460	366	0	0	0	49	317	225	92
PCT7014	MV	1460	801	0	0	0	103	698	555	143
PCT7015	MV	95	44	0	0	0	6	38	25	13
PCT7016	ED	918	171	0	0	1	21	149	93	56
PCT7016	MV	918	280	0	0	0	34	246	175	71
PCT7017	ED	754	149	0	0	2	18	129	77	52
PCT7017	MV	754	252	0	0	0	25	227	160	67
PCT7018	ED	977	154	0	0	0	22	132	97	35
PCT7018	MV	977	448	0	0	2	49	397	325	72
PCT7019	ED	899	182	0	0	0	22	160	109	51
PCT7019	MV	899	413	0	0	1	45	367	289	78
PCT7021	ED	947	184	0	0	2	29	153	97	56
PCT7021	MV	947	305	0	0	0	34	271	204	67
PCT7022	ED	945	214	0	0	0	24	190	132	58
PCT7022	MV	945	351	0	0	0	26	325	256	69
PCT7023	ED	928	177	0	0	0	11	166	117	49
PCT7023	MV	928	400	0	0	2	44	354	282	72
PCT7024	ED	414	70	0	0	0	11	59	37	22
PCT7024	MV	414	78	0	0	0	5	73	51	22
PCT7025	ED	477	85	0	0	0	9	76	54	22
PCT7025	MV	477	128	0	0	0	11	117	84	33
PCT7026	ED	1011	149	0	0	1	18	130	89	41
PCT7026	MV	1011	455	0	0	0	48	407	328	79
PCT7027	ED	869	195	0	0	0	28	167	110	57
PCT7027	MV	869	353	0	0	1	43	309	232	77
PCT7028	ED	850	212	0	0	0	27	185	117	68
PCT7028	MV	850	282	0	0	0	22	260	206	54
PCT7029	ED	901	183	0	0	0	30	153	98	55
PCT7029	MV	901	251	0	0	0	18	233	182	51
PCT7030	ED	759	118	0	0	0	8	110	77	33
PCT7030	MV	759	357	0	0	1	60	296	223	73
PCT7031	ED	641	91	0	0	0	9	82	60	22
PCT7031	MV	641	308	0	0	0	21	287	219	68
PCT7032	ED	904	173	1	0	0	26	146	100	46
PCT7032	MV	904	316	0	0	0	36	280	200	80
PCT7033	ED	798	191	0	0	0	23	168	110	58
PCT7033	MV	798	247	0	0	0	17	230	158	72
PCT7034	ED	958	197	0	0	1	24	172	121	51
PCT7034	MV	958	201	0	0	1	16	184	146	38
PCT7035	ED	606	122	0	0	0	6	116	81	35
PCT7035	MV	606	262	0	0	0	17	245	176	69
PCT7036	ED	921	117	0	0	0	22	95	59	36
PCT7036	MV	921	342	0	0	2	51	289	201	88
PCT7037	ED	735	134	0	0	0	30	104	67	37
PCT7037	MV	735	98	0	0	0	12	86	56	30
PCT7038	ED	911	135	0	0	0	21	114	70	44
PCT7038	MV	911	351	0	0	0	34	317	229	88
PCT7039	ED	784	178	0	0	0	14	164	107	57
PCT7039	MV	784	306	0	0	0	35	271	205	66
PCT7041	MV	61	33	0	0	0	7	26	17	9
PCT7042	ED	639	118	0	0	0	16	102	66	36
PCT7042	MV	639	258	0	0	0	32	226	169	57
PCT7043	ED	957	175	0	0	0	19	156	95	61
PCT7043	MV	957	404	0	0	1	39	364	273	91
PCT7044	ED	827	167	0	0	2	23	142	79	63
PCT7044	MV	827	193	0	0	1	21	171	110	61
PCT7045	ED	779	120	0	0	0	31	89	62	27
PCT7045	MV	779	344	0	0	0	38	306	222	84
PCT7046	ED	402	94	0	0	0	12	82	43	39
PCT7046	MV	402	175	0	0	0	18	157	123	34
PCT7047	ED	823	119	0	0	0	16	103	65	38
PCT7047	MV	823	388	0	0	0	38	350	269	81
PCT7048	ED	858	150	3	0	0	23	124	81	43
PCT7048	MV	858	318	0	0	0	23	295	223	72
PCT7049	ED	792	172	0	0	1	25	146	98	48
PCT7049	MV	792	305	0	0	0	42	263	188	75
PCT7051	ED	861	114	0	0	0	15	99	67	32
PCT7051	MV	861	380	0	0	0	69	311	227	84
PCT7052	ED	852	161	0	0	1	26	134	96	38
PCT7052	MV	852	402	0	0	0	59	343	263	80
PCT7053	ED	548	102	0	0	0	10	92	62	30
PCT7053	MV	548	278	0	0	0	22	256	211	45
PCT7054	ED	1073	214	0	0	0	19	195	119	76
PCT7054	MV	1073	410	0	0	0	50	360	268	92
PCT7055	ED	808	188	0	0	1	26	161	117	44
PCT7055	MV	808	440	0	0	0	57	383	290	93
PCT7101	MV	155	120	1	0	0	13	106	86	20
PCT7201	ED	936	245	0	0	0	40	205	148	57
PCT7201	MV	936	518	0	0	1	82	435	347	88
PCT7202	ED	850	225	0	0	0	30	195	142	53
PCT7202	MV	850	431	0	0	1	64	366	274	92
PCT7203	ED	921	289	1	0	1	32	255	188	67
PCT7203	MV	921	423	0	0	0	69	354	280	74
PCT7204	ED	918	233	0	0	0	45	188	129	59
PCT7204	MV	918	531	0	0	0	70	461	358	103
PCT7205	ED	875	249	0	0	0	49	200	148	52
PCT7205	MV	875	485	0	0	0	72	413	305	108
PCT7206	ED	378	134	0	0	0	16	118	89	29
PCT7206	MV	378	191	0	0	0	24	167	131	36
PCT7207	ED	812	194	0	0	0	31	163	114	49
PCT7207	MV	812	433	0	0	0	63	370	293	77
PCT7208	ED	600	111	0	0	0	11	100	72	28
PCT7208	MV	600	328	0	0	0	42	286	215	71
PCT7209	ED	626	107	0	0	0	14	93	73	20
PCT7209	MV	626	423	0	0	1	58	364	316	48
PCT7301	ED	1016	228	0	0	0	32	196	137	59
PCT7301	MV	1016	435	0	0	1	51	383	300	83
PCT7302	ED	814	188	0	0	0	27	161	110	51
PCT7302	MV	814	458	0	0	0	49	409	340	69
PCT7303	ED	1042	280	0	0	0	55	225	172	53
PCT7303	MV	1042	482	0	0	1	57	424	333	91
PCT7304	ED	1002	278	0	0	0	32	246	191	55
PCT7304	MV	1002	493	0	0	0	63	430	347	83
PCT7305	ED	871	239	0	0	0	30	209	151	58
PCT7305	MV	871	459	0	0	0	54	405	305	100
PCT7306	ED	1056	317	0	0	0	43	274	194	80
PCT7306	MV	1056	496	0	0	0	73	423	307	116
PCT7307	ED	767	209	0	0	0	29	180	132	48
PCT7307	MV	767	345	0	0	0	40	305	230	75
PCT7308	ED	603	177	0	0	0	19	158	115	43
PCT7308	MV	603	313	0	0	0	43	270	211	59
PCT7309	ED	884	260	0	0	0	31	229	153	76
PCT7309	MV	884	439	0	0	0	74	365	271	94
PCT7311	ED	917	266	0	0	0	28	238	178	60
PCT7311	MV	917	448	0	0	0	48	400	312	88
PCT7312	ED	821	203	0	0	0	24	179	134	45
PCT7312	MV	821	470	0	0	0	72	398	322	76
PCT7313	ED	968	224	1	0	0	25	198	139	59
PCT7313	MV	968	485	0	0	0	52	433	334	99
PCT7314	ED	787	125	0	0	0	19	106	64	42
PCT7314	MV	787	271	0	0	0	50	221	179	42
PCT7315	ED	760	220	0	0	0	30	190	125	65
PCT7315	MV	760	282	0	0	1	39	242	180	62
PCT7316	ED	853	205	0	0	0	29	176	126	50
PCT7316	MV	853	367	0	0	0	61	306	214	92
PCT7317	ED	904	189	0	0	0	23	166	122	44
PCT7317	MV	904	454	0	0	0	58	396	303	93
PCT7318	ED	727	179	0	0	0	34	145	107	38
PCT7318	MV	727	389	0	0	0	50	339	267	72
PCT7319	ED	1079	298	0	0	0	37	261	190	71
PCT7319	MV	1079	516	0	0	1	74	441	345	96
PCT7321	ED	671	149	0	0	0	26	123	93	30
PCT7321	MV	671	286	0	0	0	39	247	198	49
PCT7322	ED	874	64	0	0	1	14	49	37	12
PCT7322	MV	874	337	0	0	0	57	280	247	33
PCT7323	ED	950	234	0	0	0	21	213	153	60
PCT7323	MV	950	455	0	0	0	55	400	314	86
PCT7324	ED	755	189	0	0	0	25	164	115	49
PCT7324	MV	755	364	0	0	1	39	324	250	74
PCT7325	ED	904	240	0	0	0	38	202	152	50
PCT7325	MV	904	436	0	0	0	70	366	311	55
PCT7326	ED	876	199	0	0	0	25	174	134	40
PCT7326	MV	876	429	0	0	0	59	370	285	85
PCT7327	ED	699	71	0	0	0	18	53	45	8
PCT7327	MV	699	276	0	0	0	44	232	174	58
PCT7328	ED	973	94	0	0	0	20	74	56	18
PCT7328	MV	973	394	0	0	0	55	339	284	55
PCT7329	ED	640	112	0	0	0	16	96	58	38
PCT7329	MV	640	321	0	0	0	49	272	225	47
PCT7331	ED	852	213	0	0	2	23	188	135	53
PCT7331	MV	852	461	0	0	0	57	404	338	66
PCT7332	ED	834	223	0	0	0	32	191	125	66
PCT7332	MV	834	364	0	0	0	51	313	243	70
PCT7333	ED	1044	295	0	0	0	40	255	164	91
PCT7333	MV	1044	543	0	0	0	77	466	371	95
PCT7334	ED	881	199	0	0	1	38	160	112	48
PCT7334	MV	881	462	0	0	0	56	406	328	78
PCT7335	ED	970	225	0	0	0	25	200	144	56
PCT7335	MV	970	523	0	0	0	77	446	345	101
PCT7336	ED	955	236	0	0	0	38	198	134	64
PCT7336	MV	955	523	0	0	1	93	429	326	103
PCT7337	ED	851	178	0	0	0	26	152	113	39
PCT7337	MV	851	464	0	0	1	69	394	312	82
PCT7338	ED	915	153	0	0	0	16	137	98	39
PCT7338	MV	915	426	0	0	0	60	366	301	65
PCT7339	ED	669	174	0	0	0	27	147	101	46
PCT7339	MV	669	309	0	0	0	28	281	214	67
PCT7341	ED	908	260	0	0	0	34	226	151	75
PCT7341	MV	908	401	0	0	0	57	344	254	90
PCT7342	ED	947	333	0	0	0	45	288	194	94
PCT7342	MV	947	414	0	0	0	63	351	262	89
PCT7343	ED	731	234	0	0	0	35	199	132	67
PCT7343	MV	731	316	0	0	0	39	277	207	70
PCT7344	ED	1110	287	0	0	0	36	251	190	61
PCT7344	MV	1110	538	0	0	0	62	476	343	133
PCT7345	ED	1141	327	1	0	0	40	286	199	87
PCT7345	MV	1141	521	0	0	0	53	468	346	122
PCT7346	ED	920	248	0	0	0	35	213	148	65
PCT7346	MV	920	384	0	0	0	42	342	234	108
PCT7347	ED	1040	240	0	0	1	36	203	133	70
PCT7347	MV	1040	480	0	0	2	51	427	337	90
PCT7348	ED	861	210	0	0	0	28	182	133	49
PCT7348	MV	861	353	0	0	0	50	303	232	71
PCT7349	ED	957	247	0	0	0	33	214	146	68
PCT7349	MV	957	427	0	0	0	65	362	280	82
PCT7501	ED	565	172	0	0	1	19	152	115	37
PCT7501	MV	565	308	0	0	0	47	261	202	59
PCT7502	ED	784	180	1	0	0	30	149	102	47
PCT7502	MV	784	447	0	0	2	74	371	289	82
PCT7503	ED	764	207	0	0	0	27	180	128	52
PCT7503	MV	764	388	0	0	0	52	336	255	81
PCT7504	ED	503	112	0	0	0	19	93	74	19
PCT7504	MV	503	222	0	0	0	22	200	170	30
PCT7505	ED	869	158	0	0	1	25	132	104	28
PCT7505	MV	869	532	0	0	1	59	472	398	74
PCT7506	ED	999	224	0	0	0	24	200	134	66
PCT7506	MV	999	473	0	0	0	68	405	295	110
PCT7507	ED	955	210	0	0	1	33	176	132	44
PCT7507	MV	955	344	0	0	0	33	311	252	59
PCT7508	ED	727	154	0	0	0	27	127	93	34
PCT7508	MV	727	427	0	0	0	58	369	309	60
PCT7509	ED	932	235	2	0	1	37	195	145	50
PCT7509	MV	932	470	1	0	0	46	423	326	97
PCT7512	ED	612	149	0	0	0	43	106	77	29
PCT7512	MV	612	283	0	0	1	49	233	168	65
PCT7513	ED	818	225	0	0	1	44	180	125	55
PCT7513	MV	818	315	0	0	2	36	277	206	71
PCT7514	ED	874	140	0	0	0	16	124	90	34
PCT7514	MV	874	305	0	0	2	45	258	202	56
PCT7515	ED	869	211	0	0	0	34	177	118	59
