area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	118:MARSHALL TUCK	119:TONY K. THURMOND
ALL	TO	500516	372848	106	1511	80051	291180	2071	97777	191332
ALL	ED	500516	127886	80	444	27814	99548	727	33576	65245
ALL	MV	500516	244962	26	1067	52237	191632	1344	64201	126087
PCT1101	ED	553	126	0	1	26	99	1	17	81
PCT1101	MV	553	266	0	1	49	216	0	68	148
PCT1102	ED	995	266	0	0	38	228	2	69	157
PCT1102	MV	995	480	0	8	73	399	4	137	258
PCT1103	ED	951	246	1	0	45	200	3	67	130
PCT1103	MV	951	445	0	5	84	356	5	128	223
PCT1104	ED	993	249	0	1	51	197	2	76	119
PCT1104	MV	993	414	0	2	68	344	3	113	228
PCT1106	ED	765	191	0	3	34	154	2	47	105
PCT1106	MV	765	343	0	2	57	284	3	87	194
PCT1107	ED	746	163	0	0	30	133	3	38	92
PCT1107	MV	746	336	0	2	69	265	2	99	164
PCT1108	ED	909	232	0	1	51	180	2	46	132
PCT1108	MV	909	438	0	0	85	353	4	87	262
PCT1109	ED	798	166	0	0	35	131	0	36	95
PCT1109	MV	798	365	0	1	62	302	2	101	199
PCT1111	ED	1002	205	0	0	42	163	2	53	108
PCT1111	MV	1002	460	0	3	102	355	6	116	233
PCT1112	ED	769	151	0	4	24	123	0	42	81
PCT1112	MV	769	344	0	2	91	251	1	76	174
PCT1113	ED	746	135	0	0	32	103	1	29	73
PCT1113	MV	746	360	0	0	81	279	4	97	178
PCT1114	ED	957	226	0	0	50	176	2	61	113
PCT1114	MV	957	404	0	3	65	336	2	112	222
PCT1115	ED	895	174	0	0	30	144	1	48	95
PCT1115	MV	895	371	0	3	68	300	2	101	197
PCT1116	ED	895	225	0	0	37	188	1	52	135
PCT1116	MV	895	376	0	1	57	318	3	109	206
PCT1117	ED	858	185	0	0	32	153	1	48	104
PCT1117	MV	858	357	0	1	71	285	2	87	196
PCT1118	ED	1043	213	0	0	37	176	4	57	115
PCT1118	MV	1043	476	0	4	91	381	4	101	276
PCT1119	ED	791	165	0	0	30	135	1	33	101
PCT1119	MV	791	386	0	4	54	328	2	90	236
PCT1121	ED	691	160	0	1	36	123	2	53	68
PCT1121	MV	691	313	0	3	75	235	1	84	150
PCT1122	ED	632	110	0	0	20	90	0	27	63
PCT1122	MV	632	310	0	2	63	245	0	88	157
PCT1123	ED	915	179	0	1	20	158	3	50	105
PCT1123	MV	915	364	0	2	81	281	1	99	181
PCT1124	ED	819	152	0	0	16	136	0	36	100
PCT1124	MV	819	302	0	1	42	259	4	57	198
PCT1125	ED	1047	159	0	0	29	130	2	49	79
PCT1125	MV	1047	466	0	6	82	378	8	132	238
PCT1126	ED	922	191	0	1	27	163	2	69	92
PCT1126	MV	922	400	0	1	66	333	7	116	210
PCT1127	ED	920	200	0	1	36	163	0	65	98
PCT1127	MV	920	382	0	1	72	309	1	109	199
PCT1128	ED	838	154	0	0	32	122	0	38	84
PCT1128	MV	838	362	0	1	62	299	3	134	162
PCT1129	ED	980	227	0	2	53	172	1	75	96
PCT1129	MV	980	416	0	5	77	334	6	126	202
PCT1131	ED	797	132	0	1	27	104	1	41	62
PCT1131	MV	797	371	0	2	60	309	2	136	171
PCT1132	ED	969	179	0	1	43	135	0	55	80
PCT1132	MV	969	427	0	3	84	340	3	122	215
PCT1133	ED	863	161	0	0	25	136	0	44	92
PCT1133	MV	863	410	0	2	69	339	1	123	215
PCT1134	ED	759	170	0	1	32	137	1	49	87
PCT1134	MV	759	318	0	1	77	240	4	79	157
PCT1135	ED	540	87	0	2	18	67	0	15	52
PCT1135	MV	540	295	0	0	55	240	8	87	145
PCT1136	ED	829	144	0	0	26	118	3	42	73
PCT1136	MV	829	412	0	0	91	321	2	122	197
PCT1141	ED	1041	223	0	1	43	179	2	65	112
PCT1141	MV	1041	484	0	6	75	403	4	152	247
PCT1142	ED	861	175	0	0	29	146	1	57	88
PCT1142	MV	861	393	0	5	79	309	3	103	203
PCT1143	ED	1034	229	0	1	27	201	0	70	131
PCT1143	MV	1034	440	0	2	82	356	5	119	232
PCT1144	ED	907	205	0	2	21	182	1	73	108
PCT1144	MV	907	387	0	4	62	321	5	115	201
PCT1145	ED	888	189	0	0	28	161	2	50	109
PCT1145	MV	888	461	0	2	89	370	3	116	251
PCT1146	ED	1011	186	0	0	31	155	2	49	104
PCT1146	MV	1011	454	0	3	85	366	2	108	256
PCT1147	ED	877	210	0	0	28	182	2	52	128
PCT1147	MV	877	396	0	4	62	330	2	98	230
PCT1148	ED	962	196	0	0	41	155	1	55	99
PCT1148	MV	962	444	0	5	82	357	3	152	202
PCT1149	ED	907	210	0	1	33	176	2	64	110
PCT1149	MV	907	407	0	6	75	326	1	106	219
PCT1152	ED	864	198	0	0	37	161	1	49	111
PCT1152	MV	864	388	0	4	61	323	1	100	222
PCT1153	ED	951	210	0	1	42	167	1	64	102
PCT1153	MV	951	415	0	2	83	330	4	109	217
PCT7001	ED	776	176	2	1	40	133	0	39	94
PCT7001	MV	776	429	0	1	92	336	4	91	241
PCT7002	ED	706	176	0	0	34	142	0	42	100
PCT7002	MV	706	332	0	0	66	266	2	83	181
PCT7003	ED	884	238	0	1	49	188	0	59	129
PCT7003	MV	884	498	0	0	79	419	3	131	285
PCT7004	ED	881	241	1	0	48	192	1	68	123
PCT7004	MV	881	496	0	4	97	395	2	119	274
PCT7005	ED	847	253	0	1	47	205	0	44	161
PCT7005	MV	847	480	0	2	101	377	2	90	285
PCT7006	ED	917	254	0	0	57	197	2	52	143
PCT7006	MV	917	442	0	1	77	364	1	108	255
PCT7007	ED	949	283	0	1	51	231	1	69	161
PCT7007	MV	949	516	0	4	107	405	2	133	270
PCT7008	ED	932	264	1	0	37	226	0	58	168
PCT7008	MV	932	546	1	1	112	432	3	133	296
PCT7009	ED	905	185	0	1	27	157	1	55	101
PCT7009	MV	905	513	0	0	99	414	1	119	294
PCT7011	ED	985	204	0	3	32	169	2	58	109
PCT7011	MV	985	294	0	0	56	238	3	70	165
PCT7012	ED	1109	313	0	0	62	251	1	83	167
PCT7012	MV	1109	594	0	3	121	470	7	154	309
PCT7013	ED	956	267	0	0	79	188	2	81	105
PCT7013	MV	956	501	0	3	107	391	1	141	249
PCT7014	ED	1460	367	0	1	86	280	1	105	174
PCT7014	MV	1460	802	0	3	185	614	1	185	428
PCT7015	MV	95	44	0	0	9	35	0	9	26
PCT7016	ED	918	171	0	2	20	149	0	46	103
PCT7016	MV	918	280	0	5	65	210	6	63	141
PCT7017	ED	754	149	0	1	35	113	3	41	69
PCT7017	MV	754	252	0	0	36	216	2	50	164
PCT7018	ED	977	155	0	1	30	124	2	26	96
PCT7018	MV	977	448	0	1	96	351	4	131	216
PCT7019	ED	899	182	0	1	30	151	2	37	112
PCT7019	MV	899	413	0	3	73	337	4	85	248
PCT7021	ED	947	184	0	1	28	155	6	45	104
PCT7021	MV	947	305	0	4	38	263	2	76	185
PCT7022	ED	945	215	0	5	44	166	0	42	124
PCT7022	MV	945	352	0	2	50	300	4	82	214
PCT7023	ED	928	178	0	1	28	149	1	41	107
PCT7023	MV	928	400	0	6	64	330	4	68	258
PCT7024	ED	414	70	0	2	16	52	1	15	36
PCT7024	MV	414	78	0	0	15	63	1	25	37
PCT7025	ED	477	85	0	1	15	69	0	15	54
PCT7025	MV	477	128	0	0	16	112	2	29	81
PCT7026	ED	1011	149	0	0	36	113	2	36	75
PCT7026	MV	1011	455	0	4	92	359	5	118	236
PCT7027	ED	869	195	0	2	33	160	1	41	118
PCT7027	MV	869	353	0	2	54	297	3	99	195
PCT7028	ED	850	213	0	1	24	188	1	41	146
PCT7028	MV	850	282	0	0	47	235	2	47	186
PCT7029	ED	901	184	0	0	42	142	3	38	101
PCT7029	MV	901	251	0	3	34	214	1	52	161
PCT7030	ED	759	119	0	0	30	89	1	39	49
PCT7030	MV	759	357	0	5	77	275	4	110	161
PCT7031	ED	641	91	0	1	19	71	2	24	45
PCT7031	MV	641	309	0	0	53	256	2	83	171
PCT7032	ED	904	173	1	1	32	139	0	32	107
PCT7032	MV	904	316	0	3	34	279	1	79	199
PCT7033	ED	798	191	0	1	32	158	3	45	110
PCT7033	MV	798	247	0	3	31	213	0	72	141
PCT7034	ED	958	197	0	1	49	147	2	49	96
PCT7034	MV	958	201	0	2	28	171	5	46	120
PCT7035	ED	606	122	0	0	16	106	0	33	73
PCT7035	MV	606	262	0	2	38	222	3	66	153
PCT7036	ED	921	117	0	1	13	103	0	37	66
PCT7036	MV	921	342	0	2	74	266	2	124	140
PCT7037	ED	735	135	0	1	38	96	4	35	57
PCT7037	MV	735	98	0	1	20	77	2	23	52
PCT7038	ED	911	135	0	2	24	109	2	41	66
PCT7038	MV	911	351	0	2	68	281	2	119	160
PCT7039	ED	784	178	0	0	32	146	3	49	94
PCT7039	MV	784	306	0	3	58	245	2	88	155
PCT7041	MV	61	33	0	0	11	22	0	7	15
PCT7042	ED	639	118	0	0	14	104	1	42	61
PCT7042	MV	639	258	0	0	40	218	2	61	155
PCT7043	ED	957	176	0	0	22	154	1	48	105
PCT7043	MV	957	404	0	0	84	320	7	94	219
PCT7044	ED	827	167	0	2	26	139	1	48	90
PCT7044	MV	827	193	0	0	35	158	3	42	113
PCT7045	ED	779	120	0	0	30	90	1	33	56
PCT7045	MV	779	344	0	3	78	263	3	94	166
PCT7046	ED	402	94	0	0	15	79	0	17	62
PCT7046	MV	402	175	0	1	42	132	1	38	93
PCT7047	ED	823	119	0	0	24	95	1	33	61
PCT7047	MV	823	388	0	3	83	302	3	95	204
PCT7048	ED	858	150	3	0	27	120	4	40	76
PCT7048	MV	858	318	0	5	59	254	9	82	163
PCT7049	ED	792	173	0	2	35	136	1	56	79
PCT7049	MV	792	305	0	1	74	230	3	109	118
PCT7051	ED	861	114	0	3	25	86	1	35	50
PCT7051	MV	861	380	0	1	91	288	3	141	144
PCT7052	ED	852	161	0	0	29	132	1	49	82
PCT7052	MV	852	402	0	3	87	312	3	126	183
PCT7053	ED	548	102	0	0	31	71	1	16	54
PCT7053	MV	548	278	0	2	56	220	3	90	127
PCT7054	ED	1073	215	0	1	32	182	3	47	132
PCT7054	MV	1073	410	0	0	62	348	2	106	240
PCT7055	ED	808	190	0	0	46	144	0	60	84
PCT7055	MV	808	440	0	2	99	339	2	122	215
PCT7101	MV	155	120	1	0	22	97	0	29	68
PCT7201	ED	936	245	0	0	73	172	1	64	107
PCT7201	MV	936	518	0	2	130	386	2	133	251
PCT7202	ED	850	227	0	0	68	159	1	59	99
PCT7202	MV	850	431	0	2	110	319	1	142	176
PCT7203	ED	921	291	1	1	68	221	1	74	146
PCT7203	MV	921	423	0	2	109	312	2	106	204
PCT7204	ED	918	233	0	0	60	173	0	70	103
PCT7204	MV	918	531	0	3	108	420	2	172	246
PCT7205	ED	875	251	0	0	79	172	5	72	95
PCT7205	MV	875	485	0	1	121	363	1	166	196
PCT7206	ED	378	135	0	0	34	101	0	38	63
PCT7206	MV	378	191	0	2	48	141	1	47	93
PCT7207	ED	812	196	0	0	49	147	1	62	84
PCT7207	MV	812	434	0	7	116	311	0	119	192
PCT7208	ED	600	111	0	0	30	81	1	29	51
PCT7208	MV	600	328	0	3	82	243	4	92	147
PCT7209	ED	626	107	0	0	28	79	0	37	42
PCT7209	MV	626	423	0	4	87	332	1	127	204
PCT7301	ED	1016	228	0	2	58	168	1	71	96
PCT7301	MV	1016	435	0	3	109	323	0	133	190
PCT7302	ED	814	188	0	0	48	140	2	50	88
PCT7302	MV	814	458	0	3	115	340	0	121	219
PCT7303	ED	1042	281	0	0	73	208	0	76	132
PCT7303	MV	1042	482	0	2	119	361	2	125	234
PCT7304	ED	1002	278	0	2	69	207	1	72	134
PCT7304	MV	1002	493	0	0	118	375	1	149	225
PCT7305	ED	871	240	0	1	57	182	0	83	99
PCT7305	MV	871	460	0	3	114	343	2	144	197
PCT7306	ED	1056	317	0	0	78	239	1	103	135
PCT7306	MV	1056	498	0	4	149	345	3	128	214
PCT7307	ED	767	210	0	1	41	168	1	52	115
PCT7307	MV	767	346	0	1	81	264	1	85	178
PCT7308	ED	603	177	0	0	43	134	1	52	81
PCT7308	MV	603	313	0	1	71	241	4	87	150
PCT7309	ED	884	263	0	2	71	190	1	81	108
PCT7309	MV	884	439	0	4	117	318	2	131	185
PCT7311	ED	917	268	0	0	68	200	0	81	119
PCT7311	MV	917	448	0	4	98	346	1	152	193
PCT7312	ED	821	203	0	0	46	157	1	75	81
PCT7312	MV	821	470	0	1	117	352	2	173	177
PCT7313	ED	968	225	1	0	58	166	2	56	108
PCT7313	MV	968	485	0	2	126	357	3	134	220
PCT7314	ED	787	125	0	2	37	86	0	31	55
PCT7314	MV	787	271	0	2	89	180	0	65	115
PCT7315	ED	760	220	0	2	57	161	2	54	105
PCT7315	MV	760	282	0	0	81	201	0	60	141
PCT7316	ED	853	205	0	0	69	136	0	42	94
PCT7316	MV	853	367	0	3	109	255	2	81	172
PCT7317	ED	904	189	0	1	56	132	2	49	81
PCT7317	MV	904	454	0	2	95	357	1	157	199
PCT7318	ED	727	179	0	0	56	123	0	41	82
PCT7318	MV	727	390	0	1	104	285	0	115	170
PCT7319	ED	1079	301	0	1	76	224	2	81	141
PCT7319	MV	1079	516	0	2	150	364	4	154	206
PCT7321	ED	671	149	0	0	56	93	1	38	54
PCT7321	MV	671	286	0	1	79	206	2	85	119
PCT7322	ED	874	65	0	1	19	45	1	14	30
PCT7322	MV	874	337	0	2	117	218	3	92	123
PCT7323	ED	950	234	0	1	55	178	1	79	98
PCT7323	MV	950	455	0	3	126	326	1	121	204
PCT7324	ED	755	190	0	0	60	130	0	51	79
PCT7324	MV	755	364	0	2	88	274	0	94	180
PCT7325	ED	904	243	0	1	68	174	2	74	98
PCT7325	MV	904	436	0	1	113	322	3	102	217
PCT7326	ED	876	200	0	0	52	148	1	55	92
PCT7326	MV	876	430	0	1	104	325	1	131	193
PCT7327	ED	699	71	0	0	19	52	0	14	38
PCT7327	MV	699	276	0	1	81	194	0	90	104
PCT7328	ED	973	94	0	0	47	47	0	21	26
PCT7328	MV	973	394	0	0	111	283	1	113	169
PCT7329	ED	640	112	0	0	29	83	0	38	45
PCT7329	MV	640	321	0	1	75	245	1	136	108
PCT7331	ED	852	213	0	2	58	153	5	69	79
PCT7331	MV	852	461	0	1	102	358	1	142	215
PCT7332	ED	834	225	0	3	65	157	0	63	94
PCT7332	MV	834	364	0	3	78	283	2	75	206
PCT7333	ED	1044	298	0	1	75	222	0	83	139
PCT7333	MV	1044	543	0	0	114	429	0	163	266
PCT7334	ED	881	199	0	2	66	131	0	48	83
PCT7334	MV	881	462	0	2	118	342	2	125	215
PCT7335	ED	970	225	0	1	56	168	1	46	121
PCT7335	MV	970	523	0	1	119	403	1	163	239
PCT7336	ED	955	238	0	0	65	173	1	71	101
PCT7336	MV	955	523	0	3	132	388	3	151	234
PCT7337	ED	851	179	0	3	47	129	1	59	69
PCT7337	MV	851	464	0	1	113	350	2	168	180
PCT7338	ED	915	153	0	2	27	124	0	51	73
PCT7338	MV	915	426	0	4	119	303	2	133	168
PCT7339	ED	669	174	0	1	41	132	0	54	78
PCT7339	MV	669	309	0	1	67	241	1	71	169
PCT7341	ED	908	260	0	0	76	184	4	53	127
PCT7341	MV	908	401	0	3	90	308	2	99	207
PCT7342	ED	947	334	0	0	62	272	1	94	177
PCT7342	MV	947	414	0	0	97	317	3	108	206
PCT7343	ED	731	234	0	2	56	176	1	51	124
PCT7343	MV	731	316	0	2	69	245	2	64	179
PCT7344	ED	1110	291	0	2	72	217	1	71	145
PCT7344	MV	1110	538	0	1	114	423	6	134	283
PCT7345	ED	1141	329	1	3	82	243	2	102	139
PCT7345	MV	1141	521	0	1	116	404	4	115	285
PCT7346	ED	920	250	0	1	60	189	3	63	123
PCT7346	MV	920	384	0	1	77	306	4	93	209
PCT7347	ED	1040	241	0	2	55	184	2	59	123
PCT7347	MV	1040	480	0	5	101	374	2	102	270
PCT7348	ED	861	210	0	3	49	158	1	53	104
PCT7348	MV	861	353	0	2	81	270	2	101	167
PCT7349	ED	957	248	0	0	45	203	1	81	121
PCT7349	MV	957	427	0	2	90	335	1	113	221
