area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	120:JOHN RIZZO	121:BRIGITTE DAVILA	122:VICTOR OLIVIERI	123:THEA SELBY
ALLPCTS	TO	500516	372848	106	2760	487621	627845	2373	151356	187792	101368	184956
ALLPCTS	ED	500516	127886	80	1017	176591	205810	784	50376	63202	32543	58905
ALLPCTS	MV	500516	244962	26	1743	311030	422035	1589	100980	124590	68825	126051
PCT1101	ED	553	126	0	0	163	215	1	52	67	32	63
PCT1101	MV	553	266	0	3	256	539	3	134	148	93	161
PCT1102	ED	995	266	0	0	291	507	0	124	155	82	146
PCT1102	MV	995	480	0	3	529	908	3	224	272	164	245
PCT1103	ED	951	246	1	0	341	394	1	105	115	70	103
PCT1103	MV	951	445	0	3	554	778	5	189	227	127	230
PCT1104	ED	993	249	0	3	366	378	6	87	121	65	99
PCT1104	MV	993	414	0	0	489	753	4	179	239	128	203
PCT1106	ED	765	191	0	6	247	320	2	80	95	59	84
PCT1106	MV	765	343	0	0	452	577	2	134	161	101	179
PCT1107	ED	746	163	0	0	217	272	0	54	88	61	69
PCT1107	MV	746	336	0	3	454	551	2	122	163	104	160
PCT1108	ED	909	232	0	3	314	379	2	90	115	58	114
PCT1108	MV	909	438	0	0	479	835	2	192	231	151	259
PCT1109	ED	798	166	0	0	242	256	1	59	76	47	73
PCT1109	MV	798	365	0	0	459	636	2	144	185	131	174
PCT1111	ED	1002	205	0	3	260	352	2	79	115	67	89
PCT1111	MV	1002	460	0	3	548	829	12	200	220	163	234
PCT1112	ED	769	151	0	3	187	263	1	59	86	51	66
PCT1112	MV	769	344	0	3	463	566	2	131	163	99	171
PCT1113	ED	746	135	0	0	203	202	2	50	65	34	51
PCT1113	MV	746	360	0	0	458	622	2	148	181	115	176
PCT1114	ED	957	226	0	3	368	307	4	70	102	56	75
PCT1114	MV	957	404	0	3	479	730	0	178	212	146	194
PCT1115	ED	895	174	0	6	230	286	0	62	86	66	72
PCT1115	MV	895	371	0	3	510	600	1	130	177	112	180
PCT1116	ED	895	225	0	0	318	357	0	71	112	73	101
PCT1116	MV	895	376	0	3	499	626	6	153	185	118	164
PCT1117	ED	858	185	0	0	266	289	1	48	99	52	89
PCT1117	MV	858	357	0	3	467	601	13	134	183	100	171
PCT1118	ED	1043	213	0	3	274	362	7	81	119	69	86
PCT1118	MV	1043	476	0	3	586	839	1	184	253	145	256
PCT1119	ED	791	165	0	0	223	272	2	62	87	52	69
PCT1119	MV	791	386	0	0	407	751	4	181	225	130	211
PCT1121	ED	691	160	0	0	237	243	3	52	83	50	55
PCT1121	MV	691	313	0	0	454	485	2	128	143	77	135
PCT1122	ED	632	110	0	3	152	175	0	41	55	27	52
PCT1122	MV	632	310	0	0	418	512	2	122	142	101	145
PCT1123	ED	915	179	0	3	239	295	5	54	94	64	78
PCT1123	MV	915	364	0	0	498	594	1	123	185	109	176
PCT1124	ED	819	152	0	6	209	241	0	60	82	39	60
