area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
ALLPCTS	TO	223735	166386	47	1610	39920	124809	343	24525	16527	14688	39997	23659	5070
ALLPCTS	ED	223735	56362	39	502	14713	41108	125	7731	5850	4618	13086	7464	2234
ALLPCTS	MV	223735	110024	8	1108	25207	83701	218	16794	10677	10070	26911	16195	2836
PCT1106	ED	765	191	0	3	47	141	1	23	27	12	41	26	11
PCT1106	MV	765	343	0	5	67	271	0	62	27	33	97	41	11
PCT1107	ED	746	163	0	1	40	122	0	16	21	12	31	26	16
PCT1107	MV	746	336	0	0	60	276	0	57	29	35	75	47	33
PCT1108	ED	909	232	0	1	59	172	0	25	20	30	65	21	11
PCT1108	MV	909	438	0	2	85	351	0	48	31	53	134	71	14
PCT1109	ED	798	166	0	2	40	124	0	28	15	14	35	19	13
PCT1109	MV	798	365	0	4	64	297	0	74	37	34	95	46	11
PCT1111	ED	1002	205	0	4	43	158	1	27	28	15	53	19	15
PCT1111	MV	1002	460	0	5	101	354	5	85	41	28	121	53	21
PCT1112	ED	769	151	0	8	16	127	0	20	16	19	47	20	5
PCT1112	MV	769	344	0	7	57	280	1	76	21	37	87	45	13
PCT1115	ED	895	174	0	0	32	142	0	14	24	15	62	19	8
PCT1115	MV	895	371	0	9	67	295	0	79	42	35	95	31	13
PCT1116	ED	895	225	0	1	50	174	1	27	13	26	55	26	26
PCT1116	MV	895	376	0	4	67	305	1	66	37	49	89	42	21
PCT1117	ED	858	185	0	2	42	141	1	22	22	17	36	27	16
PCT1117	MV	858	357	0	3	79	275	4	53	41	34	81	44	18
PCT1118	ED	1043	213	0	4	45	164	0	26	29	14	49	18	28
PCT1118	MV	1043	476	0	7	85	384	1	80	44	49	123	57	30
PCT1119	ED	791	165	0	1	39	125	0	16	20	11	49	13	16
PCT1119	MV	791	386	0	10	61	315	0	66	39	30	111	59	10
PCT1121	ED	691	160	0	3	41	116	0	25	20	13	20	24	14
PCT1121	MV	691	313	0	5	75	233	1	57	32	34	65	31	13
PCT1122	ED	632	110	0	2	23	85	0	9	13	13	28	13	9
PCT1122	MV	632	310	0	3	47	260	0	70	23	25	88	42	12
PCT1123	ED	915	179	0	5	29	145	0	18	19	11	54	21	22
PCT1123	MV	915	364	0	6	85	273	0	60	43	22	86	38	24
PCT1124	ED	819	152	0	3	30	119	0	18	18	13	47	11	12
PCT1124	MV	819	302	0	6	36	260	1	49	45	36	74	33	22
PCT1125	ED	1047	159	0	1	34	124	0	26	32	14	24	12	16
PCT1125	MV	1047	466	0	5	84	377	3	70	64	52	106	53	29
PCT1126	ED	922	191	0	4	38	149	1	22	26	23	45	21	11
PCT1126	MV	922	400	0	3	65	332	3	65	53	33	99	55	24
PCT1127	ED	920	200	0	3	44	153	0	31	30	16	47	21	8
PCT1127	MV	920	382	0	5	68	309	1	68	44	39	103	38	16
PCT1128	ED	838	154	0	1	35	118	0	24	20	15	40	10	9
PCT1128	MV	838	362	0	4	59	299	3	68	50	40	83	46	9
PCT1129	ED	980	227	0	4	52	171	1	28	28	26	55	15	18
PCT1129	MV	980	416	0	5	75	336	2	68	69	38	97	48	14
PCT1131	ED	797	132	0	2	25	105	0	22	24	5	32	16	6
PCT1131	MV	797	371	0	6	58	307	0	77	50	32	100	29	19
PCT1132	ED	969	179	0	8	54	117	2	19	13	16	34	25	8
PCT1132	MV	969	427	0	5	74	348	2	57	61	40	115	65	8
PCT1133	ED	863	161	0	0	39	122	0	28	23	9	33	22	7
PCT1133	MV	863	410	0	8	86	316	0	59	58	51	91	42	15
PCT1134	ED	759	170	0	3	37	130	1	25	16	13	50	15	10
PCT1134	MV	759	318	0	5	70	243	2	64	30	29	71	40	7
PCT1135	ED	540	87	0	0	25	62	0	12	8	8	14	18	2
PCT1135	MV	540	295	0	3	61	231	4	42	23	31	73	43	15
PCT1136	ED	829	144	0	2	31	111	1	23	16	13	32	16	10
PCT1136	MV	829	412	0	3	85	324	1	77	40	48	82	60	16
PCT7036	ED	921	117	0	4	31	82	0	10	17	10	21	12	12
PCT7036	MV	921	342	0	2	58	282	1	54	56	24	72	51	24
PCT7037	ED	735	135	0	0	48	87	2	12	10	9	12	16	26
PCT7037	MV	735	98	0	2	21	75	2	18	19	6	15	12	3
PCT7038	ED	911	135	0	4	32	99	1	17	19	12	18	14	18
PCT7038	MV	911	351	0	13	57	281	0	77	34	36	78	38	18
PCT7039	ED	784	178	0	2	43	133	0	19	29	19	39	17	10
PCT7039	MV	784	306	0	3	49	254	7	49	37	31	66	40	24
PCT7045	ED	779	120	0	2	34	84	0	13	11	7	31	13	9
PCT7045	MV	779	344	0	4	75	265	1	78	23	16	90	41	16
