area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	130:CARMEN CHU	131:PAUL BELLAR
RCV2	TO	500516	372461	4265	411	428	50874	0	316894	0	236506	80388
RCV1	TO	500516	372461	4265	411	428	50874	0	316894	0	236506	80388
ALLPCTS	TO	500516	372461	4265	411	51950	0	315835	1254	234996	79585
ALLPCTS	ED	500516	127556	933	109	21620	0	104894	527	73058	31309
ALLPCTS	MV	500516	244905	3332	302	30330	0	210941	727	161938	48276
PCT1101	ED	553	125	0	0	16	0	109	1	71	37
PCT1101	MV	553	266	4	1	24	0	237	1	185	51
PCT1102	ED	995	266	0	0	25	0	241	0	176	65
PCT1102	MV	995	480	1	1	35	0	443	1	317	125
PCT1103	ED	951	246	4	1	26	0	215	2	150	63
PCT1103	MV	951	445	-2	0	38	0	409	2	304	103
PCT1104	ED	993	249	-1	1	15	0	234	18	145	71
PCT1104	MV	993	414	2	0	39	0	373	2	281	90
PCT1106	ED	765	191	0	1	25	0	165	0	126	39
PCT1106	MV	765	343	3	0	36	0	304	0	237	67
PCT1107	ED	746	163	34	0	11	0	118	0	96	22
PCT1107	MV	746	336	8	2	24	0	302	1	230	71
PCT1108	ED	909	232	-1	0	38	0	195	1	154	40
PCT1108	MV	909	437	1	0	31	0	405	0	340	65
PCT1109	ED	798	166	-1	0	24	0	143	1	102	40
PCT1109	MV	798	365	5	0	28	0	332	1	265	66
PCT1111	ED	1002	205	0	0	27	0	178	2	117	59
PCT1111	MV	1002	460	4	0	34	0	422	2	327	93
PCT1112	ED	769	151	1	1	14	0	135	0	94	41
PCT1112	MV	769	344	3	0	32	0	309	1	257	51
PCT1113	ED	746	134	13	1	10	0	110	0	74	36
PCT1113	MV	746	359	3	3	30	0	323	0	258	65
PCT1114	ED	957	226	0	1	41	0	184	1	116	67
PCT1114	MV	957	403	5	0	41	0	357	1	259	97
PCT1115	ED	895	173	1	0	17	0	155	0	110	45
PCT1115	MV	895	371	6	1	24	0	340	2	265	73
PCT1116	ED	895	224	2	1	34	0	187	1	140	46
PCT1116	MV	895	376	7	2	28	0	339	1	266	72
PCT1117	ED	858	184	-4	0	27	0	161	1	119	41
PCT1117	MV	858	357	5	0	30	0	322	0	237	85
PCT1118	ED	1043	213	1	0	24	0	188	2	139	47
PCT1118	MV	1043	475	5	2	44	0	424	0	342	82
PCT1119	ED	791	165	0	0	25	0	140	1	96	43
PCT1119	MV	791	386	2	2	32	0	350	0	260	90
PCT1121	ED	691	159	0	0	27	0	132	1	91	40
PCT1121	MV	691	313	3	2	38	0	270	1	219	50
PCT1122	ED	632	109	0	0	15	0	94	0	65	29
PCT1122	MV	632	310	2	0	28	0	280	2	223	55
PCT1123	ED	915	179	0	0	17	0	162	2	115	45
PCT1123	MV	915	364	5	0	19	0	340	2	276	62
PCT1124	ED	819	152	-2	0	24	0	130	0	82	48
PCT1124	MV	819	302	1	0	22	0	279	0	219	60
PCT1125	ED	1047	159	5	0	18	0	136	0	88	48
PCT1125	MV	1047	466	0	1	39	0	426	1	323	102
PCT1126	ED	922	190	2	0	20	0	168	2	116	50
PCT1126	MV	922	400	4	0	22	0	374	1	306	67
PCT1127	ED	920	200	0	0	27	0	173	0	124	49
PCT1127	MV	920	382	1	1	24	0	356	0	293	63
PCT1128	ED	838	154	0	0	21	0	133	1	84	48
PCT1128	MV	838	362	3	0	20	0	339	3	259	77
PCT1129	ED	980	227	1	0	28	0	198	0	128	70
PCT1129	MV	980	416	10	0	17	0	389	3	295	91
PCT1131	ED	797	132	0	2	19	0	111	0	87	24
PCT1131	MV	797	371	7	2	24	0	338	1	263	74
PCT1132	ED	969	179	3	2	31	0	143	1	104	38
PCT1132	MV	969	427	-1	0	46	0	382	2	299	81
PCT1133	ED	863	161	1	0	21	0	139	0	100	39
PCT1133	MV	863	410	3	0	35	0	372	2	290	80
PCT1134	ED	759	170	4	0	26	0	140	4	96	40
PCT1134	MV	759	317	0	1	16	0	300	4	234	62
PCT1135	ED	540	87	2	0	15	0	70	0	60	10
PCT1135	MV	540	295	-1	2	17	0	277	5	214	58
PCT1136	ED	829	144	0	0	15	0	129	0	98	31
PCT1136	MV	829	412	7	0	41	0	364	1	293	70
PCT1141	ED	1041	223	3	0	17	0	203	1	143	59
PCT1141	MV	1041	484	5	0	33	0	446	3	348	95
PCT1142	ED	861	175	-1	0	23	0	153	1	106	46
PCT1142	MV	861	393	1	0	36	0	356	1	251	104
PCT1143	ED	1034	228	2	1	19	0	206	0	150	56
PCT1143	MV	1034	440	6	0	42	0	392	4	281	107
PCT1144	ED	907	205	0	1	17	0	187	1	129	57
PCT1144	MV	907	387	3	0	27	0	357	0	274	83
PCT1145	ED	888	189	2	0	29	0	158	0	103	55
PCT1145	MV	888	461	3	1	53	0	404	2	320	82
PCT1146	ED	1011	186	0	0	17	0	169	1	101	67
PCT1146	MV	1011	454	2	1	38	0	413	2	325	86
PCT1147	ED	877	210	0	0	34	0	176	1	119	56
PCT1147	MV	877	396	2	2	29	0	363	1	274	88
PCT1148	ED	962	196	0	1	25	0	170	2	111	57
PCT1148	MV	962	444	3	1	44	0	396	2	313	81
PCT1149	ED	907	210	1	1	28	0	180	0	137	43
PCT1149	MV	907	407	-3	1	30	0	379	1	291	87
PCT1152	ED	864	198	2	0	31	0	165	1	108	56
PCT1152	MV	864	388	2	2	27	0	357	1	288	68
PCT1153	ED	951	209	1	0	37	0	171	1	119	51
PCT1153	MV	951	415	2	3	34	0	376	0	297	79
PCT7001	ED	776	175	2	0	34	0	139	1	90	48
PCT7001	MV	776	429	6	1	57	0	365	0	247	118
PCT7002	ED	706	176	1	0	30	0	145	1	97	47
PCT7002	MV	706	332	6	0	59	0	267	1	164	102
PCT7003	ED	884	238	4	1	42	0	191	0	120	71
PCT7003	MV	884	498	8	2	56	0	432	1	323	108
PCT7004	ED	881	239	5	0	43	0	191	3	125	63
PCT7004	MV	881	496	3	1	59	0	433	0	306	127
PCT7005	ED	847	253	0	1	49	0	203	0	129	74
PCT7005	MV	847	480	2	0	63	0	415	0	315	100
PCT7006	ED	917	254	2	0	43	0	209	0	83	126
PCT7006	MV	917	442	2	0	49	0	391	5	229	157
PCT7007	ED	949	282	1	0	50	0	231	0	144	87
PCT7007	MV	949	516	6	1	78	0	431	1	309	121
PCT7008	ED	932	264	1	0	57	0	206	2	149	55
PCT7008	MV	932	546	7	0	81	0	458	3	346	109
PCT7009	ED	905	185	0	0	25	0	160	1	96	63
PCT7009	MV	905	513	2	0	74	0	437	0	303	134
PCT7011	ED	985	203	0	0	32	0	171	2	119	50
PCT7011	MV	985	294	1	1	36	0	256	1	189	66
PCT7012	ED	1109	313	0	0	44	0	269	0	176	93
PCT7012	MV	1109	594	12	1	70	0	511	1	372	138
PCT7013	ED	956	265	1	0	59	0	205	2	142	61
PCT7013	MV	956	501	6	1	75	0	419	1	311	107
PCT7014	ED	1460	366	2	0	77	0	287	2	205	80
PCT7014	MV	1460	801	9	0	122	0	670	2	484	184
PCT7015	MV	95	44	0	0	4	0	40	0	27	13
PCT7016	ED	918	171	4	0	27	0	140	1	88	51
PCT7016	MV	918	280	0	0	30	0	250	1	203	46
PCT7017	ED	754	149	-1	0	29	0	121	2	82	37
PCT7017	MV	754	252	4	0	22	0	226	0	183	43
PCT7018	ED	977	154	0	0	25	0	129	1	85	43
PCT7018	MV	977	448	4	2	29	0	413	0	338	75
PCT7019	ED	899	182	1	1	20	0	160	1	119	40
PCT7019	MV	899	413	3	1	32	0	377	1	296	80
PCT7021	ED	947	184	1	0	25	0	158	5	102	51
PCT7021	MV	947	305	1	0	39	0	265	2	195	68
PCT7022	ED	945	214	1	0	28	0	185	0	135	50
PCT7022	MV	945	351	1	0	27	0	323	0	261	62
PCT7023	ED	928	177	0	0	23	0	154	1	112	41
PCT7023	MV	928	400	5	1	43	0	351	2	277	72
PCT7024	ED	414	70	0	0	14	0	56	0	43	13
PCT7024	MV	414	78	1	0	5	0	72	0	50	22
PCT7025	ED	477	85	0	0	13	0	72	1	49	22
PCT7025	MV	477	128	0	0	10	0	118	5	82	31
PCT7026	ED	1011	149	0	0	18	0	131	0	97	34
PCT7026	MV	1011	455	3	0	31	0	421	1	356	64
PCT7027	ED	869	195	0	0	34	0	161	2	112	47
PCT7027	MV	869	353	-1	0	28	0	326	0	261	65
PCT7028	ED	850	212	-2	0	31	0	183	1	134	48
PCT7028	MV	850	282	4	0	24	0	254	3	207	44
PCT7029	ED	901	183	0	0	38	0	145	1	96	48
PCT7029	MV	901	251	1	0	27	0	223	2	155	66
PCT7030	ED	759	118	6	0	11	0	101	0	72	29
PCT7030	MV	759	357	3	0	25	0	329	0	263	66
PCT7031	ED	641	91	1	0	12	0	78	1	58	19
PCT7031	MV	641	308	0	0	18	0	290	0	231	59
PCT7032	ED	904	173	1	0	23	0	149	1	99	49
PCT7032	MV	904	316	7	1	27	0	281	0	203	78
PCT7033	ED	798	191	0	1	25	0	165	2	108	55
PCT7033	MV	798	247	1	0	27	0	219	2	173	44
PCT7034	ED	958	197	0	0	39	0	158	1	105	52
