area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	132:JEFF ADACHI
RCV1	TO	500516	372848	4270	83	75631	0	292864	0	292864
ALLPCTS	TO	500516	372848	4270	70	77150	0	291358	4670	286688
ALLPCTS	ED	500516	127886	933	22	29004	0	97927	1630	96297
ALLPCTS	MV	500516	244962	3337	48	48146	0	193431	3040	190391
PCT1101	ED	553	126	0	0	31	0	95	6	89
PCT1101	MV	553	266	4	0	44	0	218	1	217
PCT1102	ED	995	266	0	0	36	0	230	5	225
PCT1102	MV	995	480	1	1	97	0	381	5	376
PCT1103	ED	951	246	4	0	59	0	183	5	178
PCT1103	MV	951	445	-2	1	75	0	371	11	360
PCT1104	ED	993	249	-1	0	36	0	214	20	194
PCT1104	MV	993	414	2	0	68	0	344	11	333
PCT1106	ED	765	191	0	0	41	0	150	1	149
PCT1106	MV	765	343	3	0	77	0	263	4	259
PCT1107	ED	746	163	34	0	16	0	113	1	112
PCT1107	MV	746	336	8	0	58	0	270	4	266
PCT1108	ED	909	232	-1	0	64	0	169	3	166
PCT1108	MV	909	438	1	0	84	0	353	4	349
PCT1109	ED	798	166	-1	0	39	0	128	4	124
PCT1109	MV	798	365	5	0	72	0	288	6	282
PCT1111	ED	1002	205	0	0	53	0	152	4	148
PCT1111	MV	1002	460	4	0	76	0	380	11	369
PCT1112	ED	769	151	1	0	27	0	123	2	121
PCT1112	MV	769	344	3	0	63	0	278	3	275
PCT1113	ED	746	135	13	0	17	0	105	3	102
PCT1113	MV	746	360	4	0	67	0	289	11	278
PCT1114	ED	957	226	0	0	68	0	158	3	155
PCT1114	MV	957	404	5	0	74	0	325	5	320
PCT1115	ED	895	174	1	0	31	0	142	3	139
PCT1115	MV	895	371	6	0	70	0	295	5	290
PCT1116	ED	895	225	2	0	54	0	169	3	166
PCT1116	MV	895	376	7	0	62	0	307	6	301
PCT1117	ED	858	185	-4	0	44	0	145	3	142
PCT1117	MV	858	357	5	0	73	0	279	3	276
PCT1118	ED	1043	213	1	0	41	0	171	7	164
PCT1118	MV	1043	476	5	0	86	0	385	4	381
PCT1119	ED	791	165	0	0	44	0	121	3	118
PCT1119	MV	791	386	2	0	69	0	315	9	306
PCT1121	ED	691	160	0	0	46	0	114	2	112
PCT1121	MV	691	313	3	0	76	0	234	7	227
PCT1122	ED	632	110	0	0	29	0	81	4	77
PCT1122	MV	632	310	2	0	55	0	253	7	246
PCT1123	ED	915	179	0	0	27	0	152	3	149
PCT1123	MV	915	364	5	1	66	0	292	3	289
PCT1124	ED	819	152	-2	0	36	0	118	2	116
PCT1124	MV	819	302	1	0	47	0	254	3	251
PCT1125	ED	1047	159	5	0	40	0	114	4	110
PCT1125	MV	1047	466	0	0	80	0	386	10	376
PCT1126	ED	922	191	2	0	45	0	144	4	140
PCT1126	MV	922	400	4	0	54	0	342	5	337
PCT1127	ED	920	200	0	0	52	0	148	3	145
PCT1127	MV	920	382	1	0	75	0	306	4	302
PCT1128	ED	838	154	0	0	35	0	119	2	117
PCT1128	MV	838	362	3	0	59	0	300	6	294
PCT1129	ED	980	227	1	0	58	0	168	5	163
PCT1129	MV	980	416	10	0	50	0	356	8	348
PCT1131	ED	797	132	0	0	32	0	100	2	98
PCT1131	MV	797	371	7	0	67	0	297	6	291
PCT1132	ED	969	179	3	0	52	0	124	3	121
PCT1132	MV	969	427	-1	0	77	0	351	2	349
PCT1133	ED	863	161	1	0	41	0	119	3	116
PCT1133	MV	863	410	3	1	73	0	333	1	332
PCT1134	ED	759	170	4	0	44	0	122	3	119
PCT1134	MV	759	318	0	0	65	0	253	9	244
PCT1135	ED	540	87	2	0	21	0	64	1	63
PCT1135	MV	540	295	-1	0	38	0	258	7	251
PCT1136	ED	829	144	0	0	37	0	107	3	104
PCT1136	MV	829	412	7	0	91	0	314	3	311
PCT1141	ED	1041	223	3	0	39	0	181	5	176
PCT1141	MV	1041	484	5	0	79	0	400	5	395
PCT1142	ED	861	175	-1	0	42	0	134	4	130
PCT1142	MV	861	393	1	0	78	0	314	7	307
PCT1143	ED	1034	229	2	0	40	0	187	6	181
PCT1143	MV	1034	440	6	0	82	0	352	4	348
PCT1144	ED	907	205	0	0	34	0	171	4	167
PCT1144	MV	907	387	3	0	72	0	312	2	310
PCT1145	ED	888	189	2	0	45	0	142	2	140
PCT1145	MV	888	461	3	1	93	0	364	12	352
PCT1146	ED	1011	186	0	0	31	0	155	4	151
PCT1146	MV	1011	454	2	1	88	0	363	3	360
PCT1147	ED	877	210	0	0	54	0	156	3	153
PCT1147	MV	877	396	2	0	54	0	340	5	335
PCT1148	ED	962	196	0	0	45	0	151	7	144
PCT1148	MV	962	444	3	0	102	0	339	5	334
PCT1149	ED	907	210	1	0	49	0	160	3	157
PCT1149	MV	907	407	-3	2	73	0	335	4	331
PCT1152	ED	864	198	2	0	50	0	146	3	143
PCT1152	MV	864	388	2	1	61	0	324	3	321
PCT1153	ED	951	210	1	0	70	0	139	4	135
PCT1153	MV	951	415	2	0	100	0	313	4	309
PCT7001	ED	776	176	2	0	45	0	129	0	129
PCT7001	MV	776	429	6	0	87	0	336	2	334
PCT7002	ED	706	176	1	0	36	0	139	0	139
PCT7002	MV	706	332	6	0	79	0	247	3	244
PCT7003	ED	884	238	4	0	51	0	183	3	180
PCT7003	MV	884	498	8	0	92	0	398	8	390
PCT7004	ED	881	241	5	0	53	0	183	3	180
PCT7004	MV	881	496	3	0	82	0	411	8	403
PCT7005	ED	847	253	0	0	53	0	200	1	199
PCT7005	MV	847	480	2	0	88	0	390	3	387
PCT7006	ED	917	254	2	0	53	0	199	2	197
PCT7006	MV	917	442	2	0	76	0	364	8	356
PCT7007	ED	949	283	1	0	55	0	227	2	225
PCT7007	MV	949	516	6	0	100	0	410	7	403
PCT7008	ED	932	264	1	0	57	0	206	1	205
PCT7008	MV	932	546	7	0	115	0	424	6	418
PCT7009	ED	905	185	0	0	39	0	146	5	141
PCT7009	MV	905	513	2	0	96	0	415	8	407
PCT7011	ED	985	204	0	0	45	0	159	2	157
PCT7011	MV	985	294	1	1	63	0	229	1	228
PCT7012	ED	1109	313	0	0	57	0	256	4	252
PCT7012	MV	1109	594	12	0	121	0	461	8	453
PCT7013	ED	956	267	1	0	67	0	199	3	196
PCT7013	MV	956	501	6	0	92	0	403	5	398
PCT7014	ED	1460	367	2	0	89	0	276	4	272
PCT7014	MV	1460	802	9	0	154	0	639	5	634
PCT7015	MV	95	44	0	0	7	0	37	1	36
PCT7016	ED	918	171	4	0	45	0	122	5	117
PCT7016	MV	918	280	0	0	53	0	227	4	223
PCT7017	ED	754	149	-1	0	42	0	108	5	103
PCT7017	MV	754	252	4	0	49	0	199	4	195
PCT7018	ED	977	155	0	0	32	0	123	1	122
PCT7018	MV	977	448	4	0	92	0	352	3	349
PCT7019	ED	899	182	1	0	43	0	138	5	133
PCT7019	MV	899	413	3	0	75	0	335	2	333
PCT7021	ED	947	184	1	0	39	0	144	6	138
PCT7021	MV	947	305	1	0	54	0	250	6	244
PCT7022	ED	945	215	1	0	48	0	166	3	163
PCT7022	MV	945	352	1	0	50	0	301	4	297
PCT7023	ED	928	178	0	0	36	0	142	2	140
PCT7023	MV	928	400	5	0	73	0	322	7	315
PCT7024	ED	414	70	0	0	17	0	53	4	49
PCT7024	MV	414	78	1	0	11	0	66	1	65
PCT7025	ED	477	85	0	0	21	0	64	3	61
PCT7025	MV	477	128	0	0	23	0	105	3	102
PCT7026	ED	1011	149	0	1	27	0	121	2	119
PCT7026	MV	1011	455	3	0	72	0	380	8	372
PCT7027	ED	869	195	0	0	45	0	150	6	144
PCT7027	MV	869	353	-1	0	60	0	294	5	289
PCT7028	ED	850	213	-2	0	38	0	177	5	172
PCT7028	MV	850	282	4	0	38	0	240	5	235
PCT7029	ED	901	184	0	0	50	0	134	2	132
PCT7029	MV	901	251	1	0	43	0	207	6	201
PCT7030	ED	759	119	6	0	30	0	83	1	82
PCT7030	MV	759	357	3	0	83	0	271	3	268
PCT7031	ED	641	91	1	0	21	0	69	0	69
PCT7031	MV	641	309	0	0	53	0	256	5	251
PCT7032	ED	904	173	1	0	47	0	125	7	118
PCT7032	MV	904	316	7	0	42	0	267	7	260
PCT7033	ED	798	191	0	0	38	0	153	4	149
PCT7033	MV	798	247	1	0	30	0	216	2	214
PCT7034	ED	958	197	0	0	52	0	145	5	140
PCT7034	MV	958	201	2	0	30	0	169	2	167
PCT7035	ED	606	122	0	0	27	0	95	2	93
PCT7035	MV	606	262	3	0	33	0	226	8	218
PCT7036	ED	921	117	0	0	25	0	92	1	91
PCT7036	MV	921	342	4	0	74	0	264	9	255
PCT7037	ED	735	135	-2	0	42	0	95	5	90
PCT7037	MV	735	98	-3	0	17	0	84	4	80
PCT7038	ED	911	135	0	0	43	0	92	3	89
PCT7038	MV	911	351	-2	0	85	0	268	9	259
PCT7039	ED	784	178	-1	0	46	0	133	4	129
PCT7039	MV	784	306	3	0	71	0	232	9	223
PCT7041	MV	61	33	1	0	6	0	26	0	26
PCT7042	ED	639	118	1	0	24	0	93	3	90
PCT7042	MV	639	258	1	0	59	0	198	1	197
PCT7043	ED	957	176	2	0	32	0	142	1	141
PCT7043	MV	957	404	2	0	86	0	316	5	311
PCT7044	ED	827	167	1	0	41	0	125	3	122
PCT7044	MV	827	193	0	0	42	0	151	6	145
PCT7045	ED	779	120	0	0	35	0	85	0	85
PCT7045	MV	779	344	9	0	65	0	270	9	261
PCT7046	ED	402	94	1	0	20	0	73	0	73
PCT7046	MV	402	175	0	0	44	0	131	3	128
PCT7047	ED	823	119	1	0	17	0	101	3	98
PCT7047	MV	823	388	2	0	61	0	325	3	322
PCT7048	ED	858	150	8	0	28	0	114	3	111
PCT7048	MV	858	318	3	0	50	0	265	8	257
PCT7049	ED	792	173	0	0	46	0	127	2	125
PCT7049	MV	792	305	6	0	67	0	232	5	227
PCT7051	ED	861	114	0	0	23	0	91	1	90
PCT7051	MV	861	380	3	0	74	0	303	11	292
PCT7052	ED	852	161	1	0	46	0	114	4	110
PCT7052	MV	852	402	3	0	88	0	311	7	304
PCT7053	ED	548	102	0	0	25	0	77	1	76
PCT7053	MV	548	278	4	0	63	0	211	5	206
PCT7054	ED	1073	215	0	0	37	0	178	3	175
PCT7054	MV	1073	410	3	0	65	0	342	11	331
PCT7055	ED	808	190	0	0	46	0	144	1	143
PCT7055	MV	808	440	7	0	91	0	342	5	337
PCT7101	MV	155	120	1	0	15	0	104	2	102
PCT7201	ED	936	245	1	0	66	0	178	2	176
PCT7201	MV	936	518	2	0	119	0	397	5	392
PCT7202	ED	850	227	0	0	62	0	165	4	161
PCT7202	MV	850	431	6	0	105	0	320	3	317
PCT7203	ED	921	291	3	0	81	0	207	4	203
PCT7203	MV	921	423	2	0	97	0	324	3	321
PCT7204	ED	918	233	1	0	71	0	161	0	161
PCT7204	MV	918	531	8	1	103	0	419	4	415
PCT7205	ED	875	251	3	0	80	0	168	2	166
PCT7205	MV	875	485	5	1	121	0	358	8	350
PCT7206	ED	378	135	1	0	33	0	101	0	101
PCT7206	MV	378	191	2	0	40	0	149	0	149
PCT7207	ED	812	196	3	0	45	0	148	1	147
PCT7207	MV	812	434	9	0	103	0	322	3	319
PCT7208	ED	600	111	-1	0	34	0	78	1	77
PCT7208	MV	600	328	4	0	65	0	259	1	258
PCT7209	ED	626	107	0	0	21	0	86	3	83
