area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	133:NICK JOSEFOWITZ	134:JOHN DENNIS	135:SCHUYLER HUDAK	136:CATHERINE STEFANI
RCV3	TO	50394	40340	494	97	4504	1893	33352		16031			17321
RCV2	TO	50394	40340	494	84	4504	1018	34240		14317		4927	14996
RCV1	TO	50394	40340	494	79	4504	0	35263	0	13619	3106	4136	14402
ALLPCTS	TO	50394	40340	494	76	4504	0	35266	93	13592	3093	4123	14365
ALLPCTS	ED	50394	13747	100	18	1918	0	11711	40	4735	1028	1493	4415
ALLPCTS	MV	50394	26593	394	58	2586	0	23555	53	8857	2065	2630	9950
PCT7201	ED	936	245	1	0	31	0	213	0	100	15	34	64
PCT7201	MV	936	518	2	1	51	0	464	1	174	49	53	187
PCT7202	ED	850	225	0	0	31	0	194	0	89	15	24	66
PCT7202	MV	850	431	6	1	37	0	387	0	142	41	36	168
PCT7203	ED	921	289	3	1	45	0	240	0	115	21	27	77
PCT7203	MV	921	423	2	1	58	0	362	1	153	30	43	135
PCT7204	ED	918	233	1	0	41	0	191	0	79	14	24	74
PCT7204	MV	918	531	8	3	44	0	476	1	178	36	39	222
PCT7205	ED	875	249	3	0	44	0	202	0	77	19	22	84
PCT7205	MV	875	485	5	2	48	0	430	1	155	47	55	172
PCT7206	ED	378	134	1	0	18	0	115	1	41	6	14	53
PCT7206	MV	378	191	2	0	16	0	173	0	68	19	24	62
PCT7207	ED	812	194	3	0	35	0	156	0	64	12	17	63
PCT7207	MV	812	433	8	0	50	0	375	0	143	22	55	155
PCT7208	ED	600	111	-1	1	20	0	91	1	40	3	7	40
PCT7208	MV	600	328	4	1	37	0	286	2	120	27	26	111
PCT7209	ED	626	107	0	2	18	0	87	0	31	11	9	36
PCT7209	MV	626	423	5	4	40	0	374	2	148	24	30	170
PCT9201	ED	1004	298	0	0	43	0	255	1	112	13	36	93
PCT9201	MV	1004	475	3	0	48	0	424	1	212	18	45	148
PCT9202	ED	971	294	6	0	36	0	252	1	119	17	27	88
PCT9202	MV	971	426	1	0	41	0	384	2	165	26	45	146
PCT9203	ED	1002	239	-1	0	42	0	198	2	65	29	32	70
PCT9203	MV	1002	536	12	1	48	0	475	0	148	71	58	198
PCT9204	ED	873	273	17	0	25	0	231	1	73	26	44	87
PCT9204	MV	873	393	4	0	40	0	349	1	112	48	44	144
PCT9205	ED	728	208	-1	1	31	0	177	1	67	27	25	57
PCT9205	MV	728	376	9	1	32	0	334	1	122	21	42	148
PCT9206	ED	931	246	3	0	32	0	211	1	63	32	28	87
PCT9206	MV	931	479	9	1	44	0	425	0	113	70	56	186
PCT9207	ED	981	261	1	1	38	0	221	5	80	24	26	86
PCT9207	MV	981	502	11	1	50	0	440	0	129	58	78	175
PCT9208	ED	1002	286	0	1	35	0	250	0	97	30	40	83
PCT9208	MV	1002	491	8	1	48	0	434	1	151	42	73	167
PCT9209	ED	711	244	1	1	32	0	210	0	77	20	37	76
PCT9209	MV	711	327	8	2	30	0	287	1	75	31	44	136
PCT9211	ED	889	234	0	0	38	0	196	0	64	16	32	84
PCT9211	MV	889	432	5	0	41	0	386	0	133	29	54	170
