area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	137:JESSICA HO	138:ADAM KIM	139:TUAN NGUYEN	140:ARTHUR TOM	141:TREVOR MCNEIL	142:GORDON MAR	143:MIKE MURPHY	144:LOU ANN BASSAN
RCV7	TO	42953	31699	287	200	2814	5078	23320		10065					13255		
RCV6	TO	42953	31699	287	189	2814	2538	25871		9013				5055	11803		
RCV5	TO	42953	31699	287	186	2814	1311	27101		8306			3187	4470	11138		
RCV4	TO	42953	31699	287	183	2814	530	27885		7858			2740	3987	10833		2467
RCV3	TO	42953	31699	287	181	2814	240	28177		7728			2620	3683	10575	1290	2281
RCV2	TO	42953	31699	287	177	2814	66	28355		7556		898	2513	3547	10388	1233	2220
RCV1	TO	42953	31699	287	176	2814	0	28422	0	7444	515	853	2441	3490	10314	1182	2183
ALLPCTS	TO	42953	31699	287	175	2840	0	28397	68	7423	511	848	2435	3479	10288	1176	2169
ALLPCTS	ED	42953	10755	69	45	1288	0	9353	20	2108	139	314	690	1369	3673	418	622
ALLPCTS	MV	42953	20944	218	130	1552	0	19044	48	5315	372	534	1745	2110	6615	758	1547
PCT9401	ED	1012	293	-1	1	38	0	255	0	43	8	4	9	34	138	9	10
PCT9401	MV	1012	484	2	0	28	0	454	4	114	13	11	23	66	186	16	21
PCT9402	ED	977	290	0	2	39	0	249	0	60	2	11	14	29	115	9	9
PCT9402	MV	977	458	3	2	40	0	413	0	94	15	14	19	48	169	15	39
PCT9403	ED	897	240	2	0	34	0	204	0	37	4	11	11	23	100	9	9
PCT9403	MV	897	419	4	2	28	0	385	0	111	7	19	27	55	138	12	16
PCT9404	ED	930	200	0	1	15	0	184	0	42	3	4	11	30	77	6	11
PCT9404	MV	930	462	4	5	32	0	421	0	97	9	11	37	42	176	13	36
PCT9405	ED	786	210	8	0	11	0	191	3	36	3	3	14	39	69	7	17
PCT9405	MV	786	364	6	1	25	0	332	0	92	7	14	26	39	122	12	20
PCT9406	ED	868	244	-1	0	22	0	223	1	45	2	7	12	42	97	6	11
PCT9406	MV	868	421	10	2	24	0	385	0	126	5	10	27	38	147	17	15
PCT9407	ED	889	253	0	0	26	0	227	0	52	0	12	15	29	100	5	14
PCT9407	MV	889	409	1	1	25	0	382	3	126	10	12	16	43	130	12	30
PCT9408	ED	886	265	1	2	31	0	231	0	50	7	2	9	37	100	4	22
PCT9408	MV	886	415	7	3	16	0	389	0	108	10	8	8	48	171	19	17
PCT9409	ED	590	201	-1	0	26	0	176	0	48	2	4	2	26	83	8	3
PCT9409	MV	590	252	4	1	23	0	224	0	54	6	4	8	26	105	8	13
PCT9411	ED	956	271	2	1	34	0	234	0	39	3	4	8	32	127	13	8
PCT9411	MV	956	431	12	1	25	0	393	0	67	8	8	18	64	177	19	32
PCT9412	ED	848	245	0	4	22	0	219	1	40	3	13	7	28	97	19	11
PCT9412	MV	848	380	1	1	28	0	350	0	82	3	14	18	21	154	20	38
PCT9413	ED	894	229	-8	1	29	0	207	0	36	2	6	16	31	88	10	18
PCT9413	MV	894	461	5	4	47	0	405	1	101	10	19	33	41	158	14	28
PCT9414	ED	916	216	0	1	28	0	187	1	50	3	6	13	33	61	11	9
PCT9414	MV	916	463	4	2	43	0	414	1	112	13	11	30	61	147	17	22
PCT9415	ED	784	187	2	1	21	0	163	0	45	0	3	8	22	68	8	9
PCT9415	MV	784	392	7	0	22	0	363	0	115	10	10	24	35	123	13	33
PCT9416	ED	1008	282	12	3	29	0	238	1	55	5	14	12	44	83	15	9
PCT9416	MV	1008	480	1	2	50	0	427	0	110	8	12	45	39	150	22	41
PCT9417	ED	752	175	-1	1	17	0	158	0	41	1	5	11	19	65	3	13
PCT9417	MV	752	402	4	1	40	0	357	2	95	4	12	28	50	119	14	33
PCT9418	ED	790	211	0	1	19	0	191	0	37	3	10	18	26	74	12	11
PCT9418	MV	790	376	10	4	31	0	331	0	86	3	23	48	41	87	19	24
PCT9419	ED	924	222	2	1	28	0	191	1	32	5	4	26	26	70	8	19
PCT9419	MV	924	468	7	1	34	0	426	1	106	4	13	44	60	133	25	40
PCT9421	ED	906	238	1	0	38	0	199	0	46	5	3	15	35	73	8	14
PCT9421	MV	906	446	-6	6	39	0	407	3	103	8	8	48	45	145	7	40
PCT9422	ED	1056	283	2	1	33	0	247	2	61	3	6	31	26	87	13	18
PCT9422	MV	1056	513	8	5	39	0	461	0	144	6	6	57	45	161	9	33
PCT9423	ED	889	219	1	2	35	0	181	0	39	2	6	16	30	70	12	6
PCT9423	MV	889	440	2	5	33	0	400	0	109	6	16	23	53	151	19	23
PCT9424	ED	952	224	1	2	19	0	202	2	49	1	6	16	29	70	11	18
PCT9424	MV	952	496	6	1	27	0	462	1	136	2	23	44	41	155	21	39
PCT9425	ED	933	199	0	1	27	0	171	1	37	2	6	21	17	69	4	14
PCT9425	MV	933	465	-1	4	39	0	423	0	115	4	12	38	37	148	15	54
PCT9426	ED	823	198	0	2	30	0	166	0	39	1	8	17	24	57	6	14
PCT9426	MV	823	408	11	6	20	0	371	3	97	2	12	43	34	123	15	42
PCT9427	ED	948	210	5	0	26	0	179	0	60	1	8	14	18	60	5	13
PCT9427	MV	948	447	9	3	32	0	403	2	115	5	7	47	47	124	13	43
PCT9428	ED	961	183	2	0	29	0	152	0	39	1	2	9	30	52	7	12
PCT9428	MV	961	518	4	5	44	0	465	2	149	10	8	58	51	132	8	47
PCT9429	ED	899	228	3	1	31	0	193	0	47	5	9	11	20	62	11	28
PCT9429	MV	899	432	6	5	22	0	399	0	99	10	9	61	29	135	19	37
PCT9431	ED	973	235	22	0	19	0	194	0	47	2	11	15	44	57	7	11
PCT9431	MV	973	464	0	4	32	0	428	0	122	8	13	44	45	140	13	43
PCT9432	ED	945	214	2	2	19	0	191	0	45	3	3	13	42	65	8	12
PCT9432	MV	945	468	9	1	39	0	419	0	129	5	14	34	48	148	16	25
PCT9433	ED	945	195	-1	1	25	0	170	0	48	2	1	24	24	59	2	10
PCT9433	MV	945	487	8	3	54	0	422	1	156	4	4	33	43	137	7	37
PCT9434	ED	979	261	1	2	36	0	222	0	44	7	10	21	26	89	10	15
PCT9434	MV	979	481	5	0	36	0	440	2	116	8	9	42	60	158	17	28
PCT9435	ED	969	251	0	0	26	0	225	0	39	2	8	22	27	95	14	18
PCT9435	MV	969	448	6	5	40	0	397	1	98	9	18	42	36	132	22	39
PCT9436	ED	1006	232	0	0	31	0	201	0	55	4	11	18	27	73	4	9
PCT9436	MV	1006	495	4	0	37	0	454	5	139	18	7	47	44	146	15	33
PCT9437	ED	897	219	-2	2	30	0	189	1	54	1	7	12	28	69	7	10
PCT9437	MV	897	435	4	4	36	0	391	1	126	7	8	40	40	121	10	38
PCT9438	ED	948	202	1	0	27	0	174	0	37	5	7	17	23	60	9	16
PCT9438	MV	948	496	1	6	29	0	460	0	120	14	13	51	56	142	20	44
PCT9439	ED	879	173	0	0	20	0	153	0	34	0	3	12	29	63	3	9
