area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	145:CHRISTINE JOHNSON	146:MATT HANEY	147:SONJA TRAUSS
RCV3	TO	43321	29109	286	77	3452	730	24564	0	9050	15514	0
RCV2	TO	43321	29109	286	75	3452	0	25296	0	6257	14278	4761
RCV1	TO	43321	29109	286	75	3452	0	25296	0	6257	14278	4761
ALLPCTS	TO	43321	29109	286	74	3445	0	25304	93	6227	14239	4745
ALLPCTS	ED	43321	9279	64	24	1464	0	7727	35	1824	4242	1626
ALLPCTS	MV	43321	19830	222	50	1981	0	17577	58	4403	9997	3119
PCT7601	ED	767	190	1	0	29	0	160	3	32	92	33
PCT7601	MV	767	290	1	2	16	0	271	2	71	160	38
PCT7602	ED	901	210	-1	0	34	0	177	1	48	106	22
PCT7602	MV	901	379	5	0	19	0	355	1	83	223	48
PCT7603	ED	830	249	2	0	22	0	225	0	40	151	34
PCT7603	MV	830	376	2	0	33	0	341	2	58	217	64
PCT7604	ED	954	265	2	0	35	0	228	0	43	153	32
PCT7604	MV	954	352	2	0	20	0	330	0	65	208	57
PCT7605	ED	648	120	0	1	15	0	104	2	26	60	16
PCT7605	MV	648	203	0	2	22	0	179	1	48	104	26
PCT7606	ED	924	204	3	1	27	0	173	1	33	95	44
PCT7606	MV	924	330	4	0	28	0	298	2	80	167	49
PCT7607	ED	960	215	1	2	28	0	184	1	36	112	35
PCT7607	MV	960	407	5	1	21	0	380	4	84	236	56
PCT7608	ED	392	70	0	1	13	0	56	0	12	35	9
PCT7608	MV	392	136	1	1	15	0	119	1	23	78	17
PCT7609	ED	926	120	0	1	18	0	101	1	25	64	11
PCT7609	MV	926	352	6	1	29	0	316	1	81	197	37
PCT7611	ED	755	126	1	3	24	0	98	3	23	54	18
PCT7611	MV	755	269	1	1	24	0	243	3	63	133	44
PCT7612	ED	583	97	0	0	18	0	79	1	14	55	9
PCT7612	MV	583	265	4	0	29	0	232	1	44	159	28
PCT7613	ED	908	202	1	1	29	0	171	2	33	101	35
PCT7613	MV	908	340	2	0	28	0	310	3	65	180	62
PCT7614	ED	1029	223	1	1	44	0	177	0	25	111	41
PCT7614	MV	1029	375	8	1	25	0	341	1	75	200	65
PCT7615	ED	762	162	1	2	30	0	129	1	39	74	15
PCT7615	MV	762	237	1	0	16	0	220	0	55	125	40
PCT7616	ED	1203	322	1	0	80	0	241	0	55	115	71
PCT7616	MV	1203	686	3	2	75	0	606	2	151	303	150
PCT7617	ED	768	102	3	1	15	0	83	0	23	48	12
PCT7617	MV	768	261	2	4	23	0	232	0	57	138	37
PCT7618	ED	862	168	1	1	17	0	149	0	40	88	21
PCT7618	MV	862	407	5	2	28	0	372	1	80	224	67
PCT7619	ED	1063	219	2	0	20	0	197	0	51	116	30
PCT7619	MV	1063	563	1	0	46	0	516	2	108	318	88
PCT7621	ED	1320	287	5	1	35	0	246	1	55	119	71
PCT7621	MV	1320	668	1	1	69	0	597	3	102	332	160
PCT7622	ED	988	170	0	1	26	0	143	0	49	63	31
PCT7622	MV	988	301	1	3	32	0	265	2	80	127	56
PCT7623	ED	746	182	10	0	19	0	153	1	26	93	33
PCT7623	MV	746	297	3	0	21	0	273	2	62	155	54
PCT7624	ED	859	142	3	1	18	0	120	2	29	61	28
PCT7624	MV	859	290	-1	4	31	0	256	1	48	163	44
PCT7625	ED	822	66	0	0	14	0	52	1	14	28	9
PCT7625	MV	822	475	1	4	50	0	420	0	97	254	69
PCT7626	ED	1114	224	3	2	39	0	180	0	52	83	45
PCT7626	MV	1114	612	2	1	67	0	542	1	134	308	99
PCT7627	ED	1187	266	1	0	57	0	208	0	48	120	40
PCT7627	MV	1187	582	17	0	81	0	484	1	156	247	80
PCT7628	ED	960	239	1	1	36	0	201	0	37	121	43
PCT7628	MV	960	428	-3	2	23	0	406	1	85	238	82
PCT7629	ED	809	208	4	0	30	0	174	0	33	98	43
PCT7629	MV	809	343	1	0	23	0	319	3	70	181	65
PCT7631	ED	1155	266	1	0	45	0	220	0	56	113	51
PCT7631	MV	1155	576	5	0	59	0	512	1	125	289	97
PCT7632	ED	1124	288	3	0	46	0	239	0	45	140	54
PCT7632	MV	1124	561	7	0	36	0	518	2	112	289	115
PCT7633	ED	741	137	-2	1	14	0	124	1	26	72	25
PCT7633	MV	741	392	3	2	48	0	339	1	89	192	57
PCT7634	ED	900	194	2	0	31	0	161	0	37	81	43
PCT7634	MV	900	421	2	2	40	0	377	1	107	225	44
PCT7635	ED	840	157	0	0	24	0	133	2	33	71	27
PCT7635	MV	840	382	7	0	31	0	344	1	88	189	66
PCT7636	ED	938	246	1	1	45	0	199	0	48	98	53
PCT7636	MV	938	465	6	1	46	0	412	2	115	214	81
PCT7637	ED	809	193	0	0	30	0	163	1	39	83	40
PCT7637	MV	809	404	7	0	48	0	349	1	98	201	49
PCT7638	ED	1467	294	1	0	61	0	232	0	72	114	46
PCT7638	MV	1467	871	24	0	113	0	734	1	204	434	95
PCT7639	ED	1011	241	3	0	46	0	192	1	48	110	33
PCT7639	MV	1011	559	9	2	72	0	476	0	145	245	86
PCT7641	ED	972	204	0	1	25	0	178	2	54	93	29
PCT7641	MV	972	549	9	1	55	0	484	1	152	265	66
PCT7642	ED	937	152	0	0	24	0	128	0	41	66	21
PCT7642	MV	937	394	7	0	89	0	298	1	80	144	73
PCT7643	ED	920	168	2	0	20	0	146	0	35	87	24
PCT7643	MV	920	507	3	0	53	0	451	0	110	279	62
PCT7644	ED	1175	329	0	0	51	0	278	0	64	146	68
PCT7644	MV	1175	554	7	1	64	0	482	0	136	248	98
PCT7645	ED	640	120	1	0	23	0	96	2	27	51	16
PCT7645	MV	640	377	8	1	47	0	321	1	101	177	42
PCT7646	ED	1100	262	0	0	47	0	215	1	61	94	59
PCT7646	MV	1100	591	9	1	58	0	523	1	140	292	90
PCT7647	ED	1075	205	-2	0	27	0	180	1	37	88	54
PCT7647	MV	1075	283	1	2	20	0	260	0	70	144	46
PCT7648	MV	1	0	0	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	2	0	24	0	149	0	36	73	40
PCT7649	MV	891	395	4	1	43	0	347	0	88	198	61
PCT7651	ED	677	165	1	0	39	0	125	1	33	59	32
PCT7651	MV	677	351	13	1	44	0	293	1	87	141	64
PCT7652	ED	628	135	0	0	20	0	115	1	26	66	22
PCT7652	MV	628	301	9	3	31	0	258	0	79	135	44
PCT7653	ED	1280	299	5	0	49	0	245	1	65	121	58
PCT7653	MV	1280	673	7	0	90	0	576	2	152	321	101
CONG12	TO	43321	29109	286	74	3445	0	25304	93	6227	14239	4745
ASSM17	TO	43321	29109	286	74	3445	0	25304	93	6227	14239	4745
BART7	TO	15657	11280	156	15	1531	0	9578	26	2644	5143	1765
BART9	TO	27664	17829	130	59	1914	0	15726	67	3583	9096	2980
SUPV6	TO	43321	29109	286	74	3445	0	25304	93	6227	14239	4745
NEIG3	TO	13310	8135	63	29	884	0	7159	40	1610	4254	1255
NEIG12	TO	862	575	6	3	45	0	521	1	120	312	88
NEIG16	TO	4475	3383	33	2	432	0	2916	5	763	1588	560
NEIG20	TO	24674	17016	184	40	2084	0	14708	47	3734	8085	2842
