area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	148:LAWRENCE ''STARK'' DAGESSE	149:RAFAEL MANDELMAN
RCV2	TO	58122	48580	583	38	5995	0	41964	0	3591	38373
RCV1	TO	58122	48580	583	38	5995	0	41964	0	3591	38373
ALLPCTS	TO	58122	48580	583	37	5921	0	42039	233	3547	38259
ALLPCTS	ED	58122	16595	169	9	2514	0	13903	79	1422	12402
ALLPCTS	MV	58122	31985	414	28	3407	0	28136	154	2125	25857
PCT7801	ED	1001	263	2	0	48	0	213	3	25	185
PCT7801	MV	1001	596	8	1	70	0	517	1	35	481
PCT7802	ED	788	229	0	0	49	0	180	0	16	164
PCT7802	MV	788	458	3	0	61	0	394	7	35	352
PCT7803	ED	828	173	0	0	33	0	140	0	9	131
PCT7803	MV	828	552	7	1	55	0	489	2	41	446
PCT7804	ED	893	257	1	0	34	0	222	2	23	197
PCT7804	MV	893	533	8	0	62	0	463	3	32	428
PCT7805	ED	825	226	0	0	28	0	198	1	17	180
PCT7805	MV	825	484	7	0	47	0	430	2	34	394
PCT7806	ED	716	207	17	0	18	0	172	1	18	153
PCT7806	MV	716	406	3	0	33	0	370	0	31	339
PCT7807	ED	844	276	0	0	31	0	245	1	25	219
PCT7807	MV	844	417	3	0	48	0	366	2	27	337
PCT7808	ED	655	211	5	0	25	0	181	1	23	157
PCT7808	MV	655	333	7	1	37	0	288	2	10	276
PCT7809	ED	781	237	3	0	47	0	187	1	26	160
PCT7809	MV	781	405	7	2	38	0	358	0	32	326
PCT7811	ED	783	249	2	0	26	0	221	1	32	188
PCT7811	MV	783	404	11	0	36	0	357	2	25	330
PCT7812	ED	877	256	0	0	44	0	212	2	20	190
PCT7812	MV	877	454	4	0	53	0	397	2	29	366
PCT7813	ED	1064	308	4	0	62	0	242	2	23	217
PCT7813	MV	1064	585	13	0	63	0	509	0	31	478
PCT7814	ED	936	227	1	0	39	0	187	0	33	154
PCT7814	MV	936	340	2	2	25	0	311	2	25	284
PCT7815	ED	954	238	-1	0	39	0	200	0	21	179
PCT7815	MV	954	573	11	0	47	0	515	4	28	483
PCT7816	ED	865	235	0	0	32	0	203	1	12	190
PCT7816	MV	865	531	4	2	55	0	470	0	29	441
PCT7817	ED	823	276	2	0	39	0	235	1	20	214
PCT7817	MV	823	439	3	0	34	0	402	0	21	381
PCT7818	ED	860	232	1	0	40	0	191	0	23	168
PCT7818	MV	860	452	9	0	46	0	397	4	33	360
PCT7819	ED	793	191	0	0	33	0	158	2	21	135
PCT7819	MV	793	420	7	0	58	0	355	1	41	313
PCT7821	ED	985	247	2	0	31	0	214	1	25	188
PCT7821	MV	985	629	10	0	43	0	576	0	45	531
PCT7822	ED	908	275	0	1	31	0	243	0	24	219
PCT7822	MV	908	479	4	0	42	0	433	1	36	396
PCT7823	ED	879	269	26	0	19	0	224	0	14	210
PCT7823	MV	879	501	6	0	45	0	450	1	41	408
PCT7824	ED	768	246	1	0	40	0	205	0	29	176
PCT7824	MV	768	383	7	0	39	0	337	2	25	310
PCT7825	ED	597	191	0	1	30	0	160	0	19	141
PCT7825	MV	597	302	3	1	33	0	265	3	26	236
PCT7826	ED	684	258	6	0	38	0	214	2	27	185
PCT7826	MV	684	319	5	0	39	0	275	1	17	257
PCT7827	ED	831	261	0	0	40	0	221	0	33	188
PCT7827	MV	831	361	7	0	45	0	309	1	19	289
PCT7828	ED	1018	260	1	0	48	0	211	3	29	179
PCT7828	MV	1018	549	4	0	55	0	490	4	43	443
PCT7829	ED	907	237	1	0	29	0	207	0	28	179
PCT7829	MV	907	557	7	0	47	0	503	1	37	465
PCT7831	ED	882	233	-16	0	34	0	215	7	17	191
PCT7831	MV	882	544	19	1	43	0	481	3	37	441
PCT7832	ED	780	187	16	0	26	0	145	1	14	130
PCT7832	MV	780	487	4	1	56	0	426	2	34	390
PCT7833	ED	747	230	7	1	42	0	180	0	16	164
PCT7833	MV	747	412	-2	0	49	0	365	4	23	338
PCT7834	ED	867	276	0	0	40	0	236	0	18	218
PCT7834	MV	867	438	8	0	43	0	387	0	22	365
PCT7835	ED	847	209	0	0	39	0	170	2	16	152
PCT7835	MV	847	505	9	0	43	0	453	2	43	408
PCT7836	ED	1023	259	0	0	46	0	213	1	34	178
PCT7836	MV	1023	623	9	0	72	0	542	4	56	482
PCT7837	ED	911	259	1	0	30	0	228	0	21	207
PCT7837	MV	911	509	9	0	53	0	447	2	32	413
PCT7838	ED	926	239	0	0	28	0	211	0	23	188
PCT7838	MV	926	545	9	0	57	0	479	0	28	451
PCT7839	ED	842	205	0	0	31	0	174	1	17	156
PCT7839	MV	842	515	1	0	76	0	438	1	23	414
PCT7841	ED	937	290	1	0	43	0	246	1	21	224
PCT7841	MV	937	526	12	0	54	0	460	6	33	421
PCT7842	ED	903	283	0	0	50	0	233	1	17	215
PCT7842	MV	903	434	4	1	49	0	380	2	31	347
PCT7843	ED	767	231	0	0	43	0	188	3	12	173
PCT7843	MV	767	380	1	0	45	0	334	3	15	316
PCT7844	ED	663	196	2	0	29	0	165	1	20	144
PCT7844	MV	663	329	6	0	34	0	289	2	18	269
PCT7845	ED	849	241	16	0	27	0	198	0	23	175
PCT7845	MV	849	469	2	0	53	0	414	3	33	378
PCT7846	ED	904	259	0	0	51	0	208	0	22	186
PCT7846	MV	904	509	10	1	61	0	437	2	26	409
PCT7847	ED	929	261	1	1	38	0	221	0	31	190
PCT7847	MV	929	529	1	0	69	0	459	1	27	431
PCT7848	ED	834	232	0	0	40	0	192	0	12	180
PCT7848	MV	834	491	3	0	60	0	428	1	34	393
PCT7849	ED	929	263	1	0	32	0	230	0	16	214
PCT7849	MV	929	522	8	3	54	0	457	1	40	416
PCT7851	ED	513	136	0	0	30	0	106	2	11	93
PCT7851	MV	513	298	0	0	39	0	259	0	16	243
PCT7852	ED	647	143	0	0	21	0	122	3	13	106
PCT7852	MV	647	394	1	0	42	0	351	3	33	315
PCT7853	ED	850	214	11	0	25	0	178	1	21	156
PCT7853	MV	850	479	12	1	50	0	416	4	43	369
PCT7854	ED	894	247	0	0	42	0	205	1	20	184
PCT7854	MV	894	500	11	0	60	0	429	3	32	394
PCT7855	ED	986	299	2	0	53	0	244	2	26	216
PCT7855	MV	986	521	5	0	69	0	447	3	34	410
PCT7856	ED	800	265	0	0	41	0	224	1	19	204
PCT7856	MV	800	425	5	0	34	0	386	1	27	358
PCT7857	ED	933	275	1	1	51	0	222	4	22	196
PCT7857	MV	933	517	3	0	64	0	450	3	37	410
PCT7858	ED	775	244	2	0	43	0	199	1	16	182
PCT7858	MV	775	394	5	1	35	0	353	2	30	321
PCT7859	ED	891	249	1	0	42	0	206	2	21	183
PCT7859	MV	891	513	3	1	58	0	451	0	27	424
