area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	150:ASALE CHANDLER	151:UZURI PEASE-GREENE	152:TONY KELLY	153:SHAMANN WALTON	154:THEO ELLINGTON	155:GLORIA BERRY	157:NEO VEAVEA
RCV6	TO	41862	26459	202	177	2907	2526	20647				7624	13023			
RCV5	TO	41862	26459	202	166	2907	865	22319				6540	10392	5387		
RCV4	TO	41862	26459	202	162	2907	432	22756			1576	6092	9945	5143		
RCV3	TO	41862	26459	202	159	2907	150	23041			1416	5819	9704	4918	1184	
RCV2	TO	41862	26459	202	156	2907	8	23186		803	1314	5687	9591	4825	966	
RCV1	TO	41862	26459	202	156	2907	0	23194	0	802	1311	5679	9585	4820	966	31
ALL	TO	41862	26459	202	152	2936	0	23169	89	799	1304	5643	9550	4800	954	30
ALL	ED	41862	8716	43	56	1280	0	7337	41	333	355	1774	2929	1541	348	16
ALL	MV	41862	17743	159	96	1656	0	15832	48	466	949	3869	6621	3259	606	14
PCT7001	ED	776	176	2	0	34	0	140	0	4	2	42	56	26	10	0
PCT7001	MV	776	429	6	2	60	0	361	1	3	17	106	145	74	15	0
PCT7002	ED	706	176	1	0	28	0	147	2	6	6	49	57	19	8	0
PCT7002	MV	706	332	6	0	45	0	281	0	8	13	92	113	48	7	0
PCT7003	ED	884	238	4	0	27	0	207	0	8	8	80	61	44	6	0
PCT7003	MV	884	498	8	2	49	0	439	0	3	17	156	163	90	10	0
PCT7004	ED	881	241	5	0	31	0	205	2	5	12	84	62	38	2	0
PCT7004	MV	881	496	3	0	40	0	453	2	4	21	149	183	84	10	0
PCT7005	ED	847	253	0	1	36	0	216	0	4	10	95	56	47	4	0
PCT7005	MV	847	480	2	2	36	0	440	2	7	14	146	170	97	4	0
PCT7006	ED	917	254	2	0	42	0	210	0	12	11	105	51	27	4	0
PCT7006	MV	917	442	2	1	38	0	401	0	5	17	153	148	62	16	0
PCT7007	ED	949	283	1	4	31	0	247	0	5	23	82	83	45	9	0
PCT7007	MV	949	516	6	3	40	0	467	1	9	28	175	166	78	10	0
PCT7008	ED	932	264	1	0	26	0	237	1	2	8	83	92	49	2	0
PCT7008	MV	932	546	7	1	54	0	484	0	9	25	153	178	106	13	0
PCT7009	ED	905	185	0	0	27	0	158	0	3	14	64	48	26	3	0
PCT7009	MV	905	513	2	3	50	0	458	0	8	37	190	146	64	13	0
PCT7011	ED	985	204	0	2	23	0	179	0	1	30	41	71	29	7	0
