area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	014:Yes	015:No
ALLPCTS	TO	500516	372461	106	168	148071	224116	156159	67957
ALLPCTS	ED	500516	127556	80	47	50090	77339	51753	25586
ALLPCTS	MV	500516	244905	26	121	97981	146777	104406	42371
PCT1101	ED	553	125	0	0	42	83	46	37
PCT1101	MV	553	266	0	1	92	173	125	48
PCT1102	ED	995	266	0	0	86	180	110	70
PCT1102	MV	995	480	0	0	173	307	206	101
PCT1103	ED	951	246	1	0	90	155	112	43
PCT1103	MV	951	445	0	0	177	268	189	79
PCT1104	ED	993	249	0	0	87	162	103	59
PCT1104	MV	993	414	0	0	138	276	200	76
PCT1106	ED	765	191	0	0	72	119	80	39
PCT1106	MV	765	343	0	0	139	204	129	75
PCT1107	ED	746	163	0	0	65	98	65	33
PCT1107	MV	746	336	0	0	135	201	135	66
PCT1108	ED	909	232	0	0	108	124	81	43
PCT1108	MV	909	437	0	0	174	263	195	68
PCT1109	ED	798	166	0	0	63	103	58	45
PCT1109	MV	798	365	0	1	138	226	172	54
PCT1111	ED	1002	205	0	0	68	137	94	43
PCT1111	MV	1002	460	0	0	185	275	216	59
PCT1112	ED	769	151	0	0	48	103	72	31
PCT1112	MV	769	344	0	0	132	212	143	69
PCT1113	ED	746	134	0	0	55	79	43	36
PCT1113	MV	746	359	0	0	127	232	174	58
PCT1114	ED	957	226	0	0	85	141	97	44
PCT1114	MV	957	403	0	0	137	266	191	75
PCT1115	ED	895	173	0	0	68	105	67	38
PCT1115	MV	895	371	0	0	144	227	149	78
PCT1116	ED	895	224	0	0	95	129	89	40
PCT1116	MV	895	376	0	1	123	252	171	81
PCT1117	ED	858	184	0	0	61	123	80	43
PCT1117	MV	858	357	0	0	136	221	152	69
PCT1118	ED	1043	213	0	0	77	136	93	43
PCT1118	MV	1043	475	0	0	175	300	227	73
PCT1119	ED	791	165	0	0	70	95	66	29
PCT1119	MV	791	386	0	0	143	243	169	74
PCT1121	ED	691	159	0	0	58	101	61	40
PCT1121	MV	691	313	0	0	143	170	119	51
PCT1122	ED	632	109	0	0	42	67	45	22
PCT1122	MV	632	310	0	0	125	185	123	62
PCT1123	ED	915	179	0	0	51	128	79	49
PCT1123	MV	915	364	0	0	136	228	157	71
PCT1124	ED	819	152	0	0	49	103	60	43
PCT1124	MV	819	302	0	0	89	213	153	60
PCT1125	ED	1047	159	0	0	56	103	75	28
PCT1125	MV	1047	466	0	0	148	318	236	82
PCT1126	ED	922	190	0	0	51	139	93	46
PCT1126	MV	922	400	0	0	125	275	204	71
PCT1127	ED	920	200	0	0	71	129	97	32
PCT1127	MV	920	382	0	0	123	259	181	78
PCT1128	ED	838	154	0	0	53	101	60	41
PCT1128	MV	838	362	0	0	127	235	163	72
PCT1129	ED	980	227	0	0	81	146	96	50
PCT1129	MV	980	416	0	0	136	280	206	74
PCT1131	ED	797	132	0	0	44	88	68	20
PCT1131	MV	797	371	0	0	144	227	154	73
PCT1132	ED	969	179	0	0	75	104	74	30
PCT1132	MV	969	427	0	0	148	279	225	54
PCT1133	ED	863	161	0	0	64	97	71	26
PCT1133	MV	863	410	0	0	162	248	186	62
PCT1134	ED	759	170	0	0	58	112	66	46
PCT1134	MV	759	317	0	0	126	191	133	58
