area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	042:Yes	043:No
ALLPCTS	TO	500516	372461	940	0	124	18201	353196	281067	72129
ALLPCTS	ED	500516	127556	135	0	36	6131	121254	99810	21444
ALLPCTS	MV	500516	244905	805	0	88	12070	231942	181257	50685
PCT1101	ED	553	125	0	0	0	7	118	97	21
PCT1101	MV	553	266	1	0	0	11	254	180	74
PCT1102	ED	995	266	0	0	1	10	255	190	65
PCT1102	MV	995	480	-1	0	0	27	454	322	132
PCT1103	ED	951	246	1	0	0	14	231	181	50
PCT1103	MV	951	445	0	0	1	20	424	293	131
PCT1104	ED	993	249	0	0	0	11	238	185	53
PCT1104	MV	993	414	-2	0	0	22	394	287	107
PCT1106	ED	765	191	-1	0	0	9	183	134	49
PCT1106	MV	765	343	1	0	0	18	324	205	119
PCT1107	ED	746	163	1	0	0	9	153	123	30
PCT1107	MV	746	336	3	0	0	20	313	218	95
PCT1108	ED	909	232	-1	0	0	17	216	178	38
PCT1108	MV	909	437	-1	0	0	25	413	294	119
PCT1109	ED	798	166	0	0	0	9	157	116	41
PCT1109	MV	798	365	1	0	0	17	347	232	115
PCT1111	ED	1002	205	0	0	0	19	186	149	37
PCT1111	MV	1002	460	-1	0	0	32	429	276	153
PCT1112	ED	769	151	0	0	0	8	143	118	25
PCT1112	MV	769	344	0	0	1	28	315	205	110
PCT1113	ED	746	134	2	0	0	5	127	96	31
PCT1113	MV	746	359	0	0	0	15	344	216	128
PCT1114	ED	957	226	0	0	0	24	202	162	40
PCT1114	MV	957	403	2	0	0	16	385	278	107
PCT1115	ED	895	173	1	0	0	6	166	136	30
PCT1115	MV	895	371	-2	0	1	12	360	235	125
PCT1116	ED	895	224	0	0	0	22	202	179	23
PCT1116	MV	895	376	2	0	1	25	348	240	108
PCT1117	ED	858	184	1	0	0	13	170	133	37
PCT1117	MV	858	357	1	0	0	13	343	243	100
PCT1118	ED	1043	213	-2	0	0	8	207	170	37
PCT1118	MV	1043	475	-3	0	0	19	459	300	159
PCT1119	ED	791	165	0	0	0	10	155	130	25
PCT1119	MV	791	386	1	0	0	26	359	273	86
PCT1121	ED	691	159	0	0	0	9	150	97	53
PCT1121	MV	691	313	4	0	0	16	293	191	102
PCT1122	ED	632	109	0	0	0	8	101	69	32
PCT1122	MV	632	310	0	0	0	16	294	175	119
PCT1123	ED	915	179	0	0	0	12	167	138	29
PCT1123	MV	915	364	0	0	0	38	326	217	109
PCT1124	ED	819	152	-1	0	0	10	143	114	29
PCT1124	MV	819	302	-2	0	0	18	286	180	106
PCT1125	ED	1047	159	1	0	0	11	147	111	36
PCT1125	MV	1047	466	-3	0	0	32	437	293	144
PCT1126	ED	922	190	0	0	0	14	176	137	39
PCT1126	MV	922	400	-1	0	0	14	387	261	126
PCT1127	ED	920	200	0	0	0	15	185	132	53
PCT1127	MV	920	382	0	0	0	23	359	225	134
PCT1128	ED	838	154	0	0	0	10	144	114	30
PCT1128	MV	838	362	0	0	0	28	334	224	110
PCT1129	ED	980	227	1	0	1	19	206	153	53
PCT1129	MV	980	416	5	0	0	23	388	261	127
PCT1131	ED	797	132	0	0	0	8	124	102	22
PCT1131	MV	797	371	-1	0	0	20	352	217	135
PCT1132	ED	969	179	2	0	0	10	167	135	32
PCT1132	MV	969	427	0	0	0	31	396	279	117
PCT1133	ED	863	161	1	0	0	7	153	113	40
PCT1133	MV	863	410	0	0	0	21	389	244	145
PCT1134	ED	759	170	2	0	0	12	156	123	33
PCT1134	MV	759	317	-1	0	0	17	301	170	131
PCT1135	ED	540	87	1	0	0	2	84	62	22
PCT1135	MV	540	295	0	0	0	20	275	161	114
PCT1136	ED	829	144	0	0	0	6	138	108	30
PCT1136	MV	829	412	1	0	0	26	385	274	111
PCT1141	ED	1041	223	0	0	0	12	211	154	57
PCT1141	MV	1041	484	0	0	0	19	465	330	135
PCT1142	ED	861	175	0	0	0	9	166	133	33
PCT1142	MV	861	393	0	0	0	25	368	267	101
PCT1143	ED	1034	228	1	0	0	7	220	186	34
PCT1143	MV	1034	440	4	0	2	22	412	295	117
PCT1144	ED	907	205	1	0	0	10	194	151	43
PCT1144	MV	907	387	-1	0	0	18	370	250	120
PCT1145	ED	888	189	0	0	0	10	179	146	33
PCT1145	MV	888	461	0	0	3	26	432	323	109
PCT1146	ED	1011	186	0	0	0	6	180	142	38
PCT1146	MV	1011	454	2	0	0	23	429	304	125
PCT1147	ED	877	210	1	0	0	12	197	156	41
PCT1147	MV	877	396	1	0	0	26	369	273	96
PCT1148	ED	962	196	0	0	0	13	183	133	50
PCT1148	MV	962	444	0	0	0	21	423	264	159
PCT1149	ED	907	210	2	0	0	10	198	152	46
PCT1149	MV	907	407	-8	0	0	24	391	281	110
PCT1152	ED	864	198	0	0	0	18	180	140	40
PCT1152	MV	864	388	0	0	0	23	365	260	105
PCT1153	ED	951	209	0	0	0	15	194	141	53
PCT1153	MV	951	415	-1	0	0	26	390	278	112
PCT7001	ED	776	175	2	0	0	9	164	148	16
PCT7001	MV	776	429	3	0	0	20	406	344	62
PCT7002	ED	706	176	0	0	0	10	166	146	20
PCT7002	MV	706	332	-3	0	0	14	321	269	52
PCT7003	ED	884	238	0	0	0	10	228	196	32
PCT7003	MV	884	498	5	0	0	15	478	419	59
PCT7004	ED	881	239	1	0	0	9	229	196	33
PCT7004	MV	881	496	1	0	0	12	483	419	64
PCT7005	ED	847	253	0	0	0	10	243	215	28
PCT7005	MV	847	480	-1	0	0	11	470	413	57
PCT7006	ED	917	254	1	0	0	6	247	217	30
PCT7006	MV	917	442	1	0	0	15	426	368	58
PCT7007	ED	949	282	0	0	0	4	278	244	34
PCT7007	MV	949	516	2	0	0	19	495	420	75
PCT7008	ED	932	264	1	0	0	3	260	230	30
PCT7008	MV	932	546	5	0	0	19	522	456	66
PCT7009	ED	905	185	0	0	0	9	176	155	21
PCT7009	MV	905	513	1	0	0	14	498	406	92
PCT7011	ED	985	203	0	0	0	16	187	171	16
PCT7011	MV	985	294	0	0	0	10	284	242	42
PCT7012	ED	1109	313	0	0	0	4	309	251	58
PCT7012	MV	1109	594	4	0	1	23	566	483	83
PCT7013	ED	956	265	0	0	0	5	260	219	41
PCT7013	MV	956	501	4	0	0	19	478	417	61
PCT7014	ED	1460	366	0	0	0	7	359	306	53
PCT7014	MV	1460	801	3	0	0	27	771	661	110
PCT7015	MV	95	44	0	0	0	2	42	37	5
PCT7016	ED	918	171	0	0	1	7	163	138	25
PCT7016	MV	918	280	0	0	1	15	264	192	72
PCT7017	ED	754	149	0	0	0	12	137	126	11
PCT7017	MV	754	252	2	0	0	10	240	215	25
PCT7018	ED	977	154	0	0	0	19	135	107	28
PCT7018	MV	977	448	-1	0	0	35	414	257	157
PCT7019	ED	899	182	0	0	0	11	171	148	23
PCT7019	MV	899	413	0	0	1	29	383	260	123
PCT7021	ED	947	184	1	0	0	11	172	155	17
PCT7021	MV	947	305	0	0	0	13	292	240	52
PCT7022	ED	945	214	0	0	0	10	204	179	25
PCT7022	MV	945	351	0	0	0	30	321	254	67
PCT7023	ED	928	177	-1	0	0	3	175	156	19
PCT7023	MV	928	400	0	0	0	24	376	314	62
PCT7024	ED	414	70	0	0	0	5	65	60	5
PCT7024	MV	414	78	0	0	0	4	74	58	16
PCT7025	ED	477	85	0	0	0	7	78	69	9
PCT7025	MV	477	128	-1	0	0	8	121	105	16
PCT7026	ED	1011	149	0	0	0	10	139	96	43
PCT7026	MV	1011	455	1	0	0	20	434	235	199
PCT7027	ED	869	195	0	0	0	19	176	146	30
PCT7027	MV	869	353	-1	0	0	23	331	225	106
PCT7028	ED	850	212	-1	0	0	12	201	174	27
PCT7028	MV	850	282	0	0	0	13	269	222	47
PCT7029	ED	901	183	1	0	0	14	168	154	14
PCT7029	MV	901	251	1	0	0	17	233	196	37
PCT7030	ED	759	118	0	0	0	3	115	74	41
PCT7030	MV	759	357	0	0	0	20	337	188	149
PCT7031	ED	641	91	0	0	0	7	84	68	16
PCT7031	MV	641	308	-2	0	0	17	293	201	92
