VotingPrecinctID,VotingPrecinctName,MailBallotPrecinct,BalType,Assembly,Congressional,Senatorial,Supervisorial,Issued,American_Independent_Issued,Democratic_Issued,Green_Issued,Libertarian_Issued,Peace_&_Freedom_Issued,Republican_Issued,No_Party_Preference_Issued,No_Party_Preference_(AI)_Issued,No_Party_Preference_(LIB)_Issued,No_Party_Preference_(DEM)_Issued,Returned,American_Independent_Returned,Democratic_Returned,Green_Returned,Libertarian_Returned,Peace_&_Freedom_Returned,Republican_Returned,No_Party_Preference_Returned,No_Party_Preference_(AI)_Returned,No_Party_Preference_(LIB)_Returned,No_Party_Preference_(DEM)_Returned,Accepted,American_Independent_Accepted,Democratic_Accepted,Green_Accepted,Libertarian_Accepted,Peace_&_Freedom_Accepted,Republican_Accepted,No_Party_Preference_Accepted,No_Party_Preference_(AI)_Accepted,No_Party_Preference_(LIB)_Accepted,No_Party_Preference_(DEM)_Accepted,Pending,American_Independent_Pending,Democratic_Pending,Green_Pending,Libertarian_Pending,Peace_&_Freedom_Pending,Republican_Pending,No_Party_Preference_Pending,No_Party_Preference_(AI)_Pending,No_Party_Preference_(LIB)_Pending,No_Party_Preference_(DEM)_Pending,Challenged,American_Independent_Challenged,Democratic_Challenged,Green_Challenged,Libertarian_Challenged,Peace_&_Freedom_Challenged,Republican_Challenged,No_Party_Preference_Challenged,No_Party_Preference_(AI)_Challenged,No_Party_Preference_(LIB)_Challenged,No_Party_Preference_(DEM)_Challenged
1101,Pct 1101,NO,1,19,14,11,11,402,5,223,0,2,1,19,150,0,0,0,267,4,162,0,2,1,12,85,0,0,0,266,4,162,0,2,1,12,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1102,Pct 1102,NO,1,19,14,11,11,697,12,415,2,1,2,47,215,0,0,0,492,8,308,2,0,1,34,137,0,0,0,482,8,302,2,0,1,33,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,6,0,0,0,2,3,0,0,0
1103,Pct 1103,NO,1,19,14,11,11,674,8,382,8,4,2,55,213,0,0,0,455,3,264,7,3,0,44,132,0,0,0,447,3,259,7,3,0,44,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,3,0,0,0
1104,Pct 1104/1105,NO,1,19,14,11,11,677,15,379,6,1,2,36,238,0,0,0,421,6,257,5,1,0,23,129,0,0,0,416,6,255,5,1,0,23,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,0,0
1106,Pct 1106,NO,2,19,14,11,11,554,9,305,6,2,1,38,191,0,0,0,343,8,191,2,1,1,26,113,0,0,0,335,8,188,2,1,1,25,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,1,4,0,0,0
1107,Pct 1107,NO,2,19,14,11,11,543,3,305,3,2,1,25,203,0,0,0,350,2,198,0,1,0,23,125,0,0,0,343,2,197,0,1,0,21,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,4,0,0,0
1108,Pct 1108,NO,2,19,14,11,11,672,12,405,4,2,2,15,227,0,0,0,449,8,276,4,0,0,13,145,0,0,0,439,8,271,4,0,0,13,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,5,0,0,0
1109,Pct 1109,NO,2,19,14,11,11,603,8,321,3,2,2,31,235,0,0,0,370,4,210,3,1,0,25,127,0,0,0,367,4,209,3,1,0,24,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0
1111,Pct 1111,NO,2,19,14,11,11,738,9,375,6,3,0,37,300,0,0,0,471,7,258,4,1,0,25,172,0,0,0,463,7,253,4,1,0,25,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,3,0,0,0
1112,Pct 1112,NO,2,19,14,11,11,569,2,281,2,3,1,21,256,0,0,0,351,0,182,2,2,0,11,152,0,0,0,345,0,179,2,2,0,11,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0
1113,Pct 1113,NO,1,19,14,11,11,603,7,303,4,2,5,41,238,0,0,0,370,4,190,2,1,3,33,134,0,0,0,360,4,187,2,1,3,33,127,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,3,0,0,0,0,7,0,0,0
1114,Pct 1114,NO,1,19,14,11,11,671,17,342,9,3,2,47,247,0,0,0,414,11,233,5,2,1,26,135,0,0,0,405,11,227,4,2,1,26,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,6,1,0,0,0,2,0,0,0
1115,Pct 1115,NO,2,19,14,11,11,673,7,353,3,6,2,23,274,0,0,0,381,3,216,2,3,0,12,143,0,0,0,375,3,213,2,3,0,11,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,1,2,0,0,0
1116,Pct 1116,NO,2,19,14,11,11,629,8,340,3,3,3,42,224,0,0,0,382,5,217,3,0,1,29,124,0,0,0,377,5,215,3,0,1,28,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,1,2,0,0,0
1117,Pct 1117,NO,2,19,14,11,11,612,9,353,2,5,3,23,214,0,0,0,366,5,221,1,3,1,14,120,0,0,0,358,5,215,1,3,1,13,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,6,0,0,0,1,1,0,0,0
1118,Pct 1118,NO,2,19,14,11,11,765,13,413,6,2,5,22,299,0,0,0,487,7,263,5,0,3,15,192,0,0,0,480,7,259,5,0,3,15,189,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,4,0,0,0,0,3,0,0,0
1119,Pct 1119,NO,2,19,14,11,11,596,6,336,2,3,6,24,217,0,0,0,392,3,240,1,2,2,18,126,0,0,0,386,3,238,1,2,2,17,123,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,1,3,0,0,0
1121,Pct 1121,NO,2,19,14,11,11,502,4,275,0,3,4,25,184,0,0,0,320,2,184,0,1,3,14,112,0,0,0,313,2,179,0,1,3,14,110,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,5,0,0,0,0,2,0,0,0
1122,Pct 1122,NO,2,19,14,11,11,471,7,229,2,0,1,26,201,0,0,0,317,6,170,1,0,1,18,117,0,0,0,311,6,166,1,0,1,18,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,0
1123,Pct 1123,NO,2,19,14,11,11,672,7,346,3,3,3,30,277,0,0,0,371,4,197,1,3,2,21,142,0,0,0,365,4,193,1,3,2,21,140,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,4,0,0,0,0,2,0,0,0
1124,Pct 1124,NO,2,19,14,11,11,575,9,298,1,3,6,22,231,0,0,0,308,3,172,0,3,2,13,112,0,0,0,304,3,168,0,3,2,13,112,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
1125,Pct 1125,NO,2,19,14,11,11,808,6,423,4,5,8,44,311,0,0,0,472,3,259,2,2,1,26,177,0,0,0,468,3,256,2,2,1,26,176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0
1126,Pct 1126,NO,2,19,14,11,11,683,7,363,2,2,3,39,263,0,0,0,408,4,235,1,1,0,25,139,0,0,0,402,4,230,1,1,0,24,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,1,0,0,0,0
1127,Pct 1127,NO,2,19,14,11,11,665,15,339,1,2,5,54,242,0,0,0,392,11,209,0,1,3,37,129,0,0,0,385,11,205,0,1,3,37,126,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,4,0,0,0,0,3,0,0,0
1128,Pct 1128,NO,2,19,14,11,11,610,11,301,2,1,4,47,241,0,0,0,363,8,190,1,0,3,28,132,0,0,0,362,8,190,1,0,3,28,131,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1129,Pct 1129,NO,2,19,14,11,11,685,6,361,2,3,5,45,261,0,0,0,424,3,235,2,2,2,28,151,0,0,0,418,3,231,2,2,2,27,150,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,4,0,0,0,1,1,0,0,0
1131,Pct 1131,NO,2,19,14,11,11,606,4,310,1,0,2,51,236,0,0,0,375,3,201,1,0,1,35,133,0,0,0,374,3,200,1,0,1,35,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1132,Pct 1132,NO,2,19,14,11,11,720,6,354,2,6,4,43,293,0,0,0,437,4,241,1,2,3,28,153,0,0,0,429,4,236,1,2,3,28,150,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,0,0,0,3,0,0,0
1133,Pct 1133,NO,2,19,14,11,11,648,7,371,2,4,1,38,220,0,0,0,417,6,248,1,3,1,22,131,0,0,0,411,6,246,1,3,1,21,128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,1,3,0,0,0
1134,Pct 1134,NO,2,19,14,11,11,512,6,266,1,1,3,39,194,0,0,0,323,3,184,0,0,2,31,103,0,0,0,321,3,183,0,0,2,31,102,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
1135,Pct 1135,NO,2,19,14,11,11,412,6,220,0,1,0,23,158,0,0,0,297,5,165,0,0,0,18,107,0,0,0,295,5,164,0,0,0,18,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
1136,Pct 1136,NO,2,19,14,11,11,627,9,348,3,3,2,54,207,0,0,0,416,4,250,2,0,0,35,125,0,0,0,412,4,249,2,0,0,34,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0,0
1141,Pct 1141,NO,3,17,12,11,11,746,8,408,9,5,5,30,275,0,0,0,492,4,284,5,3,2,23,166,0,0,0,485,4,281,5,3,2,23,162,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,3,0,0,0,0,6,0,0,0
1142,Pct 1142,NO,3,17,12,11,11,627,5,365,6,2,6,36,206,0,0,0,409,2,243,3,1,4,24,131,0,0,0,396,2,237,3,1,4,24,124,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,6,0,0,0,0,7,0,0,0
1143,Pct 1143,NO,3,17,12,11,11,748,13,389,5,6,9,42,272,0,0,0,451,6,245,3,2,3,29,159,0,0,0,442,6,240,3,2,3,29,155,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,5,0,0,0,0,4,0,0,0
1144,Pct 1144,NO,3,17,12,11,11,647,10,361,3,4,1,41,220,0,0,0,395,7,240,0,2,1,29,110,0,0,0,387,7,234,0,2,1,28,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,6,0,0,0,1,1,0,0,0
1145,Pct 1145,NO,3,17,12,11,11,667,6,403,12,2,5,30,206,0,0,0,479,4,303,9,2,3,24,132,0,0,0,463,4,292,8,2,3,24,128,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,11,1,0,0,0,4,0,0,0
1146,Pct 1146,NO,3,17,12,11,11,757,12,416,7,5,5,43,256,0,0,0,459,2,276,5,2,1,23,145,0,0,0,455,2,272,5,2,1,23,145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
1147,Pct 1147,NO,3,17,12,11,11,612,7,355,13,2,1,33,199,0,0,0,398,5,243,9,0,1,22,117,0,0,0,396,5,241,9,0,1,22,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1148,Pct 1148,NO,3,17,12,11,11,710,9,366,4,3,3,33,284,0,0,0,452,4,243,3,2,0,25,171,0,0,0,445,4,240,3,2,0,24,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,1,3,0,0,0
1149,Pct 1149,NO,3,17,12,11,11,637,7,355,5,0,2,37,227,0,0,0,415,3,242,4,0,2,26,135,0,0,0,413,3,242,4,0,2,26,133,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1151,Pct 1151 MB,YES,4,17,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,Pct 1152,NO,3,17,12,11,11,631,13,339,3,1,5,42,225,0,0,0,391,8,225,3,1,3,26,123,0,0,0,389,8,224,3,1,3,26,122,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
1153,Pct 1153,NO,3,17,12,11,11,687,8,345,2,2,1,43,279,0,0,0,426,5,232,1,2,0,31,151,0,0,0,417,5,226,1,2,0,31,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,2,0,0,0
1154,Pct 1154 MB,YES,4,17,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7001,Pct 7001,NO,5,17,12,11,10,608,3,374,11,2,2,23,189,0,0,0,435,2,278,8,1,0,16,129,0,0,0,429,2,272,8,1,0,16,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0
7002,Pct 7002,NO,5,17,12,11,10,516,8,298,3,3,2,24,172,0,0,0,341,6,214,2,2,0,13,102,0,0,0,334,6,211,2,2,0,12,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,1,3,0,0,0
7003,Pct 7003,NO,5,17,12,11,10,682,10,454,6,4,1,40,165,0,0,0,505,5,349,3,4,1,29,112,0,0,0,497,5,346,3,4,1,29,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,5,0,0,0
7004,Pct 7004,NO,5,17,12,11,10,688,8,437,8,5,1,28,197,0,0,0,501,5,333,6,3,0,22,128,0,0,0,496,5,329,6,3,0,22,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,1,0,0,0
7005,Pct 7005,NO,5,17,12,11,10,615,6,401,4,6,2,19,177,0,0,0,485,5,331,4,3,1,12,129,0,0,0,481,5,328,4,3,1,12,128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0
7006,Pct 7006,NO,5,17,12,11,10,650,8,421,8,6,2,20,182,0,0,0,455,4,314,6,2,2,13,113,0,0,0,441,4,309,6,2,2,12,105,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,5,0,0,0,1,9,0,0,0
7007,Pct 7007,NO,5,17,12,11,10,717,9,454,10,4,1,33,202,0,0,0,526,5,345,8,2,0,23,139,0,0,0,517,5,340,8,2,0,23,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,4,0,0,0
