contest_id	candidate_order	candidate_id	candidate_type	candidate_full_name	candidate_party_id	is_writein_candidate
001	001	072	0	JOHN H. COX	2	0
001	002	073	0	GAVIN NEWSOM	1	0
002	001	074	0	ED HERNANDEZ	1	0
002	002	075	0	ELENI KOUNALAKIS	1	0
003	001	076	0	ALEX PADILLA	1	0
003	002	077	0	MARK P. MEUSER	2	0
004	001	078	0	KONSTANTINOS RODITIS	2	0
004	002	079	0	BETTY T. YEE	1	0
005	001	080	0	GREG CONLON	2	0
005	002	081	0	FIONA MA	1	0
006	001	082	0	STEVEN C BAILEY	2	0
006	002	083	0	XAVIER BECERRA	1	0
007	001	084	0	RICARDO LARA	1	0
007	002	085	0	STEVE POIZNER	3	0
008	001	086	0	MALIA COHEN	1	0
008	002	087	0	MARK BURNS	2	0
009	001	088	0	DIANNE FEINSTEIN	1	0
009	002	089	0	KEVIN DE LEON	1	0
010	001	090	0	LISA REMMER	2	0
010	002	091	0	NANCY PELOSI	1	0
011	001	092	0	BARBARA LEE	1	0
011	002	156	0	LAURA WELLS	45	0
012	001	093	0	CRISTINA OSMEÑA	2	0
012	002	094	0	JACKIE SPEIER	1	0
013	001	095	0	DAVID CHIU	1	0
013	002	096	0	ALEJANDRO FERNANDEZ	1	0
014	001	097	0	PHIL TING	1	0
014	002	098	0	KEITH BOGDON	2	0
015	001	099	0	MONICA CHINCHILLA		0
015	002	100	0	ALISON COLLINS		0
015	003	101	0	JOSEPHINE ZHAO		0
015	004	102	0	MARTIN RAWLINGS-FEIN		0
015	005	103	0	GABRIELA LÓPEZ		0
015	006	104	0	LI MIAO LOVETT		0
015	007	105	0	LEX LEIFHEIT		0
015	008	106	0	ALIDA FISHER		0
015	009	107	0	PHILLIP MARCEL HOUSE		0
015	010	108	0	MICHELLE PARKER		0
015	011	109	0	DARRON A. PADILLA		0
015	012	110	0	PAUL KANGAS		0
015	013	111	0	CONNOR KRONE		0
015	014	112	0	PHIL KIM		0
015	015	113	0	JOHN TRASVIÑA		0
015	016	114	0	LENETTE THOMPSON		0
015	017	115	0	FAAUUGA MOLIGA		0
015	018	116	0	MIA SATYA		0
015	019	117	0	ROGER SINASOHN		0
015	020	001	3	WRITE-IN		1
016	001	004	4	Yes		0
016	002	005	4	No		0
017	001	006	4	Yes		0
017	002	007	4	No		0
018	001	008	4	Yes		0
018	002	009	4	No		0
019	001	010	4	Yes		0
019	002	011	4	No		0
020	001	012	4	Yes		0
020	002	013	4	No		0
021	001	014	4	Yes		0
021	002	015	4	No		0
022	001	016	4	Yes		0
022	002	017	4	No		0
023	001	018	4	Yes		0
023	002	019	4	No		0
024	001	020	4	Yes		0
024	002	021	4	No		0
025	001	022	4	Yes		0
025	002	023	4	No		0
026	001	118	0	MARSHALL TUCK		0
026	002	119	0	TONY K. THURMOND		0
026	003	024	3	WRITE-IN		1
027	001	120	0	JOHN RIZZO		0
027	002	121	0	BRIGITTE DAVILA		0
027	003	122	0	VICTOR OLIVIERI		0
027	004	123	0	THEA SELBY		0
027	005	025	3	WRITE-IN		1
028	001	124	0	EVA I. CHAO		0
028	002	125	0	BRIAN J. LARKIN		0
028	003	126	0	JONATHAN LYENS		0
028	004	127	0	JANICE LI		0
028	005	128	0	MELANIE NUTTER		0
028	006	129	0	WILLIAM WALKER		0
028	007	028	3	WRITE-IN		1
029	001	130	0	CARMEN CHU		0
029	002	131	0	PAUL BELLAR		0
029	003	029	3	WRITE-IN		1
032	001	132	0	JEFF ADACHI		0
032	002	032	3	WRITE-IN		1
035	001	133	0	NICK JOSEFOWITZ		0
035	002	134	0	JOHN DENNIS		0
035	003	135	0	SCHUYLER HUDAK		0
035	004	136	0	CATHERINE STEFANI		0
035	005	035	3	WRITE-IN		1
036	001	137	0	JESSICA HO		0
036	002	138	0	ADAM KIM		0
036	003	139	0	TUAN NGUYEN		0
036	004	140	0	ARTHUR TOM		0
036	005	141	0	TREVOR MCNEIL		0
036	006	142	0	GORDON MAR		0
036	007	143	0	MIKE MURPHY		0
036	008	144	0	LOU ANN BASSAN		0
036	009	036	3	WRITE-IN		1
037	001	145	0	CHRISTINE JOHNSON		0
037	002	146	0	MATT HANEY		0
037	003	147	0	SONJA TRAUSS		0
037	004	037	3	WRITE-IN		1
038	001	148	0	LAWRENCE ''STARK'' DAGESSE		0
038	002	149	0	RAFAEL MANDELMAN		0
038	003	038	3	WRITE-IN		1
039	001	150	0	ASALE CHANDLER		0
039	002	151	0	UZURI PEASE-GREENE		0
039	003	152	0	TONY KELLY		0
039	004	153	0	SHAMANN WALTON		0
039	005	154	0	THEO ELLINGTON		0
039	006	155	0	GLORIA BERRY		0
039	007	039	3	WRITE-IN		1
039	008	157	9	NEO VEAVEA		1
040	001	040	4	Yes		0
040	002	041	4	No		0
041	001	042	4	Yes		0
041	002	043	4	No		0
042	001	044	4	Yes		0
042	002	045	4	No		0
043	001	046	4	Yes		0
043	002	047	4	No		0
044	001	048	4	Yes		0
044	002	049	4	No		0
045	001	050	4	Yes		0
045	002	051	4	No		0
046	001	052	4	Yes		0
046	002	053	4	No		0
047	001	054	4	Yes		0
047	002	055	4	No		0
048	001	056	4	Yes		0
048	002	057	4	No		0
049	001	058	4	Yes		0
049	002	059	4	No		0
050	001	060	4	Yes		0
050	002	061	4	No		0
051	001	062	4	Yes		0
051	002	063	4	No		0
052	001	064	4	Yes		0
052	002	065	4	No		0
053	001	066	4	Yes		0
053	002	067	4	No		0
054	001	068	4	Yes		0
054	002	069	4	No		0
055	001	070	4	Yes		0
055	002	071	4	No		0
