contest_id2	cand_id2	contest_id1	cand_id1	cand_name2	cand_name1
001	072	100	73971	JOHN H. COX	JOHN H. COX
001	073	100	73972	GAVIN NEWSOM	GAVIN NEWSOM
002	074	105	73973	ED HERNANDEZ	ED HERNANDEZ
002	075	105	73974	ELENI KOUNALAKIS	ELENI KOUNALAKIS
003	076	110	73975	ALEX PADILLA	ALEX PADILLA
003	077	110	73976	MARK P. MEUSER	MARK P. MEUSER
004	078	115	73977	KONSTANTINOS RODITIS	KONSTANTINOS RODITIS
004	079	115	73978	BETTY T. YEE	BETTY T. YEE
005	080	120	73979	GREG CONLON	GREG CONLON
005	081	120	73980	FIONA MA	FIONA MA
006	082	125	73981	STEVEN C BAILEY	STEVEN C BAILEY
006	083	125	73982	XAVIER BECERRA	XAVIER BECERRA
007	084	130	73983	RICARDO LARA	RICARDO LARA
007	085	130	73984	STEVE POIZNER	STEVE POIZNER
008	086	135	73985	MALIA COHEN	MALIA COHEN
008	087	135	73986	MARK BURNS	MARK BURNS
009	088	140	73987	DIANNE FEINSTEIN	DIANNE FEINSTEIN
009	089	140	73988	KEVIN DE LEON	KEVIN DE LEON
010	090	145	74117	LISA REMMER	LISA REMMER
010	091	145	74118	NANCY PELOSI	NANCY PELOSI
011	092	150	74144	BARBARA LEE	BARBARA LEE
012	093	155	73989	CRISTINA OSMEÑA	CRISTINA OSMEÑA
012	094	155	73990	JACKIE SPEIER	JACKIE SPEIER
013	095	160	74119	DAVID CHIU	DAVID CHIU
013	096	160	74120	ALEJANDRO FERNANDEZ	ALEJANDRO FERNANDEZ
014	097	165	73991	PHIL TING	PHIL TING
014	098	165	73992	KEITH BOGDON	KEITH BOGDON
015	099	237	73993	MONICA CHINCHILLA	MONICA CHINCHILLA
015	100	237	73994	ALISON COLLINS	ALISON COLLINS
015	101	237	73995	JOSEPHINE ZHAO	JOSEPHINE ZHAO
015	102	237	73996	MARTIN RAWLINGS-FEIN	MARTIN RAWLINGS-FEIN
015	103	237	73997	GABRIELA LÓPEZ	GABRIELA LÓPEZ
015	104	237	73998	LI MIAO LOVETT	LI MIAO LOVETT
015	105	237	73999	LEX LEIFHEIT	LEX LEIFHEIT
015	106	237	74000	ALIDA FISHER	ALIDA FISHER
015	107	237	74001	PHILLIP MARCEL HOUSE	PHILLIP MARCEL HOUSE
015	108	237	74002	MICHELLE PARKER	MICHELLE PARKER
015	109	237	74003	DARRON A. PADILLA	DARRON A. PADILLA
015	110	237	74004	PAUL KANGAS	PAUL KANGAS
015	111	237	74005	CONNOR KRONE	CONNOR KRONE
015	112	237	74006	PHIL KIM	PHIL KIM
015	113	237	74007	JOHN TRASVIÑA	JOHN TRASVIÑA
015	114	237	74008	LENETTE THOMPSON	LENETTE THOMPSON
015	115	237	74009	FAAUUGA MOLIGA	FAAUUGA MOLIGA
015	116	237	74010	MIA SATYA	MIA SATYA
015	117	237	74011	ROGER SINASOHN	ROGER SINASOHN
026	118	235	74070	MARSHALL TUCK	MARSHALL TUCK
026	119	235	74071	TONY K. THURMOND	TONY K. THURMOND
027	120	240	74072	JOHN RIZZO	JOHN RIZZO
027	121	240	74073	BRIGITTE DAVILA	BRIGITTE DAVILA
027	122	240	74074	VICTOR OLIVIERI	VICTOR OLIVIERI
027	123	240	74075	THEA SELBY	THEA SELBY
028	124	245	74111	EVA I. CHAO	EVA I. CHAO
028	125	245	74112	BRIAN J. LARKIN	BRIAN J. LARKIN
028	126	245	74113	JONATHAN LYENS	JONATHAN LYENS
028	127	245	74114	JANICE LI	JANICE LI
028	128	245	74115	MELANIE NUTTER	MELANIE NUTTER
028	129	245	74116	WILLIAM WALKER	WILLIAM WALKER
029	130	250	74076	CARMEN CHU	CARMEN CHU
029	131	250	74077	PAUL BELLAR	PAUL BELLAR
032	132	265	74078	JEFF ADACHI	JEFF ADACHI
035	133	280	74127	NICK JOSEFOWITZ	NICK JOSEFOWITZ
035	134	280	74128	JOHN DENNIS	JOHN DENNIS
035	135	280	74129	SCHUYLER HUDAK	SCHUYLER HUDAK
035	136	280	74130	CATHERINE STEFANI	CATHERINE STEFANI
036	137	285	74136	JESSICA HO	JESSICA HO
036	138	285	74137	ADAM KIM	ADAM KIM
036	139	285	74138	TUAN NGUYEN	TUAN NGUYEN
036	140	285	74139	ARTHUR TOM	ARTHUR TOM
036	141	285	74140	TREVOR MCNEIL	TREVOR MCNEIL
036	142	285	74141	GORDON MAR	GORDON MAR
036	143	285	74142	MIKE MURPHY	MIKE MURPHY
036	144	285	74143	LOU ANN BASSAN	LOU ANN BASSAN
037	145	290	74131	CHRISTINE JOHNSON	CHRISTINE JOHNSON
037	146	290	74132	MATT HANEY	MATT HANEY
037	147	290	74133	SONJA TRAUSS	SONJA TRAUSS
038	148	295	74134	LAWRENCE ''STARK'' DAGESSE	LAWRENCE "STARK" DAGESSE
038	149	295	74135	RAFAEL MANDELMAN	RAFAEL MANDELMAN
039	150	300	74121	ASALE CHANDLER	ASALE CHANDLER
039	151	300	74122	UZURI PEASE-GREENE	UZURI PEASE-GREENE
039	152	300	74123	TONY KELLY	TONY KELLY
039	153	300	74124	SHAMANN WALTON	SHAMANN WALTON
039	154	300	74125	THEO ELLINGTON	THEO ELLINGTON
039	155	300	74126	GLORIA BERRY	GLORIA BERRY
