precinct_id	precinct_name
0001	Pct 1101
0002	Pct 1102
0003	Pct 1103
0004	Pct 1104/1105
0005	Pct 1106
0006	Pct 1107
0007	Pct 1108
0008	Pct 1109
0009	Pct 1111
0010	Pct 1112
0011	Pct 1113
0012	Pct 1114
0013	Pct 1115
0014	Pct 1116
0015	Pct 1117
0016	Pct 1118
0017	Pct 1119
0018	Pct 1121
0019	Pct 1122
0020	Pct 1123
0021	Pct 1124
0022	Pct 1125
0023	Pct 1126
0024	Pct 1127
0025	Pct 1128
0026	Pct 1129
0027	Pct 1131
0028	Pct 1132
0029	Pct 1133
0030	Pct 1134
0031	Pct 1135
0032	Pct 1136
0033	Pct 1141
0034	Pct 1142
0035	Pct 1143
0036	Pct 1144
0037	Pct 1145
0038	Pct 1146
0039	Pct 1147
0040	Pct 1148
0041	Pct 1149
0042	Pct 1151 MB
0043	Pct 1152
0044	Pct 1153
0045	Pct 1154 MB
0046	Pct 7001
0047	Pct 7002
0048	Pct 7003
0049	Pct 7004
0050	Pct 7005
0051	Pct 7006
0052	Pct 7007
0053	Pct 7008
0054	Pct 7009
0055	Pct 7011
0056	Pct 7012
0057	Pct 7013
0058	Pct 7014
0059	Pct 7015 MB
0060	Pct 7016
0061	Pct 7017
0062	Pct 7018
0063	Pct 7019
0064	Pct 7021
0065	Pct 7022
0066	Pct 7023
0067	Pct 7024
0068	Pct 7025
0069	Pct 7026
0070	Pct 7027
0071	Pct 7028
0072	Pct 7029
0073	Pct 7030
0074	Pct 7031
0075	Pct 7032
0076	Pct 7033
0077	Pct 7034
0078	Pct 7035
0079	Pct 7036
0080	Pct 7037
0081	Pct 7038
0082	Pct 7039
0083	Pct 7041 MB
0084	Pct 7042
0085	Pct 7043
0086	Pct 7044
0087	Pct 7045
0088	Pct 7046
0089	Pct 7047
0090	Pct 7048
0091	Pct 7049
0092	Pct 7051
0093	Pct 7052
0094	Pct 7053
0095	Pct 7054
0096	Pct 7055
0097	Pct 7101 MB
0098	Pct 7201
0099	Pct 7202
0100	Pct 7203
0101	Pct 7204
0102	Pct 7205
0103	Pct 7206
0104	Pct 7207
0105	Pct 7208
0106	Pct 7209
0107	Pct 7301
0108	Pct 7302
0109	Pct 7303
0110	Pct 7304
0111	Pct 7305
0112	Pct 7306
0113	Pct 7307
0114	Pct 7308
0115	Pct 7309
0116	Pct 7311
0117	Pct 7312
0118	Pct 7313
0119	Pct 7314
0120	Pct 7315
0121	Pct 7316
0122	Pct 7317
0123	Pct 7318
0124	Pct 7319
0125	Pct 7321
0126	Pct 7322
0127	Pct 7323
0128	Pct 7324
0129	Pct 7325
0130	Pct 7326
0131	Pct 7327
0132	Pct 7328
0133	Pct 7329
