area_id	registration	total_ballots	ed_ballots	mv_ballots
ALL	500516	372848	127886	244962
PCT1101	553	392	126	266
PCT1102	995	746	266	480
PCT1103	951	691	246	445
PCT1104	993	663	249	414
PCT1106	765	534	191	343
PCT1107	746	499	163	336
PCT1108	909	670	232	438
PCT1109	798	531	166	365
PCT1111	1002	665	205	460
PCT1112	769	495	151	344
PCT1113	746	495	135	360
PCT1114	957	630	226	404
PCT1115	895	545	174	371
PCT1116	895	601	225	376
PCT1117	858	542	185	357
PCT1118	1043	689	213	476
PCT1119	791	551	165	386
PCT1121	691	473	160	313
PCT1122	632	420	110	310
PCT1123	915	543	179	364
PCT1124	819	454	152	302
PCT1125	1047	625	159	466
PCT1126	922	591	191	400
PCT1127	920	582	200	382
PCT1128	838	516	154	362
PCT1129	980	643	227	416
PCT1131	797	503	132	371
PCT1132	969	606	179	427
PCT1133	863	571	161	410
PCT1134	759	488	170	318
PCT1135	540	382	87	295
PCT1136	829	556	144	412
PCT1141	1041	707	223	484
PCT1142	861	568	175	393
PCT1143	1034	669	229	440
PCT1144	907	592	205	387
PCT1145	888	650	189	461
PCT1146	1011	640	186	454
PCT1147	877	606	210	396
PCT1148	962	640	196	444
PCT1149	907	617	210	407
PCT1151	0	0	0	0
PCT1152	864	586	198	388
PCT1153	951	625	210	415
PCT1154	0	0	0	0
PCT7001	776	605	176	429
PCT7002	706	508	176	332
PCT7003	884	736	238	498
PCT7004	881	737	241	496
PCT7005	847	733	253	480
PCT7006	917	696	254	442
PCT7007	949	799	283	516
PCT7008	932	810	264	546
PCT7009	905	698	185	513
PCT7011	985	498	204	294
PCT7012	1109	907	313	594
PCT7013	956	768	267	501
PCT7014	1460	1169	367	802
PCT7015	95	46	2	44
PCT7016	918	451	171	280
PCT7017	754	401	149	252
PCT7018	977	603	155	448
PCT7019	899	595	182	413
PCT7021	947	489	184	305
PCT7022	945	567	215	352
PCT7023	928	578	178	400
PCT7024	414	148	70	78
PCT7025	477	213	85	128
PCT7026	1011	604	149	455
PCT7027	869	548	195	353
PCT7028	850	495	213	282
PCT7029	901	435	184	251
PCT7030	759	476	119	357
PCT7031	641	400	91	309
PCT7032	904	489	173	316
PCT7033	798	438	191	247
PCT7034	958	398	197	201
PCT7035	606	384	122	262
PCT7036	921	459	117	342
PCT7037	735	233	135	98
PCT7038	911	486	135	351
PCT7039	784	484	178	306
PCT7041	61	35	2	33
PCT7042	639	376	118	258
PCT7043	957	580	176	404
PCT7044	827	360	167	193
PCT7045	779	464	120	344
PCT7046	402	269	94	175
PCT7047	823	507	119	388
PCT7048	858	468	150	318
PCT7049	792	478	173	305
PCT7051	861	494	114	380
PCT7052	852	563	161	402
PCT7053	548	380	102	278
PCT7054	1073	625	215	410
PCT7055	808	630	190	440
PCT7101	155	125	5	120
PCT7201	936	763	245	518
PCT7202	850	658	227	431
PCT7203	921	714	291	423
PCT7204	918	764	233	531
PCT7205	875	736	251	485
PCT7206	378	326	135	191
PCT7207	812	630	196	434
PCT7208	600	439	111	328
PCT7209	626	530	107	423
PCT7301	1016	663	228	435
PCT7302	814	646	188	458
PCT7303	1042	763	281	482
PCT7304	1002	771	278	493
PCT7305	871	700	240	460
PCT7306	1056	815	317	498
PCT7307	767	556	210	346
PCT7308	603	490	177	313
PCT7309	884	702	263	439
PCT7311	917	716	268	448
PCT7312	821	673	203	470
PCT7313	968	710	225	485
PCT7314	787	396	125	271
PCT7315	760	502	220	282
PCT7316	853	572	205	367
PCT7317	904	643	189	454
PCT7318	727	569	179	390
PCT7319	1079	817	301	516
PCT7321	671	435	149	286
PCT7322	874	402	65	337
PCT7323	950	689	234	455
PCT7324	755	554	190	364
PCT7325	904	679	243	436
PCT7326	876	630	200	430
PCT7327	699	347	71	276
PCT7328	973	488	94	394
PCT7329	640	433	112	321
PCT7331	852	674	213	461
PCT7332	834	589	225	364
PCT7333	1044	841	298	543
PCT7334	881	661	199	462
PCT7335	970	748	225	523
PCT7336	955	761	238	523
PCT7337	851	643	179	464
PCT7338	915	579	153	426
PCT7339	669	483	174	309
PCT7341	908	661	260	401
PCT7342	947	748	334	414
PCT7343	731	550	234	316
PCT7344	1110	829	291	538
PCT7345	1141	850	329	521
PCT7346	920	634	250	384
PCT7347	1040	721	241	480
PCT7348	861	563	210	353
PCT7349	957	675	248	427
PCT7501	565	480	172	308
PCT7502	784	627	180	447
PCT7503	764	596	208	388
PCT7504	503	334	112	222
PCT7505	869	690	158	532
PCT7506	999	699	226	473
PCT7507	955	555	211	344
PCT7508	727	581	154	427
PCT7509	932	705	235	470
PCT7512	612	433	150	283
PCT7513	818	540	225	315
PCT7514	874	445	140	305
PCT7515	869	601	212	389
PCT7516	922	710	172	538
PCT7517	863	699	289	410
PCT7518	950	789	309	480
PCT7519	737	579	224	355
PCT7521	812	646	292	354
PCT7522	764	604	207	397
PCT7523	747	634	275	359
