November 6, 2018 General Election

Report generated on: Tuesday, November 20, 2018 at 03:51:18 PM


*** Governor - CALIFORNIA (100)
Precinct Totals
PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	JOHN H. COX	GAVIN NEWSOM	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	553	125	22.60	14	106	5	0
Pct 1101	VBM	1101	1	553	266	48.10	47	208	11	0
Pct 1102	Election Day	1102	1	995	266	26.73	28	235	3	0
Pct 1102	VBM	1102	1	995	480	48.24	94	375	11	0
Pct 1103	Election Day	1103	1	951	246	25.87	34	206	5	0
Pct 1103	VBM	1103	1	951	445	46.79	82	349	13	1
Pct 1104/1105	Election Day	1104	1	993	249	25.08	40	197	12	0
Pct 1104/1105	VBM	1104	1	993	414	41.69	68	331	15	0
Pct 1106	Election Day	1106	1	765	191	24.97	28	149	14	0
Pct 1106	VBM	1106	1	765	343	44.84	75	255	13	0
Pct 1107	Election Day	1107	1	746	163	21.85	21	137	5	0
Pct 1107	VBM	1107	1	746	336	45.04	56	269	10	1
Pct 1108	Election Day	1108	1	909	232	25.52	31	194	7	0
Pct 1108	VBM	1108	1	909	437	48.07	61	368	8	0
Pct 1109	Election Day	1109	1	798	166	20.80	23	139	4	0
Pct 1109	VBM	1109	1	798	365	45.74	83	271	11	0
Pct 1111	Election Day	1111	1	1002	205	20.46	24	167	14	0
Pct 1111	VBM	1111	1	1002	460	45.91	88	354	18	0
Pct 1112	Election Day	1112	1	769	151	19.64	23	122	6	0
Pct 1112	VBM	1112	1	769	344	44.73	57	282	5	0
Pct 1113	Election Day	1113	1	746	134	17.96	15	114	5	0
Pct 1113	VBM	1113	1	746	359	48.12	69	272	18	0
Pct 1114	Election Day	1114	1	957	226	23.62	43	179	4	0
Pct 1114	VBM	1114	1	957	403	42.11	78	306	18	1
Pct 1115	Election Day	1115	1	895	173	19.33	22	143	8	0
Pct 1115	VBM	1115	1	895	371	41.45	80	279	11	1
Pct 1116	Election Day	1116	1	895	224	25.03	13	205	6	0
Pct 1116	VBM	1116	1	895	376	42.01	73	289	14	0
Pct 1117	Election Day	1117	1	858	184	21.45	19	158	7	0
Pct 1117	VBM	1117	1	858	357	41.61	57	286	14	0
Pct 1118	Election Day	1118	1	1043	213	20.42	17	189	7	0
Pct 1118	VBM	1118	1	1043	475	45.54	94	365	15	1
Pct 1119	Election Day	1119	1	791	165	20.86	22	133	10	0
