Quick Hash v2.6.3 (c) 2011-2015 - The easy and convenient way to hash data in both Linux, Apple Mac and Windows. Log generated: 11/20/2018 15:59:44
,"File Name",Path,"Hash Value","File Size (on Disk)",Duplicate?
1,summary.pdf,E:\REPORTS_RESULTS\20181120\,A9C401DBFC1AC9EFB5E41C1CD92800DECC314B8114D764C08A8CBFEF22933250BF9EBD11AD72EA08484860FDFA5DC1BB7C5D0B30AC132BCB3296B2E0CA642F7B,"37297 bytes (36.42 KiB)",
2,summary.txt,E:\REPORTS_RESULTS\20181120\,B426C2A2FF620F6A2C383DE79E8784BCC89B2C5C55E0736D5496F9A7357C226DFAAEC7187D7757141B57CD089126BEB9CDA4CFA3E33832AF8EE5EEBE6DB896F4,"16961 bytes (16.56 KiB)",
3,20181120_turnout.txt,E:\REPORTS_RESULTS\20181120\,6714B13ED2B0E096456045F5EE173F76B4AC58D8D82503B71921EA52D8D117DC4C2A6CF79DD806A8B31406196D04E4C7E7F686329176C37F1D4C14B158B3B2F9,"31365 bytes (30.63 KiB)",
4,20181120_masterlookup.txt,E:\REPORTS_RESULTS\20181120\,345EE8DCE9F405286125633D85AB2B0FBD4EFF08E36F768ED7914D716F7850D8FEABF453242F2D5C19BBC61AA339A0A9907E9B4272EA436030CBF44C09E10229,"55420 bytes (54.12 KiB)",
5,20181120_psov.pdf,E:\REPORTS_RESULTS\20181120\,F61F052D97ABE5A91A8468F4633E0FC1DC61561318A00BEB9DEC30FAD6792DD898061F65FCFAF3EB63878499353882951E807742B473FE5FF42029ED2BF604FC,"15493633 bytes (14.78 MiB)",
6,20181120_psov.txt,E:\REPORTS_RESULTS\20181120\,F002DEDCF5930A554F85511E733E8BBD62F6F2BC87C4F5FD2C70F6DA79A30344DF2AA25ED2EEF03519213851462AB37F9F8C63067A13B55E1A1D7DCA1CB9F350,"50013348 bytes (47.7 MiB)",
7,20181120_neigh.xls,E:\REPORTS_RESULTS\20181120\,13A84B5863603809BAEBE2E34D56B43B9CA3B470FABD0BDDC7C70B21FE1361C839EB20FF81CA1C60D21461F1E3BC0A4B520883CC48F5F4A84AB307832CDAED05,"16384 bytes (16 KiB)",
8,20181120_neigh.pdf,E:\REPORTS_RESULTS\20181120\,4EBA0FB18935A796925902D239DC05FA7A5C826C3751B1530A151C03E5A0122B3839ABC92DE81412831C960AC0F633F554C6BF958477F4065164B994753105A2,"100767 bytes (98.41 KiB)",
9,20181120_psov.xlsx,E:\REPORTS_RESULTS\20181120\,56D0733C2F626C657DFEED83ADABC1B3DC6A63A4E1075796C9B876036F378A87E43DF4BE796D7B05BCDAD32B451244E5915504C473EE6AED7C1DBD4F21C603D0,"2737942 bytes (2.61 MiB)",
10,20181120_psov.tsv,E:\REPORTS_RESULTS\20181120\,5E666BA7C929637F36F86FB6E6439EE9A2EE15C69384304682C4C158FB0696DA6B3764B1D7E800222B2E96911821AA1E8ED8D8E0EB356D13DC7580ED91B7DDCC,"2980499 bytes (2.84 MiB)",
11,20181120_assessor.xls,E:\REPORTS_RESULTS\20181120\assessor\,3FD53CE24ACCD6ACBC2411E4831BA4FD68643FA9BDF1796DE067189560B6FAC0A751927FDBB3479E58ADC4B088CCDCB4F683042924A51AD86F6DC18AE4A1EEA1,"15940 bytes (15.57 KiB)",
12,20181120_assessor.pdf,E:\REPORTS_RESULTS\20181120\assessor\,DEF92C71425956921EE3DCEDAE0C747FD78568E4AFE81E3FB9462C0992A74240F74DA03B03CBC8226D1737B788BE44CDD8D26BEE0A81817177DB801B9D57E3B4,"13988 bytes (13.66 KiB)",
13,20181120_assessor.html,E:\REPORTS_RESULTS\20181120\assessor\,F492143B2528F00CF119AD2BF224B29B1C18B9EE31CDCA162214C8D10A18C173FD1FE52D9645779833827573FF404A6FEA4D21273EEF238BF612730C75B78E08,"4179 bytes (4.08 KiB)",
14,summary_report.xml,E:\REPORTS_RESULTS\20181120\assessor\,D205A47CCB578990EE1219F3D9FCD0277F308E7C48191149BA50A5C6AF4D121D630AD4A71477871867E1D0E970619C0DED2918DBD6F4901A07EF58BDEA89081F,"6361 bytes (6.21 KiB)",
15,default.css,E:\REPORTS_RESULTS\20181120\assessor\,F822D939F5BA709C3FFA3C2098D2B862842E7CB2B3ECB40FBDA95BC5BC6F6B078DD353D0BF05C629351FCCA50B9B72CBAB970ECF6B0312CE9F5D21819D2FD957,"4192 bytes (4.09 KiB)",
16,20181120_assessor_ballotimage.txt,E:\REPORTS_RESULTS\20181120\assessor\,A11990ED5325A3F9FEB81B2891D867FA6E059F8D0A36CC2425CDE7133C984AFA1B9ADAF9C578BD5B772E99ACE9C1ADE8AD96BF624EF264795A0388EFFF298B75,"51915636 bytes (49.51 MiB)",
17,20181120_defender.xls,E:\REPORTS_RESULTS\20181120\defender\,6C6C9428E4E584BD84005DE4016BA5689C84CF98963F711EB420402FABEF0134E94763CA4E0B6B8951112310AEDED7BBE1C51023E2ECE4C2895B8FD0177C39B6,"12288 bytes (12 KiB)",
18,20181120_defender.pdf,E:\REPORTS_RESULTS\20181120\defender\,171F2B0299665AF6F97711866062FA0F4DE8B3AB7366BABBB40498978B05BD6CDD05E1919DD6C9BA0B7A0730F94898860155E4A96E6ECCFAE0DAE6482E6DC969,"5243 bytes (5.12 KiB)",
