November 6, 2018 General Election

Report generated on: Tuesday, November 27, 2018 at 12:03:50 PM


*** Governor - CALIFORNIA (100)
Precinct Totals
PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	JOHN H. COX	GAVIN NEWSOM	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	553	126	22.78	14	107	5	0
Pct 1101	VBM	1101	1	553	266	48.10	47	208	11	0
Pct 1102	Election Day	1102	1	995	266	26.73	28	235	3	0
Pct 1102	VBM	1102	1	995	480	48.24	94	375	11	0
Pct 1103	Election Day	1103	1	951	246	25.87	34	206	5	0
Pct 1103	VBM	1103	1	951	445	46.79	82	349	13	1
Pct 1104/1105	Election Day	1104	1	993	249	25.08	40	197	12	0
Pct 1104/1105	VBM	1104	1	993	414	41.69	68	331	15	0
Pct 1106	Election Day	1106	1	765	191	24.97	28	149	14	0
Pct 1106	VBM	1106	1	765	343	44.84	75	255	13	0
Pct 1107	Election Day	1107	1	746	163	21.85	21	137	5	0
Pct 1107	VBM	1107	1	746	336	45.04	56	269	10	1
Pct 1108	Election Day	1108	1	909	232	25.52	31	194	7	0
Pct 1108	VBM	1108	1	909	438	48.18	61	369	8	0
Pct 1109	Election Day	1109	1	798	166	20.80	23	139	4	0
Pct 1109	VBM	1109	1	798	365	45.74	83	271	11	0
Pct 1111	Election Day	1111	1	1002	205	20.46	24	167	14	0
Pct 1111	VBM	1111	1	1002	460	45.91	88	354	18	0
Pct 1112	Election Day	1112	1	769	151	19.64	23	122	6	0
Pct 1112	VBM	1112	1	769	344	44.73	57	282	5	0
Pct 1113	Election Day	1113	1	746	135	18.10	15	115	5	0
Pct 1113	VBM	1113	1	746	360	48.26	70	272	18	0
Pct 1114	Election Day	1114	1	957	226	23.62	43	179	4	0
Pct 1114	VBM	1114	1	957	404	42.22	78	307	18	1
Pct 1115	Election Day	1115	1	895	174	19.44	22	144	8	0
Pct 1115	VBM	1115	1	895	371	41.45	80	279	11	1
Pct 1116	Election Day	1116	1	895	225	25.14	13	206	6	0
Pct 1116	VBM	1116	1	895	376	42.01	73	289	14	0
Pct 1117	Election Day	1117	1	858	185	21.56	19	159	7	0
Pct 1117	VBM	1117	1	858	357	41.61	57	286	14	0
Pct 1118	Election Day	1118	1	1043	213	20.42	17	189	7	0
Pct 1118	VBM	1118	1	1043	476	45.64	95	365	15	1
Pct 1119	Election Day	1119	1	791	165	20.86	22	133	10	0
Pct 1119	VBM	1119	1	791	386	48.80	63	315	7	1
Pct 1121	Election Day	1121	1	691	160	23.15	33	119	8	0
Pct 1121	VBM	1121	1	691	313	45.30	71	231	11	0
Pct 1122	Election Day	1122	1	632	110	17.41	18	92	0	0
Pct 1122	VBM	1122	1	632	310	49.05	84	220	6	0
Pct 1123	Election Day	1123	1	915	179	19.56	20	155	4	0
Pct 1123	VBM	1123	1	915	364	39.78	72	281	11	0
Pct 1124	Election Day	1124	1	819	152	18.56	18	129	5	0
Pct 1124	VBM	1124	1	819	302	36.87	42	254	6	0
Pct 1125	Election Day	1125	1	1047	159	15.19	29	124	6	0
Pct 1125	VBM	1125	1	1047	466	44.51	91	366	9	0
Pct 1126	Election Day	1126	1	922	191	20.72	24	164	3	0
Pct 1126	VBM	1126	1	922	400	43.38	53	335	12	0
Pct 1127	Election Day	1127	1	920	200	21.74	36	159	5	0
Pct 1127	VBM	1127	1	920	382	41.52	83	285	14	0
Pct 1128	Election Day	1128	1	838	154	18.38	27	123	4	0
Pct 1128	VBM	1128	1	838	362	43.20	75	279	8	0
Pct 1129	Election Day	1129	1	980	227	23.16	44	177	6	0
Pct 1129	VBM	1129	1	980	416	42.45	102	309	4	1
Pct 1131	Election Day	1131	1	797	132	16.56	17	111	4	0
Pct 1131	VBM	1131	1	797	371	46.55	113	250	8	0
Pct 1132	Election Day	1132	1	969	179	18.47	28	143	8	0
Pct 1132	VBM	1132	1	969	427	44.07	101	310	16	0
Pct 1133	Election Day	1133	1	863	161	18.66	22	136	3	0
Pct 1133	VBM	1133	1	863	410	47.51	91	309	10	0
Pct 1134	Election Day	1134	1	759	170	22.40	14	141	15	0
Pct 1134	VBM	1134	1	759	318	41.90	72	243	2	1
Pct 1135	Election Day	1135	1	540	87	16.11	10	75	2	0
Pct 1135	VBM	1135	1	540	295	54.63	57	223	15	0
Pct 1136	Election Day	1136	1	829	144	17.37	28	109	6	1
Pct 1136	VBM	1136	1	829	412	49.70	78	324	10	0
Pct 1141	Election Day	1141	1	1041	223	21.42	32	180	11	0
Pct 1141	VBM	1141	1	1041	484	46.49	67	405	12	0
Pct 1142	Election Day	1142	1	861	175	20.33	28	141	6	0
Pct 1142	VBM	1142	1	861	393	45.64	72	308	13	0
Pct 1143	Election Day	1143	1	1034	229	22.15	23	198	8	0
Pct 1143	VBM	1143	1	1034	440	42.55	85	336	19	0
Pct 1144	Election Day	1144	1	907	205	22.60	32	164	8	1
Pct 1144	VBM	1144	1	907	387	42.67	76	302	9	0
Pct 1145	Election Day	1145	1	888	189	21.28	28	153	8	0
Pct 1145	VBM	1145	1	888	461	51.91	63	381	16	1
Pct 1146	Election Day	1146	1	1011	186	18.40	24	151	11	0
Pct 1146	VBM	1146	1	1011	454	44.91	70	368	15	1
