CONTEST_ID	CONTEST_ORDER	CANDIDATE_ORDER	TOTAL	CANDIDATE_PARTY_ID	CANDIDATE_ID	VOTE_FOR	CONTEST_TYPE	CANDIDATE_TYPE	TOTAL_PRECINCTS	PROCESSED_DONE	PROCESSED_STARTED	IS_WRITEIN_CANDIDATE	CONTEST_FULL_NAME	CANDIDATE_FULL_NAME	CONTEST_TOTAL	undervote	overvote	IS_WINNER	cf_cand_class	IS_PRECINCT_LEVEL	PRECINCT_NAME	is_visible
0	-100	1	127886		1	0	-2	0		604	0	0	Registration & Turnout	Election Day Reporting Turnout	500516	0	0	0	candidate	0	 	0
0	-100	2	244962		2	0	-2	0		604	0	0	Registration & Turnout	VBM Reporting Turnout	500516	0	0	0	candidate	0	 	0
1	1	1	49181	2	72	1	0	0	604	604	604	0	Governor	REP - JOHN H. COX	361362	11236	144	0	candidate	0	 	0
1	1	2	312181	1	73	1	0	0	604	604	604	0	Governor	DEM - GAVIN NEWSOM	361362	11236	144	1	winner	0	 	0
2	2	1	153733	1	74	1	0	0	604	604	604	0	Lieutenant Governor	DEM - ED HERNANDEZ	326474	45920	348	0	candidate	0	 	0
2	2	2	172741	1	75	1	0	0	604	604	604	0	Lieutenant Governor	DEM - ELENI KOUNALAKIS	326474	45920	348	1	winner	0	 	0
3	3	1	309367	1	76	1	0	0	604	604	604	0	Secretary of State	DEM - ALEX PADILLA	352905	19728	109	1	winner	0	 	0
3	3	2	43538	2	77	1	0	0	604	604	604	0	Secretary of State	REP - MARK P. MEUSER	352905	19728	109	0	candidate	0	 	0
4	4	1	43021	2	78	1	0	0	604	604	604	0	State Controller	REP - KONSTANTINOS RODITIS	354580	18077	85	0	candidate	0	 	0
4	4	2	311559	1	79	1	0	0	604	604	604	0	State Controller	DEM - BETTY T. YEE	354580	18077	85	1	winner	0	 	0
5	5	1	45699	2	80	1	0	0	604	604	604	0	State Treasurer	REP - GREG CONLON	352697	19947	98	0	candidate	0	 	0
5	5	2	306998	1	81	1	0	0	604	604	604	0	State Treasurer	DEM - FIONA MA	352697	19947	98	1	winner	0	 	0
6	6	1	47070	2	82	1	0	0	604	604	604	0	Attorney General	REP - STEVEN C BAILEY	352571	20077	94	0	candidate	0	 	0
6	6	2	305501	1	83	1	0	0	604	604	604	0	Attorney General	DEM - XAVIER BECERRA	352571	20077	94	1	winner	0	 	0
7	7	1	235299	1	84	1	0	0	604	604	604	0	Insurance Commissioner	DEM - RICARDO LARA	337663	34922	157	1	winner	0	 	0
7	7	2	102364	3	85	1	0	0	604	604	604	0	Insurance Commissioner	NPP - STEVE POIZNER	337663	34922	157	0	candidate	0	 	0
8	8	1	292973	1	86	1	0	0	604	604	604	0	Board of Equalization, District 2	DEM - MALIA COHEN	340726	31941	75	1	winner	0	 	0
8	8	2	47753	2	87	1	0	0	604	604	604	0	Board of Equalization, District 2	REP - MARK BURNS	340726	31941	75	0	candidate	0	 	0
9	9	1	226167	1	88	1	0	0	604	604	604	0	U.S. Senator	DEM - DIANNE FEINSTEIN	352121	20247	374	1	winner	0	 	0
9	9	2	125954	1	89	1	0	0	604	604	604	0	U.S. Senator	DEM - KEVIN DE LEON	352121	20247	374	0	candidate	0	 	0
10	10	1	41780	2	90	1	0	0	529	529	529	0	U.S. Representative, District 12	REP - LISA REMMER	317072	15225	107	0	candidate	0	 	0
10	10	2	275292	1	91	1	0	0	529	529	529	0	U.S. Representative, District 12	DEM - NANCY PELOSI	317072	15225	107	1	winner	0	 	0
11	11	1	0	1	92	1	0	0	1	1	1	0	U.S. Representative, District 13	DEM - BARBARA LEE	0	0	0		candidate	0	 	0
11	11	2	0	45	156	1	0	0	1	1	1	0	U.S. Representative, District 13	GRN - LAURA WELLS	0	0	0		candidate	0	 	0
12	12	1	6487	2	93	1	0	0	74	74	74	0	U.S. Representative, District 14	REP - CRISTINA OSMEÑA	38119	2211	8	0	candidate	0	 	0
12	12	2	31632	1	94	1	0	0	74	74	74	0	U.S. Representative, District 14	DEM - JACKIE SPEIER	38119	2211	8	1	winner	0	 	0
13	13	1	140381	1	95	1	0	0	353	353	353	0	State Assembly, District 17	DEM - DAVID CHIU	185864	28709	192	1	winner	0	 	0
13	13	2	45483	1	96	1	0	0	353	353	353	0	State Assembly, District 17	DEM - ALEJANDRO FERNANDEZ	185864	28709	192	0	candidate	0	 	0
14	14	1	125804	1	97	1	0	0	251	251	251	0	State Assembly, District 19	DEM - PHIL TING	149042	8898	37	1	winner	0	 	0
14	14	2	23238	2	98	1	0	0	251	251	251	0	State Assembly, District 19	REP - KEITH BOGDON	149042	8898	37	0	candidate	0	 	0
16	15	1	148219		4	1	4	4	604	604	604	0	Sup Ct. Assoc Justice CORRIGAN	Yes	239243	133261	238	1	winner	0	 	0
16	15	2	91024		5	1	4	4	604	604	604	0	Sup Ct. Assoc Justice CORRIGAN	No	239243	133261	238	0	candidate	0	 	0
17	16	1	205510		6	1	4	4	604	604	604	0	Sup Ct. Assoc Justice KRUGER	Yes	234826	137808	108	1	winner	0	 	0
17	16	2	29316		7	1	4	4	604	604	604	0	Sup Ct. Assoc Justice KRUGER	No	234826	137808	108	0	candidate	0	 	0
18	17	1	191112		8	1	4	4	604	604	604	0	COA Div 1 Presiding Justice HUMES	Yes	226462	146150	130	1	winner	0	 	0
18	17	2	35350		9	1	4	4	604	604	604	0	COA Div 1 Presiding Justice HUMES	No	226462	146150	130	0	candidate	0	 	0
19	18	1	159187		10	1	4	4	604	604	604	0	COA Div 1 Assoc Justice MARGULIES	Yes	229094	143534	114	1	winner	0	 	0
19	18	2	69907		11	1	4	4	604	604	604	0	COA Div 1 Assoc Justice MARGULIES	No	229094	143534	114	0	candidate	0	 	0
20	19	1	137706		12	1	4	4	604	604	604	0	COA Div 2 Assoc Justice RICHMAN	Yes	221850	150802	90	1	winner	0	 	0
20	19	2	84144		13	1	4	4	604	604	604	0	COA Div 2 Assoc Justice RICHMAN	No	221850	150802	90	0	candidate	0	 	0
21	20	1	156312		14	1	4	4	604	604	604	0	COA Div 2 Assoc Justice MILLER	Yes	224333	148241	168	1	winner	0	 	0
21	20	2	68021		15	1	4	4	604	604	604	0	COA Div 2 Assoc Justice MILLER	No	224333	148241	168	0	candidate	0	 	0
22	21	1	185727		16	1	4	4	604	604	604	0	COA Div 3 Presiding Justice SIGGINS	Yes	221797	150859	86	1	winner	0	 	0
22	21	2	36070		17	1	4	4	604	604	604	0	COA Div 3 Presiding Justice SIGGINS	No	221797	150859	86	0	candidate	0	 	0
23	22	1	185425		18	1	4	4	604	604	604	0	COA Div 4 Assoc Justice STREETER	Yes	220275	152378	89	1	winner	0	 	0
23	22	2	34850		19	1	4	4	604	604	604	0	COA Div 4 Assoc Justice STREETER	No	220275	152378	89	0	candidate	0	 	0
24	23	1	197903		20	1	4	4	604	604	604	0	COA Div 4 Assoc Juctice TUCHER	Yes	223591	149000	151	1	winner	0	 	0
24	23	2	25688		21	1	4	4	604	604	604	0	COA Div 4 Assoc Juctice TUCHER	No	223591	149000	151	0	candidate	0	 	0
25	24	1	200164		22	1	4	4	604	604	604	0	COA Div 5 Presiding Juctice JONES	Yes	225053	147640	49	1	winner	0	 	0
25	24	2	24889		23	1	4	4	604	604	604	0	COA Div 5 Presiding Juctice JONES	No	225053	147640	49	0	candidate	0	 	0
26	25	1	97777		118	1	0	0	604	604	604	0	Superintendent of Public Instruction	MARSHALL TUCK	291180	80051	1511	0	candidate	0	 	0
26	25	2	191332		119	1	0	0	604	604	604	0	Superintendent of Public Instruction	TONY K. THURMOND	291180	80051	1511	1	winner	0	 	0
26	25	3	2071		24	1	0	3	604	604	604	1	Superintendent of Public Instruction	WRITE-IN	291180	80051	1511	0	candidate	0	 	0
15	26	1	34193		99	3	0	0	604	604	604	0	Member, Board of Education	MONICA CHINCHILLA	817920	282075	16041	0	candidate	0	 	0
15	26	2	122865		100	3	0	0	604	604	604	0	Member, Board of Education	ALISON COLLINS	817920	282075	16041	1	winner	0	 	0
15	26	3	27761		101	3	0	0	604	604	604	0	Member, Board of Education	JOSEPHINE ZHAO	817920	282075	16041	0	candidate	0	 	0
15	26	4	12439		102	3	0	0	604	604	604	0	Member, Board of Education	MARTIN RAWLINGS-FEIN	817920	282075	16041	0	candidate	0	 	0
15	26	5	112299		103	3	0	0	604	604	604	0	Member, Board of Education	GABRIELA LÓPEZ	817920	282075	16041	1	winner	0	 	0
15	26	6	61412		104	3	0	0	604	604	604	0	Member, Board of Education	LI MIAO LOVETT	817920	282075	16041	0	candidate	0	 	0
15	26	7	9605		105	3	0	0	604	604	604	0	Member, Board of Education	LEX LEIFHEIT	817920	282075	16041	0	candidate	0	 	0
15	26	8	37735		106	3	0	0	604	604	604	0	Member, Board of Education	ALIDA FISHER	817920	282075	16041	0	candidate	0	 	0
15	26	9	2491		107	3	0	0	604	604	604	0	Member, Board of Education	PHILLIP MARCEL HOUSE	817920	282075	16041	0	candidate	0	 	0
15	26	10	65740		108	3	0	0	604	604	604	0	Member, Board of Education	MICHELLE PARKER	817920	282075	16041	0	candidate	0	 	0
15	26	11	12950		109	3	0	0	604	604	604	0	Member, Board of Education	DARRON A. PADILLA	817920	282075	16041	0	candidate	0	 	0
15	26	12	13967		110	3	0	0	604	604	604	0	Member, Board of Education	PAUL KANGAS	817920	282075	16041	0	candidate	0	 	0
15	26	13	12251		111	3	0	0	604	604	604	0	Member, Board of Education	CONNOR KRONE	817920	282075	16041	0	candidate	0	 	0
15	26	14	76017		112	3	0	0	604	604	604	0	Member, Board of Education	PHIL KIM	817920	282075	16041	0	candidate	0	 	0
