precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
1	Pct 1101	1	1	2	3	4	5	6	2	126	266	0	0	0	0	392
2	Pct 1102	2	1	2	3	4	5	6	2	266	480	0	0	0	0	746
3	Pct 1103	3	1	2	3	4	5	6	2	246	445	0	0	0	0	691
4	Pct 1104/1105	4	1	2	3	4	5	6	2	249	414	0	0	0	0	663
5	Pct 1106	5	1	2	3	4	5	6	2	191	343	0	0	0	0	534
6	Pct 1107	6	1	2	3	4	5	6	2	163	336	0	0	0	0	499
7	Pct 1108	7	1	2	3	4	5	6	2	232	438	0	0	0	0	670
8	Pct 1109	8	1	2	3	4	5	6	2	166	365	0	0	0	0	531
9	Pct 1111	9	1	2	3	4	5	6	2	205	460	0	0	0	0	665
10	Pct 1112	10	1	2	3	4	5	6	2	151	344	0	0	0	0	495
11	Pct 1113	11	1	2	3	4	5	6	2	135	360	0	0	0	0	495
12	Pct 1114	12	1	2	3	4	5	6	2	226	404	0	0	0	0	630
13	Pct 1115	13	1	2	3	4	5	6	2	174	371	0	0	0	0	545
14	Pct 1116	14	1	2	3	4	5	6	2	225	376	0	0	0	0	601
15	Pct 1117	15	1	2	3	4	5	6	2	185	357	0	0	0	0	542
16	Pct 1118	16	1	2	3	4	5	6	2	213	476	0	0	0	0	689
17	Pct 1119	17	1	2	3	4	5	6	2	165	386	0	0	0	0	551
18	Pct 1121	18	1	2	3	4	5	6	2	160	313	0	0	0	0	473
19	Pct 1122	19	1	2	3	4	5	6	2	110	310	0	0	0	0	420
20	Pct 1123	20	1	2	3	4	5	6	2	179	364	0	0	0	0	543
21	Pct 1124	21	1	2	3	4	5	6	2	152	302	0	0	0	0	454
22	Pct 1125	22	1	2	3	4	5	6	2	159	466	0	0	0	0	625
23	Pct 1126	23	1	2	3	4	5	6	2	191	400	0	0	0	0	591
24	Pct 1127	24	1	2	3	4	5	6	2	200	382	0	0	0	0	582
25	Pct 1128	25	1	2	3	4	5	6	2	154	362	0	0	0	0	516
26	Pct 1129	26	1	2	3	4	5	6	2	227	416	0	0	0	0	643
27	Pct 1131	27	1	2	3	4	5	6	2	132	371	0	0	0	0	503
28	Pct 1132	28	1	2	3	4	5	6	2	179	427	0	0	0	0	606
29	Pct 1133	29	1	2	3	4	5	6	2	161	410	0	0	0	0	571
30	Pct 1134	30	1	2	3	4	5	6	2	170	318	0	0	0	0	488
31	Pct 1135	31	1	2	3	4	5	6	2	87	295	0	0	0	0	382
32	Pct 1136	32	1	2	3	4	5	6	2	144	412	0	0	0	0	556
33	Pct 1141	33	1	2	3	4	5	6	2	223	484	0	0	0	0	707
34	Pct 1142	34	1	2	3	4	5	6	2	175	393	0	0	0	0	568
35	Pct 1143	35	1	2	3	4	5	6	2	229	440	0	0	0	0	669
36	Pct 1144	36	1	2	3	4	5	6	2	205	387	0	0	0	0	592
37	Pct 1145	37	1	2	3	4	5	6	2	189	461	0	0	0	0	650
38	Pct 1146	38	1	2	3	4	5	6	2	186	454	0	0	0	0	640
39	Pct 1147	39	1	2	3	4	5	6	2	210	396	0	0	0	0	606
40	Pct 1148	40	1	2	3	4	5	6	2	196	444	0	0	0	0	640
41	Pct 1149	41	1	2	3	4	5	6	2	210	407	0	0	0	0	617
42	Pct 1151 MB	42	1	2	3	4	5	6	2	0	0	0	0	0	0	0
43	Pct 1152	43	1	2	3	4	5	6	2	198	388	0	0	0	0	586
44	Pct 1153	44	1	2	3	4	5	6	2	210	415	0	0	0	0	625
45	Pct 1154 MB	45	1	2	3	4	5	6	2	0	0	0	0	0	0	0
46	Pct 7001	46	1	2	3	4	5	6	2	176	429	0	0	0	0	605
47	Pct 7002	47	1	2	3	4	5	6	2	176	332	0	0	0	0	508
48	Pct 7003	48	1	2	3	4	5	6	2	238	498	0	0	0	0	736
49	Pct 7004	49	1	2	3	4	5	6	2	241	496	0	0	0	0	737
50	Pct 7005	50	1	2	3	4	5	6	2	253	480	0	0	0	0	733
51	Pct 7006	51	1	2	3	4	5	6	2	254	442	0	0	0	0	696
52	Pct 7007	52	1	2	3	4	5	6	2	283	516	0	0	0	0	799
53	Pct 7008	53	1	2	3	4	5	6	2	264	546	0	0	0	0	810
54	Pct 7009	54	1	2	3	4	5	6	2	185	513	0	0	0	0	698
55	Pct 7011	55	1	2	3	4	5	6	2	204	294	0	0	0	0	498
56	Pct 7012	56	1	2	3	4	5	6	2	313	594	0	0	0	0	907
57	Pct 7013	57	1	2	3	4	5	6	2	267	501	0	0	0	0	768
58	Pct 7014	58	1	2	3	4	5	6	2	367	802	0	0	0	0	1169
59	Pct 7015 MB	59	1	2	3	4	5	6	2	2	44	0	0	0	0	46
60	Pct 7016	60	1	2	3	4	5	6	2	171	280	0	0	0	0	451
61	Pct 7017	61	1	2	3	4	5	6	2	149	252	0	0	0	0	401
62	Pct 7018	62	1	2	3	4	5	6	2	155	448	0	0	0	0	603
63	Pct 7019	63	1	2	3	4	5	6	2	182	413	0	0	0	0	595
64	Pct 7021	64	1	2	3	4	5	6	2	184	305	0	0	0	0	489
65	Pct 7022	65	1	2	3	4	5	6	2	215	352	0	0	0	0	567
66	Pct 7023	66	1	2	3	4	5	6	2	178	400	0	0	0	0	578
67	Pct 7024	67	1	2	3	4	5	6	2	70	78	0	0	0	0	148
68	Pct 7025	68	1	2	3	4	5	6	2	85	128	0	0	0	0	213
69	Pct 7026	69	1	2	3	4	5	6	2	149	455	0	0	0	0	604
70	Pct 7027	70	1	2	3	4	5	6	2	195	353	0	0	0	0	548
71	Pct 7028	71	1	2	3	4	5	6	2	213	282	0	0	0	0	495
72	Pct 7029	72	1	2	3	4	5	6	2	184	251	0	0	0	0	435
73	Pct 7030	73	1	2	3	4	5	6	2	119	357	0	0	0	0	476
74	Pct 7031	74	1	2	3	4	5	6	2	91	309	0	0	0	0	400
75	Pct 7032	75	1	2	3	4	5	6	2	173	316	0	0	0	0	489
76	Pct 7033	76	1	2	3	4	5	6	2	191	247	0	0	0	0	438
77	Pct 7034	77	1	2	3	4	5	6	2	197	201	0	0	0	0	398
78	Pct 7035	78	1	2	3	4	5	6	2	122	262	0	0	0	0	384
79	Pct 7036	79	1	2	3	4	5	6	2	117	342	0	0	0	0	459
80	Pct 7037	80	1	2	3	4	5	6	2	135	98	0	0	0	0	233
81	Pct 7038	81	1	2	3	4	5	6	2	135	351	0	0	0	0	486
82	Pct 7039	82	1	2	3	4	5	6	2	178	306	0	0	0	0	484
83	Pct 7041 MB	83	1	2	3	4	5	6	2	2	33	0	0	0	0	35
84	Pct 7042	84	1	2	3	4	5	6	2	118	258	0	0	0	0	376
85	Pct 7043	85	1	2	3	4	5	6	2	176	404	0	0	0	0	580
86	Pct 7044	86	1	2	3	4	5	6	2	167	193	0	0	0	0	360
87	Pct 7045	87	1	2	3	4	5	6	2	120	344	0	0	0	0	464
88	Pct 7046	88	1	2	3	4	5	6	2	94	175	0	0	0	0	269
89	Pct 7047	89	1	2	3	4	5	6	2	119	388	0	0	0	0	507
90	Pct 7048	90	1	2	3	4	5	6	2	150	318	0	0	0	0	468
91	Pct 7049	91	1	2	3	4	5	6	2	173	305	0	0	0	0	478
92	Pct 7051	92	1	2	3	4	5	6	2	114	380	0	0	0	0	494
93	Pct 7052	93	1	2	3	4	5	6	2	161	402	0	0	0	0	563
94	Pct 7053	94	1	2	3	4	5	6	2	102	278	0	0	0	0	380
95	Pct 7054	95	1	2	3	4	5	6	2	215	410	0	0	0	0	625
96	Pct 7055	96	1	2	3	4	5	6	2	190	440	0	0	0	0	630
97	Pct 7101 MB	97	1	2	3	4	5	6	2	5	120	0	0	0	0	125
98	Pct 7201	98	1	2	3	4	5	6	2	245	518	0	0	0	0	763
99	Pct 7202	99	1	2	3	4	5	6	2	227	431	0	0	0	0	658
100	Pct 7203	100	1	2	3	4	5	6	2	291	423	0	0	0	0	714
101	Pct 7204	101	1	2	3	4	5	6	2	233	531	0	0	0	0	764
102	Pct 7205	102	1	2	3	4	5	6	2	251	485	0	0	0	0	736
103	Pct 7206	103	1	2	3	4	5	6	2	135	191	0	0	0	0	326
104	Pct 7207	104	1	2	3	4	5	6	2	196	434	0	0	0	0	630
105	Pct 7208	105	1	2	3	4	5	6	2	111	328	0	0	0	0	439
106	Pct 7209	106	1	2	3	4	5	6	2	107	423	0	0	0	0	530
107	Pct 7301	107	1	2	3	4	5	6	2	228	435	0	0	0	0	663
108	Pct 7302	108	1	2	3	4	5	6	2	188	458	0	0	0	0	646
109	Pct 7303	109	1	2	3	4	5	6	2	281	482	0	0	0	0	763
110	Pct 7304	110	1	2	3	4	5	6	2	278	493	0	0	0	0	771
111	Pct 7305	111	1	2	3	4	5	6	2	240	460	0	0	0	0	700
112	Pct 7306	112	1	2	3	4	5	6	2	317	498	0	0	0	0	815
113	Pct 7307	113	1	2	3	4	5	6	2	210	346	0	0	0	0	556
114	Pct 7308	114	1	2	3	4	5	6	2	177	313	0	0	0	0	490
115	Pct 7309	115	1	2	3	4	5	6	2	263	439	0	0	0	0	702
116	Pct 7311	116	1	2	3	4	5	6	2	268	448	0	0	0	0	716
117	Pct 7312	117	1	2	3	4	5	6	2	203	470	0	0	0	0	673
118	Pct 7313	118	1	2	3	4	5	6	2	225	485	0	0	0	0	710
119	Pct 7314	119	1	2	3	4	5	6	2	125	271	0	0	0	0	396
120	Pct 7315	120	1	2	3	4	5	6	2	220	282	0	0	0	0	502
121	Pct 7316	121	1	2	3	4	5	6	2	205	367	0	0	0	0	572
122	Pct 7317	122	1	2	3	4	5	6	2	189	454	0	0	0	0	643
123	Pct 7318	123	1	2	3	4	5	6	2	179	390	0	0	0	0	569
124	Pct 7319	124	1	2	3	4	5	6	2	301	516	0	0	0	0	817
125	Pct 7321	125	1	2	3	4	5	6	2	149	286	0	0	0	0	435
126	Pct 7322	126	1	2	3	4	5	6	2	65	337	0	0	0	0	402
127	Pct 7323	127	1	2	3	4	5	6	2	234	455	0	0	0	0	689
128	Pct 7324	128	1	2	3	4	5	6	2	190	364	0	0	0	0	554
129	Pct 7325	129	1	2	3	4	5	6	2	243	436	0	0	0	0	679
