area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	078:KONSTANTINOS RODITIS	079:BETTY T. YEE
ALLPCTS	TO	500516	372461	106	0	85	18052	354218	42985	311233
ALLPCTS	ED	500516	127556	80	0	31	6769	120676	13923	106753
ALLPCTS	MV	500516	244905	26	0	54	11283	233542	29062	204480
PCT1101	ED	553	125	0	0	0	7	118	14	104
PCT1101	MV	553	266	0	0	0	9	257	30	227
PCT1102	ED	995	266	0	0	0	13	253	23	230
PCT1102	MV	995	480	0	0	0	11	469	72	397
PCT1103	ED	951	246	1	0	0	12	233	28	205
PCT1103	MV	951	445	0	0	0	14	431	71	360
PCT1104	ED	993	249	0	0	0	13	236	37	199
PCT1104	MV	993	414	0	0	0	15	399	51	348
PCT1106	ED	765	191	0	0	0	8	183	25	158
PCT1106	MV	765	343	0	0	0	14	329	64	265
PCT1107	ED	746	163	0	0	0	7	156	11	145
PCT1107	MV	746	336	0	0	0	18	318	43	275
PCT1108	ED	909	232	0	0	0	14	218	15	203
PCT1108	MV	909	437	0	0	0	21	416	33	383
PCT1109	ED	798	166	0	0	0	9	157	18	139
PCT1109	MV	798	365	0	0	0	14	351	51	300
PCT1111	ED	1002	205	0	0	0	13	192	22	170
PCT1111	MV	1002	460	0	0	0	25	435	59	376
PCT1112	ED	769	151	0	0	0	11	140	10	130
PCT1112	MV	769	344	0	0	0	10	334	32	302
PCT1113	ED	746	134	0	0	0	8	126	16	110
PCT1113	MV	746	359	0	0	0	22	337	50	287
PCT1114	ED	957	226	0	0	0	20	206	29	177
PCT1114	MV	957	403	0	0	0	26	377	60	317
PCT1115	ED	895	173	0	0	0	9	164	9	155
PCT1115	MV	895	371	0	0	1	20	350	44	306
PCT1116	ED	895	224	0	0	0	15	209	11	198
PCT1116	MV	895	376	0	0	0	21	355	48	307
PCT1117	ED	858	184	0	0	0	16	168	16	152
PCT1117	MV	858	357	0	0	0	24	333	42	291
PCT1118	ED	1043	213	0	0	0	10	203	18	185
PCT1118	MV	1043	475	0	0	0	31	444	59	385
PCT1119	ED	791	165	0	0	0	13	152	17	135
PCT1119	MV	791	386	0	0	0	14	372	45	327
PCT1121	ED	691	159	0	0	0	10	149	25	124
PCT1121	MV	691	313	0	0	1	34	278	47	231
PCT1122	ED	632	109	0	0	1	7	101	13	88
